R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
101,54,38,8,7,265.78,50.5,4,7,4,8,0,73.5
104,95,60,8,6,173.33,52,4,6,4,8,0,74
104,90,60,8,5,173.33,52,4,5,4,8,0,73
102,82,63,8,5,161.9,51,4,5,4,8,0,72
101,77,54,8,5,187.03,50.5,4,5,4,8,0,71.5
87,89,56,8,4,155.35,43.5,4,4,4,0,0,55.5
80,76,44,8,4,181.81,40,4,4,4,0,0,52
74,53,39,8,4,189.74,37,4,4,4,0,0,49
73,76,39,8,4,187.17,36.5,4,4,4,0,0,48.5
62,45,30,8,4,206.66,31,4,4,4,0,0,43
85,82,60,8,3,141.66,42.5,4,3,4,0,0,53.5
84,81,52,8,3,161.53,42,4,3,4,0,0,53
83,96,59,8,3,140.67,41.5,4,3,4,0,0,52.5
75,72,48,8,3,156.25,37.5,4,3,4,0,0,48.5
69,58,38,8,3,181.57,34.5,4,3,4,0,0,45.5
68,59,45,8,3,151.11,34,4,3,4,0,0,45
66,60,44,8,3,150,33,4,3,4,0,0,44
74,95,48,8,2,154.16,37,4,2,4,0,0,47
73,77,51,8,2,143.13,36.5,4,2,4,0,0,46.5
72,70,44,8,2,163.63,36,4,2,4,0,0,46
72,64,48,8,2,150,36,4,2,4,0,0,46
71,77,54,8,2,131.48,35.5,4,2,4,0,0,45.5
68,86,49,8,2,138.77,34,4,2,4,0,0,44
64,66,42,8,2,152.38,32,4,2,4,0,0,42
63,60,39,8,2,161.53,31.5,4,2,4,0,0,41.5
63,50,34,8,2,185.29,31.5,4,2,4,0,0,41.5
61,45,31,8,2,196.77,30.5,4,2,4,0,0,40.5
58,50,37,8,2,156.75,29,4,2,4,0,0,39
58,61,36,8,2,161.11,29,4,2,4,0,0,39
79,76,53,8,1,149.05,39.5,4,1,4,0,0,48.5
73,99,55,8,1,132.72,36.5,4,1,4,0,0,45.5
73,80,56,8,1,130.35,36.5,4,1,4,0,0,45.5
68,96,54,8,1,125.92,34,4,1,4,0,0,43
67,65,41,8,1,163.41,33.5,4,1,4,0,0,42.5
66,94,52,8,1,126.92,33,4,1,4,0,0,42
66,62,47,8,1,140.42,33,4,1,4,0,0,42
64,57,32,8,1,200,32,4,1,4,0,0,41
62,65,36,8,1,172.22,31,4,1,4,0,0,40
61,59,41,8,1,148.78,30.5,4,1,4,0,0,39.5
60,72,41,8,1,146.34,30,4,1,4,0,0,39
59,74,43,8,1,137.2,29.5,4,1,4,0,0,38.5
59,54,37,8,1,159.45,29.5,4,1,4,0,0,38.5
54,68,41,8,1,131.7,27,4,1,4,0,0,36
51,43,29,8,1,175.86,25.5,4,1,4,0,0,34.5
48,49,27,8,1,177.77,24,4,1,0,0,0,29
47,39,30,8,1,156.66,23.5,4,1,0,0,0,28.5
44,42,30,8,1,146.66,22,4,1,0,0,0,27
67,95,53,8,0,126.41,33.5,4,0,4,0,0,41.5
60,88,49,8,0,122.44,30,4,0,4,0,0,38
60,76,46,8,0,130.43,30,4,0,4,0,0,38
58,61,42,8,0,138.09,29,4,0,4,0,0,37
57,81,48,8,0,118.75,28.5,4,0,4,0,0,36.5
56,71,49,8,0,114.28,28,4,0,4,0,0,36
55,65,42,8,0,130.95,27.5,4,0,4,0,0,35.5
54,57,48,8,0,112.5,27,4,0,4,0,0,35
52,57,43,8,0,120.93,26,4,0,4,0,0,34
51,74,48,8,0,106.25,25.5,4,0,4,0,0,33.5
48,49,28,8,0,171.42,24,4,0,0,0,0,28
46,60,39,8,0,117.94,23,4,0,0,0,0,27
45,42,30,8,0,150,22.5,4,0,0,0,0,26.5
128,95,62,7,13,206.45,64,3.5,13,4,8,0,92.5
117,84,57,7,12,205.26,58.5,3.5,12,4,8,0,86
100,97,56,7,9,178.57,50,3.5,9,4,8,0,74.5
96,83,56,7,7,171.42,48,3.5,7,4,0,0,62.5
103,85,63,7,6,163.49,51.5,3.5,6,4,8,0,73
100,82,53,7,6,188.67,50,3.5,6,4,8,0,71.5
87,66,47,7,6,185.1,43.5,3.5,6,4,0,0,57
86,57,37,7,6,232.43,43,3.5,6,4,0,0,56.5
82,75,42,7,6,195.23,41,3.5,6,4,0,0,54.5
83,78,56,7,5,148.21,41.5,3.5,5,4,0,0,54
77,63,37,7,5,208.1,38.5,3.5,5,4,0,0,51
70,48,34,7,5,205.88,35,3.5,5,4,0,0,47.5
90,84,59,7,4,152.54,45,3.5,4,4,0,0,56.5
