,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total,cluster_group
1092,21.0,16.0,9,3,1,233.33,10.5,1.5,1,0,0,0,13.0,0.0
1093,20.0,13.0,12,3,1,166.66,10.0,1.5,1,0,0,0,12.5,0.0
1094,20.0,15.0,8,3,1,250.0,10.0,1.5,1,0,0,0,12.5,0.0
1095,20.0,26.0,16,3,1,125.0,10.0,1.5,1,0,0,0,12.5,0.0
1096,20.0,18.0,17,3,1,117.64,10.0,1.5,1,0,0,0,12.5,0.0
1097,20.0,17.0,12,3,1,166.66,10.0,1.5,1,0,0,0,12.5,0.0
1098,19.0,7.0,6,3,1,316.66,9.5,1.5,1,0,0,0,12.0,0.0
1099,19.0,20.0,14,3,1,135.71,9.5,1.5,1,0,0,0,12.0,0.0
1100,19.0,9.0,6,3,1,316.66,9.5,1.5,1,0,0,0,12.0,0.0
1101,50.0,62.0,39,3,0,128.2,25.0,1.5,0,4,0,0,30.5,0.0
1102,41.0,70.0,38,3,0,107.89,20.5,1.5,0,0,0,0,22.0,0.0
1103,39.0,40.0,29,3,0,134.48,19.5,1.5,0,0,0,0,21.0,0.0
1104,37.0,58.0,41,3,0,90.24,18.5,1.5,0,0,0,0,20.0,0.0
1105,36.0,52.0,33,3,0,109.09,18.0,1.5,0,0,0,0,19.5,0.0
1106,36.0,44.0,29,3,0,124.13,18.0,1.5,0,0,0,0,19.5,0.0
1107,35.0,48.0,39,3,0,89.74,17.5,1.5,0,0,0,0,19.0,0.0
1108,35.0,49.0,29,3,0,120.68,17.5,1.5,0,0,0,0,19.0,0.0
1109,34.0,87.0,42,3,0,80.95,17.0,1.5,0,0,0,0,18.5,5.0
1110,34.0,58.0,39,3,0,87.17,17.0,1.5,0,0,0,0,18.5,0.0
1111,34.0,50.0,34,3,0,100.0,17.0,1.5,0,0,0,0,18.5,0.0
1112,34.0,59.0,37,3,0,91.89,17.0,1.5,0,0,0,0,18.5,0.0
1113,33.0,72.0,39,3,0,84.61,16.5,1.5,0,0,0,0,18.0,5.0
1114,33.0,50.0,30,3,0,110.0,16.5,1.5,0,0,0,0,18.0,0.0
1115,33.0,36.0,31,3,0,106.45,16.5,1.5,0,0,0,0,18.0,0.0
1116,32.0,51.0,35,3,0,91.42,16.0,1.5,0,0,0,0,17.5,0.0
1117,32.0,34.0,24,3,0,133.33,16.0,1.5,0,0,0,0,17.5,0.0
1118,32.0,54.0,27,3,0,118.51,16.0,1.5,0,0,0,0,17.5,0.0
1119,32.0,61.0,37,3,0,86.48,16.0,1.5,0,0,0,0,17.5,0.0
1120,32.0,53.0,26,3,0,123.07,16.0,1.5,0,0,0,0,17.5,0.0
1121,31.0,43.0,33,3,0,93.93,15.5,1.5,0,0,0,0,17.0,0.0
1122,31.0,48.0,38,3,0,81.57,15.5,1.5,0,0,0,0,17.0,0.0
1123,31.0,30.0,26,3,0,119.23,15.5,1.5,0,0,0,0,17.0,0.0
1124,31.0,46.0,28,3,0,110.71,15.5,1.5,0,0,0,0,17.0,0.0
1125,30.0,34.0,27,3,0,111.11,15.0,1.5,0,0,0,0,16.5,0.0
1126,30.0,46.0,27,3,0,111.11,15.0,1.5,0,0,0,0,16.5,0.0
1127,30.0,42.0,24,3,0,125.0,15.0,1.5,0,0,0,0,16.5,0.0
1128,30.0,51.0,32,3,0,93.75,15.0,1.5,0,0,0,0,16.5,0.0
1129,30.0,45.0,27,3,0,111.11,15.0,1.5,0,0,0,0,16.5,0.0
1130,30.0,39.0,22,3,0,136.36,15.0,1.5,0,0,0,0,16.5,0.0
1131,29.0,48.0,29,3,0,100.0,14.5,1.5,0,0,0,0,16.0,0.0
1132,29.0,56.0,32,3,0,90.62,14.5,1.5,0,0,0,0,16.0,0.0
1133,29.0,59.0,25,3,0,116.0,14.5,1.5,0,0,0,0,16.0,0.0
1134,29.0,33.0,23,3,0,126.08,14.5,1.5,0,0,0,0,16.0,0.0
1135,29.0,49.0,25,3,0,116.0,14.5,1.5,0,0,0,0,16.0,0.0
1136,29.0,49.0,26,3,0,111.53,14.5,1.5,0,0,0,0,16.0,0.0
1137,29.0,42.0,24,3,0,120.83,14.5,1.5,0,0,0,0,16.0,0.0
1138,28.0,42.0,24,3,0,116.66,14.0,1.5,0,0,0,0,15.5,0.0
1139,28.0,49.0,24,3,0,116.66,14.0,1.5,0,0,0,0,15.5,0.0
1140,28.0,27.0,26,3,0,107.69,14.0,1.5,0,0,0,0,15.5,0.0
1141,28.0,55.0,24,3,0,116.66,14.0,1.5,0,0,0,0,15.5,0.0
1142,28.0,44.0,28,3,0,100.0,14.0,1.5,0,0,0,0,15.5,0.0
1143,28.0,43.0,31,3,0,90.32,14.0,1.5,0,0,0,0,15.5,0.0
1144,27.0,18.0,23,3,0,117.39,13.5,1.5,0,0,0,0,15.0,0.0
1145,27.0,41.0,24,3,0,112.5,13.5,1.5,0,0,0,0,15.0,0.0
1146,27.0,52.0,24,3,0,112.5,13.5,1.5,0,0,0,0,15.0,0.0
1147,27.0,28.0,23,3,0,117.39,13.5,1.5,0,0,0,0,15.0,0.0
1148,27.0,24.0,18,3,0,150.0,13.5,1.5,0,0,0,0,15.0,0.0
1149,27.0,43.0,24,3,0,112.5,13.5,1.5,0,0,0,0,15.0,0.0
1150,26.0,49.0,24,3,0,108.33,13.0,1.5,0,0,0,0,14.5,0.0
1151,26.0,35.0,22,3,0,118.18,13.0,1.5,0,0,0,0,14.5,0.0
1152,26.0,48.0,26,3,0,100.0,13.0,1.5,0,0,0,0,14.5,0.0
1153,26.0,35.0,22,3,0,118.18,13.0,1.5,0,0,0,0,14.5,0.0
1154,26.0,34.0,27,3,0,96.29,13.0,1.5,0,0,0,0,14.5,0.0
1155,25.0,43.0,24,3,0,104.16,12.5,1.5,0,0,0,0,14.0,0.0
1156,25.0,33.0,20,3,0,125.0,12.5,1.5,0,0,0,0,14.0,0.0
1157,25.0,54.0,24,3,0,104.16,12.5,1.5,0,0,0,0,14.0,0.0
1158,25.0,44.0,26,3,0,96.15,12.5,1.5,0,0,0,0,14.0,0.0
1159,25.0,30.0,18,3,0,138.88,12.5,1.5,0,0,0,0,14.0,0.0
1160,25.0,44.0,32,3,0,78.12,12.5,1.5,0,0,0,0,14.0,0.0
1161,25.0,36.0,20,3,0,125.0,12.5,1.5,0,0,0,0,14.0,0.0
1162,25.0,45.0,24,3,0,104.16,12.5,1.5,0,0,0,0,14.0,0.0
1163,25.0,43.0,22,3,0,113.63,12.5,1.5,0,0,0,0,14.0,0.0
1164,24.0,37.0,23,3,0,104.34,12.0,1.5,0,0,0,0,13.5,0.0
1165,24.0,28.0,19,3,0,126.31,12.0,1.5,0,0,0,0,13.5,0.0
1166,24.0,40.0,21,3,0,114.28,12.0,1.5,0,0,0,0,13.5,0.0
1167,24.0,35.0,27,3,0,88.88,12.0,1.5,0,0,0,0,13.5,0.0
1168,24.0,22.0,20,3,0,120.0,12.0,1.5,0,0,0,0,13.5,0.0
1169,24.0,37.0,23,3,0,104.34,12.0,1.5,0,0,0,0,13.5,0.0
1170,24.0,24.0,20,3,0,120.0,12.0,1.5,0,0,0,0,13.5,0.0
1171,23.0,26.0,15,3,0,153.33,11.5,1.5,0,0,0,0,13.0,0.0
1172,23.0,40.0,23,3,0,100.0,11.5,1.5,0,0,0,0,13.0,0.0
1173,23.0,16.0,9,3,0,255.55,11.5,1.5,0,0,0,0,13.0,0.0
1174,23.0,26.0,20,3,0,115.0,11.5,1.5,0,0,0,0,13.0,0.0
1175,23.0,29.0,18,3,0,127.77,11.5,1.5,0,0,0,0,13.0,0.0
1176,23.0,35.0,21,3,0,109.52,11.5,1.5,0,0,0,0,13.0,0.0
1177,23.0,18.0,15,3,0,153.33,11.5,1.5,0,0,0,0,13.0,0.0
1178,22.0,25.0,18,3,0,122.22,11.0,1.5,0,0,0,0,12.5,0.0
1179,22.0,27.0,20,3,0,110.0,11.0,1.5,0,0,0,0,12.5,0.0
1180,22.0,33.0,19,3,0,115.78,11.0,1.5,0,0,0,0,12.5,0.0
1181,22.0,23.0,13,3,0,169.23,11.0,1.5,0,0,0,0,12.5,0.0
1182,22.0,22.0,17,3,0,129.41,11.0,1.5,0,0,0,0,12.5,0.0
1183,22.0,18.0,16,3,0,137.5,11.0,1.5,0,0,0,0,12.5,0.0
1184,22.0,19.0,16,3,0,137.5,11.0,1.5,0,0,0,0,12.5,0.0
1185,22.0,19.0,17,3,0,129.41,11.0,1.5,0,0,0,0,12.5,0.0
1186,22.0,32.0,20,3,0,110.0,11.0,1.5,0,0,0,0,12.5,0.0
1187,21.0,26.0,18,3,0,116.66,10.5,1.5,0,0,0,0,12.0,0.0
1188,21.0,36.0,17,3,0,123.52,10.5,1.5,0,0,0,0,12.0,0.0
1189,21.0,26.0,24,3,0,87.5,10.5,1.5,0,0,0,0,12.0,0.0
1190,21.0,29.0,26,3,0,80.76,10.5,1.5,0,0,0,0,12.0,0.0
1191,21.0,17.0,13,3,0,161.53,10.5,1.5,0,0,0,0,12.0,0.0
1192,21.0,23.0,21,3,0,100.0,10.5,1.5,0,0,0,0,12.0,0.0
1193,21.0,37.0,21,3,0,100.0,10.5,1.5,0,0,0,0,12.0,0.0
1194,21.0,30.0,18,3,0,116.66,10.5,1.5,0,0,0,0,12.0,0.0
1195,21.0,45.0,26,3,0,80.76,10.5,1.5,0,0,0,0,12.0,0.0
1196,21.0,22.0,19,3,0,110.52,10.5,1.5,0,0,0,0,12.0,0.0
1197,21.0,17.0,14,3,0,150.0,10.5,1.5,0,0,0,0,12.0,0.0
1198,21.0,40.0,21,3,0,100.0,10.5,1.5,0,0,0,0,12.0,0.0
1199,21.0,20.0,17,3,0,123.52,10.5,1.5,0,0,0,0,12.0,0.0
1200,21.0,26.0,14,3,0,150.0,10.5,1.5,0,0,0,0,12.0,0.0
1201,20.0,26.0,17,3,0,117.64,10.0,1.5,0,0,0,0,11.5,0.0
1202,20.0,19.0,18,3,0,111.11,10.0,1.5,0,0,0,0,11.5,0.0
1203,20.0,21.0,12,3,0,166.66,10.0,1.5,0,0,0,0,11.5,0.0
1204,20.0,37.0,23,3,0,86.95,10.0,1.5,0,0,0,0,11.5,0.0
1205,20.0,24.0,20,3,0,100.0,10.0,1.5,0,0,0,0,11.5,0.0
1206,20.0,14.0,12,3,0,166.66,10.0,1.5,0,0,0,0,11.5,0.0
1207,20.0,27.0,21,3,0,95.23,10.0,1.5,0,0,0,0,11.5,0.0
1208,20.0,25.0,11,3,0,181.81,10.0,1.5,0,0,0,0,11.5,0.0
1209,20.0,30.0,17,3,0,117.64,10.0,1.5,0,0,0,0,11.5,0.0
1210,20.0,30.0,17,3,0,117.64,10.0,1.5,0,0,0,0,11.5,0.0
1211,20.0,26.0,17,3,0,117.64,10.0,1.5,0,0,0,0,11.5,0.0
1212,19.0,15.0,19,3,0,100.0,9.5,1.5,0,0,0,0,11.0,0.0
1213,19.0,27.0,16,3,0,118.75,9.5,1.5,0,0,0,0,11.0,0.0
1214,19.0,45.0,25,3,0,76.0,9.5,1.5,0,0,0,0,11.0,0.0
1215,19.0,25.0,10,3,0,190.0,9.5,1.5,0,0,0,0,11.0,0.0
1216,19.0,32.0,19,3,0,100.0,9.5,1.5,0,0,0,0,11.0,0.0
1217,19.0,23.0,18,3,0,105.55,9.5,1.5,0,0,0,0,11.0,0.0
1218,19.0,35.0,18,3,0,105.55,9.5,1.5,0,0,0,0,11.0,0.0
1219,19.0,17.0,10,3,0,190.0,9.5,1.5,0,0,0,0,11.0,0.0
1220,19.0,20.0,20,3,0,95.0,9.5,1.5,0,0,0,0,11.0,0.0
1221,19.0,26.0,18,3,0,105.55,9.5,1.5,0,0,0,0,11.0,0.0
1222,19.0,19.0,11,3,0,172.72,9.5,1.5,0,0,0,0,11.0,0.0
1223,19.0,13.0,11,3,0,172.72,9.5,1.5,0,0,0,0,11.0,0.0
1224,19.0,24.0,13,3,0,146.15,9.5,1.5,0,0,0,0,11.0,0.0
1225,19.0,15.0,12,3,0,158.33,9.5,1.5,0,0,0,0,11.0,0.0
1226,18.0,14.0,14,3,0,128.57,9.0,1.5,0,0,0,0,10.5,0.0
1227,18.0,18.0,13,3,0,138.46,9.0,1.5,0,0,0,0,10.5,0.0
1228,18.0,20.0,10,3,0,180.0,9.0,1.5,0,0,0,0,10.5,0.0
1229,18.0,28.0,20,3,0,90.0,9.0,1.5,0,0,0,0,10.5,0.0
1230,18.0,32.0,18,3,0,100.0,9.0,1.5,0,0,0,0,10.5,0.0
1231,18.0,20.0,16,3,0,112.5,9.0,1.5,0,0,0,0,10.5,0.0
1232,18.0,20.0,17,3,0,105.88,9.0,1.5,0,0,0,0,10.5,0.0
1233,18.0,19.0,21,3,0,85.71,9.0,1.5,0,0,0,0,10.5,0.0
1234,17.0,17.0,15,3,0,113.33,8.5,1.5,0,0,0,0,10.0,0.0
1235,17.0,37.0,24,3,0,70.83,8.5,1.5,0,0,0,0,10.0,0.0
1236,17.0,28.0,19,3,0,89.47,8.5,1.5,0,0,0,0,10.0,0.0
1237,17.0,24.0,17,3,0,100.0,8.5,1.5,0,0,0,0,10.0,0.0
1238,17.0,22.0,16,3,0,106.25,8.5,1.5,0,0,0,0,10.0,0.0
1239,17.0,17.0,14,3,0,121.42,8.5,1.5,0,0,0,0,10.0,0.0
1240,17.0,8.0,8,3,0,212.5,8.5,1.5,0,0,0,0,10.0,0.0
1241,17.0,26.0,17,3,0,100.0,8.5,1.5,0,0,0,0,10.0,0.0
1242,17.0,16.0,11,3,0,154.54,8.5,1.5,0,0,0,0,10.0,0.0
1243,17.0,13.0,12,3,0,141.66,8.5,1.5,0,0,0,0,10.0,0.0
1244,17.0,27.0,8,3,0,212.5,8.5,1.5,0,0,0,0,10.0,0.0
1245,17.0,19.0,13,3,0,130.76,8.5,1.5,0,0,0,0,10.0,0.0
1246,17.0,16.0,13,3,0,130.76,8.5,1.5,0,0,0,0,10.0,0.0
1247,16.0,22.0,12,3,0,133.33,8.0,1.5,0,0,0,0,9.5,0.0
1248,16.0,28.0,9,3,0,177.77,8.0,1.5,0,0,0,0,9.5,0.0
1249,16.0,35.0,14,3,0,114.28,8.0,1.5,0,0,0,0,9.5,0.0
1250,16.0,20.0,11,3,0,145.45,8.0,1.5,0,0,0,0,9.5,0.0
1251,16.0,21.0,13,3,0,123.07,8.0,1.5,0,0,0,0,9.5,0.0
1252,16.0,10.0,8,3,0,200.0,8.0,1.5,0,0,0,0,9.5,0.0
1253,16.0,18.0,12,3,0,133.33,8.0,1.5,0,0,0,0,9.5,0.0
1254,16.0,23.0,10,3,0,160.0,8.0,1.5,0,0,0,0,9.5,0.0
1255,16.0,20.0,10,3,0,160.0,8.0,1.5,0,0,0,0,9.5,0.0
1256,16.0,23.0,21,3,0,76.19,8.0,1.5,0,0,0,0,9.5,0.0
1257,16.0,21.0,6,3,0,266.66,8.0,1.5,0,0,0,0,9.5,0.0
1258,16.0,14.0,9,3,0,177.77,8.0,1.5,0,0,0,0,9.5,0.0
1259,16.0,11.0,11,3,0,145.45,8.0,1.5,0,0,0,0,9.5,0.0
1260,15.0,17.0,14,3,0,107.14,7.5,1.5,0,0,0,0,9.0,0.0
1261,15.0,14.0,12,3,0,125.0,7.5,1.5,0,0,0,0,9.0,0.0
1262,15.0,25.0,18,3,0,83.33,7.5,1.5,0,0,0,0,9.0,0.0
1263,15.0,19.0,10,3,0,150.0,7.5,1.5,0,0,0,0,9.0,0.0
1264,15.0,27.0,13,3,0,115.38,7.5,1.5,0,0,0,0,9.0,0.0
1265,15.0,22.0,13,3,0,115.38,7.5,1.5,0,0,0,0,9.0,0.0
1266,15.0,21.0,18,3,0,83.33,7.5,1.5,0,0,0,0,9.0,0.0
1267,15.0,22.0,16,3,0,93.75,7.5,1.5,0,0,0,0,9.0,0.0
1268,15.0,22.0,14,3,0,107.14,7.5,1.5,0,0,0,0,9.0,0.0
1269,15.0,25.0,15,3,0,100.0,7.5,1.5,0,0,0,0,9.0,0.0
1270,15.0,13.0,14,3,0,107.14,7.5,1.5,0,0,0,0,9.0,0.0
1271,15.0,23.0,12,3,0,125.0,7.5,1.5,0,0,0,0,9.0,0.0
1272,15.0,14.0,14,3,0,107.14,7.5,1.5,0,0,0,0,9.0,0.0
1273,15.0,16.0,9,3,0,166.66,7.5,1.5,0,0,0,0,9.0,0.0
1274,15.0,22.0,17,3,0,88.23,7.5,1.5,0,0,0,0,9.0,0.0
1275,15.0,10.0,8,3,0,187.5,7.5,1.5,0,0,0,0,9.0,0.0
1276,14.0,17.0,12,3,0,116.66,7.0,1.5,0,0,0,0,8.5,0.0
1277,14.0,6.0,6,3,0,233.33,7.0,1.5,0,0,0,0,8.5,0.0
1278,14.0,12.0,8,3,0,175.0,7.0,1.5,0,0,0,0,8.5,0.0
1279,14.0,10.0,8,3,0,175.0,7.0,1.5,0,0,0,0,8.5,0.0
1280,14.0,12.0,12,3,0,116.66,7.0,1.5,0,0,0,0,8.5,0.0
1281,14.0,12.0,11,3,0,127.27,7.0,1.5,0,0,0,0,8.5,0.0
1282,14.0,14.0,8,3,0,175.0,7.0,1.5,0,0,0,0,8.5,0.0
1283,14.0,13.0,6,3,0,233.33,7.0,1.5,0,0,0,0,8.5,0.0
1284,14.0,26.0,15,3,0,93.33,7.0,1.5,0,0,0,0,8.5,0.0
1285,14.0,24.0,13,3,0,107.69,7.0,1.5,0,0,0,0,8.5,0.0
1286,14.0,14.0,8,3,0,175.0,7.0,1.5,0,0,0,0,8.5,0.0
1287,14.0,15.0,8,3,0,175.0,7.0,1.5,0,0,0,0,8.5,0.0
1288,14.0,17.0,10,3,0,140.0,7.0,1.5,0,0,0,0,8.5,0.0
1289,14.0,12.0,12,3,0,116.66,7.0,1.5,0,0,0,0,8.5,0.0
1290,14.0,10.0,9,3,0,155.55,7.0,1.5,0,0,0,0,8.5,0.0
1291,14.0,14.0,11,3,0,127.27,7.0,1.5,0,0,0,0,8.5,0.0
1292,14.0,13.0,9,3,0,155.55,7.0,1.5,0,0,0,0,8.5,0.0
1293,13.0,13.0,15,3,0,86.66,6.5,1.5,0,0,0,0,8.0,0.0
1294,13.0,7.0,9,3,0,144.44,6.5,1.5,0,0,0,0,8.0,0.0
1295,13.0,8.0,5,3,0,260.0,6.5,1.5,0,0,0,0,8.0,0.0
1296,12.0,9.0,3,3,0,400.0,6.0,1.5,0,0,0,0,7.5,2.0
1297,12.0,10.0,10,3,0,120.0,6.0,1.5,0,0,0,0,7.5,0.0
1298,12.0,10.0,7,3,0,171.42,6.0,1.5,0,0,0,0,7.5,0.0
1299,12.0,8.0,5,3,0,240.0,6.0,1.5,0,0,0,0,7.5,0.0
1300,12.0,17.0,12,3,0,100.0,6.0,1.5,0,0,0,0,7.5,0.0
1301,12.0,10.0,10,3,0,120.0,6.0,1.5,0,0,0,0,7.5,0.0
1302,89.0,64.0,44,2,9,202.27,44.5,1.0,9,4,0,0,58.5,1.0
1303,66.0,33.0,27,2,8,244.44,33.0,1.0,8,4,0,0,46.0,1.0
1304,72.0,77.0,44,2,7,163.63,36.0,1.0,7,4,0,0,48.0,1.0
1305,68.0,80.0,35,2,6,194.28,34.0,1.0,6,4,0,0,45.0,1.0
1306,51.0,24.0,17,2,6,300.0,25.5,1.0,6,4,0,0,36.5,0.0
1307,64.0,77.0,46,2,5,139.13,32.0,1.0,5,4,0,0,42.0,0.0
1308,54.0,47.0,29,2,5,186.2,27.0,1.0,5,4,0,0,37.0,0.0
1309,47.0,29.0,21,2,5,223.8,23.5,1.0,5,0,0,0,29.5,0.0
1310,58.0,52.0,35,2,4,165.71,29.0,1.0,4,4,0,0,38.0,0.0
1311,47.0,50.0,41,2,4,114.63,23.5,1.0,4,0,0,0,28.5,0.0
1312,45.0,42.0,29,2,4,155.17,22.5,1.0,4,0,0,0,27.5,0.0
1313,44.0,40.0,20,2,4,220.0,22.0,1.0,4,0,0,0,27.0,0.0
1314,41.0,30.0,24,2,4,170.83,20.5,1.0,4,0,0,0,25.5,0.0
1315,39.0,25.0,16,2,4,243.75,19.5,1.0,4,0,0,0,24.5,0.0
1316,38.0,26.0,16,2,4,237.5,19.0,1.0,4,0,0,0,24.0,0.0
1317,50.0,58.0,32,2,3,156.25,25.0,1.0,3,4,0,0,33.0,0.0
1318,48.0,59.0,43,2,3,111.62,24.0,1.0,3,0,0,0,28.0,0.0
1319,48.0,53.0,32,2,3,150.0,24.0,1.0,3,0,0,0,28.0,0.0
1320,48.0,75.0,42,2,3,114.28,24.0,1.0,3,0,0,0,28.0,0.0
1321,48.0,50.0,30,2,3,160.0,24.0,1.0,3,0,0,0,28.0,0.0
1322,47.0,72.0,39,2,3,120.51,23.5,1.0,3,0,0,0,27.5,0.0
1323,46.0,29.0,29,2,3,158.62,23.0,1.0,3,0,0,0,27.0,0.0
1324,46.0,39.0,33,2,3,139.39,23.0,1.0,3,0,0,0,27.0,0.0
1325,46.0,108.0,37,2,3,124.32,23.0,1.0,3,0,0,0,27.0,5.0
1326,45.0,35.0,24,2,3,187.5,22.5,1.0,3,0,0,0,26.5,0.0
1327,41.0,36.0,23,2,3,178.26,20.5,1.0,3,0,0,0,24.5,0.0
1328,41.0,66.0,43,2,3,95.34,20.5,1.0,3,0,0,0,24.5,0.0
1329,41.0,38.0,24,2,3,170.83,20.5,1.0,3,0,0,0,24.5,0.0
1330,40.0,23.0,20,2,3,200.0,20.0,1.0,3,0,0,0,24.0,0.0
1331,40.0,39.0,24,2,3,166.66,20.0,1.0,3,0,0,0,24.0,0.0
1332,39.0,45.0,26,2,3,150.0,19.5,1.0,3,0,0,0,23.5,0.0
1333,39.0,38.0,19,2,3,205.26,19.5,1.0,3,0,0,0,23.5,0.0
1334,39.0,32.0,23,2,3,169.56,19.5,1.0,3,0,0,0,23.5,0.0
1335,36.0,23.0,16,2,3,225.0,18.0,1.0,3,0,0,0,22.0,0.0
1336,36.0,39.0,18,2,3,200.0,18.0,1.0,3,0,0,0,22.0,0.0
1337,35.0,27.0,21,2,3,166.66,17.5,1.0,3,0,0,0,21.5,0.0
1338,34.0,35.0,24,2,3,141.66,17.0,1.0,3,0,0,0,21.0,0.0
1339,34.0,28.0,16,2,3,212.5,17.0,1.0,3,0,0,0,21.0,0.0
1340,34.0,37.0,20,2,3,170.0,17.0,1.0,3,0,0,0,21.0,0.0
1341,34.0,12.0,11,2,3,309.09,17.0,1.0,3,0,0,0,21.0,0.0
1342,33.0,26.0,14,2,3,235.71,16.5,1.0,3,0,0,0,20.5,0.0
1343,33.0,25.0,19,2,3,173.68,16.5,1.0,3,0,0,0,20.5,0.0
1344,32.0,18.0,18,2,3,177.77,16.0,1.0,3,0,0,0,20.0,0.0
1345,32.0,30.0,21,2,3,152.38,16.0,1.0,3,0,0,0,20.0,0.0
1346,29.0,26.0,20,2,3,145.0,14.5,1.0,3,0,0,0,18.5,0.0
1347,28.0,8.0,7,2,3,400.0,14.0,1.0,3,0,0,0,18.0,2.0
1348,58.0,66.0,47,2,2,123.4,29.0,1.0,2,4,0,0,36.0,0.0
1349,52.0,65.0,45,2,2,115.55,26.0,1.0,2,4,0,0,33.0,0.0
1350,51.0,93.0,50,2,2,102.0,25.5,1.0,2,4,0,0,32.5,5.0
1351,48.0,41.0,26,2,2,184.61,24.0,1.0,2,0,0,0,27.0,0.0
1352,44.0,72.0,47,2,2,93.61,22.0,1.0,2,0,0,0,25.0,0.0
1353,41.0,58.0,43,2,2,95.34,20.5,1.0,2,0,0,0,23.5,0.0
1354,41.0,38.0,27,2,2,151.85,20.5,1.0,2,0,0,0,23.5,0.0
1355,41.0,70.0,33,2,2,124.24,20.5,1.0,2,0,0,0,23.5,0.0
1356,40.0,59.0,33,2,2,121.21,20.0,1.0,2,0,0,0,23.0,0.0
1357,39.0,43.0,32,2,2,121.87,19.5,1.0,2,0,0,0,22.5,0.0
1358,38.0,34.0,26,2,2,146.15,19.0,1.0,2,0,0,0,22.0,0.0
1359,37.0,31.0,28,2,2,132.14,18.5,1.0,2,0,0,0,21.5,0.0
1360,37.0,41.0,24,2,2,154.16,18.5,1.0,2,0,0,0,21.5,0.0
1361,37.0,57.0,35,2,2,105.71,18.5,1.0,2,0,0,0,21.5,0.0
1362,36.0,28.0,23,2,2,156.52,18.0,1.0,2,0,0,0,21.0,0.0
1363,36.0,30.0,27,2,2,133.33,18.0,1.0,2,0,0,0,21.0,0.0
1364,34.0,38.0,17,2,2,200.0,17.0,1.0,2,0,0,0,20.0,0.0
1365,34.0,27.0,21,2,2,161.9,17.0,1.0,2,0,0,0,20.0,0.0
1366,34.0,61.0,29,2,2,117.24,17.0,1.0,2,0,0,0,20.0,0.0
1367,33.0,34.0,26,2,2,126.92,16.5,1.0,2,0,0,0,19.5,0.0
1368,33.0,48.0,27,2,2,122.22,16.5,1.0,2,0,0,0,19.5,0.0
1369,32.0,34.0,24,2,2,133.33,16.0,1.0,2,0,0,0,19.0,0.0
1370,32.0,45.0,22,2,2,145.45,16.0,1.0,2,0,0,0,19.0,0.0
1371,32.0,22.0,13,2,2,246.15,16.0,1.0,2,0,0,0,19.0,0.0
1372,32.0,29.0,17,2,2,188.23,16.0,1.0,2,0,0,0,19.0,0.0
1373,32.0,25.0,19,2,2,168.42,16.0,1.0,2,0,0,0,19.0,0.0
1374,32.0,32.0,19,2,2,168.42,16.0,1.0,2,0,0,0,19.0,0.0
1375,32.0,25.0,19,2,2,168.42,16.0,1.0,2,0,0,0,19.0,0.0
1376,31.0,29.0,21,2,2,147.61,15.5,1.0,2,0,0,0,18.5,0.0
1377,30.0,32.0,19,2,2,157.89,15.0,1.0,2,0,0,0,18.0,0.0
1378,30.0,28.0,18,2,2,166.66,15.0,1.0,2,0,0,0,18.0,0.0
1379,30.0,33.0,16,2,2,187.5,15.0,1.0,2,0,0,0,18.0,0.0
1380,29.0,22.0,18,2,2,161.11,14.5,1.0,2,0,0,0,17.5,0.0
1381,28.0,27.0,23,2,2,121.73,14.0,1.0,2,0,0,0,17.0,0.0
1382,28.0,24.0,15,2,2,186.66,14.0,1.0,2,0,0,0,17.0,0.0
1383,28.0,54.0,26,2,2,107.69,14.0,1.0,2,0,0,0,17.0,0.0
1384,28.0,41.0,23,2,2,121.73,14.0,1.0,2,0,0,0,17.0,0.0
1385,28.0,32.0,18,2,2,155.55,14.0,1.0,2,0,0,0,17.0,0.0
1386,28.0,26.0,14,2,2,200.0,14.0,1.0,2,0,0,0,17.0,0.0
1387,28.0,29.0,19,2,2,147.36,14.0,1.0,2,0,0,0,17.0,0.0
1388,27.0,32.0,20,2,2,135.0,13.5,1.0,2,0,0,0,16.5,0.0
1389,27.0,18.0,11,2,2,245.45,13.5,1.0,2,0,0,0,16.5,0.0
1390,26.0,39.0,24,2,2,108.33,13.0,1.0,2,0,0,0,16.0,0.0
1391,26.0,27.0,16,2,2,162.5,13.0,1.0,2,0,0,0,16.0,0.0
1392,25.0,24.0,11,2,2,227.27,12.5,1.0,2,0,0,0,15.5,0.0
1393,25.0,18.0,16,2,2,156.25,12.5,1.0,2,0,0,0,15.5,0.0
1394,25.0,24.0,13,2,2,192.3,12.5,1.0,2,0,0,0,15.5,0.0
1395,25.0,27.0,17,2,2,147.05,12.5,1.0,2,0,0,0,15.5,0.0
1396,25.0,16.0,12,2,2,208.33,12.5,1.0,2,0,0,0,15.5,0.0
1397,24.0,16.0,9,2,2,266.66,12.0,1.0,2,0,0,0,15.0,0.0
1398,24.0,7.0,8,2,2,300.0,12.0,1.0,2,0,0,0,15.0,0.0
1399,24.0,22.0,10,2,2,240.0,12.0,1.0,2,0,0,0,15.0,0.0
1400,23.0,15.0,17,2,2,135.29,11.5,1.0,2,0,0,0,14.5,0.0
