,Unnamed: 0,Unnamed: 0.1,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
0,0,0,WPUJC Vaas,3.0,1,22,2,7.33,12,2,2,0,0,20,4,0,0,4,28
1,1,1,RP Singh,4.0,0,35,1,8.75,12,3,2,3,0,10,0,0,0,0,10
2,2,2,Jaskaran Singh,4.0,0,35,1,8.75,10,3,2,1,0,10,0,0,0,0,10
3,3,3,PP Ojha,4.0,0,19,0,4.75,12,2,0,0,0,0,0,0,2,0,2
4,4,4,A Symonds,4.0,0,26,0,6.5,8,0,1,2,0,0,0,0,0,0,0
5,5,5,TL Suman,1.0,0,16,0,16.0,1,1,1,0,1,0,0,0,-3,0,-3
6,6,0,CK Langeveldt,4.0,0,26,2,6.5,11,1,1,3,0,20,0,0,0,0,20
7,7,1,I Sharma,4.0,0,31,1,7.75,9,4,0,1,1,10,0,0,0,0,10
8,8,2,LR Shukla,3.0,0,30,1,10.0,5,1,2,0,0,10,0,0,-2,0,8
9,9,3,M Kartik,3.0,0,17,1,5.66,9,2,0,0,0,10,0,0,1,0,11
10,10,4,AD Mathews,4.0,0,27,1,6.75,9,3,0,1,1,10,0,0,0,0,10
11,11,5,BJ Hodge,2.0,0,14,1,7.0,4,0,1,0,0,10,0,0,0,0,10
12,12,0,AD Mascarenhas,4.0,0,34,2,8.5,7,5,0,0,0,20,0,0,0,0,20
13,13,1,SW Tait,4.0,0,46,1,11.5,10,7,0,6,0,10,0,0,-3,0,7
14,14,2,Kamran Khan,1.0,0,10,0,10.0,3,0,1,0,0,0,0,0,-2,0,-2
15,15,3,A Uniyal,4.0,0,41,2,10.25,6,4,1,2,0,20,0,0,-2,0,18
16,16,4,SK Warne,3.0,0,29,0,9.66,5,3,1,1,0,0,0,0,-1,0,-1
17,17,5,AA Jhunjhunwala,2.0,0,27,0,13.5,3,4,1,0,0,0,0,0,-3,0,-3
18,18,6,YK Pathan,2.0,0,22,0,11.0,2,0,2,0,0,0,0,0,-3,0,-3
19,19,0,Z Khan,4.0,0,27,0,6.75,9,3,0,1,0,0,0,0,0,0,0
20,20,1,R McLaren,4.0,0,43,0,10.75,7,6,1,2,0,0,0,0,-2,0,-2
21,21,2,SL Malinga,4.0,0,22,2,5.5,9,1,0,1,0,20,0,0,1,0,21
22,22,3,AG Murtaza,4.0,0,46,1,11.5,7,2,4,0,0,10,0,0,-3,0,7
23,23,4,R Sathish,3.0,0,51,1,17.0,3,5,4,1,0,10,0,0,-3,0,7
24,24,5,ST Jayasuriya,1.0,0,19,0,19.0,0,1,2,0,0,0,0,0,-3,0,-3
25,25,0,DP Nannes,4.0,0,12,2,3.0,18,1,0,2,0,20,0,0,3,0,23
26,26,1,MF Maharoof,4.0,0,37,2,9.25,11,2,2,2,0,20,0,0,-1,0,19
27,27,2,PJ Sangwan,4.0,0,32,1,8.0,11,5,0,0,0,10,0,0,0,0,10
28,28,3,A Mishra,4.0,0,23,1,5.75,10,3,0,0,0,10,0,0,1,0,11
29,29,4,VY Mahesh,3.0,0,23,1,7.66,5,2,0,1,0,10,0,0,0,0,10
30,30,5,TM Dilshan,1.0,0,7,1,7.0,2,1,0,0,0,10,0,0,0,0,10
31,31,0,IK Pathan,3.5,0,27,1,7.04,12,4,0,2,0,10,0,0,0,0,10
32,32,1,S Sreesanth,4.0,0,24,2,6.0,10,3,0,0,0,20,0,0,0,0,20
33,33,2,YA Abdulla,4.0,0,30,1,7.5,10,3,1,0,0,10,0,0,0,0,10
34,34,3,PP Chawla,4.0,0,33,0,8.25,7,4,0,0,0,0,0,0,0,0,0
35,35,4,Yuvraj Singh,3.0,0,11,0,3.66,7,0,0,0,0,0,0,0,3,0,3
36,36,5,RR Powar,1.0,0,16,0,16.0,0,2,0,0,0,0,0,0,-3,0,-3
37,37,0,CK Langeveldt,4.0,0,27,1,6.75,10,4,0,0,0,10,0,0,0,0,10
38,38,1,I Sharma,4.0,0,27,0,6.75,12,2,1,1,0,0,0,0,0,0,0
39,39,2,AD Mathews,4.0,0,19,4,4.75,11,2,0,0,0,40,0,0,2,0,42
40,40,3,M Kartik,4.0,0,22,2,5.5,10,2,0,0,1,20,0,0,1,0,21
41,41,4,BJ Hodge,1.0,0,11,0,11.0,1,0,1,0,0,0,0,0,-3,0,-3
42,42,5,SC Ganguly,2.0,0,18,0,9.0,1,2,0,0,0,0,0,0,-1,0,-1
43,43,6,RS Gavaskar,1.0,0,8,0,8.0,2,1,0,0,0,0,0,0,0,0,0
44,44,0,P Kumar,4.0,0,16,1,4.0,12,1,0,0,0,10,0,0,2,0,12
45,45,1,JH Kallis,3.0,0,34,0,11.33,5,4,1,0,0,0,0,0,-3,0,-3
46,46,2,DW Steyn,4.0,0,38,0,9.5,11,4,2,2,0,0,0,0,-1,0,-1
47,47,3,A Kumble,4.0,0,19,0,4.75,14,3,0,0,0,0,0,0,2,0,2
48,48,4,RE van der Merwe,4.0,0,27,2,6.75,8,2,0,3,0,20,0,0,0,0,20
49,49,5,V Kohli,0.2,0,1,0,3.0,1,0,0,0,0,0,0,0,3,0,3
50,50,0,JA Morkel,4.0,0,41,0,10.25,8,4,2,1,0,0,0,0,-2,0,-2
51,51,1,S Tyagi,1.5,0,39,0,21.27,1,4,3,0,2,0,0,0,-3,0,-3
52,52,2,M Muralitharan,4.0,0,28,0,7.0,12,2,1,4,0,0,0,0,0,0,0
53,53,3,R Ashwin,4.0,0,26,1,6.5,10,3,0,2,0,10,0,0,0,0,10
54,54,4,L Balaji,4.0,0,36,0,9.0,9,3,2,1,0,0,0,0,-1,0,-1
55,55,5,JM Kemp,2.1,0,15,0,6.92,6,2,0,1,0,0,0,0,0,0,0
56,56,0,WPUJC Vaas,4.0,1,21,3,5.25,13,1,1,0,0,30,0,0,1,4,35
57,57,1,RG Sharma,4.0,0,27,1,6.75,10,0,2,0,0,10,0,0,0,0,10
58,58,2,RP Singh,3.0,0,30,1,10.0,6,2,2,2,0,10,0,0,-2,0,8
59,59,3,PP Ojha,4.0,0,28,2,7.0,8,0,2,0,0,20,0,0,0,0,20
60,60,4,Jaskaran Singh,1.0,0,16,0,16.0,2,3,0,1,0,0,0,0,-3,0,-3
61,61,5,TL Suman,1.0,0,8,0,8.0,1,1,0,0,0,0,0,0,0,0,0
62,62,6,A Symonds,3.0,0,29,2,9.66,4,0,3,0,0,20,0,0,-1,0,19
63,63,0,MF Maharoof,4.0,0,32,1,8.0,10,5,0,1,0,10,0,0,0,0,10
64,64,1,DP Nannes,4.0,0,27,1,6.75,11,4,0,1,0,10,0,0,0,0,10
65,65,2,A Mishra,4.0,0,34,1,8.5,9,2,2,0,0,10,0,0,0,0,10
66,66,3,PJ Sangwan,4.0,0,20,1,5.0,13,2,0,2,0,10,0,0,1,0,11
67,67,4,S Ladda,4.0,0,28,0,7.0,11,1,2,1,0,0,0,0,0,0,0
68,68,0,AD Mascarenhas,4.0,0,31,2,7.75,10,3,1,0,0,20,0,0,0,0,20
69,69,1,SW Tait,4.0,0,26,0,6.5,13,3,0,4,0,0,0,0,0,0,0
70,70,2,MM Patel,3.0,0,32,1,10.66,6,3,2,0,0,10,0,0,-2,0,8
71,71,3,A Uniyal,2.0,0,25,0,12.5,3,2,2,0,0,0,0,0,-3,0,-3
72,72,4,SK Warne,4.0,0,22,1,5.5,6,1,0,0,0,10,0,0,1,0,11
73,73,5,AA Jhunjhunwala,0.1,0,2,0,12.0,0,0,0,0,0,0,0,0,-3,0,-3
