,BATSMEN,R,M,B,4s,6s,SR
0,FduPlessis,3,4,2,0,0,150
1,MVijay,10,28,17,1,0,58.82
2,SKRaina,36,41,26,2,1,138.46
3,DJBravo,19,15,19,3,0,100
4,JAMorkel,3,14,8,0,0,37.5
5,SBadrinath,10,23,16,0,0,62.5
6,MSDhoni(c)?Çá,4,9,6,0,0,66.66
7,RAJadeja,3,15,5,0,0,60
8,RAshwin,3,4,5,0,0,60
9,SBJakati,6,11,10,0,0,60
10,DEBollinger,3,7,5,0,0,60
12,RELevi,50,34,35,6,3,142.85
13,SRTendulkar,16,48,15,1,1,106.66
14,RGSharma,0,7,3,0,0,0
15,ATRayudu,18,39,18,0,1,100
16,JECFranklin,25,32,30,2,0,83.33
17,MKPandey,0,3,5,0,0,0
18,SCGanguly(c),3,16,6,0,0,50
19,WDParnell,11,19,14,2,0,78.57
20,RVUthappa?Çá,36,52,33,3,0,109.09
21,CJFerguson,12,17,13,1,0,92.3
22,SPDSmith,39,49,32,4,0,121.87
23,MNSamuels,4,7,4,0,0,100
24,BKumar,2,3,4,0,0,50
25,MKartik,14,13,9,1,1,155.55
26,RSharma,0,3,0,0,0,-
28,RELevi,0,1,2,0,0,0
29,ATRayudu,1,6,2,0,0,50
30,RGSharma,1,9,6,0,0,16.66
31,JECFranklin,32,76,42,1,0,76.19
32,KDKarthik?Çá,32,38,32,4,1,100
33,SAYadav,0,6,4,0,0,0
34,KAPollard,8,17,11,0,0,72.72
35,HarbhajanSingh(c),16,19,15,2,0,106.66
36,SLMalinga,5,7,3,1,0,166.66
37,PPOjha,0,5,1,0,0,0
38,MMPatel,1,1,2,0,0,50
39,RDravid(c),28,42,24,3,0,116.66
40,AMRahane,98,87,66,16,1,148.48
41,ALMenaria,0,5,3,0,0,0
42,BJHodge,21,27,16,1,1,131.25
43,OAShah,14,14,8,2,0,175
44,KKCooper,11,3,3,1,1,366.66
46,ACGilchrist(c)?Çá,27,19,18,3,1,150
47,PCValthaty,13,28,15,2,0,86.66
48,SEMarsh,7,14,6,1,0,116.66
49,AMNayar,10,9,10,0,1,100
50,DJHussey,13,19,10,1,0,130
51,MandeepSingh,34,37,25,5,0,136
52,BipulSharma,18,20,13,2,0,138.46
53,PPChawla,10,11,8,0,1,125
54,JPFaulkner,11,18,9,0,0,122.22
55,PKumar,10,6,6,0,1,166.66
56,HarmeetSingh,1,1,1,0,0,100
57,ABMcDonald,30,27,19,4,2,157.89
58,CAPujara,11,18,12,1,0,91.66
59,VKohli,8,13,8,1,0,100
60,ABdeVilliers?Çá,64,64,42,6,2,152.38
61,SSTiwary,1,4,3,0,0,33.33
62,MAAgarwal,16,16,15,1,1,106.66
63,DLVettori(c),3,8,4,0,0,75
64,RVinayKumar,18,26,16,1,0,112.5
65,HVPatel,0,1,1,0,0,0
67,AJFinch,25,43,24,3,0,104.16
68,VSehwag(c),0,3,1,0,0,0
69,NVOjha?Çá,33,28,26,4,1,126.92
70,YVenugopalRao,18,28,23,1,0,78.26
71,GJMaxwell,3,6,4,0,0,75
72,YNagar,16,28,15,2,0,106.66
73,IKPathan,24,29,15,2,1,160
74,DAJBracewell,12,16,9,1,0,133.33
75,MMorkel,2,4,3,0,0,66.66
76,MVijay,2,1,5,0,0,40
77,FduPlessis,39,36,25,1,4,156
78,SKRaina,16,22,12,3,0,133.33
79,SBadrinath,25,33,20,3,0,125
80,RAJadeja,48,47,29,3,3,165.51
81,MSDhoni(c)?Çá,7,10,9,0,0,77.77
82,DJBravo,43,28,18,0,5,238.88
83,JAMorkel,2,13,3,0,0,66.66
85,DJHarris,15,17,14,3,0,107.14
86,SDhawan,21,26,18,3,0,116.66
87,PAPatel?Çá,20,26,17,3,0,117.64
88,CLWhite(c),23,22,16,2,1,143.75
89,BChipli,10,8,9,0,1,111.11
90,DTChristian,2,7,3,0,0,66.66
91,MSGony,4,6,8,0,0,50
92,DBRaviTeja,0,4,2,0,0,0
93,AnkitSharma,15,13,8,0,2,187.5
94,DWSteyn,5,9,8,0,0,62.5
95,TPSudhindra,0,1,0,0,0,-
96,JDRyder,8,23,8,0,0,100
