,BATSMEN,R,M,B,4s,6s,SR
168,SPNarine,37,29,18,4,3,205.55
169,GGambhir(c),72,83,49,11,0,146.93
170,RVUthappa?Çá,26,22,16,3,1,162.5
171,MKPandey,25,30,16,2,1,156.25
172,CHGayle,22,42,27,2,1,81.48
173,VKohli(c),62,67,47,5,2,131.91
174,ABdeVilliers,19,31,21,0,1,90.47
175,KMJadhav?Çá,9,14,8,0,0,112.5
176,PNegi,13,18,13,0,0,100
177,MandeepSingh,0,1,1,0,0,0
178,STRBinny,6,8,4,0,0,150
180,PAPatel?Çá,3,10,8,0,0,37.5
181,JCButtler,2,7,5,0,0,40
182,RGSharma(c),0,5,2,0,0,0
183,MJMcClenaghan,0,1,1,0,0,0
184,NRana,11,26,16,1,0,68.75
185,KAPollard,70,77,47,3,5,148.93
186,KHPandya,37,60,30,3,1,123.33
187,HHPandya,9,8,4,0,1,225
188,AMRahane,0,2,3,0,0,0
189,RATripathi,33,27,17,3,2,194.11
190,SPDSmith(c),43,42,28,6,1,153.57
191,BAStokes,25,28,18,2,1,138.88
192,MKTiwary,31,47,27,2,1,114.81
193,MSDhoni?Çá,5,10,8,0,0,62.5
194,AnkitSharma,25,23,15,2,1,166.66
195,SNThakur,0,4,1,0,0,0
196,LHFerguson,1,5,1,0,0,100
197,RDChahar,3,2,2,0,0,150
199,DRSmith,47,39,30,8,1,156.66
200,BBMcCullum,49,51,32,5,3,153.12
201,SKRaina(c),35,48,22,4,1,159.09
202,KDKarthik?Çá,3,7,5,0,0,60
203,AJFinch,33,28,19,3,2,173.68
204,SPNarine,6,10,9,1,0,66.66
205,GGambhir(c),15,28,16,2,0,93.75
206,RVUthappa?Çá,68,59,39,5,4,174.35
207,MKPandey,46,59,35,3,2,131.42
208,YKPathan,21,30,15,1,1,140
209,SAYadav,4,5,3,1,0,133.33
210,CdeGrandhomme,0,3,2,0,0,0
211,CRWoakes,1,2,1,0,0,100
213,DAWarner(c),26,42,30,4,0,86.66
214,SDhawan,23,28,22,4,0,104.54
215,MCHenriques,13,19,10,2,0,130
216,YuvrajSingh,26,27,16,2,2,162.5
217,DJHooda,13,12,7,1,1,185.71
218,BCJCutting,15,21,10,1,1,150
219,NVOjha?Çá,11,25,11,0,0,100
220,BipulSharma,21,12,14,2,1,150
221,SVSamson,19,33,18,2,1,105.55
222,SWBillings,55,63,40,9,0,137.5
223,KKNair,0,3,3,0,0,0
224,SSIyer,22,19,17,3,0,129.41
225,RRPant?Çá,15,16,9,3,0,166.66
226,CJAnderson,39,37,22,3,3,177.27
227,CHMorris,16,17,8,1,1,200
228,PJCummins,12,8,6,2,0,200
230,MVohra,3,6,6,0,0,50
231,HMAmla,19,22,12,4,0,158.33
232,WPSaha?Çá,7,9,5,1,0,140
233,EJGMorgan,22,32,20,3,0,110
234,DAMiller,24,41,28,1,0,85.71
235,GJMaxwell(c),0,2,2,0,0,0
236,ARPatel,44,42,29,1,3,151.72
237,MMSharma,13,24,14,1,0,92.85
238,KCCariappa,1,2,2,0,0,50
239,SandeepSharma,2,2,2,0,0,100
240,DRSmith,0,2,2,0,0,0
241,BBMcCullum,64,65,44,6,3,145.45
242,SKRaina(c),28,49,29,2,0,96.55
243,IshanKishan,11,41,14,1,0,78.57
244,KDKarthik?Çá,48,41,26,2,2,184.61
245,JJRoy,14,12,7,1,1,200
247,PAPatel?Çá,0,1,2,0,0,0
248,JCButtler,26,55,24,1,2,108.33
249,NRana,53,43,36,4,2,147.22
250,RGSharma(c),40,51,29,3,1,137.93
251,KAPollard,39,32,23,2,3,169.56
252,HHPandya,6,8,3,1,0,200
253,AMRahane,30,37,25,5,0,120
254,RATripathi,31,41,23,3,1,134.78
255,SPDSmith(c),27,43,24,3,0,112.5
256,MSDhoni?Çá,28,37,25,3,1,112
257,BAStokes,2,8,3,0,0,66.66
258,DTChristian,1,3,3,0,0,33.33
259,MKTiwary,27,19,11,3,2,245.45
260,SNThakur,0,1,1,0,0,0
261,JDUnadkat,2,14,5,0,0,40
263,VKohli(c),28,24,19,3,1,147.36
264,MandeepSingh,0,7,3,0,0,0
265,ABdeVilliers,29,39,30,1,2,96.66
266,KMJadhav?Çá,18,45,22,0,0,81.81
267,SRWatson,14,27,18,1,0,77.77
268,STRBinny,18,17,8,2,1,225
269,PNegi,10,9,7,0,1,142.85
270,AFMilne,2,9,3,0,0,66.66
271,SBadree,0,1,1,0,0,0
272,SAravind,6,7,7,0,0,85.71
273,YSChahal,1,2,2,0,0,50
274,SVSamson,39,35,25,7,0,156
275,SWBillings,21,27,17,2,0,123.52
276,KKNair,21,43,27,1,0,77.77
277,SSIyer,26,25,17,4,0,152.94
278,RRPant?Çá,38,26,16,2,4,237.5
279,ADMathews,1,11,4,0,0,25
280,CHMorris,16,14,9,3,0,177.77
281,PJCummins,3,11,4,0,0,75
282,MohammedShami,0,1,1,0,0,0
284,GGambhir(c),14,15,12,2,0,116.66
285,CdeGrandhomme,1,3,2,0,0,50
286,RVUthappa?Çá,4,6,2,1,0,200
287,MKPandey,69,95,49,4,3,140.81
288,YKPathan,59,58,39,6,2,151.28
289,SAYadav,7,16,9,0,0,77.77
290,CRWoakes,3,11,5,0,0,60
291,SPNarine,1,2,1,0,0,100
292,DAWarner(c),70,98,54,7,2,129.62
293,SDhawan,15,24,15,1,0,100
294,MCHenriques,9,19,16,0,0,56.25
295,YuvrajSingh,0,1,1,0,0,0
296,NVOjha?Çá,34,25,20,2,1,170
297,DJHooda,12,17,10,1,0,120
298,MohammadNabi,2,3,3,0,0,66.66
299,RashidKhan,6,3,1,0,1,600
301,HMAmla,0,1,1,0,0,0
302,MVohra,95,91,50,9,5,190
303,GJMaxwell(c),10,12,12,2,0,83.33
304,EJGMorgan,13,27,17,0,1,76.47
305,DAMiller,1,6,6,0,0,16.66
306,WPSaha?Çá,0,1,2,0,0,0
307,ARPatel,7,14,12,0,0,58.33
308,MMSharma,10,12,5,0,1,200
309,KCCariappa,1,9,5,0,0,20
310,ISharma,2,10,5,0,0,40
311,SandeepSharma,5,8,4,0,0,125
312,CHGayle,77,60,38,5,7,202.63
313,VKohli(c),64,74,50,7,1,128
314,TMHead,30,34,16,2,1,187.5
315,KMJadhav?Çá,38,20,16,5,2,237.5
317,DRSmith,1,5,4,0,0,25
318,BBMcCullum,72,77,44,2,7,163.63
319,SKRaina(c),23,12,8,2,2,287.5
320,AJFinch,19,29,15,2,1,126.66
321,KDKarthik?Çá,1,8,4,0,0,25
322,RAJadeja,23,34,22,2,0,104.54
323,IshanKishan,39,25,16,2,4,243.75
324,AJTye,6,12,6,0,0,100
325,BasilThampi,0,1,1,0,0,0
326,DAWarner(c),4,9,7,0,0,57.14
327,SDhawan,70,99,50,7,1,140
328,KSWilliamson,89,79,51,6,5,174.5
329,YuvrajSingh,3,11,4,0,0,75
330,MCHenriques,12,8,6,2,0,200
331,DJHooda,9,6,4,0,1,225
333,SVSamson,42,60,33,3,2,127.27
334,SWBillings,13,7,9,3,0,144.44
335,KKNair,33,33,23,5,1,143.47
336,RRPant?Çá,0,1,1,0,0,0
337,SSIyer,50,50,31,5,2,161.29
338,ADMathews,31,31,23,2,1,134.78
339,CHMorris,0,1,0,0,0,-
340,HMAmla,104,95,60,8,6,173.33
341,SEMarsh,26,25,21,5,0,123.8
342,WPSaha?Çá,11,19,15,0,0,73.33
343,GJMaxwell(c),40,30,18,4,3,222.22
344,MPStoinis,1,4,3,0,0,33.33
345,ARPatel,4,13,5,0,0,80
347,PAPatel?Çá,37,28,18,4,2,205.55
348,JCButtler,77,63,37,7,5,208.1
349,NRana,62,49,34,0,7,182.35
350,HHPandya,15,14,4,2,1,375
351,SPNarine,42,15,17,9,1,247.05
352,GGambhir(c),33,48,28,2,1,117.85
353,RVUthappa?Çá,72,64,48,8,2,150
354,MKPandey,24,38,21,2,0,114.28
355,YKPathan,11,12,4,2,0,275
356,SAYadav,1,2,1,0,0,100
357,ShakibAlHasan,1,2,1,0,0,100
359,AJFinch,31,13,15,4,2,206.66
360,BBMcCullum,33,26,17,5,1,194.11
361,SKRaina(c),84,69,46,9,4,182.6
362,KDKarthik?Çá,3,5,3,0,0,100
363,IshanKishan,4,19,11,0,0,36.36
364,DRSmith,5,5,4,1,0,125
365,RAJadeja,19,27,13,1,1,146.15
366,JPFaulkner,4,3,2,0,0,200
367,DAWarner(c),43,75,40,3,1,107.5
368,SDhawan,30,36,29,5,0,103.44
369,KSWilliamson,21,18,14,1,1,150
370,MCHenriques,55,35,28,6,2,196.42
371,DJHooda,19,15,10,2,1,190
373,AMRahane,2,12,7,0,0,28.57
374,RATripathi,59,59,41,6,3,143.9
375,SPDSmith(c),27,32,21,1,2,128.57
376,MSDhoni?Çá,61,56,34,5,3,179.41
377,BAStokes,10,14,9,1,0,111.11
378,MKTiwary,17,27,8,3,0,212.5
379,PAPatel?Çá,8,21,11,1,0,72.72
380,JCButtler,28,27,18,3,2,155.55
381,NRana,8,17,9,1,0,88.88
382,RGSharma(c),5,16,9,0,0,55.55
383,KAPollard,26,51,29,4,0,89.65
384,KHPandya,17,23,16,1,0,106.25
385,HHPandya,24,35,23,0,2,104.34
386,HarbhajanSingh,2,9,2,0,0,100
387,MJMcClenaghan,1,5,1,0,0,100
388,MGJohnson,7,2,3,1,0,233.33
390,SVSamson,9,7,6,2,0,150
391,APTare,0,3,1,0,0,0
392,KKNair,5,32,15,0,0,33.33
393,SSIyer,6,10,7,1,0,85.71
394,CJAnderson,0,3,3,0,0,0
395,RRPant?Çá,0,7,3,0,0,0
396,KRabada,44,63,39,4,1,112.82
397,CHMorris,52,67,41,5,1,126.82
398,PJCummins,4,9,5,0,0,80
399,MVohra,2,5,4,0,0,50
400,HMAmla,65,56,40,9,2,162.5
401,SEMarsh,30,32,24,4,1,125
402,GJMaxwell(c),31,19,18,1,3,172.22
403,MPStoinis,7,20,9,0,0,77.77
404,ARPatel,34,23,17,3,2,200
405,WPSaha?Çá,10,10,5,0,1,200
406,MMSharma,4,5,3,0,0,133.33
408,BBMcCullum,6,4,6,1,0,100
409,AJFinch,13,30,12,0,1,108.33
410,SKRaina(c),32,42,24,4,0,133.33
411,KDKarthik?Çá,58,69,44,6,0,131.81
412,RAJadeja,9,12,7,1,0,128.57
413,DRSmith,4,2,4,1,0,100
414,ADNath,0,2,1,0,0,0
415,AJTye,22,15,12,2,1,183.33
416,BasilThampi,11,17,10,1,0,110
417,SPNarine,34,33,17,6,1,200
418,GGambhir(c),14,22,11,1,1,127.27
419,RVUthappa?Çá,11,16,9,2,0,122.22
420,MKPandey,15,26,16,1,0,93.75
421,YKPathan,8,11,8,0,0,100
422,SAYadav,15,37,19,1,0,78.94
423,CdeGrandhomme,0,1,2,0,0,0
424,CRWoakes,18,19,21,3,0,85.71
425,NMCoulter-Nile,2,4,3,0,0,66.66
426,UTYadav,2,11,4,0,0,50
427,KuldeepYadav,4,9,7,0,0,57.14
429,CHGayle,7,37,17,1,0,41.17
430,VKohli(c),0,3,1,0,0,0
431,MandeepSingh,1,4,3,0,0,33.33
432,ABdeVilliers,8,5,6,2,0,133.33
433,KMJadhav?Çá,9,9,7,2,0,128.57
434,STRBinny,8,15,9,2,0,88.88
435,PNegi,2,6,3,0,0,66.66
436,SBadree,0,9,3,0,0,0
437,TSMills,2,11,5,0,0,40
438,SAravind,5,8,4,1,0,125
439,YSChahal,0,2,2,0,0,0
440,AMRahane,38,43,32,5,1,118.75
441,RATripathi,45,51,31,3,2,145.16
442,SPDSmith(c),17,14,12,2,0,141.66
443,MSDhoni?Çá,7,32,11,0,0,63.63
444,BAStokes,17,17,12,2,0,141.66
445,MKTiwary,22,19,13,4,0,169.23
446,DTChristian,8,13,7,1,0,114.28
447,WashingtonSundar,2,1,2,0,0,100
449,PAPatel?Çá,33,42,27,4,0,122.22
450,JCButtler,17,19,13,3,0,130.76
451,NRana,3,16,9,0,0,33.33
452,RGSharma(c),58,61,39,6,3,148.71
453,KVSharma,11,13,10,0,1,110
454,KAPollard,9,20,9,1,0,100
455,HHPandya,13,16,11,2,0,118.18
456,HarbhajanSingh,7,7,2,0,1,350
457,MJMcClenaghan,0,1,0,0,0,-
458,MGJohnson,0,1,0,0,0,-
459,AMRahane,46,57,41,4,1,112.19
460,RATripathi,38,32,23,7,0,165.21
461,SPDSmith(c),51,56,37,4,1,137.83
462,MSDhoni?Çá,23,16,11,1,2,209.09
463,MKTiwary,1,1,2,0,0,50
464,DTChristian,16,12,6,0,2,266.66
466,SPNarine,16,11,11,3,0,145.45
467,GGambhir(c),62,83,46,6,1,134.78
468,RVUthappa?Çá,87,66,47,7,6,185.1
469,DMBravo,6,8,5,1,0,120
470,MKPandey,0,3,0,0,0,-
471,CHGayle,8,22,11,1,0,72.72
472,VKohli(c),10,19,13,0,1,76.92
473,ABdeVilliers,5,29,11,0,0,45.45
474,TMHead,0,1,1,0,0,0
475,KMJadhav?Çá,31,18,18,4,1,172.22
476,MandeepSingh,8,34,14,0,0,57.14
477,PNegi,32,16,19,3,2,168.42
478,SBadree,3,5,3,0,0,100
479,SAravind,9,22,16,0,0,56.25
480,AChoudhary,15,18,12,1,0,125
481,YSChahal,1,1,2,0,0,50
483,IshanKishan,16,9,11,4,0,145.45
484,BBMcCullum,3,19,6,0,0,50
485,SKRaina(c),34,55,30,4,1,113.33
486,AJFinch,72,39,34,5,6,211.76
487,RAJadeja,2,5,4,0,0,50
488,SVSamson,60,66,38,4,3,157.89
489,KKNair,15,22,17,3,0,88.23
490,SSIyer,47,52,34,4,1,138.23
491,RRPant?Çá,6,4,4,1,0,150
492,CHMorris,11,23,10,1,0,110
493,CJAnderson,2,8,5,0,0,40
494,ARBawne,12,14,12,1,0,100
495,PJCummins,0,1,0,0,0,-
497,SPNarine,4,6,4,1,0,100
498,GGambhir(c),71,87,52,11,0,136.53
499,RVUthappa?Çá,59,57,33,5,4,178.78
500,MKPandey,5,11,4,1,0,125
501,SPJackson,12,10,5,2,0,240
502,DAWarner(c),51,44,27,4,4,188.88
503,SDhawan,77,63,48,9,1,160.41
504,KSWilliamson,54,44,27,4,2,200
505,YuvrajSingh,15,11,12,2,0,125
506,MCHenriques,7,13,6,0,0,116.66
508,MJGuptill,23,11,11,4,1,209.09
509,MVohra,3,18,6,0,0,50
510,SEMarsh,84,62,50,14,2,168
511,GJMaxwell(c),0,6,2,0,0,0
512,EJGMorgan,26,33,21,2,1,123.8
513,WPSaha?Çá,2,8,4,0,0,50
514,ARPatel,16,19,9,2,0,177.77
515,AnureetSingh,15,23,12,2,0,125
516,MMSharma,2,7,4,0,0,50
517,ISharma,5,1,2,1,0,250
518,AMRahane,6,14,8,0,0,75
519,RATripathi,37,36,28,4,1,132.14
520,SPDSmith(c),45,41,32,5,1,140.62
521,MKTiwary,44,49,35,4,1,125.71
522,MSDhoni?Çá,21,29,17,1,1,123.52
524,TMHead,2,9,5,0,0,40
525,VKohli(c),55,87,48,4,1,114.58
526,ABdeVilliers,3,11,8,0,0,37.5
527,KMJadhav?Çá,7,15,12,1,0,58.33
528,SachinBaby,2,8,4,0,0,50
529,STRBinny,1,4,7,0,0,14.28
530,PNegi,3,11,7,0,0,42.85
531,AFMilne,5,10,8,0,0,62.5
532,SBadree,2,7,7,0,0,28.57
533,SAravind,8,15,5,1,0,160
534,YSChahal,4,10,9,0,0,44.44
535,IshanKishan,48,54,35,6,2,137.14
536,BBMcCullum,6,10,4,1,0,150
537,SKRaina(c),1,9,3,0,0,33.33
538,AJFinch,0,7,3,0,0,0
539,KDKarthik?Çá,2,12,8,0,0,25
540,RAJadeja,28,23,21,2,1,133.33
541,JPFaulkner,21,38,27,2,0,77.77
542,IKPathan,2,8,3,0,0,66.66
543,AJTye,25,16,12,2,2,208.33
544,BasilThampi,2,6,4,0,0,50
545,AnkitSoni,7,4,2,0,1,350
547,PAPatel?Çá,70,62,44,9,1,159.09
548,JCButtler,9,17,7,2,0,128.57
549,NRana,19,22,16,1,1,118.75
550,RGSharma(c),5,16,13,0,0,38.46
551,KAPollard,15,18,11,2,0,136.36
552,KHPandya,29,40,20,2,1,145
553,HHPandya,4,9,5,0,0,80
554,HarbhajanSingh,0,4,1,0,0,0
555,MJMcClenaghan,1,2,1,0,0,100
556,JJBumrah,0,3,1,0,0,0
557,SLMalinga,0,4,1,0,0,0
558,SVSamson,5,14,14,1,0,35.71
559,SWBillings,0,3,2,0,0,0
560,KKNair(c),11,28,10,0,1,110
561,SSIyer,6,9,7,1,0,85.71
562,RRPant?Çá,3,16,6,0,0,50
563,CJAnderson,18,29,25,0,1,72
564,CHMorris,2,2,5,0,0,40
565,KRabada,11,25,20,1,0,55
566,AMishra,4,17,9,0,0,44.44
567,MohammedShami,2,6,4,0,0,50
568,SNadeem,0,2,1,0,0,0
570,MJGuptill,50,32,27,6,3,185.18
571,HMAmla,16,32,20,1,0,80
572,DAWarner(c),126,80,59,10,8,213.55
573,SDhawan,29,60,30,2,1,96.66
574,KSWilliamson,40,39,25,5,0,160
575,YuvrajSingh,6,19,6,0,0,100
577,SPNarine,1,5,4,0,0,25
578,GGambhir(c),11,11,11,2,0,100
579,RVUthappa?Çá,53,55,28,4,4,189.28
580,MKPandey,39,40,29,3,0,134.48
581,YKPathan,12,23,13,0,0,92.3
582,SPJackson,16,28,17,1,0,94.11
583,CdeGrandhomme,18,19,15,1,1,120
584,CRWoakes,6,5,3,1,0,200
585,VKohli(c),20,24,14,0,2,142.85
586,MandeepSingh,17,16,13,3,0,130.76
587,TMHead,12,30,15,1,0,80
588,ABdeVilliers,43,30,27,3,3,159.25
589,KMJadhav?Çá,28,49,22,2,0,127.27
590,SRWatson,3,8,5,0,0,60
591,PNegi,35,30,23,1,3,152.17
592,AFMilne,0,3,1,0,0,0
593,SAravind,0,1,0,0,0,-
595,PAPatel?Çá,0,1,1,0,0,0
596,JCButtler,33,37,21,4,1,157.14
597,NRana,27,44,28,4,0,96.42
598,RGSharma(c),56,65,37,6,1,151.35
599,KAPollard,17,14,13,2,0,130.76
600,KHPandya,2,4,2,0,0,100
601,KVSharma,9,17,8,1,0,112.5
602,HHPandya,14,18,9,0,1,155.55
603,IshanKishan,31,25,24,3,2,129.16
604,BBMcCullum,45,58,27,5,2,166.66
605,SKRaina(c),8,12,8,0,0,100
606,AJFinch,13,8,6,1,1,216.66
607,DRSmith,0,1,1,0,0,0
608,KDKarthik?Çá,29,49,26,3,0,111.53
609,RAJadeja,19,15,12,3,0,158.33
610,JPFaulkner,6,12,7,0,0,85.71
611,PJSangwan,1,2,2,0,0,50
612,BasilThampi,2,10,5,0,0,40
613,AnkitSoni,0,1,1,0,0,0
615,AMRahane,4,3,4,1,0,100
616,RATripathi,6,28,7,1,0,85.71
617,SPDSmith(c),4,2,2,1,0,200
618,MKTiwary,0,2,2,0,0,0
619,BAStokes,103,85,63,7,6,163.49
620,MSDhoni?Çá,26,45,33,1,1,78.78
621,DTChristian,17,20,8,1,1,212.5
622,DAWarner(c),30,21,21,4,1,142.85
623,SDhawan,28,38,17,4,1,164.7
624,KSWilliamson,24,31,24,1,1,100
625,YuvrajSingh,70,56,41,11,1,170.73
626,MCHenriques,25,41,18,2,0,138.88
628,SVSamson,24,19,19,2,1,126.31
629,KKNair(c),39,39,20,5,2,195
630,RRPant?Çá,34,36,20,4,1,170
631,SSIyer,33,35,25,1,2,132
632,CJAnderson,41,38,24,2,3,170.83
633,CHMorris,15,19,7,1,1,214.28
634,SPNarine,0,4,6,0,0,0
635,GGambhir(c),24,26,19,3,1,126.31
636,SPJackson?Çá,10,15,9,2,0,111.11
637,MKPandey,37,45,32,4,1,115.62
638,YKPathan,4,16,9,0,0,44.44
639,CdeGrandhomme,36,31,19,3,2,189.47
640,SAYadav,30,33,16,2,2,187.5
641,CRWoakes,1,7,3,0,0,33.33
642,NMCoulter-Nile,6,11,5,0,1,120
643,UTYadav,2,2,2,0,0,100
645,AMRahane,11,6,9,2,0,122.22
646,RATripathi,93,84,52,9,7,178.84
647,SPDSmith(c),9,15,9,0,1,100
648,MKTiwary,8,15,9,1,0,88.88
649,BAStokes,14,24,15,1,0,93.33
650,MSDhoni?Çá,5,10,9,0,0,55.55
651,DTChristian,9,14,10,0,1,90
652,WashingtonSundar,1,4,3,0,0,33.33
653,DRSmith,9,10,4,2,0,225
654,BBMcCullum,1,5,3,0,0,33.33
655,SKRaina(c),77,65,43,5,4,179.06
656,KDKarthik?Çá,65,68,34,5,5,191.17
657,AJFinch,27,30,19,4,0,142.1
658,IshanKishan,4,14,6,0,0,66.66
659,RAJadeja,18,15,7,0,2,257.14
660,JPFaulkner,1,3,3,0,0,33.33
661,PJSangwan,1,3,1,0,0,100
663,SVSamson,61,64,31,0,7,196.77
664,KKNair(c),12,14,11,2,0,109.09
665,RRPant?Çá,97,56,43,6,9,225.58
