,BATSMEN,R,M,B,4s,6s,SR
0,DAWarner(c),14,10,8,2,1,175
1,SDhawan,40,51,31,5,0,129.03
2,MCHenriques,52,67,37,3,2,140.54
3,YuvrajSingh,62,49,27,7,3,229.62
4,DJHooda,16,29,12,0,1,133.33
5,BCJCutting,16,6,6,0,2,266.66
7,CHGayle,32,30,21,2,3,152.38
8,MandeepSingh,24,26,16,5,0,150
9,TMHead,30,39,22,3,0,136.36
10,KMJadhav?Çá,31,38,16,4,1,193.75
11,SRWatson(c),22,31,17,1,1,129.41
12,SachinBaby,1,5,3,0,0,33.33
13,STRBinny,11,14,10,0,1,110
14,SAravind,0,5,2,0,0,0
15,TSMills,6,6,3,0,1,200
16,YSChahal,3,9,7,0,0,42.85
17,AChoudhary,6,4,2,0,1,300
18,PAPatel?Çá,19,20,14,4,0,135.71
19,JCButtler,38,32,19,3,3,200
20,RGSharma(c),3,9,7,0,0,42.85
21,NRana,34,41,28,1,2,121.42
22,ATRayudu,10,20,12,0,0,83.33
23,KHPandya,3,8,5,0,0,60
24,KAPollard,27,27,17,3,1,158.82
25,HHPandya,35,28,15,1,4,233.33
26,TGSouthee,7,8,3,0,1,233.33
27,MJMcClenaghan,0,1,0,0,0,-
29,AMRahane,60,48,34,6,3,176.47
30,MAAgarwal,6,15,5,1,0,120
31,SPDSmith(c),84,84,54,7,3,155.55
32,BAStokes,21,26,14,3,0,150
33,MSDhoni?Çá,12,24,12,1,0,100
34,JJRoy,14,12,12,3,0,116.66
35,BBMcCullum,35,35,24,4,2,145.83
36,SKRaina(c),68,77,51,7,0,133.33
37,AJFinch,15,9,8,0,2,187.5
38,KDKarthik?Çá,47,42,25,6,2,188
39,DRSmith,0,1,0,0,0,-
41,GGambhir(c),76,68,48,12,0,158.33
42,CALynn,93,68,41,6,8,226.82
43,AMRahane,19,30,15,1,1,126.66
44,MAAgarwal,0,4,4,0,0,0
45,SPDSmith(c),26,34,27,3,0,96.29
46,BAStokes,50,58,32,2,3,156.25
47,MSDhoni?Çá,5,17,11,0,0,45.45
48,MKTiwary,40,45,23,3,2,173.91
49,DTChristian,17,11,8,2,1,212.5
50,RBhatia,0,1,0,0,0,-
52,HMAmla,28,46,27,2,1,103.7
53,MVohra,14,10,9,1,1,155.55
54,WPSaha?Çá,14,10,9,3,0,155.55
55,ARPatel,24,28,22,1,1,109.09
56,GJMaxwell(c),44,40,20,2,4,220
57,DAMiller,30,36,27,1,2,111.11
58,CHGayle,6,17,8,1,0,75
59,SRWatson(c),24,42,24,4,0,100
60,MandeepSingh,12,10,10,3,0,120
61,KMJadhav,69,53,37,5,5,186.48
62,STRBinny,16,30,18,1,0,88.88
63,VishnuVinod?Çá,9,8,5,0,1,180
64,PNegi,10,12,8,0,1,125
65,IqbalAbdulla,5,13,7,0,0,71.42
66,TSMills,0,2,3,0,0,0
68,APTare,18,20,17,3,0,105.88
69,SWBillings,25,35,19,1,1,131.57
70,KKNair,4,4,3,1,0,133.33
71,SVSamson,13,27,12,1,0,108.33
72,RRPant?Çá,57,70,36,3,4,158.33
73,CHMorris,4,12,5,0,0,80
74,CRBrathwaite,1,8,5,0,0,20
75,PJCummins,6,11,6,1,0,100
76,AMishra,8,24,14,0,0,57.14
77,SNadeem,0,3,2,0,0,0
78,ZKhan(c),1,1,1,0,0,100
79,JJRoy,31,27,21,5,0,147.61
80,BBMcCullum,5,20,10,0,0,50
81,SKRaina(c),5,23,8,0,0,62.5
82,AJFinch,3,4,5,0,0,60
83,KDKarthik?Çá,30,54,32,2,0,93.75
84,DRSmith,37,38,27,4,1,137.03
85,DSKulkarni,1,6,2,0,0,50
86,PKumar,7,13,7,0,0,100
87,BasilThampi,13,10,8,0,1,162.5
89,DAWarner(c),76,70,45,6,4,168.88
90,SDhawan,9,12,9,0,1,100
91,MCHenriques,52,57,39,6,0,133.33
92,GGambhir(c),19,24,13,3,0,146.15
93,CALynn,32,44,24,3,1,133.33
94,RVUthappa?Çá,4,3,3,1,0,133.33
95,MKPandey,81,75,47,5,5,172.34
96,YKPathan,6,15,11,0,0,54.54
97,SAYadav,17,21,15,2,0,113.33
98,CRWoakes,9,10,8,0,0,112.5
99,SPNarine,1,10,2,0,0,50
101,PAPatel?Çá,30,37,27,3,1,111.11
102,JCButtler,28,42,22,1,2,127.27
103,NRana,50,61,29,5,3,172.41
104,RGSharma(c),2,6,6,0,0,33.33
105,KHPandya,11,11,6,2,0,183.33
106,KAPollard,17,22,17,1,1,100
107,HHPandya,29,23,11,3,2,263.63
108,HarbhajanSingh,1,8,1,0,0,100
109,SRWatson(c),1,3,4,0,0,25
110,VishnuVinod?Çá,7,15,12,1,0,58.33
111,ABdeVilliers,89,93,46,3,9,193.47
112,KMJadhav,1,9,4,0,0,25
113,MandeepSingh,28,36,34,1,1,82.35
114,STRBinny,18,34,20,1,1,90
116,MVohra,34,26,21,4,1,161.9
117,HMAmla,58,64,38,4,3,152.63
118,ARPatel,9,12,6,0,1,150
119,GJMaxwell(c),43,24,22,3,4,195.45
120,APTare,0,6,5,0,0,0
121,SWBillings,24,42,17,4,0,141.17
122,SVSamson,102,82,63,8,5,161.9
123,RRPant?Çá,31,30,22,1,2,140.9
124,CJAnderson,2,23,4,0,0,50
125,CHMorris,38,7,9,4,3,422.22
127,AMRahane(c),10,13,9,0,0,111.11
128,MAAgarwal,20,22,18,2,0,111.11
129,FduPlessis,8,18,7,1,0,114.28
130,RATripathi,10,5,5,2,0,200
131,BAStokes,2,9,5,0,0,40
132,MSDhoni?Çá,11,23,14,0,1,78.57
133,RBhatia,16,23,17,0,1,94.11
134,DLChahar,14,10,6,0,2,233.33
135,AZampa,5,11,7,1,0,71.42
136,ABDinda,7,12,7,1,0,100
137,ImranTahir,0,5,2,0,0,0
138,SDhawan,48,76,43,5,1,111.62
139,DAWarner(c),49,53,34,7,2,144.11
140,DJHooda,9,14,9,1,0,100
141,YuvrajSingh,5,16,7,1,0,71.42
142,BCJCutting,20,21,10,4,0,200
143,NVOjha?Çá,9,21,9,0,0,100
144,VShankar,1,3,2,0,0,50
145,RashidKhan,2,6,4,0,0,50
146,BKumar,4,3,3,0,0,133.33
147,ANehra,0,1,0,0,0,-
149,PAPatel?Çá,39,45,24,7,0,162.5
150,JCButtler,14,14,11,3,0,127.27
151,RGSharma(c),4,8,4,0,0,100
152,NRana,45,68,36,3,2,125
153,KAPollard,11,21,11,0,1,100
154,KHPandya,37,19,20,3,3,185
155,HHPandya,2,8,3,0,0,66.66
156,HarbhajanSingh,3,3,3,0,0,100
157,HMAmla,25,53,27,4,0,92.59
158,MVohra,28,24,19,4,1,147.36
159,MPStoinis,9,11,12,1,0,75
160,GJMaxwell(c),25,20,14,3,1,178.57
161,DAMiller,28,29,19,2,2,147.36
162,WPSaha?Çá,25,27,17,2,2,147.05
163,ARPatel,0,3,1,0,0,0
164,MMSharma,10,9,8,1,0,125
165,VRAaron,4,10,5,0,0,80
166,SandeepSharma,0,2,0,0,0,-
