,BATSMEN,R,M,B,4s,6s,SR
78,MSDhoni(c)?Çá,22,19,10,2,1,220
79,MRMarsh,7,7,11,0,0,63.63
80,RBhatia,0,7,2,0,0,0
82,AJFinch,50,39,36,7,2,138.88
83,BBMcCullum,49,58,31,3,3,158.06
84,SKRaina(c),24,35,24,1,0,100
85,DJBravo,22,26,10,3,1,220
86,RAJadeja,4,9,8,0,0,50
87,MVijay,1,8,5,0,0,20
88,MVohra,32,52,24,5,0,133.33
89,SEMarsh,13,19,16,2,0,81.25
90,DAMiller(c),9,10,9,1,0,100
91,GJMaxwell,0,3,3,0,0,0
92,ARPatel,11,28,22,1,0,50
93,WPSaha?Çá,3,8,7,0,0,42.85
94,MGJohnson,4,28,12,0,0,33.33
95,MMSharma,15,10,8,1,1,187.5
96,PSahu,18,12,12,1,1,150
97,SandeepSharma,1,5,2,0,0,50
99,QdeKock?Çá,59,65,42,9,1,140.47
100,SSIyer,3,9,5,0,0,60
101,SVSamson,33,51,32,3,1,103.12
102,PNegi,8,3,2,0,1,400
103,DAWarner(c),13,21,12,2,0,108.33
104,SDhawan,6,16,7,1,0,85.71
105,MCHenriques,6,16,9,1,0,66.66
106,EJGMorgan,51,66,43,3,2,118.6
107,DJHooda,6,15,11,0,0,54.54
108,NVOjha?Çá,37,31,28,2,2,132.14
109,AAshishReddy,13,13,8,0,1,162.5
110,KVSharma,2,8,2,0,0,100
111,BKumar,0,1,1,0,0,0
113,RVUthappa?Çá,38,61,34,3,1,111.76
114,GGambhir(c),90,90,60,13,1,150
115,ADRussell,2,4,5,0,0,40
116,MKPandey,11,23,11,0,0,100
117,RGSharma(c),7,6,9,1,0,77.77
118,PAPatel?Çá,34,61,29,2,2,117.24
119,HHPandya,2,8,6,0,0,33.33
120,JCButtler,16,23,21,3,0,76.19
121,KAPollard,1,10,3,0,0,33.33
122,ATRayudu,20,30,19,0,1,105.26
123,HarbhajanSingh,8,11,13,1,0,61.53
124,KHPandya,20,25,11,3,0,181.81
125,TGSouthee,25,15,11,1,2,227.27
126,MJMcClenaghan,0,1,0,0,0,-
128,AJFinch,67,105,54,7,1,124.07
129,BBMcCullum,6,7,4,0,1,150
130,SKRaina(c),27,32,22,3,1,122.72
131,KDKarthik?Çá,9,12,11,1,0,81.81
132,DJBravo,2,4,6,0,0,33.33
133,ADNath,12,14,11,1,0,109.09
134,JPFaulkner,7,17,8,1,0,87.5
135,PKumar,0,1,2,0,0,0
136,DSKulkarni,6,11,3,1,0,200
137,AMRahane,9,9,11,2,0,81.81
138,FduPlessis,67,95,53,8,0,126.41
139,KPPietersen,15,27,15,2,0,100
140,NLTCPerera,8,12,9,1,0,88.88
141,SPDSmith,38,34,26,5,0,146.15
142,MSDhoni(c)?Çá,1,11,2,0,0,50
143,IKPathan,2,5,2,0,0,100
144,RAshwin,1,3,2,0,0,50
146,MVijay,53,63,49,5,2,108.16
147,MVohra,51,50,33,7,0,154.54
148,SEMarsh,4,7,6,0,0,66.66
149,DAMiller(c),7,13,6,0,0,116.66
150,GJMaxwell,32,20,14,3,2,228.57
151,WPSaha?Çá,4,11,4,0,0,100
152,CHGayle,0,2,3,0,0,0
153,VKohli(c),79,88,48,7,3,164.58
154,ABdeVilliers,55,47,33,9,1,166.66
155,SRWatson,33,25,19,2,3,173.68
156,SNKhan,1,2,2,0,0,50
157,KMJadhav?Çá,9,19,11,1,0,81.81
158,DWiese,5,10,4,0,0,125
160,QdeKock?Çá,108,94,51,15,3,211.76
161,SSIyer,0,5,4,0,0,0
162,SVSamson,9,22,14,0,0,64.28
163,KKNair,54,71,42,6,1,128.57
164,JPDuminy,7,5,5,1,0,140
165,MJGuptill,2,3,4,0,0,50
166,PAPatel?Çá,10,19,12,2,0,83.33
167,ATRayudu,54,77,49,3,2,110.2
168,RGSharma(c),5,13,8,0,0,62.5
169,JCButtler,11,14,11,1,0,100
170,KHPandya,49,47,28,3,3,175
171,HHPandya,2,7,5,0,0,40
172,HarbhajanSingh,1,6,3,0,0,33.33
174,DAWarner(c),90,84,59,7,4,152.54
175,SDhawan,2,4,4,0,0,50
176,MCHenriques,20,41,22,1,1,90.9
177,EJGMorgan,11,18,12,1,0,91.66
178,DJHooda,17,18,9,2,0,188.88
179,MVijay,26,33,22,4,0,118.18
180,MVohra,8,16,12,0,0,66.66
181,SEMarsh,56,74,41,5,1,136.58
182,WPSaha?Çá,8,12,14,0,0,57.14
183,DAMiller(c),6,6,6,1,0,100
184,GJMaxwell,4,9,7,0,0,57.14
185,ARPatel,9,11,8,0,0,112.5
186,MMSharma,1,4,3,0,0,33.33
187,PSahu,1,2,1,0,0,100
188,KJAbbott,12,7,6,0,1,200
190,RVUthappa?Çá,53,40,28,9,0,189.28
191,GGambhir(c),34,50,34,3,0,100
192,MKPandey,12,21,11,1,0,109.09
193,ShakibAlHasan,11,23,15,1,0,73.33
194,SAYadav,11,21,9,2,0,122.22
195,YKPathan,12,8,6,2,0,200
196,VKohli(c),33,50,30,3,0,110
197,KLRahul?Çá,23,18,14,2,2,164.28
198,ABdeVilliers,29,35,21,3,1,138.09
199,SRWatson,5,14,10,0,0,50
200,TMHead,37,41,24,2,2,154.16
201,SNKhan,28,32,18,2,2,155.55
202,STRBinny,1,3,2,0,0,50
203,HVPatel,0,3,0,0,0,-
204,KWRichardson,1,1,1,0,0,100
206,RGSharma(c),62,66,44,4,3,140.9
207,PAPatel?Çá,5,4,6,1,0,83.33
208,ATRayudu,31,48,23,5,0,134.78
209,JCButtler,28,26,14,2,2,200
210,KAPollard,39,27,19,4,3,205.26
211,HHPandya,2,13,3,0,0,66.66
212,AJFinch,0,3,4,0,0,0
213,BBMcCullum,18,34,17,1,1,105.88
214,SKRaina(c),75,86,51,9,0,147.05
215,KDKarthik?Çá,8,11,9,1,0,88.88
216,DJBravo,8,11,12,0,0,66.66
217,RAJadeja,14,18,14,0,0,100
218,ADNath,5,13,10,0,0,50
219,DWSteyn,1,2,2,0,0,50
220,PKumar,1,2,1,0,0,100
222,DAWarner(c),74,61,48,9,0,154.16
223,SDhawan,53,61,41,5,0,129.26
224,VKohli(c),80,85,63,7,2,126.98
225,KLRahul?Çá,7,15,10,1,0,70
226,ABdeVilliers,83,68,46,6,4,180.43
227,SRWatson,1,3,1,0,0,100
228,SNKhan,2,1,1,0,0,200
230,AMRahane,60,76,46,8,0,130.43
231,FduPlessis,2,7,3,0,0,66.66
232,KPPietersen,0,2,1,0,0,0
233,SPDSmith,4,3,3,1,0,133.33
234,MSDhoni(c)?Çá,41,70,38,3,0,107.89
235,NLTCPerera,34,23,13,3,3,261.53
236,RBhatia,21,20,11,1,1,190.9
237,RAshwin,0,2,1,0,0,0
238,AnkitSharma,3,7,3,0,0,100
239,MAshwin,0,1,1,0,0,0
240,ISharma,0,2,0,0,0,-
241,QdeKock?Çá,9,9,7,2,0,128.57
242,SSIyer,19,34,20,1,1,95
243,SVSamson,60,69,48,4,2,125
244,KKNair,5,3,5,1,0,100
245,JPDuminy,49,61,31,3,2,158.06
246,PNegi,10,20,10,1,0,100
248,RGSharma(c),65,97,48,7,1,135.41
249,PAPatel?Çá,1,7,4,0,0,25
250,ATRayudu,25,30,23,4,0,108.69
251,KHPandya,36,17,17,4,2,211.76
252,JCButtler,2,9,6,0,0,33.33
253,KAPollard,19,25,18,0,1,105.55
254,HHPandya,2,8,2,0,0,100
255,HarbhajanSingh,0,1,1,0,0,0
256,TGSouthee,1,1,1,0,0,100
257,MVijay,2,10,3,0,0,66.66
258,MVohra,25,26,23,3,1,108.69
259,SEMarsh,40,49,34,3,2,117.64
260,DAMiller(c),9,13,11,1,0,81.81
261,GJMaxwell,1,2,2,0,0,50
262,NSNaik?Çá,22,44,28,1,0,78.57
263,ARPatel,36,32,17,1,3,211.76
264,RDhawan,3,3,2,0,0,150
266,DAWarner(c),59,50,31,7,3,190.32
267,SDhawan,45,69,44,4,0,102.27
268,APTare,0,1,1,0,0,0
269,EJGMorgan,25,33,20,2,1,125
270,DJHooda,5,18,5,0,0,100
271,MCHenriques,5,4,4,1,0,125
272,NVOjha?Çá,2,2,2,0,0,100
273,VKohli(c),100,88,63,11,1,158.73
274,SRWatson,6,7,6,1,0,100
275,ABdeVilliers,20,22,16,2,0,125
276,KLRahul?Çá,51,57,35,4,3,145.71
278,DRSmith,32,24,21,3,2,152.38
279,BBMcCullum,42,41,24,5,2,175
280,SKRaina(c),28,55,24,3,0,116.66
281,KDKarthik?Çá,50,62,39,3,0,128.2
282,RAJadeja,12,21,10,0,1,120
283,DJBravo,4,1,1,1,0,400
284,AMRahane,67,68,52,4,3,128.84
285,FduPlessis,4,15,9,0,0,44.44
286,SPDSmith,31,29,28,2,0,110.71
287,NLTCPerera,12,11,9,0,1,133.33
288,JAMorkel,16,15,9,0,2,177.77
289,MSDhoni(c)?Çá,23,13,12,2,1,191.66
290,RBhatia,1,8,1,0,0,100
292,RVUthappa?Çá,0,1,1,0,0,0
293,GGambhir(c),11,16,5,2,0,220
294,SAYadav,60,68,49,6,2,122.44
295,ShakibAlHasan,3,19,9,0,0,33.33
296,YKPathan,36,30,27,2,2,133.33
297,ADRussell,17,19,11,0,2,154.54
298,RSathish,10,18,8,0,1,125
299,PPChawla,8,10,5,1,0,160
300,UTYadav,7,6,2,0,1,350
301,SPNarine,0,1,0,0,0,-
302,RGSharma(c),0,1,2,0,0,0
303,PAPatel?Çá,81,96,58,10,2,139.65
304,ATRayudu,65,72,37,4,4,175.67
305,JCButtler,24,16,13,3,1,184.61
306,KAPollard,10,10,9,0,0,111.11
307,HHPandya,4,7,2,1,0,200
308,KHPandya,0,1,0,0,0,-
310,MVijay,19,13,13,2,1,146.15
311,MVohra,7,23,11,0,0,63.63
312,SEMarsh,45,52,34,3,1,132.35
313,GJMaxwell,56,55,39,5,1,143.58
314,DAMiller(c),30,29,17,1,2,176.47
315,NSNaik?Çá,1,3,3,0,0,33.33
316,ARPatel,0,4,2,0,0,0
317,MGJohnson,1,2,2,0,0,50
318,MMSharma,0,4,0,0,0,-
319,DAWarner(c),0,2,4,0,0,0
320,SDhawan,56,95,53,2,1,105.66
321,APTare,8,18,14,1,0,57.14
322,EJGMorgan,0,2,2,0,0,0
323,DJHooda,1,8,9,0,0,11.11
324,MCHenriques,1,3,4,0,0,25
325,NVOjha?Çá,18,38,21,0,1,85.71
326,BipulSharma,5,7,5,0,0,100
327,BKumar,21,8,8,3,1,262.5
328,ANehra,0,1,0,0,0,-
330,AMRahane,0,2,5,0,0,0
331,FduPlessis,30,46,21,3,2,142.85
332,SPDSmith,46,54,36,7,0,127.77
333,MSDhoni(c)?Çá,5,8,4,1,0,125
334,SSTiwary,0,1,0,0,0,-
335,DRSmith,53,46,30,5,3,176.66
336,BBMcCullum,60,52,36,6,3,166.66
337,SKRaina(c),2,13,5,0,0,40
338,KDKarthik?Çá,19,30,17,1,1,111.76
339,RAJadeja,4,12,7,0,0,57.14
340,IshanKishan,2,8,6,0,0,33.33
341,DJBravo,7,18,6,0,0,116.66
342,JPFaulkner,22,17,13,2,0,169.23
344,QdeKock?Çá,5,17,11,1,0,45.45
345,SVSamson,1,7,6,0,0,16.66
346,KKNair,9,12,7,1,0,128.57
347,JPDuminy,48,67,43,3,1,111.62
348,RRPant,20,28,17,2,0,117.64
349,CHMorris,82,52,32,4,8,256.25
350,PNegi,3,16,4,0,0,75
351,RVUthappa?Çá,36,37,20,1,2,180
352,GGambhir(c),59,65,45,6,1,131.11
353,ShakibAlHasan,6,4,4,1,0,150
354,SAYadav,21,32,17,2,0,123.52
355,ADRussell,22,19,16,3,0,137.5
356,CALynn,10,23,10,0,0,100
357,YKPathan,19,15,8,4,0,237.5
359,RGSharma(c),68,86,49,8,2,138.77
360,PAPatel?Çá,1,5,2,0,0,50
361,ATRayudu,32,25,20,5,1,160
362,KHPandya,6,9,5,1,0,120
363,JCButtler,15,19,15,2,0,100
364,KAPollard,51,24,17,2,6,300
365,AMRahane,53,62,45,5,0,117.77
366,SSTiwary,1,10,2,0,0,50
367,SPDSmith,101,77,54,8,5,187.03
368,MSDhoni(c)?Çá,30,28,18,2,2,166.66
369,NLTCPerera,3,3,2,0,0,150
371,DRSmith,63,51,37,9,1,170.27
372,BBMcCullum,43,41,22,5,2,195.45
373,SKRaina(c),34,64,28,2,0,121.42
374,KDKarthik?Çá,33,31,20,4,0,165
375,DJBravo,7,11,6,1,0,116.66
376,RAJadeja,0,1,1,0,0,0
377,JPFaulkner,9,15,5,1,0,180
378,IshanKishan,0,1,1,0,0,0
379,PKumar,0,4,0,0,0,-
380,QdeKock?Çá,1,4,3,0,0,33.33
381,SSIyer,0,1,1,0,0,0
382,SVSamson,15,19,15,2,0,100
383,KKNair,68,67,50,9,1,136
384,SWBillings,54,62,34,3,2,158.82
385,CHMorris,0,1,2,0,0,0
386,CRBrathwaite,34,14,11,3,3,309.09
387,RRPant,4,9,4,0,0,100
388,MohammedShami,0,4,1,0,0,0
390,RVUthappa?Çá,72,93,52,6,2,138.46
391,GGambhir(c),6,14,8,0,0,75
392,PPChawla,8,7,5,2,0,160
393,YKPathan,10,20,9,1,0,111.11
394,SAYadav,21,18,13,1,1,161.53
395,RSathish,6,7,7,1,0,85.71
396,ADRussell,17,17,12,2,1,141.66
397,JOHolder,0,2,1,0,0,0
398,UTYadav,2,8,3,0,0,66.66
399,SPNarine,4,4,3,0,0,133.33
400,GBHogg,0,1,0,0,0,-
401,DAWarner(c),92,76,50,9,5,184
402,SDhawan,11,15,11,2,0,100
403,KSWilliamson,50,66,38,7,0,131.57
404,MCHenriques,31,22,14,1,3,221.42
405,NVOjha?Çá,1,2,3,0,0,33.33
406,DJHooda,2,9,2,0,0,100
407,AAshishReddy,2,3,3,0,0,66.66
409,VKohli(c),14,24,17,1,0,82.35
410,KLRahul?Çá,51,47,28,6,1,182.14
411,ABdeVilliers,47,47,32,3,2,146.87
412,SRWatson,2,8,3,0,0,66.66
413,SachinBaby,27,32,16,3,1,168.75
414,KMJadhav,25,30,15,0,2,166.66
415,ParvezRasool,10,13,9,1,0,111.11
416,MVijay(c),55,62,41,6,0,134.14
417,MPStoinis,27,29,17,3,1,158.82
418,SEMarsh,1,5,3,0,0,33.33
419,GJMaxwell,0,1,1,0,0,0
420,GurkeeratSingh,0,2,3,0,0,0
421,DAMiller,31,44,27,2,0,114.81
422,WPSaha?Çá,33,31,19,4,0,173.68
423,ARPatel,0,5,2,0,0,0
424,MMSharma,1,5,2,0,0,50
425,KCCariappa,1,6,3,0,0,33.33
426,SandeepSharma,1,3,1,0,0,100
428,DRSmith,15,33,18,1,1,83.33
429,BBMcCullum,1,7,3,0,0,33.33
430,SKRaina(c),18,16,15,2,1,120
431,KDKarthik?Çá,2,10,4,0,0,50
432,RAJadeja,11,18,11,0,0,100
433,DJBravo,0,1,1,0,0,0
434,IshanKishan,27,41,24,3,0,112.5
435,JPFaulkner,32,54,27,3,0,118.51
436,PKumar,15,24,13,2,0,115.38
437,DSKulkarni,6,7,4,0,0,150
438,SKaushik,0,3,0,0,0,-
439,AMRahane,4,8,5,0,0,80
440,SSTiwary,57,95,45,4,2,126.66
441,SPDSmith,45,34,23,4,3,195.65
442,PSPHandscomb,6,32,12,0,0,50
443,MSDhoni(c)?Çá,24,38,24,2,0,100
444,NLTCPerera,12,12,9,0,1,133.33
445,RBhatia,3,2,2,0,0,150
447,RGSharma(c),85,82,60,8,3,141.66
448,PAPatel?Çá,21,17,15,4,0,140
449,ATRayudu,22,30,19,1,1,115.78
450,JCButtler,27,33,17,2,1,158.82
451,KLRahul?Çá,52,50,32,6,2,162.5
452,CHGayle,7,6,7,0,1,100
453,VKohli(c),52,66,44,4,0,118.18
454,ABdeVilliers,4,8,6,0,0,66.66
455,SRWatson,34,36,21,5,1,161.9
456,SachinBaby,16,14,8,2,1,200
457,STRBinny,16,5,4,1,2,400
458,VRAaron,0,1,0,0,0,-
460,RVUthappa?Çá,1,4,4,0,0,25
461,GGambhir(c),37,49,29,4,1,127.58
462,CALynn,15,18,12,0,1,125
463,MKPandey,8,33,12,0,0,66.66
464,YKPathan,60,54,29,6,3,206.89
465,ADRussell,39,37,24,1,4,162.5
466,SAYadav,10,9,5,2,0,200
467,DRSmith,15,14,14,3,0,107.14
468,BBMcCullum,1,10,4,0,0,25
469,AJFinch,5,7,5,1,0,100
470,SKRaina(c),24,40,20,1,1,120
471,KDKarthik?Çá,53,69,43,5,0,123.25
472,RAJadeja,36,46,26,4,1,138.46
473,JPFaulkner,7,7,6,0,0,116.66
474,IshanKishan,2,5,2,0,0,100
476,QdeKock?Çá,46,62,45,4,1,102.22
477,RRPant,69,54,40,9,2,172.5
478,SVSamson,19,22,13,1,1,146.15
479,JPDuminy,13,14,7,2,0,185.71
480,RVUthappa?Çá,70,76,49,6,2,142.85
481,GGambhir(c),54,59,45,6,1,120
482,YKPathan,19,34,16,0,1,118.75
483,ADRussell,16,17,10,1,1,160
485,MVijay(c),6,15,11,1,0,54.54
486,MPStoinis,0,2,3,0,0,0
487,MVohra,0,10,5,0,0,0
488,WPSaha?Çá,24,24,20,3,0,120
489,GJMaxwell,68,53,42,6,4,161.9
490,DAMiller,13,42,18,0,0,72.22
491,GurkeeratSingh,11,24,11,1,0,100
492,ARPatel,21,10,7,1,2,300
493,SwapnilSingh,0,3,1,0,0,0
494,MMSharma,1,3,1,0,0,100
495,SandeepSharma,1,1,1,0,0,100
496,RRPant,2,12,8,0,0,25
497,SVSamson?Çá,20,30,17,3,0,117.64
498,KKNair,32,33,23,5,0,139.13
499,JPDuminy(c),34,53,32,1,0,106.25
500,SWBillings,24,25,15,1,2,160
501,CRBrathwaite,20,9,8,0,3,250
502,PNegi,19,15,12,1,1,158.33
503,JYadav,1,3,3,0,0,33.33
504,MohammedShami,2,9,3,0,0,66.66
506,AMRahane,63,94,48,7,0,131.25
507,UTKhawaja,30,36,27,2,1,111.11
508,SSTiwary,21,26,18,1,1,116.66
509,MSDhoni(c)?Çá,27,22,20,1,2,135
510,NLTCPerera,14,7,5,0,2,280
511,DRSmith,1,12,9,0,0,11.11
512,BBMcCullum,7,41,19,0,0,36.84
513,SKRaina(c),20,11,10,1,2,200
514,KDKarthik?Çá,0,6,3,0,0,0
515,AJFinch,51,71,42,3,1,121.42
516,DJBravo,18,29,20,1,0,90
517,RAJadeja,18,21,13,2,0,138.46
518,PKumar,6,9,4,1,0,150
520,DAWarner(c),24,16,17,1,2,141.17
521,SDhawan,47,104,40,6,0,117.5
522,KSWilliamson,6,8,9,1,0,66.66
523,MCHenriques,14,22,16,2,0,87.5
524,YuvrajSingh,5,22,14,0,0,35.71
525,DJHooda,18,19,12,2,0,150
526,NVOjha?Çá,9,12,6,1,0,150
527,AMRahane,74,95,48,8,2,154.16
528,UTKhawaja,16,11,6,2,1,266.66
529,SSTiwary,52,61,39,9,0,133.33
530,MSDhoni(c)?Çá,9,6,8,0,1,112.5
531,NLTCPerera,14,11,8,1,1,175
532,GJBailey,0,5,2,0,0,0
533,RBhatia,9,9,4,0,1,225
534,RAshwin,10,6,5,0,1,200
536,VKohli(c),108,98,58,8,7,186.2
537,KLRahul?Çá,38,52,35,1,2,108.57
538,ABdeVilliers,1,3,3,0,0,33.33
539,SRWatson,36,17,13,5,2,276.92
540,TMHead,6,23,9,0,0,66.66
541,MVijay(c),25,24,16,4,0,156.25
542,MPStoinis,52,64,44,3,2,118.18
543,HMAmla,1,10,5,0,0,20
544,WPSaha?Çá,52,53,33,7,0,157.57
545,GJMaxwell,16,22,11,0,1,145.45
546,DAMiller,11,12,6,1,0,183.33
547,ARPatel,16,10,5,0,2,320
549,QdeKock?Çá,52,37,30,6,2,173.33
550,SVSamson,49,64,35,4,1,140
551,KKNair,23,40,25,1,0,92
552,SWBillings,6,22,9,0,0,66.66
553,CRBrathwaite,12,14,6,1,1,200
554,CHMorris,17,17,12,0,1,141.66
555,RRPant,4,11,3,1,0,133.33
556,DAWarner(c),48,51,33,7,1,145.45
557,SDhawan,82,102,57,10,1,143.85
558,KSWilliamson,2,6,5,0,0,40
559,YuvrajSingh,39,41,23,3,2,169.56
560,MCHenriques,1,1,2,0,0,50
562,RGSharma(c),5,5,3,1,0,166.66
563,PAPatel?Çá,0,3,4,0,0,0
564,ATRayudu,6,13,6,1,0,100
565,KHPandya,17,16,11,2,1,154.54
566,JCButtler,2,2,2,0,0,100
567,KAPollard,11,20,13,2,0,84.61
568,HHPandya,7,24,16,0,0,43.75
569,HarbhajanSingh,21,41,22,2,0,95.45
570,TGSouthee,3,8,4,0,0,75
571,MJMcClenaghan,8,18,9,1,0,88.88
572,JJBumrah,6,12,9,1,0,66.66
573,RVUthappa?Çá,14,17,10,3,0,140
574,GGambhir(c),5,10,6,0,0,83.33
575,MKPandey,0,1,2,0,0,0
576,SAYadav,4,14,12,0,0,33.33
577,ShakibAlHasan,66,82,49,4,4,134.69
578,YKPathan,63,72,41,7,1,153.65
580,DRSmith,27,22,18,4,1,150
581,BBMcCullum,29,35,24,3,2,120.83
582,SKRaina(c),14,43,18,1,0,77.77
583,KDKarthik?Çá,51,43,29,8,1,175.86
584,AJFinch,29,17,10,3,2,290
585,RAJadeja,9,6,9,0,1,100
586,DJBravo,0,1,0,0,0,-
587,VKohli(c),20,36,21,2,0,95.23
588,KLRahul?Çá,42,34,25,6,1,168
589,ABdeVilliers,64,54,35,5,2,182.85
590,SRWatson,1,4,3,0,0,33.33
591,SachinBaby,33,62,29,1,0,113.79
592,TMHead,11,12,7,1,0,157.14
593,STRBinny,0,1,0,0,0,-
595,HMAmla,21,24,20,2,0,105
596,MVijay(c),89,83,57,12,1,156.14
597,WPSaha?Çá,16,26,13,1,0,123.07
598,DAMiller,0,2,1,0,0,0
599,MPStoinis,34,48,22,3,1,154.54
600,FBehardien,9,19,7,1,0,128.57
601,DAWarner(c),11,16,14,0,1,78.57
602,SDhawan,33,48,27,2,2,122.22
603,KSWilliamson,32,61,37,3,0,86.48
604,YuvrajSingh,23,18,21,1,2,109.52
605,MCHenriques,10,12,8,1,0,125
606,DJHooda,14,9,5,0,2,280
607,NVOjha?Çá,7,9,5,1,0,140
608,BKumar,1,3,2,0,0,50
609,BBSran,1,1,1,0,0,100
611,AMRahane,0,1,3,0,0,0
612,UTKhawaja,11,18,8,2,0,137.5
613,GJBailey,34,54,40,3,1,85
614,RAshwin,29,49,25,3,0,116
615,SSTiwary,9,19,10,1,0,90
616,MSDhoni(c)?Çá,30,36,20,1,2,150
617,NLTCPerera,17,25,13,0,1,130.76
618,RBhatia,0,4,0,0,0,-
619,AZampa,0,1,1,0,0,0
620,VKohli(c),7,6,7,0,1,100
621,CHGayle,5,18,6,1,0,83.33
622,ABdeVilliers,24,40,27,1,1,88.88
623,KLRahul?Çá,68,81,53,3,4,128.3
624,SRWatson,15,27,14,1,1,107.14
625,SachinBaby,25,24,13,2,2,192.3
627,RGSharma(c),25,45,24,3,0,104.16
628,PAPatel?Çá,1,5,2,0,0,50
629,ATRayudu,44,72,47,2,2,93.61
630,NRana,9,16,11,0,1,81.81
631,KAPollard,35,39,19,3,2,184.21
632,JCButtler,29,23,11,1,3,263.63
633,DAWarner(c),46,39,30,6,1,153.33
634,SDhawan,34,59,37,3,0,91.89
635,KSWilliamson,27,52,24,3,0,112.5
636,YuvrajSingh,8,11,8,0,1,100
637,MCHenriques,0,2,1,0,0,0
638,DJHooda,10,13,9,1,0,111.11
639,NVOjha?Çá,7,11,9,1,0,77.77
640,BKumar,1,2,2,0,0,50
641,BBSran,1,7,1,0,0,100
642,ANehra,1,2,1,0,0,100
644,QdeKock?Çá,44,49,31,5,2,141.93
645,MAAgarwal,10,14,9,2,0,111.11
646,KKNair,20,30,17,3,0,117.64
647,SVSamson,34,49,26,0,2,130.76
648,RRPant,39,45,26,2,3,150
649,RGSharma(c),15,40,24,1,0,62.5
650,UBTChand,0,10,4,0,0,0
651,ATRayudu,0,3,3,0,0,0
652,NRana,25,35,28,0,3,89.28
653,JCButtler?Çá,9,23,10,1,0,90
654,KAPollard,27,35,20,0,3,135
655,KHPandya,19,19,12,1,1,158.33
656,HarbhajanSingh,14,20,10,1,1,140
657,TGSouthee,1,4,3,0,0,33.33
658,MJMcClenaghan,4,5,4,1,0,100
659,JJBumrah,2,7,2,0,0,100
661,MVijay(c),54,76,52,5,1,103.84
662,HMAmla,0,3,5,0,0,0
663,WPSaha?Çá,56,62,40,6,1,140
664,GJMaxwell,0,3,1,0,0,0
