,BATSMEN,R,M,B,4s,6s,SR
0,LMPSimmons,8,19,8,0,1,100
1,RGSharma(c),7,6,5,1,0,140
2,HHPandya,9,15,11,2,0,81.81
3,JCButtler?Çá,0,6,2,0,0,0
4,ATRayudu,22,50,27,2,0,81.48
5,KAPollard,1,12,8,0,0,12.5
6,SGopal,2,16,16,0,0,12.5
7,HarbhajanSingh,45,42,30,7,1,150
8,RVinayKumar,12,18,11,0,1,109.09
9,MJMcClenaghan,2,6,2,0,0,100
11,AMRahane,66,65,42,7,3,157.14
12,FduPlessis,34,46,33,1,3,103.03
13,KPPietersen,21,18,14,0,2,150
14,MAAgarwal,9,22,11,1,0,81.81
15,QdeKock?Çá,17,10,10,1,1,170
16,SSIyer,0,2,3,0,0,0
17,KKNair,3,13,8,0,0,37.5
18,SVSamson,15,41,13,2,0,115.38
19,PNegi,11,21,19,0,1,57.89
20,CRBrathwaite,6,3,4,0,1,150
21,CHMorris,11,7,9,2,0,122.22
22,NMCoulter-Nile,7,22,11,1,0,63.63
23,AMishra,3,8,9,0,0,33.33
24,ZKhan(c),4,10,9,1,0,44.44
26,RVUthappa?Çá,35,45,33,7,0,106.06
27,GGambhir(c),38,69,41,5,0,92.68
28,MKPandey,15,23,12,3,0,125
29,MVijay,42,48,34,5,1,123.52
30,MVohra,38,36,23,4,2,165.21
31,DAMiller(c),15,22,10,1,1,150
32,GJMaxwell,2,6,4,0,0,50
33,WPSaha?Çá,20,41,25,0,0,80
34,MPStoinis,33,39,22,4,0,150
35,ARPatel,4,3,2,0,0,200
36,MGJohnson,0,1,0,0,0,-
38,AJFinch,74,58,47,12,0,157.44
39,BBMcCullum,0,5,2,0,0,0
40,SKRaina(c),20,23,9,1,2,222.22
41,KDKarthik?Çá,41,62,26,7,0,157.69
42,RAJadeja,8,16,12,0,0,66.66
43,IshanKishan,11,10,8,2,0,137.5
44,DJBravo,2,5,2,0,0,100
45,CHGayle,1,6,4,0,0,25
46,VKohli(c),75,73,51,7,3,147.05
47,ABdeVilliers,82,75,42,7,6,195.23
48,SRWatson,19,10,8,0,3,237.5
49,SNKhan,35,15,10,5,2,350
50,KMJadhav?Çá,8,13,6,1,0,133.33
52,DAWarner(c),58,43,25,4,5,232
53,SDhawan,8,15,9,1,0,88.88
54,MCHenriques,19,38,23,2,0,82.6
55,NVOjha?Çá,0,5,4,0,0,0
56,DJHooda,6,10,6,1,0,100
57,EJGMorgan,22,47,18,2,0,122.22
58,AAshishReddy,32,18,18,2,3,177.77
59,KVSharma,26,22,17,3,1,152.94
60,RVUthappa?Çá,8,17,10,1,0,80
61,GGambhir(c),64,94,52,4,1,123.07
62,MKPandey,52,54,29,3,3,179.31
63,ADRussell,36,16,17,1,4,211.76
64,YKPathan,9,13,6,1,0,150
65,CMunro,4,6,5,0,0,80
66,SAYadav,4,1,1,1,0,400
68,RGSharma(c),84,93,54,10,2,155.55
69,PAPatel?Çá,23,27,20,4,0,115
70,HHPandya,9,19,10,0,0,90
71,MJMcClenaghan,20,9,8,0,3,250
72,JCButtler,41,31,22,3,3,186.36
73,KAPollard,1,3,1,0,0,100
74,AMRahane,21,15,17,4,0,123.52
75,FduPlessis,69,70,43,5,4,160.46
76,KPPietersen,37,46,31,2,1,119.35
77,SPDSmith,5,11,6,0,0,83.33
