,BATSMEN,R,M,B,4s,6s,SR
805,MKPandey,1,2,1,0,0,100
806,YKPathan,52,73,37,5,2,140.54
807,ShakibAlHasan,23,18,15,3,0,153.33
808,ADRussell,2,6,4,0,0,50
809,SAYadav,11,11,5,2,0,220
810,PPChawla,1,17,7,0,0,14.28
811,UTYadav,5,4,2,1,0,250
812,DAWarner(c),52,60,32,5,1,162.5
813,SDhawan,8,12,7,1,0,114.28
814,MCHenriques,57,40,22,5,4,259.09
815,EJGMorgan,11,6,7,0,1,157.14
817,CHGayle,35,14,10,4,3,350
818,VKohli(c),44,33,19,3,3,231.57
819,ABdeVilliers,0,1,1,0,0,0
820,MandeepSingh,1,6,3,0,0,33.33
821,KDKarthik?Çá,2,5,2,0,0,100
822,SNKhan,0,3,0,0,0,-
823,WPSaha?Çá,15,9,12,1,1,125
824,MVohra,4,23,7,0,0,57.14
825,GJBailey(c),12,9,7,2,0,171.42
826,GJMaxwell,6,24,14,1,0,42.85
827,GurkeeratSingh,15,13,14,3,0,107.14
828,DAMiller,11,19,15,1,0,73.33
829,ARPatel,32,36,29,2,1,110.34
830,RDhawan,25,29,20,1,2,125
831,BEHendricks,1,5,2,0,0,50
833,MEKHussey,1,4,4,0,0,25
834,BBMcCullum,6,9,6,1,0,100
835,FduPlessis,55,56,41,5,1,134.14
836,SKRaina,41,70,34,4,0,120.58
837,MSDhoni(c)?Çá,25,18,16,2,2,156.25
838,AMRahane,37,33,22,3,2,168.18
839,SRWatson,104,105,59,9,5,176.27
840,SPDSmith(c),14,17,11,2,0,127.27
841,SVSamson?Çá,8,9,9,1,0,88.88
842,JPFaulkner,6,9,6,1,0,100
843,KKNair,16,20,10,3,0,160
844,CHMorris,4,12,5,0,0,80
846,RVUthappa?Çá,14,15,8,3,0,175
847,GGambhir(c),1,5,3,0,0,33.33
848,MKPandey,21,40,21,3,0,100
849,YKPathan,44,71,35,5,1,125.71
850,ADRussell,37,28,20,4,2,185
851,SAYadav,0,1,1,0,0,0
852,ShakibAlHasan,13,35,11,2,0,118.18
853,AzharMahmood,6,11,7,1,0,85.71
854,PPChawla,0,4,1,0,0,0
855,UTYadav,24,12,11,4,1,218.18
856,MMorkel,4,3,3,0,0,133.33
857,QdeKock?Çá,69,55,39,9,3,176.92
858,SSIyer,20,33,18,1,1,111.11
859,JPDuminy(c),67,65,43,4,3,155.81
860,YuvrajSingh,11,9,7,0,1,157.14
861,KMJadhav,0,3,1,0,0,0
862,ADMathews,1,7,3,0,0,33.33
863,SSTiwary,13,21,9,0,1,144.44
865,VKohli(c),1,5,2,0,0,50
866,CHGayle,1,5,5,0,0,20
867,DAWarner(c),6,7,5,1,0,120
868,SDhawan,1,5,2,0,0,50
869,MCHenriques,11,43,19,1,0,57.89
870,EJGMorgan,9,21,14,1,0,64.28
871,KLRahul,25,30,24,2,0,104.16
872,NVOjha?Çá,0,1,1,0,0,0
873,KVSharma,15,37,21,0,0,71.42
874,AAshishReddy,17,15,15,0,1,113.33
875,BKumar,0,6,2,0,0,0
876,PKumar,4,19,6,0,0,66.66
877,DWSteyn,19,13,11,3,0,172.72
879,LMPSimmons,48,64,44,4,2,109.09
880,PAPatel?Çá,51,66,37,9,0,137.83
881,RGSharma(c),7,1,2,0,1,350
882,LMPSimmons,65,62,51,3,5,127.45
883,PAPatel?Çá,35,49,25,4,1,140
884,RGSharma(c),19,24,14,1,1,135.71
885,KAPollard,41,40,17,1,5,241.17
886,HHPandya,1,2,2,0,0,50
887,ATRayudu,10,17,8,1,0,125
888,HarbhajanSingh,6,12,3,1,0,200
889,JSuchith,1,4,1,0,0,100
891,DRSmith,0,2,4,0,0,0
892,MEKHussey,16,27,11,1,1,145.45
893,FduPlessis,45,66,34,5,1,132.35
894,SKRaina,25,24,20,0,2,125
895,MSDhoni(c)?Çá,0,1,1,0,0,0
896,DJBravo,20,21,15,2,1,133.33
897,RAJadeja,19,22,10,1,1,190
898,PNegi,3,4,3,0,0,100
899,RAshwin,23,19,12,2,1,191.66
900,MMSharma,3,10,3,0,0,100
901,ANehra,0,1,1,0,0,0
902,CHGayle,27,28,26,4,1,103.84
903,VKohli(c),12,35,18,0,0,66.66
904,ABdeVilliers,66,59,38,4,4,173.68
905,MandeepSingh,54,56,34,7,2,158.82
906,KDKarthik?Çá,8,6,3,0,1,266.66
907,SNKhan,1,2,1,0,0,100
909,AMRahane,42,70,39,4,0,107.69
910,SRWatson,10,8,5,2,0,200
911,SVSamson?Çá,5,13,8,0,0,62.5
912,SPDSmith(c),12,16,13,1,0,92.3
913,KKNair,12,18,13,2,0,92.3
914,DJHooda,11,27,14,0,0,78.57
915,JPFaulkner,4,5,4,1,0,100
916,STRBinny,0,1,1,0,0,0
917,CHMorris,0,5,3,0,0,0
918,AnkitSharma,7,12,5,1,0,140
919,DSKulkarni,3,9,9,0,0,33.33
920,CHGayle,41,66,43,2,3,95.34
921,VKohli(c),12,17,9,1,1,133.33
922,ABdeVilliers,1,3,3,0,0,33.33
923,MandeepSingh,4,10,7,0,0,57.14
924,KDKarthik?Çá,28,45,26,4,0,107.69
925,SNKhan,31,32,21,4,0,147.61
926,DWiese,12,10,7,0,1,171.42
927,HVPatel,2,7,2,0,0,100
928,MAStarc,1,2,1,0,0,100
929,SAravind,0,1,1,0,0,0
931,DRSmith,17,13,12,3,0,141.66
932,MEKHussey,56,83,46,3,2,121.73
933,FduPlessis,21,31,22,2,0,95.45
934,SKRaina,0,1,2,0,0,0
935,MSDhoni(c)?Çá,26,55,29,1,0,89.65
936,PNegi,12,13,6,0,1,200
937,DJBravo,0,1,1,0,0,0
938,RAJadeja,0,5,0,0,0,-
939,RAshwin,1,1,1,0,0,100
940,LMPSimmons,68,59,45,8,3,151.11
941,PAPatel?Çá,0,5,3,0,0,0
942,RGSharma(c),50,50,26,6,2,192.3
943,KAPollard,36,39,18,2,3,200
944,ATRayudu,36,44,24,0,3,150
945,HHPandya,0,2,2,0,0,0
946,HarbhajanSingh,6,4,3,0,1,200
948,DRSmith,57,59,48,9,1,118.75
949,MEKHussey,4,25,9,1,0,44.44
950,SKRaina,28,44,19,3,1,147.36
951,MSDhoni(c)?Çá,18,25,13,1,1,138.46
952,DJBravo,9,5,6,0,1,150
953,PNegi,3,18,5,0,0,60
954,FduPlessis,1,3,3,0,0,33.33
955,RAJadeja,11,18,8,1,0,137.5
956,RAshwin,2,4,4,0,0,50
957,MMSharma,21,7,7,1,2,300
