,BATSMEN,R,M,B,4s,6s,SR
152,MSDhoni(c)?Çá,14,19,11,1,1,127.27
153,PAPatel?Çá,1,4,1,0,0,100
154,YVTakawale,0,3,3,0,0,0
155,VKohli(c),21,51,25,3,0,84
156,YuvrajSingh,3,7,7,0,0,42.85
157,ABdeVilliers,0,1,1,0,0,0
158,SRana,3,14,8,0,0,37.5
159,JAMorkel,7,14,13,1,0,53.84
160,MAStarc,18,27,16,2,0,112.5
161,RRampaul,13,19,13,0,1,100
162,ABDinda,0,4,3,0,0,0
163,YSChahal,0,1,0,0,0,-
165,AMRahane,23,19,19,4,0,121.05
166,KKNair,8,32,12,0,0,66.66
167,SVSamson?Çá,2,6,6,0,0,33.33
168,AMNayar,11,36,17,1,0,64.7
169,SRWatson(c),24,29,24,1,2,100
170,STRBinny,0,1,0,0,0,-
171,CAPujara,8,9,8,1,0,100
172,VSehwag,37,65,30,3,1,123.33
173,WPSaha?Çá,14,11,10,1,1,140
174,GJMaxwell,15,14,12,2,0,125
175,DAMiller,14,12,10,2,0,140
176,GJBailey(c),11,13,15,1,0,73.33
177,RDhawan,19,30,18,2,0,105.55
178,ARPatel,7,19,10,0,0,70
179,MGJohnson,0,1,1,0,0,0
180,LBalaji,0,1,2,0,0,0
181,SandeepSharma,2,4,5,0,0,40
183,MKPandey,8,11,10,1,0,80
184,JHKallis,9,27,11,2,0,81.81
185,GGambhir(c),1,9,5,0,0,20
186,CALynn,13,32,18,2,0,72.22
187,RVUthappa?Çá,19,35,27,2,0,70.37
188,YKPathan,3,5,5,0,0,60
189,SAYadav,34,29,17,3,1,200
190,PPChawla,0,3,2,0,0,0
191,SPNarine,6,11,8,0,0,75
192,UTYadav,2,15,4,0,0,50
193,MMorkel,4,4,3,0,0,133.33
194,RGSharma(c),4,7,5,0,0,80
195,APTare,8,15,10,1,0,80
196,CJAnderson,13,23,14,2,0,92.85
197,ATRayudu,14,26,21,1,0,66.66
198,MEKHussey,10,20,18,0,0,55.55
199,KAPollard,33,64,30,2,2,110
200,CMGautam?Çá,22,35,18,3,0,122.22
201,HarbhajanSingh,10,7,5,1,1,200
202,ZKhan,0,1,0,0,0,-
204,QdeKock,16,27,24,2,0,66.66
205,MVijay,40,53,34,4,1,117.64
206,JPDuminy,19,37,24,0,0,79.16
207,KPPietersen(c),26,32,18,2,1,144.44
208,KDKarthik?Çá,2,2,3,0,0,66.66
209,KMJadhav,14,15,10,2,0,140
210,AJFinch,44,72,45,5,0,97.77
211,SDhawan(c),7,9,9,1,0,77.77
212,DAWarner,0,1,2,0,0,0
213,KLRahul?Çá,25,30,27,1,1,92.59
214,YVenugopalRao,13,17,15,0,0,86.66
215,DJGSammy,23,25,15,2,1,153.33
216,KVSharma,17,15,7,0,2,242.85
218,DRSmith,66,70,46,4,5,143.47
219,BBMcCullum,40,47,33,3,2,121.21
220,SKRaina,14,14,10,1,1,140
221,MSDhoni(c)?Çá,13,33,14,1,0,92.85
222,FduPlessis,0,1,1,0,0,0
223,RAJadeja,6,13,9,0,0,66.66
224,MManhas,3,7,4,0,0,75
225,CHGayle,20,3,7,2,2,285.71
226,PAPatel?Çá,2,17,7,0,0,28.57
227,VKohli(c),4,2,2,1,0,200
228,YVTakawale,0,6,7,0,0,0
229,ABdeVilliers,17,31,15,2,0,113.33
230,YuvrajSingh,35,49,32,3,1,109.37
231,JAMorkel,15,14,14,0,1,107.14
232,MAStarc,8,27,17,0,0,47.05
233,VRAaron,11,24,15,0,0,73.33
234,ABDinda,2,3,5,0,0,40
236,CAPujara,10,20,18,1,0,55.55
237,VSehwag,32,66,26,4,0,123.07
238,WPSaha?Çá,2,7,6,0,0,33.33
239,GJMaxwell,6,6,6,0,0,100
240,DAMiller,26,27,20,4,0,130
241,GJBailey(c),16,35,16,1,0,100
242,RDhawan,23,28,22,3,0,104.54
243,AMRahane,72,94,59,6,1,122.03
244,KKNair,1,11,5,0,0,20
245,SVSamson?Çá,20,29,19,4,0,105.26
246,SRWatson(c),33,34,24,5,0,137.5
247,STRBinny,0,1,1,0,0,0
248,SPDSmith,19,12,11,2,0,172.72
249,JPFaulkner,2,2,1,0,0,200
251,GGambhir(c),45,65,44,4,0,102.27
252,MSBisla?Çá,3,15,9,0,0,33.33
253,JHKallis,13,24,17,1,0,76.47
254,MKPandey,19,19,11,1,1,172.72
255,SAYadav,31,31,19,3,1,163.15
256,ShakibAlHasan,29,41,18,3,0,161.11
257,RVUthappa,0,4,1,0,0,0
258,RVinayKumar,0,1,1,0,0,0
259,PPChawla,0,3,1,0,0,0
260,SPNarine,1,3,1,0,0,100
261,AJFinch,16,23,15,3,0,106.66
262,SDhawan(c),6,12,6,1,0,100
263,KLRahul,46,85,40,3,0,115
264,DAWarner,65,66,51,1,4,127.45
265,DJGSammy,10,4,4,1,1,250
266,NVOjha?Çá,10,8,4,2,0,250
267,IKPathan,1,5,1,0,0,100
269,BRDunk,20,28,17,4,0,117.64
270,RGSharma(c),1,6,5,0,0,20
271,CJAnderson,1,7,8,0,0,12.5
272,ATRayudu,35,57,27,5,0,129.62
273,KAPollard,78,69,48,3,6,162.5
274,APTare,7,12,5,1,0,140
275,HarbhajanSingh,1,5,3,0,0,33.33
276,CMGautam?Çá,4,9,5,1,0,80
277,ZKhan,1,8,2,0,0,50
278,DRSmith,16,8,11,2,1,145.45
279,BBMcCullum,56,66,40,5,2,140
280,SKRaina,31,36,25,4,1,124
281,MSDhoni(c)?Çá,22,34,17,1,1,129.41
282,RAJadeja,17,13,10,1,1,170
284,RVUthappa?Çá,47,58,38,5,1,123.68
285,GGambhir(c),6,11,6,1,0,100
286,JHKallis,4,10,6,1,0,66.66
287,MKPandey,1,2,2,0,0,50
288,ShakibAlHasan,0,1,1,0,0,0
289,SAYadav,8,17,13,0,0,61.53
290,YKPathan,41,29,29,1,4,141.37
291,ADRussell,1,7,5,0,0,20
292,PPChawla,1,7,2,0,0,50
293,RVinayKumar,0,2,0,0,0,-
294,SPNarine,1,1,1,0,0,100
295,CAPujara,19,17,18,4,0,105.55
296,VSehwag,1,11,2,0,0,50
297,WPSaha?Çá,59,88,47,4,3,125.53
298,GJMaxwell,45,38,27,5,2,166.66
299,GJBailey(c),15,19,14,2,0,107.14
300,DAMiller,16,19,12,1,1,133.33
301,MGJohnson,0,3,1,0,0,0
303,BRDunk,5,3,4,1,0,125
304,CMGautam?Çá,33,49,29,2,2,113.79
305,ATRayudu,8,9,5,2,0,160
306,RGSharma(c),39,64,34,4,2,114.7
307,CJAnderson,35,38,25,3,2,140
308,KAPollard,28,25,12,2,2,233.33
309,APTare,16,15,6,1,1,266.66
310,QdeKock,42,48,33,5,1,127.27
311,MVijay,13,20,11,1,0,118.18
312,KPPietersen(c),14,23,15,2,0,93.33
313,KDKarthik?Çá,12,28,16,0,0,75
314,JPDuminy,39,45,31,4,1,125.8
315,KMJadhav,28,24,14,2,2,200
316,WDParnell,0,3,0,0,0,-
318,AMRahane,12,12,10,2,0,120
319,KKNair,73,93,50,8,2,146
320,SVSamson?Çá,34,33,28,2,2,121.42
321,RBhatia,17,24,13,0,1,130.76
322,SRWatson(c),16,21,10,0,2,160
323,AJFinch,13,13,8,1,1,162.5
324,SDhawan(c),37,66,36,4,0,102.77
325,KLRahul,6,5,6,1,0,100
326,DAWarner,61,82,49,4,3,124.48
327,DJGSammy,8,17,8,0,1,100
328,NVOjha?Çá,15,14,11,1,1,136.36
329,IKPathan,4,4,2,1,0,200
330,KVSharma,1,1,1,0,0,100
332,CHGayle,27,35,19,3,2,142.1
333,PAPatel?Çá,3,7,5,0,0,60
334,VKohli(c),0,3,5,0,0,0
335,RRRossouw,14,40,23,1,0,60.86
336,ABdeVilliers,89,68,41,6,8,217.07
337,YuvrajSingh,14,20,16,1,1,87.5
338,MAStarc,5,26,8,0,0,62.5
339,HVPatel,1,3,2,0,0,50
340,AMRahane,30,28,22,3,1,136.36
341,KKNair,44,59,35,4,1,125.71
342,SVSamson?Çá,37,46,31,3,0,119.35
343,SRWatson(c),31,26,20,2,2,155
344,STRBinny,11,18,9,0,1,122.22
345,SPDSmith,3,5,2,0,0,150
346,JPFaulkner,1,3,1,0,0,100
347,RBhatia,6,1,1,0,1,600
349,RVUthappa?Çá,65,66,52,5,3,125
350,GGambhir(c),54,62,34,6,1,158.82
351,ADRussell,1,5,3,0,0,33.33
352,MKPandey,0,4,0,0,0,-
353,ShakibAlHasan,21,37,14,1,1,150
354,YKPathan,0,3,1,0,0,0
355,RNtenDoeschate,0,1,1,0,0,0
356,SAYadav,9,28,17,0,0,52.94
357,QdeKock,24,17,16,3,2,150
358,MVijay,35,64,30,2,1,116.66
359,KPPietersen(c),0,1,1,0,0,0
360,KDKarthik?Çá,51,35,36,4,3,141.66
361,LRShukla,0,3,2,0,0,0
362,JPDuminy,28,28,17,5,0,164.7
363,KMJadhav,29,23,18,2,2,161.11
365,DRSmith,79,95,51,4,8,154.9
366,BBMcCullum,32,48,35,5,0,91.42
367,SKRaina,47,55,27,6,1,174.07
368,MSDhoni(c)?Çá,12,8,5,1,1,240
369,BRDunk,15,15,14,2,0,107.14
370,CMGautam?Çá,30,49,28,2,3,107.14
371,ATRayudu,9,27,9,1,0,100
372,RGSharma(c),59,66,35,3,4,168.57
373,CJAnderson,6,5,4,0,1,150
374,KAPollard,43,52,31,6,0,138.7
375,APTare,0,1,0,0,0,-
377,CHGayle,38,50,24,3,3,158.33
378,PAPatel?Çá,26,27,19,5,0,136.84
379,VKohli(c),35,43,28,2,2,125
380,ABdeVilliers,9,15,7,2,0,128.57
381,YuvrajSingh,6,17,10,0,0,60
382,RRRossouw,24,31,14,1,2,171.42
383,MAStarc,5,6,4,1,0,125
384,HVPatel,6,6,2,0,1,300
385,VRAaron,7,12,8,1,0,87.5
386,ABDinda,2,7,4,0,0,50
387,QdeKock,10,11,9,2,0,111.11
388,MVijay,24,39,20,2,1,120
389,KPPietersen(c),6,10,12,1,0,50
390,KDKarthik?Çá,36,28,22,4,1,163.63
391,JPDuminy,40,52,28,0,3,142.85
392,LRShukla,10,21,14,1,0,71.42
393,KMJadhav,26,18,15,3,1,173.33
395,RVUthappa?Çá,47,59,34,5,1,138.23
396,GGambhir(c),69,91,56,5,2,123.21
397,MKPandey,23,38,14,2,0,164.28
398,JHKallis,10,6,6,2,0,166.66
399,VSehwag,30,26,23,5,1,130.43
400,MandeepSingh,3,20,8,0,0,37.5
401,GJMaxwell,90,58,38,6,8,236.84
402,DAMiller,47,44,32,5,2,146.87
403,GJBailey(c),40,21,13,6,2,307.69
404,MGJohnson,11,13,6,2,0,183.33
406,DRSmith,4,3,4,1,0,100
407,BBMcCullum,33,57,29,3,0,113.79
408,SKRaina,35,30,27,3,1,129.62
409,RAJadeja,17,16,8,3,0,212.5
410,FduPlessis,52,31,25,7,1,208
411,MSDhoni(c)?Çá,23,29,20,0,1,115
412,MManhas,8,10,3,0,1,266.66
413,RAshwin,11,6,4,2,0,275
414,SDhawan(c),33,19,20,7,0,165
415,AJFinch,9,33,10,1,0,90
416,KLRahul,18,23,18,2,0,100
417,NVOjha?Çá,17,23,19,1,0,89.47
418,DAWarner,6,9,7,0,0,85.71
419,MCHenriques,9,19,13,1,0,69.23
420,IKPathan,21,38,21,2,0,100
421,KVSharma,0,1,1,0,0,0
422,DWSteyn,9,8,8,1,0,112.5
423,AMishra,0,2,2,0,0,0
424,BKumar,0,1,1,0,0,0
426,AMRahane,0,2,3,0,0,0
427,KKNair,12,18,9,3,0,133.33
428,SVSamson?Çá,16,26,16,1,1,100
429,SRWatson(c),11,13,10,1,0,110
430,STRBinny,12,32,19,0,0,63.15
431,SPDSmith,22,36,33,0,0,66.66
432,RBhatia,4,20,8,0,0,50
433,JPFaulkner,4,7,6,0,0,66.66
434,KWRichardson,1,3,2,0,0,50
435,DSKulkarni,7,10,6,1,0,116.66
436,PVTambe,3,8,7,0,0,42.85
437,VSehwag,30,39,24,5,0,125
438,MandeepSingh,21,33,15,2,0,140
439,GJMaxwell,25,14,11,2,2,227.27
440,DAMiller,66,48,29,8,3,227.58
441,GJBailey(c),1,13,7,0,0,14.28
442,WPSaha?Çá,17,32,17,0,1,100
443,MGJohnson,16,18,12,1,1,133.33
444,ARPatel,2,7,3,0,0,66.66
445,ShivamSharma,4,2,2,1,0,200
446,LBalaji,1,1,1,0,0,100
448,CHGayle,4,10,7,1,0,57.14
449,PAPatel?Çá,13,29,14,3,0,92.85
450,VKohli(c),0,3,1,0,0,0
451,SRana,18,19,16,2,1,112.5
452,ABdeVilliers,53,43,26,1,5,203.84
453,YuvrajSingh,3,11,11,0,0,27.27
454,JAMorkel,16,7,8,0,2,200
455,MAStarc,29,36,23,4,0,126.08
456,HVPatel,6,6,3,1,0,200
457,VRAaron,17,14,11,1,1,154.54
458,YSChahal,1,3,1,0,0,100
459,QdeKock,7,11,12,0,0,58.33
460,KPPietersen(c),35,31,19,4,2,184.21
461,MAAgarwal,25,29,18,4,0,138.88
462,KDKarthik?Çá,39,41,30,1,2,130
463,LRShukla,21,35,22,1,1,95.45
464,JPDuminy,4,13,5,0,0,80
465,KMJadhav,5,14,11,0,0,45.45
466,RShukla,2,4,3,0,0,66.66
468,AJFinch,4,19,7,0,0,57.14
469,SDhawan(c),4,7,8,1,0,50
470,DAWarner,12,17,9,1,0,133.33
471,NVOjha?Çá,13,5,3,0,2,433.33
472,LMPSimmons,38,44,38,3,2,100
473,CMGautam?Çá,9,8,8,2,0,112.5
474,ATRayudu,59,69,43,2,4,137.2
475,RGSharma(c),19,28,19,1,0,100
476,KAPollard,0,2,1,0,0,0
477,CJAnderson,18,14,6,0,2,300
478,APTare,9,12,5,2,0,180
480,DRSmith,57,73,51,5,3,111.76
481,BBMcCullum,13,20,11,1,1,118.18
482,SKRaina,19,17,11,3,0,172.72
483,FduPlessis,31,41,24,2,1,129.16
484,MSDhoni(c)?Çá,22,29,12,1,1,183.33
485,RAJadeja,6,13,7,1,0,85.71
486,MManhas,1,3,1,0,0,100
487,RAshwin,0,4,0,0,0,-
488,VSehwag,72,71,50,11,1,144
489,MandeepSingh,0,6,3,0,0,0
490,WPSaha?Çá,15,19,9,3,0,166.66
491,GJMaxwell,14,24,14,1,0,100
492,DAMiller,13,24,14,1,0,92.85
493,GJBailey(c),12,24,11,0,0,109.09
494,RDhawan,4,6,6,0,0,66.66
495,MGJohnson,14,10,12,1,1,116.66
496,ARPatel,1,1,1,0,0,100
498,RVUthappa?Çá,46,31,28,8,1,164.28
499,GGambhir(c),63,83,45,7,0,140
500,MKPandey,36,51,35,3,0,102.85
501,VKohli(c),4,11,9,1,0,44.44
502,CHGayle,19,33,25,3,0,76
503,VHZol,16,25,14,3,0,114.28
504,ABdeVilliers,58,61,32,1,5,181.25
505,YuvrajSingh,83,52,38,7,7,218.42
506,JAMorkel,1,7,1,0,0,100
507,PAPatel?Çá,2,2,1,0,0,200
509,AMRahane,24,34,22,3,0,109.09
510,KKNair,56,61,39,8,0,143.58
511,SRWatson(c),1,5,5,0,0,20
512,STRBinny,1,1,2,0,0,50
513,SVSamson?Çá,13,7,8,1,1,162.5
514,SPDSmith,48,40,21,4,4,228.57
515,JPFaulkner,41,29,17,3,3,241.17
516,AJFinch,68,84,62,7,2,109.67
517,SDhawan(c),11,29,11,2,0,100
518,KLRahul,10,20,13,1,0,76.92
519,DAWarner,55,47,31,6,2,177.41
520,NVOjha?Çá,7,7,3,0,1,233.33
522,LMPSimmons,68,71,50,5,4,136
523,CMGautam?Çá,1,6,3,0,0,33.33
524,ATRayudu,68,70,46,7,2,147.82
525,RGSharma(c),14,16,6,3,0,233.33
526,KAPollard,6,10,7,0,0,85.71
527,AnkitSharma,30,33,27,4,1,111.11
528,SRWatson(c),51,55,36,3,4,141.66
529,AMRahane,4,11,7,0,0,57.14
530,KKNair,8,21,11,1,0,72.72
531,STRBinny,22,27,17,0,2,129.41
532,SPDSmith,9,7,8,1,0,112.5
533,JPFaulkner,1,5,4,0,0,25
534,DHYagnik?Çá,4,9,6,0,0,66.66
535,RBhatia,7,5,4,1,0,175
536,KKCooper,0,1,0,0,0,-
538,DRSmith,44,43,35,5,2,125.71
539,BBMcCullum,6,8,3,0,1,200
540,SKRaina,2,8,3,0,0,66.66
541,FduPlessis,38,64,39,2,0,97.43
542,RAshwin,14,24,16,1,0,87.5
543,MSDhoni(c)?Çá,26,28,16,1,1,162.5
544,RAJadeja,11,14,6,0,1,183.33
545,CHGayle,22,23,23,1,2,95.65
546,PAPatel?Çá,29,57,28,4,0,103.57
547,VKohli(c),10,13,11,0,0,90.9
548,ABdeVilliers,33,29,17,4,1,194.11
549,YuvrajSingh,68,42,29,1,9,234.48
550,SRana,15,32,14,1,0,107.14
552,MVijay,1,2,3,0,0,33.33
553,QdeKock?Çá,6,9,6,1,0,100
554,MAAgarwal,31,37,25,2,2,124
555,KPPietersen(c),33,40,29,2,1,113.79
556,JPDuminy,48,37,30,3,3,160
557,KDKarthik,1,4,2,0,0,50
558,KMJadhav,37,34,20,3,2,185
559,RShukla,2,13,6,0,0,33.33
560,MohammedShami,1,1,1,0,0,100
561,AJFinch,20,40,23,2,0,86.95
562,SDhawan(c),45,54,37,5,2,121.62
563,NVOjha?Çá,79,56,36,4,7,219.44
564,DAWarner,44,31,23,3,3,191.3
565,MCHenriques,0,3,1,0,0,0
566,IKPathan,1,3,2,0,0,50
567,KVSharma,1,2,1,0,0,100
569,VSehwag,4,2,2,1,0,200
570,MVohra,47,44,20,5,2,235
571,WPSaha?Çá,54,31,26,8,2,207.69
572,GJMaxwell,43,34,22,2,5,195.45
573,DAMiller,24,52,24,1,0,100
574,GJBailey(c),35,27,19,2,3,184.21
575,LMPSimmons,12,24,14,2,0,85.71
576,CMGautam?Çá,8,10,9,1,0,88.88
577,ATRayudu,33,39,27,3,1,122.22
578,RGSharma(c),51,62,45,4,2,113.33
579,CJAnderson,18,21,12,1,1,150
580,KAPollard,10,17,11,0,0,90.9
581,APTare,2,2,3,0,0,66.66
583,RVUthappa?Çá,80,71,52,9,3,153.84
584,GGambhir(c),14,35,18,1,0,77.77
585,MKPandey,14,26,21,0,0,66.66
586,YKPathan,20,24,13,3,0,153.84
587,ShakibAlHasan,9,13,8,1,0,112.5
588,RNtenDoeschate,0,1,0,0,0,-
589,AMRahane,64,78,50,8,1,128
590,KKNair,19,25,14,1,1,135.71
591,KKCooper,32,20,16,2,3,200
592,SVSamson?Çá,40,37,25,2,3,160
593,STRBinny,0,2,2,0,0,0
594,BCJCutting,8,18,6,0,1,133.33
595,JPFaulkner,23,15,8,0,3,287.5
597,KPPietersen(c),13,37,18,1,0,72.22
598,MAAgarwal,17,11,10,3,0,170
599,KDKarthik?Çá,3,11,8,0,0,37.5
600,JPDuminy,8,9,8,0,1,100
601,MKTiwary,61,58,44,5,2,138.63
602,LRPLTaylor,4,9,5,0,0,80
603,KMJadhav,3,5,3,0,0,100
604,SNadeem,1,3,4,0,0,25
605,ImranTahir,4,15,6,1,0,66.66
606,RShukla,14,8,12,2,0,116.66
607,SKaul,2,-,2,0,0,100
608,DRSmith,9,21,15,1,0,60
609,BBMcCullum,19,19,13,1,2,146.15
610,SKRaina,62,73,48,6,1,129.16
611,DJHussey,25,45,29,1,1,86.2
612,MSDhoni(c)?Çá,7,8,6,1,0,116.66
613,RAJadeja,10,16,9,0,0,111.11
615,CHGayle,46,66,50,3,3,92
616,PAPatel?Çá,10,12,14,2,0,71.42
617,VKohli(c),27,38,29,1,1,93.1
618,ABdeVilliers,28,19,14,1,3,200
619,YuvrajSingh,13,14,9,0,1,144.44
620,SRana,1,7,2,0,0,50
621,ANAhmed,4,1,1,1,0,400
622,AJFinch,8,6,8,1,0,100
623,SDhawan,19,26,14,4,0,135.71
624,NVOjha?Çá,22,30,24,1,2,91.66
625,DAWarner,34,33,18,3,2,188.88
626,KLRahul,14,18,15,2,0,93.33
627,IKPathan,23,34,19,2,0,121.05
628,DJGSammy(c),7,19,16,0,0,43.75
629,KVSharma,4,7,4,0,0,100
630,DWSteyn,1,2,2,0,0,50
632,RVUthappa?Çá,40,46,33,5,1,121.21
633,GGambhir(c),6,10,10,1,0,60
634,MKPandey,35,56,32,3,1,109.37
635,YKPathan,39,45,28,2,2,139.28
636,RNtenDoeschate,25,24,15,2,1,166.66
637,MEKHussey,56,72,39,3,2,143.58
638,LMPSimmons,62,69,51,6,2,121.56
639,KAPollard,14,26,12,0,1,116.66
640,RGSharma(c),40,23,19,3,4,210.52
642,KKNair,48,55,24,4,3,200
643,UBTChand,2,12,9,0,0,22.22
644,SRWatson(c),5,7,6,1,0,83.33
645,SVSamson?Çá,2,5,5,0,0,40
646,KKCooper,5,12,8,0,0,62.5
647,AnkitSharma,4,3,3,0,0,133.33
648,STRBinny,2,6,10,0,0,20
649,BJHodge,40,29,30,0,3,133.33
650,JPFaulkner,31,36,21,1,2,147.61
651,RBhatia,6,5,4,1,0,150
652,MVijay,5,12,8,1,0,62.5
653,KPPietersen(c),49,48,32,6,1,153.12
654,KDKarthik?Çá,69,74,44,7,3,156.81
655,JPDuminy,17,28,21,1,0,80.95
656,KMJadhav,0,2,1,0,0,0
657,MAAgarwal,6,2,2,0,1,300
658,MKTiwary,10,11,8,1,0,125
659,WDParnell,2,1,2,0,0,100
660,MohammedShami,1,2,2,0,0,50
662,VSehwag,23,43,22,2,1,104.54
