,BATSMEN,R,M,B,4s,6s,SR
0,GGambhir(c),0,10,8,0,0,0
1,JHKallis,72,83,46,5,3,156.52
2,MKPandey,64,54,53,6,2,120.75
3,RVUthappa?Çá,1,4,2,0,0,50
4,YKPathan,4,13,4,0,0,100
5,ShakibAlHasan,1,4,2,0,0,50
6,SAYadav,13,5,5,3,0,260
8,MEKHussey,3,14,13,0,0,23.07
9,APTare,24,36,22,2,1,109.09
10,ATRayudu,48,59,40,4,0,120
11,RGSharma(c),27,33,20,0,1,135
12,KAPollard,6,24,8,0,0,75
13,CJAnderson,2,17,8,0,0,25
14,HarbhajanSingh,0,1,2,0,0,0
15,CMGautam?Çá,7,5,7,1,0,100
16,MAAgarwal,6,14,10,0,0,60
17,MVijay,18,40,20,1,1,90
18,KDKarthik(c)?Çá,0,2,1,0,0,0
19,MKTiwary,1,4,3,0,0,33.33
20,JPDuminy,67,76,48,4,3,139.58
21,LRPLTaylor,43,58,39,4,0,110.25
23,PAPatel?Çá,37,39,28,5,1,132.14
24,NJMaddinson,4,6,6,1,0,66.66
25,VKohli(c),49,73,38,2,3,128.94
26,YuvrajSingh,52,40,29,3,5,179.31
27,MEKHussey,16,18,15,2,0,106.66
28,APTare?Çá,17,35,18,2,0,94.44
29,ATRayudu,35,63,37,1,0,94.59
30,RGSharma(c),2,9,5,0,0,40
31,KAPollard,3,8,7,0,0,42.85
32,CJAnderson,18,27,19,2,0,94.73
33,HarbhajanSingh,8,13,8,1,0,100
34,ZKhan,0,3,2,0,0,0
35,SLMalinga,2,9,4,0,0,50
36,PPOjha,1,5,5,0,0,20
37,JJBumrah,1,2,1,0,0,100
39,NJMaddinson,12,12,8,2,0,150
40,PAPatel?Çá,57,79,45,7,0,126.66
41,VKohli(c),0,2,2,0,0,0
42,YuvrajSingh,0,2,2,0,0,0
43,ABdeVilliers,45,60,48,3,1,93.75
44,JHKallis,0,1,1,0,0,0
45,GGambhir(c),0,11,4,0,0,0
46,MKPandey,48,53,42,5,0,114.28
47,RVUthappa?Çá,55,69,41,6,1,134.14
48,ShakibAlHasan,30,43,22,2,1,136.36
49,YKPathan,11,13,8,1,0,137.5
50,SAYadav,8,3,3,2,0,266.66
52,MVijay,0,3,2,0,0,0
53,MAAgarwal,26,18,14,3,0,185.71
54,KDKarthik(c)?Çá,56,59,40,5,2,140
55,LRPLTaylor,6,13,9,1,0,66.66
56,JPDuminy,52,58,35,3,3,148.57
57,MKTiwary,8,7,6,1,0,133.33
58,JDSNeesham,8,15,11,0,1,72.72
59,NMCoulter-Nile,0,1,0,0,0,-
60,AMNayar,23,31,20,2,1,115
61,AMRahane,13,13,8,2,0,162.5
62,SVSamson?Çá,52,68,34,3,4,152.94
63,SRWatson(c),50,30,29,5,3,172.41
64,STRBinny,12,11,8,0,1,150
65,SPDSmith,27,23,15,5,0,180
66,JPFaulkner,8,15,7,0,1,114.28
68,CAPujara,40,91,38,3,0,105.26
69,VSehwag,2,7,7,0,0,28.57
70,WPSaha?Çá,2,4,3,0,0,66.66
71,GJMaxwell,89,54,45,8,6,197.77
72,DAMiller,51,23,19,0,6,268.42
73,CAPujara,35,44,32,6,0,109.37
74,VSehwag,30,26,22,2,3,136.36
75,GJMaxwell,95,55,43,5,9,220.93
76,DAMiller,10,25,10,0,1,100
77,GJBailey(c),10,18,8,1,0,125
78,MGJohnson,4,10,6,0,0,66.66
79,ARPatel,0,3,0,0,0,-
81,AJFinch,19,24,15,2,1,126.66
82,SDhawan(c),1,7,3,0,0,33.33
83,DAWarner,8,19,12,1,0,66.66
84,KLRahul?Çá,27,45,27,1,1,100
85,YVenugopalRao,11,9,9,2,0,122.22
86,IKPathan,5,12,9,0,0,55.55
87,DJGSammy,15,12,11,0,1,136.36
88,KVSharma,10,20,8,0,1,125
89,DWSteyn,12,21,16,0,0,75
90,AMishra,4,8,5,0,0,80
91,BKumar,1,3,3,0,0,33.33
92,DRSmith,50,36,28,6,3,178.57
93,BBMcCullum,6,26,10,0,0,60
94,SKRaina,4,15,9,0,0,44.44
95,FduPlessis,7,17,9,0,0,77.77
96,MSDhoni(c)?Çá,5,12,8,0,0,62.5
97,RAJadeja,36,51,33,2,0,109.09
98,MManhas,10,18,10,1,0,100
99,RAshwin,9,28,13,1,0,69.23
101,AMNayar,5,6,7,1,0,71.42
102,AMRahane,15,22,12,2,0,125
103,SVSamson?Çá,16,22,16,0,2,100
104,SRWatson(c),7,4,6,0,1,116.66
105,STRBinny,8,19,11,0,0,72.72
106,SPDSmith,19,27,20,1,0,95
107,RBhatia,23,32,20,1,1,115
108,JPFaulkner,4,2,2,1,0,200
109,TGSouthee,4,2,4,1,0,100
110,DSKulkarni,28,20,19,0,2,147.36
111,PVTambe,2,5,2,0,0,100
112,JHKallis,43,72,42,2,1,102.38
113,GGambhir(c),0,2,1,0,0,0
114,MKPandey,5,4,3,1,0,166.66
115,CALynn,45,46,31,3,3,145.16
116,YKPathan,0,1,2,0,0,0
117,RVUthappa?Çá,22,26,18,0,1,122.22
118,SAYadav,24,23,18,1,1,133.33
119,RVinayKumar,4,14,5,0,0,80
121,PAPatel?Çá,21,36,19,3,0,110.52
122,YVTakawale,40,33,28,8,0,142.85
123,VKohli(c),31,36,23,4,0,134.78
124,YuvrajSingh,31,49,34,2,1,91.17
125,ABdeVilliers,11,23,12,1,0,91.66
126,JAMorkel,6,7,5,0,0,120
127,MAStarc,0,2,0,0,0,-
128,SDhawan(c),33,31,22,5,1,150
129,AJFinch,88,90,53,8,4,166.03
130,DAWarner,58,58,45,3,3,128.88
132,QdeKock,48,47,30,6,1,160
133,MVijay,52,52,40,7,1,130
134,KPPietersen(c),16,26,17,1,1,94.11
135,KDKarthik?Çá,15,20,14,1,0,107.14
136,JPDuminy,20,31,7,1,2,285.71
137,MKTiwary,23,30,13,2,1,176.92
138,MEKHussey,1,8,7,0,0,14.28
139,APTare,23,19,19,4,0,121.05
140,CJAnderson,39,55,31,3,1,125.8
141,RGSharma(c),50,60,41,3,2,121.95
142,KAPollard,12,19,11,1,0,109.09
143,ATRayudu,1,3,2,0,0,50
144,CMGautam?Çá,7,10,4,1,0,175
145,HarbhajanSingh,0,1,2,0,0,0
146,ZKhan,7,6,3,0,1,233.33
148,DRSmith,29,26,22,0,4,131.81
149,BBMcCullum,71,90,53,8,2,133.96
150,SKRaina,1,4,4,0,0,25
151,FduPlessis,20,36,25,0,0,80
