,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
0,FduPlessis,3,4,2,0,0,150,1.5,0,0,0,0,0,1.5
1,MVijay,10,28,17,1,0,58.82,5,0.5,0,0,0,-2,3.5
2,SKRaina,36,41,26,2,1,138.46,18,1,1,0,0,0,20
3,DJBravo,19,15,19,3,0,100,9.5,1.5,0,0,0,0,11
4,JAMorkel,3,14,8,0,0,37.5,1.5,0,0,0,0,-3,-1.5
5,SBadrinath,10,23,16,0,0,62.5,5,0,0,0,0,-1,4
6,MSDhoni,4,9,6,0,0,66.66,2,0,0,0,0,-1,1
7,RAJadeja,3,15,5,0,0,60,1.5,0,0,0,0,-1,0.5
8,RAshwin,3,4,5,0,0,60,1.5,0,0,0,0,-1,0.5
9,SBJakati,6,11,10,0,0,60,3,0,0,0,0,-1,2
10,DEBollinger,3,7,5,0,0,60,1.5,0,0,0,0,-1,0.5
11,RELevi,50,34,35,6,3,142.85,25,3,3,4,0,0,35
12,SRTendulkar,16,48,15,1,1,106.66,8,0.5,1,0,0,0,9.5
13,RGSharma,0,7,3,0,0,0,0,0,0,0,0,-3,-3
14,ATRayudu,18,39,18,0,1,100,9,0,1,0,0,0,10
15,JECFranklin,25,32,30,2,0,83.33,12.5,1,0,0,0,0,13.5
16,MKPandey,0,3,5,0,0,0,0,0,0,0,0,-3,-3
17,SCGanguly,3,16,6,0,0,50,1.5,0,0,0,0,-2,-0.5
18,WDParnell,11,19,14,2,0,78.57,5.5,1,0,0,0,0,6.5
19,RVUthappa,36,52,33,3,0,109.09,18,1.5,0,0,0,0,19.5
20,CJFerguson,12,17,13,1,0,92.3,6,0.5,0,0,0,0,6.5
21,SPDSmith,39,49,32,4,0,121.87,19.5,2,0,0,0,0,21.5
22,MNSamuels,4,7,4,0,0,100,2,0,0,0,0,0,2
23,BKumar,2,3,4,0,0,50,1,0,0,0,0,-2,-1
24,MKartik,14,13,9,1,1,155.55,7,0.5,1,0,0,0,8.5
26,RELevi,0,1,2,0,0,0,0,0,0,0,0,-3,-3
27,ATRayudu,1,6,2,0,0,50,0.5,0,0,0,0,-2,-1.5
28,RGSharma,1,9,6,0,0,16.66,0.5,0,0,0,0,-3,-2.5
29,JECFranklin,32,76,42,1,0,76.19,16,0.5,0,0,0,0,16.5
30,KDKarthik,32,38,32,4,1,100,16,2,1,0,0,0,19
31,SAYadav,0,6,4,0,0,0,0,0,0,0,0,-3,-3
32,KAPollard,8,17,11,0,0,72.72,4,0,0,0,0,0,4
33,HarbhajanSingh,16,19,15,2,0,106.66,8,1,0,0,0,0,9
34,SLMalinga,5,7,3,1,0,166.66,2.5,0.5,0,0,0,0,3
35,PPOjha,0,5,1,0,0,0,0,0,0,0,0,-3,-3
36,MMPatel,1,1,2,0,0,50,0.5,0,0,0,0,-2,-1.5
37,RDravid,28,42,24,3,0,116.66,14,1.5,0,0,0,0,15.5
38,AMRahane,98,87,66,16,1,148.48,49,8,1,4,0,0,62
39,ALMenaria,0,5,3,0,0,0,0,0,0,0,0,-3,-3
40,BJHodge,21,27,16,1,1,131.25,10.5,0.5,1,0,0,0,12
41,OAShah,14,14,8,2,0,175,7,1,0,0,0,0,8
42,KKCooper,11,3,3,1,1,366.66,5.5,0.5,1,0,0,0,7
43,ACGilchrist,27,19,18,3,1,150,13.5,1.5,1,0,0,0,16
44,PCValthaty,13,28,15,2,0,86.66,6.5,1,0,0,0,0,7.5
45,SEMarsh,7,14,6,1,0,116.66,3.5,0.5,0,0,0,0,4
46,AMNayar,10,9,10,0,1,100,5,0,1,0,0,0,6
47,DJHussey,13,19,10,1,0,130,6.5,0.5,0,0,0,0,7
48,MandeepSingh,34,37,25,5,0,136,17,2.5,0,0,0,0,19.5
49,BipulSharma,18,20,13,2,0,138.46,9,1,0,0,0,0,10
50,PPChawla,10,11,8,0,1,125,5,0,1,0,0,0,6
51,JPFaulkner,11,18,9,0,0,122.22,5.5,0,0,0,0,0,5.5
52,PKumar,10,6,6,0,1,166.66,5,0,1,0,0,0,6
53,HarmeetSingh,1,1,1,0,0,100,0.5,0,0,0,0,0,0.5
54,ABMcDonald,30,27,19,4,2,157.89,15,2,2,0,0,0,19
55,CAPujara,11,18,12,1,0,91.66,5.5,0.5,0,0,0,0,6
56,VKohli,8,13,8,1,0,100,4,0.5,0,0,0,0,4.5
57,ABdeVilliers,64,64,42,6,2,152.38,32,3,2,4,0,0,41
58,SSTiwary,1,4,3,0,0,33.33,0.5,0,0,0,0,-3,-2.5
59,MAAgarwal,16,16,15,1,1,106.66,8,0.5,1,0,0,0,9.5
60,DLVettori,3,8,4,0,0,75,1.5,0,0,0,0,0,1.5
61,RVinayKumar,18,26,16,1,0,112.5,9,0.5,0,0,0,0,9.5
62,HVPatel,0,1,1,0,0,0,0,0,0,0,0,-3,-3
63,AJFinch,25,43,24,3,0,104.16,12.5,1.5,0,0,0,0,14
64,VSehwag,0,3,1,0,0,0,0,0,0,0,0,-3,-3
65,NVOjha,33,28,26,4,1,126.92,16.5,2,1,0,0,0,19.5
66,YVenugopalRao,18,28,23,1,0,78.26,9,0.5,0,0,0,0,9.5
67,GJMaxwell,3,6,4,0,0,75,1.5,0,0,0,0,0,1.5
68,YNagar,16,28,15,2,0,106.66,8,1,0,0,0,0,9
69,IKPathan,24,29,15,2,1,160,12,1,1,0,0,0,14
70,DAJBracewell,12,16,9,1,0,133.33,6,0.5,0,0,0,0,6.5
71,MMorkel,2,4,3,0,0,66.66,1,0,0,0,0,-1,0
72,MVijay,2,1,5,0,0,40,1,0,0,0,0,-3,-2
73,FduPlessis,39,36,25,1,4,156,19.5,0.5,4,0,0,0,24
74,SKRaina,16,22,12,3,0,133.33,8,1.5,0,0,0,0,9.5
75,SBadrinath,25,33,20,3,0,125,12.5,1.5,0,0,0,0,14
76,RAJadeja,48,47,29,3,3,165.51,24,1.5,3,0,0,0,28.5
77,MSDhoni,7,10,9,0,0,77.77,3.5,0,0,0,0,0,3.5
78,DJBravo,43,28,18,0,5,238.88,21.5,0,5,0,0,0,26.5
79,JAMorkel,2,13,3,0,0,66.66,1,0,0,0,0,-1,0
80,DJHarris,15,17,14,3,0,107.14,7.5,1.5,0,0,0,0,9
81,SDhawan,21,26,18,3,0,116.66,10.5,1.5,0,0,0,0,12
82,PAPatel,20,26,17,3,0,117.64,10,1.5,0,0,0,0,11.5
83,CLWhite,23,22,16,2,1,143.75,11.5,1,1,0,0,0,13.5
84,BChipli,10,8,9,0,1,111.11,5,0,1,0,0,0,6
85,DTChristian,2,7,3,0,0,66.66,1,0,0,0,0,-1,0
86,MSGony,4,6,8,0,0,50,2,0,0,0,0,-2,0
87,DBRaviTeja,0,4,2,0,0,0,0,0,0,0,0,-3,-3
88,AnkitSharma,15,13,8,0,2,187.5,7.5,0,2,0,0,0,9.5
89,DWSteyn,5,9,8,0,0,62.5,2.5,0,0,0,0,-1,1.5
91,JDRyder,8,23,8,0,0,100,4,0,0,0,0,0,4
92,SCGanguly,20,19,18,3,0,111.11,10,1.5,0,0,0,0,11.5
93,MNSamuels,46,46,39,4,2,117.94,23,2,2,0,0,0,27
94,RVUthappa,40,59,33,2,2,121.21,20,1,2,0,0,0,23
95,CJFerguson,3,7,6,0,0,50,1.5,0,0,0,0,-2,-0.5
96,SPDSmith,25,17,12,0,3,208.33,12.5,0,3,0,0,0,15.5
97,MKPandey,12,11,4,1,1,300,6,0.5,1,0,0,0,7.5
98,RSharma,0,2,2,0,0,0,0,0,0,0,0,-3,-3
99,ACGilchrist,6,16,11,1,0,54.54,3,0.5,0,0,0,-2,1.5
100,PCValthaty,1,9,5,0,0,20,0.5,0,0,0,0,-3,-2.5
101,MandeepSingh,24,37,23,3,0,104.34,12,1.5,0,0,0,0,13.5
102,AMNayar,24,44,28,2,0,85.71,12,1,0,0,0,0,13
103,DJHussey,18,19,17,0,1,105.88,9,0,1,0,0,0,10
104,PPChawla,16,11,8,2,1,200,8,1,1,0,0,0,10
105,ADMascarenhas,5,13,5,0,0,100,2.5,0,0,0,0,0,2.5
106,BipulSharma,35,23,18,3,2,194.44,17.5,1.5,2,0,0,0,21
107,JPFaulkner,3,10,4,0,0,75,1.5,0,0,0,0,0,1.5
108,PKumar,1,4,2,0,0,50,0.5,0,0,0,0,-2,-1.5
109,PAPatel,1,6,5,0,0,20,0.5,0,0,0,0,-3,-2.5
110,SDhawan,41,30,24,2,4,170.83,20.5,1,4,0,0,0,25.5
111,BChipli,1,5,6,0,0,16.66,0.5,0,0,0,0,-3,-2.5
112,DTChristian,39,73,36,1,2,108.33,19.5,0.5,2,0,0,0,22
113,KCSangakkara,14,30,19,1,0,73.68,7,0.5,0,0,0,0,7.5
114,CLWhite,30,36,22,1,2,136.36,15,0.5,2,0,0,0,17.5
115,DBRaviTeja,4,1,2,1,0,200,2,0.5,0,0,0,0,2.5
116,AMishra,0,2,2,0,0,0,0,0,0,0,0,-3,-3
117,DWSteyn,2,4,2,0,0,100,1,0,0,0,0,0,1
118,AnkitSharma,1,1,2,0,0,50,0.5,0,0,0,0,-2,-1.5
119,TLSuman,5,7,9,1,0,55.55,2.5,0.5,0,0,0,-2,1
120,RELevi,3,15,9,0,0,33.33,1.5,0,0,0,0,-3,-1.5
121,RGSharma,73,84,50,4,5,146,36.5,2,5,4,0,0,47.5
122,ATRayudu,19,30,24,1,0,79.16,9.5,0.5,0,0,0,0,10
123,KAPollard,24,21,18,0,3,133.33,12,0,3,0,0,0,15
124,KDKarthik,7,12,6,1,0,116.66,3.5,0.5,0,0,0,0,4
125,JECFranklin,7,10,4,1,0,175,3.5,0.5,0,0,0,0,4
126,JHKallis,22,28,23,3,1,95.65,11,1.5,1,0,0,0,13.5
127,GGambhir,64,77,39,9,1,164.1,32,4.5,1,4,0,0,41.5
128,MSBisla,46,29,29,2,3,158.62,23,1,3,0,0,0,27
129,YKPathan,1,3,3,0,0,33.33,0.5,0,0,0,0,-3,-2.5
130,MKTiwary,2,17,5,0,0,40,1,0,0,0,0,-3,-2
131,RNtenDoeschate,3,5,4,0,0,75,1.5,0,0,0,0,0,1.5
132,ShakibAlHasan,4,8,4,0,0,100,2,0,0,0,0,0,2
133,LRShukla,5,10,8,0,0,62.5,2.5,0,0,0,0,-1,1.5
134,BLee,8,8,4,0,1,200,4,0,1,0,0,0,5
135,RBhatia,4,3,1,1,0,400,2,0.5,0,0,0,0,2.5
136,CAPujara,6,9,9,0,1,66.66,3,0,1,0,0,-1,3
137,CHGayle,2,17,8,0,0,25,1,0,0,0,0,-3,-2
138,VKohli,6,20,14,1,0,42.85,3,0.5,0,0,0,-3,0.5
139,ABdeVilliers,10,19,10,1,0,100,5,0.5,0,0,0,0,5.5
140,SSTiwary,18,45,19,1,0,94.73,9,0.5,0,0,0,0,9.5
141,MAAgarwal,5,11,6,0,0,83.33,2.5,0,0,0,0,0,2.5
142,DLVettori,20,13,12,3,1,166.66,10,1.5,1,0,0,0,12.5
143,RVinayKumar,25,34,26,0,1,96.15,12.5,0,1,0,0,0,13.5
144,HVPatel,10,15,9,1,0,111.11,5,0.5,0,0,0,0,5.5
145,ZKhan,11,6,7,1,0,157.14,5.5,0.5,0,0,0,0,6
146,FduPlessis,15,14,12,3,0,125,7.5,1.5,0,0,0,0,9
148,SKRaina,17,28,16,0,2,106.25,8.5,0,2,0,0,0,10.5
149,SBadrinath,15,31,16,1,1,93.75,7.5,0.5,1,0,0,0,9
150,RAJadeja,13,18,17,1,0,76.47,6.5,0.5,0,0,0,0,7
151,DJBravo,22,32,31,1,0,70.96,11,0.5,0,0,0,0,11.5
152,MSDhoni,11,23,18,0,0,61.11,5.5,0,0,0,0,-1,4.5
153,JAMorkel,2,12,3,0,0,66.66,1,0,0,0,0,-1,0
154,RAshwin,8,3,5,1,0,160,4,0.5,0,0,0,0,4.5
155,SBJakati,1,2,2,0,0,50,0.5,0,0,0,0,-2,-1.5
156,NVOjha,14,17,12,3,0,116.66,7,1.5,0,0,0,0,8.5
157,VSehwag,33,26,21,4,1,157.14,16.5,2,1,0,0,0,19.5
158,KPPietersen,43,36,26,3,2,165.38,21.5,1.5,2,0,0,0,25
159,DPMDJayawardene,20,27,21,1,0,95.23,10,0.5,0,0,0,0,10.5
160,RELevi,29,39,22,4,1,131.81,14.5,2,1,0,0,0,17.5
161,TLSuman,10,13,10,0,1,100,5,0,1,0,0,0,6
162,RGSharma,21,14,13,2,1,161.53,10.5,1,1,0,0,0,12.5
163,ATRayudu,47,64,32,1,3,146.87,23.5,0.5,3,0,0,0,27
164,KAPollard,64,39,33,6,4,193.93,32,3,4,4,0,0,43
165,KDKarthik,0,3,1,0,0,0,0,0,0,0,0,-3,-3
166,JECFranklin,2,4,3,0,0,66.66,1,0,0,0,0,-1,0
167,HarbhajanSingh,18,4,6,1,2,300,9,0.5,2,0,0,0,11.5
168,RDravid,3,6,5,0,0,60,1.5,0,0,0,0,-1,0.5
169,AMRahane,40,50,31,4,2,129.03,20,2,2,0,0,0,24
170,SPGoswami,0,1,1,0,0,0,0,0,0,0,0,-3,-3
171,OAShah,76,57,42,5,5,180.95,38,2.5,5,4,0,0,49.5
172,ALMenaria,20,38,15,2,1,133.33,10,1,1,0,0,0,12
173,JBotha,2,2,3,0,0,66.66,1,0,0,0,0,-1,0
174,KKCooper,14,14,6,0,2,233.33,7,0,2,0,0,0,9
175,AAChavan,4,6,2,1,0,200,2,0.5,0,0,0,0,2.5
176,GBHogg,2,12,5,0,0,40,1,0,0,0,0,-3,-2
177,ASingh,0,1,3,0,0,0,0,0,0,0,0,-3,-3
178,SKTrivedi,5,8,6,0,0,83.33,2.5,0,0,0,0,0,2.5
179,MAAgarwal,45,23,26,5,3,173.07,22.5,2.5,3,0,0,0,28
180,CHGayle,68,80,35,2,6,194.28,34,1,6,4,0,0,45
181,VKohli,57,32,46,5,2,123.91,28.5,2.5,2,4,0,0,37
182,ABdeVilliers,4,5,2,1,0,200,2,0.5,0,0,0,0,2.5
183,SSTiwary,8,6,6,1,0,133.33,4,0.5,0,0,0,0,4.5
184,RRBhatkal,0,4,2,0,0,0,0,0,0,0,0,-3,-3
185,CAPujara,0,1,1,0,0,0,0,0,0,0,0,-3,-3
186,DLVettori,1,1,1,0,0,100,0.5,0,0,0,0,0,0.5
187,RVinayKumar,6,1,1,0,1,600,3,0,1,0,0,0,4
189,MVijay,11,22,15,1,0,73.33,5.5,0.5,0,0,0,0,6
190,FduPlessis,71,54,46,5,4,154.34,35.5,2.5,4,4,0,0,46
191,SKRaina,23,14,14,3,1,164.28,11.5,1.5,1,0,0,0,14
192,MSDhoni,41,41,24,1,2,170.83,20.5,0.5,2,0,0,0,23
193,DJBravo,25,33,15,2,1,166.66,12.5,1,1,0,0,0,14.5
194,JAMorkel,28,8,7,2,3,400,14,1,3,0,0,0,18
195,RAJadeja,4,9,1,1,0,400,2,0.5,0,0,0,0,2.5
196,JDRyder,7,13,11,1,0,63.63,3.5,0.5,0,0,0,-1,3
197,SCGanguly,16,28,9,3,0,177.77,8,1.5,0,0,0,0,9.5
198,MNSamuels,2,17,12,0,0,16.66,1,0,0,0,0,-3,-2
199,RVUthappa,17,33,16,0,1,106.25,8.5,0,1,0,0,0,9.5
200,ADMathews,11,14,9,2,0,122.22,5.5,1,0,0,0,0,6.5
201,MManhas,31,40,28,3,1,110.71,15.5,1.5,1,0,0,0,18
202,SPDSmith,13,12,13,1,0,100,6.5,0.5,0,0,0,0,7
203,MKPandey,0,6,3,0,0,0,0,0,0,0,0,-3,-3
204,RSharma,2,7,4,0,0,50,1,0,0,0,0,-2,-1
205,ANehra,2,9,4,0,0,50,1,0,0,0,0,-2,-1
206,ABDinda,2,6,5,0,0,40,1,0,0,0,0,-3,-2
207,PCValthaty,0,1,1,0,0,0,0,0,0,0,0,-3,-3
208,ACGilchrist,21,36,17,3,0,123.52,10.5,1.5,0,0,0,0,12
209,SEMarsh,64,79,54,7,1,118.51,32,3.5,1,4,0,0,40.5
210,MandeepSingh,10,17,10,1,0,100,5,0.5,0,0,0,0,5.5
211,PPChawla,21,26,24,3,0,87.5,10.5,1.5,0,0,0,0,12
212,RDravid,28,36,27,5,0,103.7,14,2.5,0,0,0,0,16.5
213,AMRahane,19,27,16,3,0,118.75,9.5,1.5,0,0,0,0,11
214,ALMenaria,1,5,6,0,0,16.66,0.5,0,0,0,0,-3,-2.5
215,SPGoswami,24,37,22,1,1,109.09,12,0.5,1,0,0,0,13.5
216,OAShah,31,43,33,3,0,93.93,15.5,1.5,0,0,0,0,17
217,BJHodge,12,19,9,0,1,133.33,6,0,1,0,0,0,7
218,JBotha,6,10,7,1,0,85.71,3,0.5,0,0,0,0,3.5
219,JHKallis,31,48,38,3,0,81.57,15.5,1.5,0,0,0,0,17
220,GGambhir,11,18,11,2,0,100,5.5,1,0,0,0,0,6.5
221,MSBisla,29,48,29,3,0,100,14.5,1.5,0,0,0,0,16
222,MKTiwary,24,29,18,1,1,133.33,12,0.5,1,0,0,0,13.5
223,ShakibAlHasan,16,21,10,1,1,160,8,0.5,1,0,0,0,9.5
224,YKPathan,7,15,7,1,0,100,3.5,0.5,0,0,0,0,4
225,RNtenDoeschate,7,4,3,0,1,233.33,3.5,0,1,0,0,0,4.5
226,FduPlessis,43,40,33,5,2,130.3,21.5,2.5,2,0,0,0,26
227,MVijay,8,24,11,0,0,72.72,4,0,0,0,0,0,4
228,SKRaina,20,30,19,2,0,105.26,10,1,0,0,0,0,11
229,MSDhoni,26,52,28,1,0,92.85,13,0.5,0,0,0,0,13.5
230,RAJadeja,44,39,26,4,2,169.23,22,2,2,0,0,0,26
231,JAMorkel,3,6,3,0,0,100,1.5,0,0,0,0,0,1.5
232,DJBravo,5,4,2,1,0,250,2.5,0.5,0,0,0,0,3
233,RVUthappa,10,12,7,0,1,142.85,5,0,1,0,0,0,6
234,JDRyder,73,91,56,7,1,130.35,36.5,3.5,1,4,0,0,45
235,SCGanguly,16,22,16,1,0,100,8,0.5,0,0,0,0,8.5
236,MNSamuels,8,18,15,0,0,53.33,4,0,0,0,0,-2,2
237,SPDSmith,44,36,22,4,3,200,22,2,3,0,0,0,27
238,ACGilchrist,5,11,9,0,0,55.55,2.5,0,0,0,0,-2,0.5
239,MandeepSingh,38,56,34,3,1,111.76,19,1.5,1,0,0,0,21.5
240,SEMarsh,1,7,6,0,0,16.66,0.5,0,0,0,0,-3,-2.5
241,DJHussey,32,48,31,1,1,103.22,16,0.5,1,0,0,0,17.5
242,PDogra,6,23,11,0,0,54.54,3,0,0,0,0,-2,1
243,BipulSharma,12,18,11,0,1,109.09,6,0,1,0,0,0,7
244,ADMascarenhas,0,2,1,0,0,0,0,0,0,0,0,-3,-3
245,PPChawla,13,14,8,0,1,162.5,6.5,0,1,0,0,0,7.5
246,PKumar,0,1,1,0,0,0,0,0,0,0,0,-3,-3
247,HarmeetSingh,14,6,6,3,0,233.33,7,1.5,0,0,0,0,8.5
248,BABhatt,6,2,2,0,1,300,3,0,1,0,0,0,4
249,JHKallis,1,8,5,0,0,20,0.5,0,0,0,0,-3,-2.5
250,GGambhir,22,17,13,4,0,169.23,11,2,0,0,0,0,13
251,MSBisla,27,46,25,1,1,108,13.5,0.5,1,0,0,0,15
252,MKTiwary,20,33,27,1,0,74.07,10,0.5,0,0,0,0,10.5
253,ShakibAlHasan,4,14,8,0,0,50,2,0,0,0,0,-2,0
254,YKPathan,0,1,3,0,0,0,0,0,0,0,0,-3,-3
255,DBDas,35,35,23,3,1,152.17,17.5,1.5,1,0,0,0,20
256,RNtenDoeschate,11,22,14,1,0,78.57,5.5,0.5,0,0,0,0,6
257,RBhatia,3,3,2,0,0,150,1.5,0,0,0,0,0,1.5
258,RDravid,25,40,32,2,0,78.12,12.5,1,0,0,0,0,13.5
259,AMRahane,103,86,60,12,5,171.66,51.5,6,5,4,8,0,74.5
260,OAShah,60,37,26,5,5,230.76,30,2.5,5,4,0,0,41.5
261,BJHodge,1,7,2,0,0,50,0.5,0,0,0,0,-2,-1.5
262,MAAgarwal,34,20,21,3,3,161.9,17,1.5,3,0,0,0,21.5
263,CHGayle,8,22,9,0,1,88.88,4,0,1,0,0,0,5
264,VKohli,22,29,18,2,0,122.22,11,1,0,0,0,0,12
265,ABdeVilliers,6,16,9,0,0,66.66,3,0,0,0,0,-1,2
266,SSTiwary,17,27,16,0,1,106.25,8.5,0,1,0,0,0,9.5
267,MKaif,14,24,16,1,0,87.5,7,0.5,0,0,0,0,7.5
268,DLVettori,1,2,2,0,0,50,0.5,0,0,0,0,-2,-1.5
269,RVinayKumar,11,12,9,1,0,122.22,5.5,0.5,0,0,0,0,6
270,ZKhan,0,10,3,0,0,0,0,0,0,0,0,-3,-3
271,SAravind,14,12,8,3,0,175,7,1.5,0,0,0,0,8.5
272,MMuralitharan,6,9,8,0,0,75,3,0,0,0,0,0,3
273,RELevi,1,14,4,0,0,25,0.5,0,0,0,0,-3,-2.5
274,DJJacobs,0,7,10,0,0,0,0,0,0,0,0,-3,-3
275,RGSharma,29,37,27,5,0,107.4,14.5,2.5,0,0,0,0,17
276,ATRayudu,4,16,11,0,0,36.36,2,0,0,0,0,-3,-1
277,KAPollard,1,6,3,0,0,33.33,0.5,0,0,0,0,-3,-2.5
278,KDKarthik,3,10,4,0,0,75,1.5,0,0,0,0,0,1.5
279,HarbhajanSingh,33,41,22,5,1,150,16.5,2.5,1,0,0,0,20
280,CJMcKay,8,21,15,0,0,53.33,4,0,0,0,0,-2,2
281,RPSingh,0,4,4,0,0,0,0,0,0,0,0,-3,-3
282,PPOjha,3,15,12,0,0,25,1.5,0,0,0,0,-3,-1.5
283,MMPatel,1,4,5,0,0,20,0.5,0,0,0,0,-3,-2.5
284,NVOjha,13,23,15,2,0,86.66,6.5,1,0,0,0,0,7.5
285,VSehwag,32,55,36,2,1,88.88,16,1,1,0,0,0,18
286,KPPietersen,9,11,8,1,0,112.5,4.5,0.5,0,0,0,0,5
287,DPMDJayawardene,17,32,20,1,0,85,8.5,0.5,0,0,0,0,9
288,LRPLTaylor,11,12,10,1,0,110,5.5,0.5,0,0,0,0,6
289,KCSangakkara,44,46,32,5,1,137.5,22,2.5,1,0,0,0,25.5
290,SDhawan,52,57,43,8,0,120.93,26,4,0,4,0,0,34
291,DTChristian,29,44,19,2,1,152.63,14.5,1,1,0,0,0,16.5
292,JPDuminy,58,33,26,3,5,223.07,29,1.5,5,4,0,0,39.5
293,RDravid,42,26,24,7,1,175,21,3.5,1,0,0,0,25.5
294,AMRahane,44,65,31,5,1,141.93,22,2.5,1,0,0,0,25.5
295,ALMenaria,22,28,20,1,1,110,11,0.5,1,0,0,0,12.5
296,OAShah,12,16,11,1,0,109.09,6,0.5,0,0,0,0,6.5
297,BJHodge,48,30,21,6,2,228.57,24,3,2,0,0,0,29
298,JBotha,14,19,9,0,1,155.55,7,0,1,0,0,0,8
299,DHYagnik,9,9,3,2,0,300,4.5,1,0,0,0,0,5.5
300,RVUthappa,69,60,45,9,2,153.33,34.5,4.5,2,4,0,0,45
301,JDRyder,34,32,22,4,1,154.54,17,2,1,0,0,0,20
302,SCGanguly,6,22,8,0,0,75,3,0,0,0,0,0,3
303,MNSamuels,34,29,20,1,2,170,17,0.5,2,0,0,0,19.5
304,SPDSmith,16,20,14,0,1,114.28,8,0,1,0,0,0,9
305,ADMathews,10,10,7,0,1,142.85,5,0,1,0,0,0,6
306,MManhas,6,9,4,1,0,150,3,0.5,0,0,0,0,3.5
308,TMDilshan,4,12,8,0,0,50,2,0,0,0,0,-2,0
309,CHGayle,81,76,48,4,8,168.75,40.5,2,8,4,0,0,54.5
310,MAAgarwal,9,18,10,0,1,90,4.5,0,1,0,0,0,5.5
311,VKohli,16,26,19,1,0,84.21,8,0.5,0,0,0,0,8.5
312,SSTiwary,36,46,23,1,2,156.52,18,0.5,2,0,0,0,20.5
313,ABdeVilliers,33,26,14,2,3,235.71,16.5,1,3,0,0,0,20.5
314,ACGilchrist,40,42,30,3,1,133.33,20,1.5,1,0,0,0,22.5
315,PCValthaty,8,14,8,1,0,100,4,0.5,0,0,0,0,4.5
316,SEMarsh,33,52,30,4,0,110,16.5,2,0,0,0,0,18.5
317,MandeepSingh,6,17,10,0,0,60,3,0,0,0,0,-1,2
318,DJHussey,10,26,14,0,0,71.42,5,0,0,0,0,0,5
319,PDogra,6,18,8,0,0,75,3,0,0,0,0,0,3
320,ADMascarenhas,9,10,10,1,0,90,4.5,0.5,0,0,0,0,5
321,PPChawla,9,11,10,0,0,90,4.5,0,0,0,0,0,4.5
322,BBMcCullum,15,25,18,3,0,83.33,7.5,1.5,0,0,0,0,9
323,GGambhir,66,71,44,7,1,150,33,3.5,1,4,0,0,41.5
324,MSBisla,11,18,14,0,1,78.57,5.5,0,1,0,0,0,6.5
325,JHKallis,30,26,23,2,1,130.43,15,1,1,0,0,0,17
326,KCSangakkara,1,9,7,0,0,14.28,0.5,0,0,0,0,-3,-2.5
327,SDhawan,44,40,29,5,1,151.72,22,2.5,1,0,0,0,25.5
328,PAPatel,45,42,27,5,1,166.66,22.5,2.5,1,0,0,0,26
329,DTChristian,19,30,21,1,0,90.47,9.5,0.5,0,0,0,0,10
330,JPDuminy,4,6,5,0,0,80,2,0,0,0,0,0,2
331,BChipli,25,30,17,3,1,147.05,12.5,1.5,1,0,0,0,15
332,AAJhunjhunwala,4,4,5,1,0,80,2,0.5,0,0,0,0,2.5
333,DWSteyn,2,2,3,0,0,66.66,1,0,0,0,0,-1,0
334,AMishra,6,9,6,0,0,100,3,0,0,0,0,0,3
335,AnkitSharma,1,2,1,0,0,100,0.5,0,0,0,0,0,0.5
336,NVOjha,1,2,4,0,0,25,0.5,0,0,0,0,-3,-2.5
337,VSehwag,7,16,5,1,0,140,3.5,0.5,0,0,0,0,4
338,KPPietersen,103,92,64,6,9,160.93,51.5,3,9,4,8,0,75.5
339,DPMDJayawardene,6,6,5,1,0,120,3,0.5,0,0,0,0,3.5
340,LRPLTaylor,13,22,11,1,0,118.18,6.5,0.5,0,0,0,0,7
341,IKPathan,5,21,11,0,0,45.45,2.5,0,0,0,0,-3,-0.5
342,YNagar,23,26,15,3,0,153.33,11.5,1.5,0,0,0,0,13
343,FduPlessis,58,79,48,4,2,120.83,29,2,2,4,0,0,37
344,SBadrinath,57,81,48,8,0,118.75,28.5,4,0,4,0,0,36.5
345,SKRaina,0,6,2,0,0,0,0,0,0,0,0,-3,-3
346,MSDhoni,28,24,12,3,1,233.33,14,1.5,1,0,0,0,16.5
347,DJBravo,12,12,8,0,1,150,6,0,1,0,0,0,7
348,RAJadeja,7,6,3,0,1,233.33,3.5,0,1,0,0,0,4.5
349,RVUthappa,8,7,5,2,0,160,4,1,0,0,0,0,5
350,JDRyder,9,12,10,2,0,90,4.5,1,0,0,0,0,5.5
351,SCGanguly,24,19,26,4,0,92.3,12,2,0,0,0,0,14
352,MKPandey,13,11,6,0,1,216.66,6.5,0,1,0,0,0,7.5
353,MNSamuels,26,32,24,2,1,108.33,13,1,1,0,0,0,15
354,SPDSmith,23,44,21,0,0,109.52,11.5,0,0,0,0,0,11.5
355,ADMathews,27,33,22,1,0,122.72,13.5,0.5,0,0,0,0,14
356,BKumar,2,14,4,0,0,50,1,0,0,0,0,-2,-1
357,MKartik,4,6,3,0,0,133.33,2,0,0,0,0,0,2
358,NSaini,14,11,12,1,0,116.66,7,0.5,0,0,0,0,7.5
359,PCValthaty,6,22,12,1,0,50,3,0.5,0,0,0,-2,1.5
360,SEMarsh,26,24,17,3,1,152.94,13,1.5,1,0,0,0,15.5
361,DJHussey,41,44,34,4,0,120.58,20.5,2,0,0,0,0,22.5
362,DAMiller,8,23,13,0,0,61.53,4,0,0,0,0,-1,3
