,BATSMEN,R,M,B,4s,6s,SR,sumpts_r,sumpts_4,sumpts_6,sumpts_50,sumpts_100,sumpts_sr,total
4845,MVohra,14,10,9,1,1,155.55,7,0.5,1,0,0,0,8.5
4846,WPSaha,14,10,9,3,0,155.55,7,1.5,0,0,0,0,8.5
4847,ARPatel,24,28,22,1,1,109.09,12,0.5,1,0,0,0,13.5
4848,GJMaxwell,44,40,20,2,4,220,22,1,4,0,0,0,27
4849,DAMiller,30,36,27,1,2,111.11,15,0.5,2,0,0,0,17.5
4850,CHGayle,6,17,8,1,0,75,3,0.5,0,0,0,0,3.5
4851,SRWatson,24,42,24,4,0,100,12,2,0,0,0,0,14
4852,MandeepSingh,12,10,10,3,0,120,6,1.5,0,0,0,0,7.5
4853,KMJadhav,69,53,37,5,5,186.48,34.5,2.5,5,4,0,0,46
4854,STRBinny,16,30,18,1,0,88.88,8,0.5,0,0,0,0,8.5
4855,VishnuVinod,9,8,5,0,1,180,4.5,0,1,0,0,0,5.5
4856,PNegi,10,12,8,0,1,125,5,0,1,0,0,0,6
4857,IqbalAbdulla,5,13,7,0,0,71.42,2.5,0,0,0,0,0,2.5
4858,TSMills,0,2,3,0,0,0,0,0,0,0,0,-3,-3
4859,APTare,18,20,17,3,0,105.88,9,1.5,0,0,0,0,10.5
4860,SWBillings,25,35,19,1,1,131.57,12.5,0.5,1,0,0,0,14
4861,KKNair,4,4,3,1,0,133.33,2,0.5,0,0,0,0,2.5
4862,SVSamson,13,27,12,1,0,108.33,6.5,0.5,0,0,0,0,7
4863,RRPant,57,70,36,3,4,158.33,28.5,1.5,4,4,0,0,38
4864,CHMorris,4,12,5,0,0,80,2,0,0,0,0,0,2
4865,CRBrathwaite,1,8,5,0,0,20,0.5,0,0,0,0,-3,-2.5
4866,PJCummins,6,11,6,1,0,100,3,0.5,0,0,0,0,3.5
4867,AMishra,8,24,14,0,0,57.14,4,0,0,0,0,-2,2
4868,SNadeem,0,3,2,0,0,0,0,0,0,0,0,-3,-3
4869,ZKhan,1,1,1,0,0,100,0.5,0,0,0,0,0,0.5
4870,JJRoy,31,27,21,5,0,147.61,15.5,2.5,0,0,0,0,18
4871,BBMcCullum,5,20,10,0,0,50,2.5,0,0,0,0,-2,0.5
4872,SKRaina,5,23,8,0,0,62.5,2.5,0,0,0,0,-1,1.5
4873,AJFinch,3,4,5,0,0,60,1.5,0,0,0,0,-1,0.5
4874,KDKarthik,30,54,32,2,0,93.75,15,1,0,0,0,0,16
4875,DRSmith,37,38,27,4,1,137.03,18.5,2,1,0,0,0,21.5
4876,DSKulkarni,1,6,2,0,0,50,0.5,0,0,0,0,-2,-1.5
4877,PKumar,7,13,7,0,0,100,3.5,0,0,0,0,0,3.5
4878,BasilThampi,13,10,8,0,1,162.5,6.5,0,1,0,0,0,7.5
4879,DAWarner,76,70,45,6,4,168.88,38,3,4,4,0,0,49
4880,SDhawan,9,12,9,0,1,100,4.5,0,1,0,0,0,5.5
4881,MCHenriques,52,57,39,6,0,133.33,26,3,0,4,0,0,33
4882,GGambhir,19,24,13,3,0,146.15,9.5,1.5,0,0,0,0,11
4883,CALynn,32,44,24,3,1,133.33,16,1.5,1,0,0,0,18.5
4884,RVUthappa,4,3,3,1,0,133.33,2,0.5,0,0,0,0,2.5
4885,MKPandey,81,75,47,5,5,172.34,40.5,2.5,5,4,0,0,52
4886,YKPathan,6,15,11,0,0,54.54,3,0,0,0,0,-2,1
4887,SAYadav,17,21,15,2,0,113.33,8.5,1,0,0,0,0,9.5
4888,CRWoakes,9,10,8,0,0,112.5,4.5,0,0,0,0,0,4.5
4889,SPNarine,1,10,2,0,0,50,0.5,0,0,0,0,-2,-1.5
4890,PAPatel,30,37,27,3,1,111.11,15,1.5,1,0,0,0,17.5
4891,JCButtler,28,42,22,1,2,127.27,14,0.5,2,0,0,0,16.5
4892,NRana,50,61,29,5,3,172.41,25,2.5,3,4,0,0,34.5
4893,RGSharma,2,6,6,0,0,33.33,1,0,0,0,0,-3,-2
4894,KHPandya,11,11,6,2,0,183.33,5.5,1,0,0,0,0,6.5
4895,KAPollard,17,22,17,1,1,100,8.5,0.5,1,0,0,0,10
4896,HHPandya,29,23,11,3,2,263.63,14.5,1.5,2,0,0,0,18
4897,HarbhajanSingh,1,8,1,0,0,100,0.5,0,0,0,0,0,0.5
4898,SRWatson,1,3,4,0,0,25,0.5,0,0,0,0,-3,-2.5
4899,VishnuVinod,7,15,12,1,0,58.33,3.5,0.5,0,0,0,-2,2
4900,ABdeVilliers,89,93,46,3,9,193.47,44.5,1.5,9,4,0,0,59
4901,KMJadhav,1,9,4,0,0,25,0.5,0,0,0,0,-3,-2.5
4902,MandeepSingh,28,36,34,1,1,82.35,14,0.5,1,0,0,0,15.5
4903,STRBinny,18,34,20,1,1,90,9,0.5,1,0,0,0,10.5
4904,MVohra,34,26,21,4,1,161.9,17,2,1,0,0,0,20
4905,HMAmla,58,64,38,4,3,152.63,29,2,3,4,0,0,38
4906,ARPatel,9,12,6,0,1,150,4.5,0,1,0,0,0,5.5
4907,GJMaxwell,43,24,22,3,4,195.45,21.5,1.5,4,0,0,0,27
