,Unnamed: 0,Unnamed: 0.1,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
0,0,0,TS Mills,4.0,0,31,1,7.75,11,3,1,1,0,10,4,5,0,0,19
1,1,1,A Choudhary,4.0,0,55,1,13.75,5,5,3,3,1,10,0,0,-3,0,7
2,2,2,YS Chahal,4.0,0,22,1,5.5,5,0,0,0,0,10,0,0,1,0,11
3,3,3,S Aravind,3.0,0,36,0,12.0,2,3,2,0,0,0,0,0,-3,0,-3
4,4,4,SR Watson,3.0,0,41,0,13.66,3,5,2,0,0,0,0,0,-3,0,-3
5,5,5,TM Head,1.0,0,11,0,11.0,0,0,1,0,0,0,0,0,-3,0,-3
6,6,6,STR Binny,1.0,0,10,1,10.0,1,1,0,0,0,10,0,0,-2,0,8
7,7,0,A Nehra,4.0,0,42,2,10.5,8,6,1,1,0,20,0,0,-2,0,18
8,8,1,B Kumar,4.0,0,27,2,6.75,12,1,2,1,0,20,0,0,0,0,20
9,9,2,BCJ Cutting,3.4,0,35,0,9.54,10,2,3,2,0,0,0,0,-1,0,-1
10,10,3,Rashid Khan,4.0,0,36,2,9.0,8,4,1,0,0,20,0,0,-1,0,19
11,11,4,DJ Hooda,1.0,0,7,1,7.0,4,0,1,0,0,10,0,0,0,0,10
12,12,5,MC Henriques,2.0,0,20,0,10.0,1,2,0,0,1,0,0,0,-2,0,-2
13,13,6,Bipul Sharma,1.0,0,4,1,4.0,2,0,0,0,0,10,0,0,2,0,12
14,14,0,AB Dinda,4.0,0,57,0,14.25,9,5,4,3,0,0,0,0,-3,0,-3
15,15,1,DL Chahar,2.0,0,21,0,10.5,6,3,1,0,0,0,0,0,-2,0,-2
16,16,2,BA Stokes,4.0,0,36,1,9.0,10,0,4,1,0,10,0,0,-1,0,9
17,17,3,Imran Tahir,4.0,0,28,3,7.0,8,2,1,0,0,30,0,0,0,0,30
18,18,4,A Zampa,3.0,0,26,1,8.66,5,2,1,1,0,10,0,0,0,0,10
19,19,5,R Bhatia,3.0,0,14,2,4.66,5,0,0,0,0,20,0,0,2,0,22
20,20,0,TG Southee,4.0,0,34,1,8.5,8,3,1,2,0,10,0,0,0,0,10
21,21,1,HH Pandya,4.0,0,36,1,9.0,5,5,0,0,0,10,0,0,-1,0,9
22,22,2,MJ McClenaghan,4.0,0,36,1,9.0,9,5,1,0,0,10,0,0,-1,0,9
23,23,3,JJ Bumrah,4.0,0,29,0,7.25,6,3,0,0,0,0,0,0,0,0,0
24,24,4,KH Pandya,2.0,0,21,0,10.5,2,1,1,0,0,0,0,0,-2,0,-2
25,25,5,KA Pollard,1.5,0,30,0,16.36,0,1,3,1,0,0,0,0,-3,0,-3
26,26,0,TA Boult,4.0,0,40,1,10.0,9,8,0,1,0,10,0,0,-2,0,8
27,27,1,PP Chawla,4.0,0,33,1,8.25,7,1,2,1,0,10,0,0,0,0,10
28,28,2,SP Narine,4.0,0,33,0,8.25,7,5,0,0,0,0,0,0,0,0,0
29,29,3,CR Woakes,3.0,0,35,0,11.66,5,5,1,0,0,0,0,0,-3,0,-3
30,30,4,Kuldeep Yadav,4.0,0,25,2,6.25,8,1,1,0,0,20,0,0,0,0,20
31,31,5,YK Pathan,1.0,0,15,0,15.0,1,0,2,0,0,0,0,0,-3,0,-3
32,32,0,P Kumar,2.0,0,13,0,6.5,2,1,0,0,0,0,0,0,0,0,0
33,33,1,DS Kulkarni,2.5,0,42,0,14.82,3,3,3,2,0,0,0,0,-3,0,-3
34,34,2,MS Gony,2.0,0,32,0,16.0,4,5,1,3,0,0,0,0,-3,0,-3
35,35,3,S Kaushik,4.0,0,40,0,10.0,10,7,1,0,0,0,0,0,-2,0,-2
36,36,4,DR Smith,1.0,0,23,0,23.0,1,1,3,0,0,0,0,0,-3,0,-3
37,37,5,SB Jakati,3.0,0,30,0,10.0,2,1,0,2,0,0,0,0,-2,0,-2
38,38,0,Sandeep Sharma,4.0,0,33,2,8.25,8,4,1,0,0,20,0,0,0,0,20
39,39,1,MM Sharma,4.0,0,34,0,8.5,6,2,2,0,0,0,0,0,0,0,0
40,40,2,AR Patel,4.0,0,27,1,6.75,7,1,1,2,0,10,0,0,0,0,10
41,41,3,T Natarajan,3.0,0,26,1,8.66,4,2,1,0,0,10,0,0,0,0,10
42,42,4,MP Stoinis,3.0,0,28,1,9.33,5,2,1,3,0,10,0,0,-1,0,9
43,43,5,Swapnil Singh,2.0,0,14,1,7.0,3,0,1,0,0,10,0,0,0,0,10
44,44,0,AB Dinda,3.0,0,26,1,8.66,7,1,2,0,0,10,0,0,0,0,10
45,45,1,DT Christian,2.0,0,24,0,12.0,4,3,1,2,0,0,0,0,-3,0,-3
46,46,2,BA Stokes,4.0,0,32,0,8.0,10,4,1,1,0,0,0,0,0,0,0
47,47,3,Imran Tahir,4.0,0,29,2,7.25,8,1,2,0,0,20,0,0,0,0,20
48,48,4,RD Chahar,4.0,0,32,1,8.0,9,0,2,4,0,10,0,0,0,0,10
49,49,5,R Bhatia,2.0,0,20,0,10.0,3,1,1,1,0,0,0,0,-2,0,-2
50,50,0,Z Khan,4.0,0,31,2,7.75,9,3,1,1,0,20,0,0,0,0,20
51,51,1,CH Morris,4.0,0,21,3,5.25,17,3,1,0,0,30,0,0,1,0,31
52,52,2,PJ Cummins,4.0,0,29,1,7.25,10,4,0,1,0,10,0,0,0,0,10
53,53,3,S Nadeem,4.0,0,13,1,3.25,12,0,0,1,0,10,0,0,3,0,13
54,54,4,A Mishra,2.0,0,32,0,16.0,3,2,3,0,0,0,0,0,-3,0,-3
55,55,5,CR Brathwaite,2.0,0,29,0,14.5,1,2,2,1,0,0,0,0,-3,0,-3
56,56,0,B Stanlake,4.0,0,29,2,7.25,12,4,0,1,0,20,0,0,0,0,20
57,57,1,YS Chahal,4.0,0,19,1,4.75,11,0,1,0,0,10,0,0,2,0,12
58,58,2,Iqbal Abdulla,3.0,0,36,2,12.0,3,2,2,3,0,20,0,0,-3,0,17
59,59,3,TS Mills,4.0,0,33,1,8.25,7,3,1,0,0,10,0,0,0,0,10
60,60,4,SR Watson,4.0,0,21,1,5.25,12,1,1,0,0,10,0,0,1,0,11
61,61,5,P Negi,1.0,0,3,2,3.0,3,0,0,0,0,20,0,0,3,0,23
62,62,0,Bipul Sharma,4.0,0,24,0,6.0,7,2,0,0,0,0,0,0,0,0,0
63,63,1,B Kumar,4.0,0,21,2,5.25,10,2,0,0,0,20,0,0,1,0,21
64,64,2,A Nehra,4.0,0,27,1,6.75,9,2,1,0,0,10,0,0,0,0,10
65,65,3,Rashid Khan,4.0,0,19,3,4.75,11,1,0,0,0,30,0,0,2,0,32
66,66,4,BCJ Cutting,3.0,0,29,0,9.66,2,2,1,0,0,0,0,0,-1,0,-1
67,67,5,MC Henriques,1.0,0,12,0,12.0,0,2,0,0,0,0,0,0,-3,0,-3
68,68,0,SK Raina,2.0,0,24,0,12.0,4,0,3,0,0,0,0,0,-3,0,-3
69,69,1,P Kumar,2.0,0,16,1,8.0,5,2,0,0,0,10,0,0,0,0,10
70,70,2,Tejas Baroka,3.3,0,33,0,9.42,6,2,2,0,0,0,0,0,-1,0,-1
71,71,3,DS Kulkarni,2.0,0,17,0,8.5,2,2,0,0,0,0,0,0,0,0,0
72,72,4,S Kaushik,4.0,0,29,0,7.25,7,3,0,1,0,0,0,0,0,0,0
