,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
491,92,Vinay  Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2,3.0
492,93,Bhuvneshwar  Kumar,11,9,6,40,11,13.33,40,100.0,0,0,4,0,3.0
493,94,Piyush  Chawla,16,12,4,106,21,13.25,88,120.45,0,0,9,4,3.0
494,95,Laxmi  Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5,3.0
495,96,Callum  Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0,3.0
496,97,Bharat  Chipli,5,4,1,37,25,12.33,35,105.71,0,0,3,2,3.0
497,98,Harbhajan  Singh,17,11,2,108,33,12.0,80,135.0,0,0,14,3,3.0
498,99,Abhishek  Jhunjhunwala,5,3,1,24,19,12.0,26,92.3,0,0,1,1,3.0
499,100,Praveen  Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1,3.0
500,1,Vinay  Kumar,16,5,4,70,26,70.0,44,159.09,0,0,6,3,1.0
501,2,David  Miller,12,12,5,418,101,59.71,254,164.56,1,3,28,24,1.0
502,3,Chris  Gayle,16,16,4,708,175,59.0,453,156.29,1,4,57,51,1.0
503,4,Michael  Hussey,17,17,3,733,95,52.35,566,129.5,0,6,81,17,1.0
504,5,Virat  Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22,1.0
505,6,Suresh  Raina,18,17,4,548,100,42.15,365,150.13,1,4,50,18,1.0
506,7,Kieron  Pollard,18,18,8,420,66,42.0,281,149.46,0,3,27,29,1.0
507,8,MS  Dhoni,18,16,5,461,67,41.9,283,162.89,0,4,32,25,1.0
508,9,Brad  Hodge,17,14,7,293,54,41.85,218,134.4,0,1,27,9,1.0
509,10,Moises  Henriques,10,9,5,165,44,41.25,125,132.0,0,0,20,3,1.0
510,11,Steve  Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4,1.0
511,12,Shikhar  Dhawan,10,10,2,311,73,38.87,253,122.92,0,3,37,5,1.0
