,POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,NEWPOS
703,4,AB  de Villiers,16,14,3,513,133,46.63,293,175.08,1,2,60,22,1.0
704,5,Virat  Kohli,16,16,5,505,82,45.9,386,130.82,0,3,35,23,1.0
705,6,Lendl  Simmons,13,13,1,540,71,45.0,441,122.44,0,6,56,21,1.0
706,7,Yusuf  Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12,1.0
707,8,Shane  Watson,10,9,1,347,104,43.37,257,135.01,1,1,37,14,1.0
708,9,David  Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21,1.0
709,10,JP  Duminy,14,13,3,414,78,41.4,315,131.42,0,4,27,20,1.0
710,11,Moises  Henriques,9,9,2,287,74,41.0,211,136.01,0,2,19,13,1.0
711,12,Chris  Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38,1.0
712,13,Quinton  de Kock,3,3,0,122,69,40.66,77,158.44,0,2,18,4,1.0
713,14,Kieron  Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28,1.0
714,15,Corey  Anderson,4,4,1,114,55,38.0,97,117.52,0,2,11,6,1.0
715,16,Chris  Morris,11,7,5,76,34,38.0,46,165.21,0,0,3,5,1.0
716,17,Andre  Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19,1.0
717,18,Rohit  Sharma,16,16,2,482,98,34.42,333,144.74,0,3,41,21,1.0
718,19,Shreyas  Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21,1.0
719,20,Brendon  McCullum,14,14,1,436,100,33.53,280,155.71,1,2,51,23,1.0
720,21,David  Miller,13,13,2,357,89,32.45,266,134.21,0,2,21,21,1.0
721,22,Ambati  Rayudu,15,14,5,281,53,31.22,193,145.59,0,1,18,16,1.0
722,23,MS  Dhoni,17,17,5,372,53,31.0,305,121.96,0,1,27,17,1.0
723,24,Kane  Williamson,2,2,1,31,26,31.0,27,114.81,0,0,1,1,1.0
724,25,David  Wiese,14,7,3,122,47,30.5,86,141.86,0,0,12,4,1.0
725,26,Robin  Uthappa,13,13,1,364,80,30.33,277,131.4,0,1,42,7,1.0
726,27,Faf  du Plessis,17,15,2,380,55,29.23,304,125.0,0,1,37,5,1.0
727,28,Ravi  Bopara,9,8,3,145,41,29.0,120,120.83,0,0,6,6,1.0
728,29,Umesh  Yadav,12,4,3,29,24,29.0,14,207.14,0,0,5,1,1.0
729,30,Manoj  Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,8,1,1.0
730,31,Lokesh  Rahul,9,8,3,142,44,28.4,126,112.69,0,0,8,5,1.0
731,32,Sarfaraz  Khan,13,8,4,111,45,27.75,71,156.33,0,0,12,2,1.0
732,33,Shikhar  Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6,1.0
733,34,Steve  Smith,14,12,1,293,79,26.63,221,132.57,0,2,33,3,2.0
734,35,Parthiv  Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5,2.0
735,36,Gautam  Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4,2.0
736,37,Dwayne  Smith,16,16,0,399,62,24.93,335,119.1,0,2,52,16,2.0
737,38,Suresh  Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16,2.0
738,39,Ashish  Reddy,6,5,2,73,22,24.33,46,158.69,0,0,3,5,2.0
739,40,Mayank  Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7,2.0
740,41,Kedar  Jadhav,14,12,4,189,63,23.62,140,135.0,0,1,16,7,2.0
741,42,George  Bailey,13,13,2,259,61,23.54,190,136.31,0,2,22,7,2.0
742,43,Eoin  Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11,2.0
743,44,Axar  Patel,14,12,3,206,40,22.88,174,118.39,0,0,13,8,2.0
744,45,Murali  Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8,2.0
745,46,Mandeep  Singh,14,9,2,157,54,22.42,100,157.0,0,1,17,6,2.0
746,47,Hardik  Pandya,9,8,3,112,61,22.4,62,180.64,0,1,9,8,2.0
747,48,Dwayne  Bravo,17,14,5,195,62,21.66,148,131.75,0,1,22,5,2.0
748,49,Angelo  Mathews,11,10,3,144,28,20.57,104,138.46,0,0,12,6,2.0
749,50,Manish  Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7,2.0
750,51,Sanju  Samson,14,11,1,204,76,20.4,163,125.15,0,1,16,8,2.0
751,52,Unmukt  Chand,6,5,0,102,58,20.4,83,122.89,0,1,13,2,2.0
752,53,Ryan  ten Doeschate,6,5,2,61,38,20.33,45,135.55,0,0,4,3,2.0
753,54,Shaun  Marsh,4,4,0,81,65,20.25,58,139.65,0,1,7,3,2.0
754,55,Dale  Steyn,6,3,2,20,19,20.0,13,153.84,0,0,3,0,2.0
755,56,Michael  Hussey,4,4,0,77,56,19.25,70,110.0,0,1,5,3,2.0
756,57,Wriddhiman  Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10,2.0
757,58,Yuvraj  Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10,2.0
758,59,Ravindra  Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,7,3,2.0
759,60,Stuart  Binny,13,8,4,74,20,18.5,66,112.12,0,0,7,1,2.0
760,61,Manvinder  Bisla,2,2,0,37,20,18.5,30,123.33,0,0,6,1,2.0
761,62,James  Faulkner,13,11,3,144,46,18.0,109,132.11,0,0,12,5,2.0
762,63,Rishi  Dhawan,5,5,3,36,25,18.0,33,109.09,0,0,2,2,2.0
763,64,Suryakumar  Yadav,13,13,4,157,46,17.44,113,138.93,0,0,12,8,2.0
764,65,Karn  Sharma,14,9,3,104,32,17.33,85,122.35,0,0,3,6,2.0
765,66,Ravichandran  Ashwin,14,6,3,52,23,17.33,32,162.5,0,0,6,1,2.0
766,67,Bhuvneshwar  Kumar,14,3,2,17,11,17.0,10,170.0,0,0,2,1,3.0
767,68,Deepak  Hooda,14,9,0,151,54,16.77,95,158.94,0,1,6,11,3.0
768,69,Harbhajan  Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9,3.0
769,70,Karun  Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5,3.0
770,71,Pawan  Negi,10,9,1,116,36,14.5,73,158.9,0,0,10,5,3.0
771,72,Naman  Ojha,14,11,1,137,28,13.7,121,113.22,0,0,12,4,3.0
772,73,Piyush  Chawla,13,8,4,54,22,13.5,47,114.89,0,0,5,2,3.0
773,74,Glenn  Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,13,8,3.0
774,75,Tim  Southee,7,3,2,13,7,13.0,9,144.44,0,0,1,0,3.0
775,76,Mitchell  McClenaghan,12,3,2,13,12,13.0,6,216.66,0,0,0,2,3.0
776,77,Dinesh  Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4,3.0
777,78,Virender  Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,12,3,3.0
778,79,Shakib  Al Hasan,4,3,0,36,23,12.0,27,133.33,0,0,5,0,3.0
779,80,Manan  Vohra,7,7,0,82,39,11.71,81,101.23,0,0,4,5,3.0
780,81,Aaron  Finch,3,3,1,23,10,11.5,33,69.69,0,0,4,0,3.0
781,82,Karanveer  Singh,4,3,2,11,5,11.0,16,68.75,0,0,1,0,3.0
782,83,Mitchell  Starc,13,3,2,11,9,11.0,14,78.57,0,0,1,0,3.0
783,84,Johan  Botha,4,3,0,31,17,10.33,15,206.66,0,0,5,1,3.0
784,85,Iqbal  Abdulla,5,2,0,20,20,10.0,18,111.11,0,0,4,0,3.0
785,86,Abu  Nechim,3,3,2,10,5,10.0,5,200.0,0,0,2,0,3.0
786,87,Hanuma  Vihari,5,4,0,39,16,9.75,35,111.42,0,0,6,0,3.0
787,88,Mohit  Sharma,16,6,3,28,21,9.33,18,155.55,0,0,1,2,3.0
788,89,Sandeep  Sharma,14,3,2,9,7,9.0,14,64.28,0,0,1,0,3.0
789,90,Mitchell  Johnson,9,8,4,31,13,7.75,36,86.11,0,0,1,1,3.0
790,91,Sean  Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1,3.0
791,92,Gurkeerat  Mann Singh,5,5,0,35,15,7.0,39,89.74,0,0,3,1,3.0
792,93,Aditya  Tare,2,2,0,14,7,7.0,17,82.35,0,0,1,0,3.0
793,94,Rilee  Rossouw,2,2,0,14,14,7.0,10,140.0,0,0,1,1,3.0
794,95,Ankit  Sharma,4,2,1,7,7,7.0,6,116.66,0,0,1,0,3.0
795,96,Brad  Hogg,6,2,1,7,5,7.0,6,116.66,0,0,0,0,3.0
796,97,Darren  Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,3.0
797,98,Anureet  Singh,14,6,3,18,10,6.0,31,58.06,0,0,0,1,3.0
798,99,Thisara  Perera,2,2,0,12,9,6.0,15,80.0,0,0,0,1,3.0
799,100,Varun  Aaron,6,1,0,6,6,6.0,3,200.0,0,0,0,1,3.0
800,1,Virat  Kohli,16,16,4,973,113,81.08,640,152.03,4,7,83,38,1.0
801,2,Yusuf  Pathan,15,13,8,361,63,72.2,248,145.56,0,3,33,13,1.0
802,3,Chris  Morris,12,7,4,195,82,65.0,109,178.89,0,1,15,12,1.0
803,4,David  Warner,17,17,3,848,93,60.57,560,151.42,0,9,88,31,1.0
804,5,AB  de Villiers,16,16,3,687,129,52.84,407,168.79,1,6,57,37,1.0
805,6,Steve  Smith,8,7,1,270,101,45.0,176,153.4,1,0,27,8,1.0
806,7,Rohit  Sharma,14,14,3,489,85,44.45,368,132.88,0,5,49,16,1.0
807,8,Lokesh  Rahul,14,12,3,397,68,44.11,271,146.49,0,4,37,16,1.0
808,9,Ajinkya  Rahane,14,14,3,480,74,43.63,379,126.64,0,6,54,9,1.0
809,10,MS  Dhoni,14,12,5,284,64,40.57,210,135.23,0,1,18,14,1.0
810,11,Krunal  Pandya,12,9,3,237,86,39.5,124,191.12,0,1,22,13,1.0
811,12,Aaron  Finch,13,12,2,393,74,39.3,299,131.43,0,5,45,11,1.0
812,13,Shikhar  Dhawan,17,17,4,501,82,38.53,429,116.78,0,4,51,8,1.0
813,14,Gautam  Gambhir,15,15,2,501,90,38.53,411,121.89,0,5,54,6,1.0
814,15,JP  Duminy,10,8,3,191,49,38.2,156,122.43,0,0,13,3,1.0
815,16,Quinton  de Kock,13,13,1,445,108,37.08,327,136.08,1,3,52,13,1.0
816,17,Marcus  Stoinis,7,5,1,146,52,36.5,108,135.18,0,1,13,4,1.0
817,18,Kevin  Pietersen,4,4,2,73,37,36.5,61,119.67,0,0,4,3,1.0
818,19,Karun  Nair,14,12,2,357,83,35.7,297,120.2,0,3,40,6,1.0
819,20,Murali  Vijay,14,14,1,453,89,34.84,364,124.45,0,5,50,10,1.0
820,21,Nitish  Rana,4,3,0,104,70,34.66,75,138.66,0,1,7,8,1.0
821,22,Faf  du Plessis,6,6,0,206,69,34.33,162,127.16,0,2,17,9,1.0
822,23,Rajat  Bhatia,10,6,5,34,21,34.0,20,170.0,0,0,1,2,1.0
823,24,Sarfaraz  Khan,5,4,2,66,35,33.0,31,212.9,0,0,7,4,1.0
824,25,Ben  Cutting,4,4,2,65,39,32.5,34,191.17,0,0,4,6,1.0
825,26,Shaun  Marsh,6,6,1,159,56,31.8,134,118.65,0,1,13,4,1.0
826,27,Manish  Pandey,12,11,3,248,52,31.0,183,135.51,0,2,17,9,1.0
827,28,Harbhajan  Singh,14,7,4,92,45,30.66,84,109.52,0,0,11,2,1.0
828,29,Ambati  Rayudu,13,12,1,334,65,30.36,278,120.14,0,2,28,12,1.0
829,30,Dwayne  Smith,12,12,1,324,73,29.45,221,146.6,0,3,35,16,1.0
830,31,Suresh  Raina,15,15,1,399,75,28.5,312,127.88,0,3,39,10,1.0
831,32,Pawan  Negi,8,6,4,57,19,28.5,59,96.61,0,0,2,3,1.0
832,33,Travis  Head,3,3,1,54,37,27.0,40,135.0,0,0,3,2,1.0
833,34,Andre  Russell,12,8,1,188,39,26.85,114,164.91,0,0,10,15,2.0
834,35,Suryakumar  Yadav,15,11,4,186,60,26.57,143,130.06,0,1,19,5,2.0
835,36,Sanju  Samson,14,14,3,291,60,26.45,259,112.35,0,1,20,8,2.0
836,37,Robin  Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,45,8,2.0
837,38,Yuvraj  Singh,10,10,1,236,44,26.22,179,131.84,0,0,22,13,2.0
838,39,Hashim  Amla,6,6,0,157,96,26.16,119,131.93,0,1,20,4,2.0
839,40,Kieron  Pollard,13,12,4,207,51,25.87,144,143.75,0,1,11,16,2.0
840,41,Dinesh  Karthik,16,15,2,335,53,25.76,266,125.93,0,3,38,3,2.0
841,42,James  Faulkner,7,5,2,77,32,25.66,59,130.5,0,0,7,0,2.0
842,43,Bipul  Sharma,7,4,2,51,27,25.5,25,204.0,0,0,1,5,2.0
843,44,Chris  Lynn,2,2,1,25,15,25.0,22,113.63,0,0,0,1,2.0
844,45,Rishabh  Pant,10,10,2,198,69,24.75,152,130.26,0,1,19,6,2.0
845,46,Eoin  Morgan,7,6,1,123,51,24.6,105,117.14,0,1,8,4,2.0
846,47,Wriddhiman  Saha,12,12,1,270,56,24.54,212,127.35,0,2,29,1,2.0
847,48,Saurabh  Tiwary,10,7,0,170,57,24.28,141,120.56,0,2,17,4,2.0
848,49,Sachin  Baby,11,6,1,119,33,23.8,79,150.63,0,0,9,5,2.0
849,50,Ashish  Reddy,4,3,1,47,32,23.5,29,162.06,0,0,2,4,2.0
850,51,Jos  Buttler,14,14,3,255,41,23.18,184,138.58,0,0,23,11,2.0
851,52,Manan  Vohra,7,7,0,161,51,23.0,131,122.9,0,1,19,3,2.0
852,53,Shakib  Al Hasan,10,7,2,114,66,22.8,106,107.54,0,1,7,5,2.0
853,54,Chris  Gayle,10,10,0,227,76,22.7,150,151.33,0,2,17,21,2.0
854,55,Gurkeerat  Mann Singh,7,6,1,113,51,22.6,86,131.39,0,1,11,3,2.0
855,56,Brendon  McCullum,16,16,0,354,60,22.12,262,135.11,0,1,38,16,2.0
856,57,Sam  Billings,5,4,0,88,54,22.0,64,137.5,0,1,4,4,2.0
857,58,Thisara  Perera,12,10,3,150,34,21.42,93,161.29,0,0,7,11,2.0
858,59,Ravindra  Jadeja,15,15,6,191,36,21.22,178,107.3,0,0,14,4,2.0
859,60,Usman  Khawaja,6,6,0,127,30,21.16,100,127.0,0,0,14,3,2.0
860,61,George  Bailey,6,5,1,84,34,21.0,98,85.71,0,0,9,2,2.0
861,62,Stuart  Binny,14,6,3,63,21,21.0,39,161.53,0,0,5,4,2.0
862,63,Kane  Williamson,6,6,0,124,50,20.66,122,101.63,0,1,14,0,2.0
863,64,Ravichandran  Ashwin,14,6,4,41,29,20.5,38,107.89,0,0,3,1,2.0
864,65,Glenn  Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,14,8,2.0
865,66,Martin  Guptill,3,3,0,57,48,19.0,55,103.63,0,0,3,3,2.0
866,67,Pradeep  Sahu,5,2,1,19,18,19.0,13,146.15,0,0,1,1,3.0
867,68,Parthiv  Patel,10,10,0,177,81,17.7,152,116.44,0,1,23,4,3.0
868,69,David  Miller,14,13,3,161,31,16.1,131,122.9,0,0,11,4,3.0
869,70,Albie  Morkel,2,1,0,16,16,16.0,9,177.77,0,0,0,2,3.0
870,71,Axar  Patel,14,10,3,111,36,15.85,77,144.15,0,0,4,8,3.0
871,72,Moises  Henriques,17,15,3,182,31,15.16,158,115.18,0,0,15,6,3.0
872,73,Carlos  Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8,3.0
873,74,Shane  Watson,16,15,2,179,36,13.76,134,133.58,0,0,14,12,3.0
874,75,Naman  Ojha,17,13,3,136,37,13.6,138,98.55,0,0,7,5,3.0
875,76,Kyle  Abbott,5,3,2,13,12,13.0,8,162.5,0,0,0,1,3.0
876,77,Vinay  Kumar,3,2,1,13,12,13.0,12,108.33,0,0,0,1,3.0
877,78,KC  Cariappa,5,2,1,13,12,13.0,11,118.18,0,0,0,1,3.0
878,79,Dwayne  Bravo,15,13,5,99,22,12.37,82,120.73,0,0,11,1,3.0
879,80,Eklavya  Dwivedi,4,2,0,24,19,12.0,14,171.42,0,0,2,2,3.0
880,81,Dhawal  Kulkarni,14,5,3,23,6,11.5,15,153.33,0,0,2,0,3.0
881,82,Nikhil  Naik,2,2,0,23,22,11.5,31,74.19,0,0,1,0,3.0
882,83,Mitchell  McClenaghan,14,5,2,34,20,11.33,23,147.82,0,0,2,3,3.0
883,84,Deepak  Hooda,17,15,1,144,34,10.28,121,119.0,0,0,9,5,3.0
884,85,Tim  Southee,11,4,1,30,25,10.0,19,157.89,0,0,1,2,3.0
885,86,Colin  Munro,4,3,0,30,16,10.0,30,100.0,0,0,3,0,3.0
886,87,Parveez  Rasool,4,1,0,10,10,10.0,9,111.11,0,0,1,0,3.0
887,88,Mayank  Agarwal,3,3,0,27,10,9.0,25,108.0,0,0,3,1,3.0
888,89,Piyush  Chawla,12,3,0,27,11,9.0,26,103.84,0,0,4,0,3.0
889,90,Umesh  Yadav,9,2,1,9,7,9.0,5,180.0,0,0,0,1,3.0
890,91,Ishan  Kishan,5,5,0,42,27,8.4,41,102.43,0,0,5,0,3.0
891,92,Mohit  Sharma,14,6,2,32,15,8.0,26,123.07,0,0,3,1,3.0
892,93,Rajagopal  Sathish,4,3,0,24,10,8.0,24,100.0,0,0,1,1,3.0
893,94,Jasprit  Bumrah,14,2,1,8,6,8.0,11,72.72,0,0,1,0,3.0
894,95,Lendl  Simmons,1,1,0,8,8,8.0,8,100.0,0,0,0,1,3.0
895,96,Bhuvneshwar  Kumar,17,8,2,43,21,7.16,27,159.25,0,0,6,1,3.0
896,97,Praveen  Kumar,16,7,3,28,15,7.0,27,103.7,0,0,4,0,3.0
897,98,Farhaan  Behardien,3,3,1,14,9,7.0,13,107.69,0,0,2,0,3.0
898,99,Sunil  Narine,11,4,3,7,4,7.0,13,53.84,0,0,0,0,3.0
899,100,Mitchell  Marsh,3,1,0,7,7,7.0,11,63.63,0,0,0,0,3.0
900,1,Hashim  Amla,10,10,3,420,104,60.0,288,145.83,2,2,40,17,1.0
901,2,David  Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26,1.0
902,3,Saurabh  Tiwary,1,1,0,52,52,52.0,43,120.93,0,1,9,0,1.0
903,4,Vijay  Shankar,4,4,2,101,63,50.5,75,134.66,0,1,12,1,1.0
904,5,Manish  Pandey,14,13,5,396,81,49.5,308,128.57,0,2,28,12,1.0
905,6,Chris  Lynn,7,7,1,295,93,49.16,163,180.98,0,3,25,19,1.0
906,7,Amit  Mishra,14,6,5,49,13,49.0,52,94.23,0,0,2,2,1.0
907,8,Moises  Henriques,12,11,5,277,55,46.16,203,136.45,0,3,28,4,1.0
908,9,Kane  Williamson,7,7,1,256,89,42.66,169,151.47,0,2,20,10,1.0
909,10,Gautam  Gambhir,16,16,4,498,76,41.5,389,128.02,0,4,61,7,1.0
910,11,Suresh  Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13,1.0
911,12,Ravindra  Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,13,4,1.0
912,13,Steve  Smith,15,15,3,472,84,39.33,387,121.96,0,3,38,12,1.0
913,14,Shikhar  Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,53,9,1.0
914,15,Dinesh  Karthik,14,13,3,361,65,36.1,259,139.38,0,2,30,11,1.0
915,16,Hardik  Pandya,17,16,9,250,35,35.71,160,156.25,0,0,11,20,1.0
916,17,Krunal  Pandya,13,11,4,243,47,34.71,179,135.75,0,0,24,7,1.0
917,18,Shreyas  Iyer,12,12,2,338,96,33.8,243,139.09,0,2,36,10,1.0
918,19,Shaun  Marsh,9,8,0,264,84,33.0,194,136.08,0,2,36,5,1.0
919,20,Ishank  Jaggi,2,2,1,33,28,33.0,39,84.61,0,0,3,0,1.0
920,21,Manoj  Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,31,11,1.0
921,22,Ben  Stokes,12,11,1,316,103,31.6,221,142.98,1,1,22,15,1.0
922,23,Glenn  Maxwell,14,13,3,310,47,31.0,179,173.18,0,0,19,26,1.0
923,24,Bipul  Sharma,7,3,2,31,21,31.0,24,129.16,0,0,2,1,1.0
924,25,Virat  Kohli,10,10,0,308,64,30.8,252,122.22,0,4,23,11,1.0
925,26,Chris  Morris,9,9,4,154,52,30.8,94,163.82,0,1,15,6,1.0
926,27,Nitish  Rana,13,12,1,333,62,30.27,264,126.13,0,3,24,17,1.0
927,28,Travis  Head,7,7,2,151,75,30.2,108,139.81,0,1,9,6,1.0
928,29,Robin  Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,36,21,1.0
929,30,Kieron  Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22,1.0
930,31,Jason  Roy,3,3,1,59,31,29.5,40,147.5,0,0,9,1,1.0
931,32,Brendon  McCullum,11,12,1,320,72,29.09,220,145.45,0,2,29,18,1.0
932,33,Axar  Patel,14,13,5,227,44,28.37,162,140.12,0,0,11,11,1.0
933,34,Yuvraj  Singh,12,11,2,252,70,28.0,177,142.37,0,2,30,8,2.0
934,35,Rahul  Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17,2.0
935,36,Ishan  Kishan,11,10,0,277,61,27.7,206,134.46,0,1,29,13,2.0
936,37,David  Miller,5,4,1,83,30,27.66,80,103.75,0,0,4,4,2.0
937,38,Sanju  Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19,2.0
938,39,Jos  Buttler,10,10,0,272,77,27.2,177,153.67,0,1,27,15,2.0
939,40,AB  de Villiers,9,9,1,216,89,27.0,163,132.51,0,1,12,16,2.0
940,41,Andrew  Tye,6,3,1,53,25,26.5,30,176.66,0,0,4,3,2.0
941,42,MS  Dhoni,16,15,4,290,61,26.36,250,116.0,0,1,15,16,2.0
942,43,Rishabh  Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24,2.0
943,44,Deepak  Hooda,10,6,3,78,19,26.0,52,150.0,0,0,5,4,2.0
944,45,Ben  Cutting,4,3,1,51,20,25.5,26,196.15,0,0,5,3,2.0
945,46,Ajinkya  Rahane,16,16,1,382,60,25.46,323,118.26,0,2,35,9,2.0
946,47,Manan  Vohra,11,9,0,229,95,25.44,159,144.02,0,1,23,9,2.0
947,48,Aaron  Finch,13,14,2,300,72,25.0,184,163.04,0,2,25,19,2.0
948,49,Aniket  Choudhary,5,3,2,25,15,25.0,20,125.0,0,0,1,1,2.0
949,50,Ankit  Sharma,1,1,0,25,25,25.0,15,166.66,0,0,2,1,2.0
950,51,Parthiv  Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8,2.0
951,52,Rohit  Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9,2.0
952,53,Wriddhiman  Saha,14,11,1,234,93,23.4,187,125.13,0,1,20,8,2.0
953,54,Sam  Billings,6,6,0,138,55,23.0,104,132.69,0,1,19,1,2.0
954,55,Kedar  Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,25,10,2.0
955,56,Chris  Gayle,9,9,0,200,77,22.22,163,122.69,0,1,15,14,2.0
956,57,Martin  Guptill,7,7,1,132,50,22.0,88,150.0,0,1,17,5,2.0
957,58,Dwayne  Smith,12,12,1,239,74,21.72,156,153.2,0,2,32,8,2.0
958,59,Karun  Nair,14,13,0,281,64,21.61,226,124.33,0,1,39,6,2.0
959,60,Corey  Anderson,11,11,4,142,41,20.28,123,115.44,0,0,8,9,2.0
960,61,Naman  Ojha,14,5,1,79,34,19.75,65,121.53,0,0,2,3,2.0
961,62,Lendl  Simmons,7,7,0,137,66,19.57,112,122.32,0,2,10,8,2.0
962,63,Sheldon  Jackson,4,3,1,38,16,19.0,31,122.58,0,0,5,0,2.0
963,64,Rahul  Tewatia,3,2,1,19,15,19.0,11,172.72,0,0,4,0,2.0
964,65,Mandeep  Singh,11,10,0,188,52,18.8,177,106.21,0,1,21,4,2.0
965,66,Kagiso  Rabada,6,3,0,55,44,18.33,64,85.93,0,0,5,1,2.0
966,67,Ambati  Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,7,3,3.0
967,68,Pawan  Negi,12,10,2,144,35,18.0,111,129.72,0,0,10,7,3.0
968,69,Yusuf  Pathan,15,11,3,143,59,17.87,115,124.34,0,1,9,6,3.0
969,70,Suryakumar  Yadav,10,7,1,105,31,17.5,88,119.31,0,0,8,3,3.0
970,71,Sunil  Narine,16,14,1,224,54,17.23,130,172.3,0,1,34,10,3.0
971,72,Eoin  Morgan,4,4,0,65,26,16.25,62,104.83,0,0,6,2,3.0
972,73,Angelo  Mathews,3,2,0,32,31,16.0,27,118.51,0,0,2,1,3.0
973,74,Rajat  Bhatia,3,2,1,16,16,16.0,17,94.11,0,0,0,1,3.0
974,75,Jasprit  Bumrah,16,2,1,16,16,16.0,12,133.33,0,0,0,1,3.0
975,76,Dan  Christian,13,9,4,79,17,15.8,49,161.22,0,0,5,5,3.0
976,77,Colin  de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,10,6,3.0
977,78,Stuart  Binny,8,7,2,78,18,15.6,76,102.63,0,0,6,3,3.0
978,79,Pat  Cummins,12,9,4,77,24,15.4,53,145.28,0,0,5,4,3.0
979,80,Anureet  Singh,1,1,0,15,15,15.0,12,125.0,0,0,2,0,3.0
980,81,Deepak  Chahar,3,1,0,14,14,14.0,6,233.33,0,0,0,2,3.0
981,82,James  Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,4,0,3.0
982,83,Shane  Watson,8,7,1,71,24,11.83,78,91.02,0,0,6,1,3.0
983,84,Chris  Woakes,13,7,3,46,18,11.5,47,97.87,0,0,4,1,3.0
984,85,Kuldeep  Yadav,12,2,0,20,16,10.0,22,90.9,0,0,2,0,3.0
985,86,Mohammed  Shami,8,6,2,36,21,9.0,24,150.0,0,0,4,2,3.0
986,87,Washington  Sundar,11,5,4,9,5,9.0,12,75.0,0,0,0,0,3.0
987,88,Mayank  Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,3,0,3.0
988,89,Mohit  Sharma,14,7,1,51,13,8.5,50,102.0,0,0,3,1,3.0
989,90,Karn  Sharma,9,6,0,49,19,8.16,41,119.51,0,0,5,2,3.0
990,91,Sreenath  Arvind,10,8,4,32,9,8.0,40,80.0,0,0,2,0,3.0
991,92,Harbhajan  Singh,11,7,5,16,7,8.0,16,100.0,0,0,0,1,3.0
992,93,Praveen  Kumar,6,2,1,8,7,8.0,9,88.88,0,0,0,0,3.0
993,94,Faf  du Plessis,2,1,0,8,8,8.0,7,114.28,0,0,1,0,3.0
994,95,Marlon  Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,2,3.0
995,96,Tim  Southee,3,1,0,7,7,7.0,3,233.33,0,0,0,1,3.0
996,97,Ashok  Dinda,3,1,0,7,7,7.0,7,100.0,0,0,1,0,3.0
997,98,Vishnu  Vinod,3,3,0,19,9,6.33,26,73.07,0,0,1,1,3.0
998,99,Aditya  Tare,3,3,0,18,18,6.0,23,78.26,0,0,3,0,3.0
999,100,Carlos  Brathwaite,2,2,0,12,11,6.0,15,80.0,0,0,2,0,3.0
