,BATSMEN,R,B,4s,6s,SR
415,YKPathan,21,19,1,1,110.52
416,MohammadNabi,4,2,1,0,200
418,KLRahul,32,26,4,1,123.07
419,CHGayle,23,22,1,2,104.54
420,MAAgarwal,12,15,0,0,80
421,KKNair,13,17,0,0,76.47
422,AJFinch,8,4,0,1,200
423,MKTiwary,1,5,0,0,20
424,RAshwin,4,6,0,0,66.66
425,AJTye,4,2,1,0,200
426,BBSran,2,5,0,0,40
427,ASRajpoot,8,9,1,0,88.88
428,MujeebUrRahman,10,5,2,0,200
429,PPShaw,62,44,7,2,140.9
430,CMunro,33,18,4,2,183.33
431,SSIyer,93,40,3,10,232.5
432,RRPant,0,1,0,0,0
433,GJMaxwell,27,18,1,2,150
434,VShankar,0,0,0,0,
436,CALynn,5,6,1,0,83.33
437,SPNarine,26,9,1,3,288.88
438,RVUthappa,1,2,0,0,50
439,NRana,8,7,1,0,114.28
440,KDKarthik,18,18,0,1,100
441,ShubmanGill,37,29,3,1,127.58
442,ADRussell,44,30,3,4,146.66
443,ShivamMavi,0,3,0,0,0
444,PPChawla,2,4,0,0,50
445,MGJohnson,12,6,2,0,200
446,KuldeepYadav,7,6,1,0,116.66
447,SRWatson,12,11,1,0,109.09
448,ATRayudu,46,35,2,4,131.42
449,SKRaina,75,47,6,4,159.57
450,MSDhoni,26,21,3,1,123.8
451,DJBravo,0,1,0,0,0
452,SWBillings,3,5,0,0,60
453,RAJadeja,0,0,0,0,
455,SAYadav,44,34,5,1,129.41
456,ELewis,47,43,3,2,109.3
457,RGSharma,56,33,6,2,169.69
458,HHPandya,13,8,0,1,162.5
459,ADHales,45,39,4,0,115.38
460,SDhawan,6,4,1,0,150
461,KSWilliamson,63,43,7,2,146.51
462,MKPandey,16,15,1,0,106.66
463,ShakibAlHasan,6,6,1,0,100
464,YKPathan,2,3,0,0,66.66
465,WPSaha,11,7,1,0,157.14
466,RashidKhan,1,3,0,0,33.33
467,BasilThampi,0,0,0,0,
469,AMRahane,65,53,5,1,122.64
470,RATripathi,4,5,0,0,80
471,SVSamson,40,30,3,1,133.33
472,BAStokes,0,3,0,0,0
473,JCButtler,10,11,0,0,90.9
474,MKLomror,11,12,0,0,91.66
475,KGowtham,8,5,1,0,160
476,JCArcher,1,1,0,0,100
