,BATSMEN,R,B,4s,6s,SR
209,PPChawla,0,3,0,0,0
210,ShivamMavi,0,0,0,0,
212,GGambhir,8,7,1,0,114.28
213,JJRoy,1,3,0,0,33.33
214,SSIyer,4,3,1,0,133.33
215,RRPant,43,26,7,1,165.38
216,GJMaxwell,47,22,3,4,213.63
217,RTewatia,1,2,0,0,50
218,VShankar,2,4,0,0,50
219,CHMorris,2,3,0,0,66.66
220,MohammedShami,7,6,1,0,116.66
221,SNadeem,6,8,0,0,75
222,TABoult,0,2,0,0,0
223,SAYadav,0,1,0,0,0
224,ELewis,65,42,6,5,154.76
225,IshanKishan,0,1,0,0,0
226,RGSharma,94,52,10,5,180.76
227,KHPandya,15,12,1,1,125
228,KAPollard,5,7,0,0,71.42
229,HHPandya,17,5,1,2,340
230,MJMcClenaghan,0,0,0,0,
232,VKohli,92,62,7,4,148.38
233,QdeKock,19,12,2,1,158.33
234,ABdeVilliers,1,2,0,0,50
235,MandeepSingh,16,14,1,0,114.28
236,CJAnderson,0,1,0,0,0
237,WashingtonSundar,7,8,1,0,87.5
238,SNKhan,5,6,1,0,83.33
239,CRWoakes,11,11,0,1,100
240,UTYadav,1,2,0,0,50
241,MohammedSiraj,8,3,0,1,266.66
242,AMRahane,36,19,5,1,189.47
243,DJMShort,44,43,5,1,102.32
