,Unnamed: 0,Unnamed: 0.1,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
359,359,2,L Balaji,3.0,0,43,2,14.33,7,4,3,1,1,20,0,0,-3,0,17
360,360,3,AR Patel,4.0,0,22,1,5.5,7,1,0,0,0,10,0,0,1,0,11
361,361,4,Shivam Sharma,4.0,0,26,2,6.5,12,1,2,0,0,20,0,0,0,0,20
362,362,5,GJ Maxwell,1.0,0,24,0,24.0,0,0,3,2,0,0,0,0,-3,0,-3
363,363,0,DW Steyn,4.0,0,20,2,5.0,13,1,1,0,0,20,0,0,1,0,21
364,364,1,B Kumar,4.0,0,23,1,5.75,11,2,0,0,0,10,0,0,1,0,11
365,365,2,KV Sharma,3.0,0,29,0,9.66,7,2,2,1,0,0,0,0,-1,0,-1
366,366,3,MC Henriques,3.0,0,26,2,8.66,7,3,1,0,0,20,0,0,0,0,20
367,367,4,A Mishra,3.0,0,23,2,7.66,6,2,1,0,0,20,0,0,0,0,20
368,368,5,IK Pathan,3.0,0,18,0,6.0,2,0,0,0,0,0,0,0,0,0,0
369,369,0,Mohammed Shami,1.0,0,6,0,6.0,4,1,0,0,1,0,0,0,0,0,0
370,370,1,S Kaul,1.0,0,5,1,5.0,4,0,0,2,0,10,0,0,1,0,11
371,371,2,Imran Tahir,1.0,0,7,0,7.0,1,0,0,1,0,0,0,0,0,0,0
372,372,3,R Shukla,1.0,0,13,1,13.0,1,1,1,0,0,10,0,0,-3,0,7
373,373,4,LR Shukla,0.2,0,7,0,21.0,0,0,1,0,0,0,0,0,-3,0,-3
374,374,0,S Badree,4.0,0,34,1,8.5,10,3,2,1,0,10,0,0,0,0,10
375,375,1,IC Pandey,4.0,0,34,1,8.5,15,2,3,2,0,10,0,0,0,0,10
376,376,2,RA Jadeja,4.0,0,33,0,8.25,8,1,2,0,0,0,0,0,0,0,0
377,377,3,MM Sharma,4.0,0,26,1,6.5,8,3,0,0,0,10,0,0,0,0,10
378,378,4,R Ashwin,4.0,0,30,3,7.5,7,1,1,1,0,30,0,0,0,0,30
379,379,0,P Kumar,4.0,0,31,2,7.75,12,4,1,0,0,20,0,0,0,0,20
380,380,1,SL Malinga,4.0,0,15,2,3.75,11,0,0,1,0,20,0,0,3,0,23
381,381,2,JJ Bumrah,4.0,0,33,0,8.25,9,3,1,1,0,0,0,0,0,0,0
382,382,3,Harbhajan Singh,4.0,0,22,0,5.5,10,1,1,0,0,0,0,0,1,0,1
383,383,4,KA Pollard,2.3,0,42,1,16.8,3,5,2,3,0,10,0,0,-3,0,7
384,384,5,CJ Anderson,1.0,0,11,0,11.0,2,0,1,0,0,0,0,0,-3,0,-3
385,385,0,JH Kallis,3.0,0,38,0,12.66,4,6,1,1,0,0,0,0,-3,0,-3
386,386,1,M Morkel,4.0,0,20,2,5.0,16,4,0,0,0,20,0,0,1,0,21
387,387,2,UT Yadav,4.0,0,34,1,8.5,6,4,0,1,0,10,0,0,0,0,10
388,388,3,SP Narine,4.0,0,30,1,7.5,8,2,1,0,0,10,0,0,0,0,10
389,389,4,PP Chawla,4.0,0,19,3,4.75,7,0,0,0,0,30,0,0,2,0,32
390,390,5,RN ten Doeschate,1.0,0,6,0,6.0,3,1,0,0,0,0,0,0,0,0,0
391,391,0,Sandeep Sharma,4.0,0,32,0,8.0,11,5,0,1,0,0,0,0,0,0,0
392,392,1,MG Johnson,3.0,0,33,0,11.0,6,5,1,0,0,0,0,0,-3,0,-3
393,393,2,AR Patel,4.0,0,20,0,5.0,12,2,0,0,0,0,0,0,1,0,1
394,394,3,P Awana,2.0,0,20,1,10.0,3,3,0,1,0,10,0,0,-2,0,8
395,395,4,R Dhawan,4.0,0,32,0,8.0,2,2,0,0,0,0,0,0,0,0,0
396,396,5,GJ Maxwell,1.0,0,11,0,11.0,1,1,0,1,0,0,0,0,-3,0,-3
397,397,0,KW Richardson,4.0,0,43,2,10.75,11,3,4,0,0,20,0,0,-2,0,18
398,398,1,SR Watson,4.0,0,35,0,8.75,10,4,1,3,0,0,0,0,0,0,0
399,399,2,JP Faulkner,4.0,0,42,1,10.5,9,1,4,1,0,10,0,0,-2,0,8
400,400,3,PV Tambe,4.0,0,38,1,9.5,8,5,1,1,0,10,0,0,-1,0,9
401,401,4,R Tewatia,3.0,0,17,1,5.66,9,1,1,0,0,10,0,0,1,0,11
402,402,5,R Bhatia,1.0,0,13,0,13.0,1,1,1,0,0,0,0,0,-3,0,-3
403,403,0,JA Morkel,2.0,0,20,0,10.0,5,4,0,0,0,0,0,0,-2,0,-2
404,404,1,MA Starc,3.0,0,33,0,11.0,5,3,1,2,0,0,0,0,-3,0,-3
405,405,2,AB Dinda,3.0,0,37,0,12.33,6,4,2,1,1,0,0,0,-3,0,-3
406,406,3,VR Aaron,2.5,0,41,0,14.47,6,4,3,1,0,0,0,0,-3,0,-3
407,407,4,Yuvraj Singh,4.0,0,35,4,8.75,6,2,2,0,0,40,0,0,0,0,40
408,408,5,YS Chahal,4.0,0,24,1,6.0,8,2,0,0,0,10,0,0,0,0,10
409,409,0,CJ Anderson,2.0,0,17,0,8.5,7,3,0,2,0,0,0,0,0,0,0
410,410,1,JJ Bumrah,4.0,0,24,0,6.0,9,2,0,0,0,0,0,0,0,0,0
411,411,2,Harbhajan Singh,4.0,0,27,0,6.75,12,4,0,1,0,0,0,0,0,0,0
412,412,3,SL Malinga,4.0,0,35,2,8.75,7,2,2,0,0,20,0,0,0,0,20
413,413,4,PP Ojha,4.0,0,32,0,8.0,11,3,2,0,0,0,0,0,0,0,0
414,414,5,KA Pollard,2.0,0,21,0,10.5,4,2,1,1,0,0,0,0,-2,0,-2
415,415,0,DW Steyn,4.0,0,29,0,7.25,10,4,0,0,0,0,0,0,0,0,0
416,416,1,B Kumar,4.0,0,21,2,5.25,12,2,0,0,0,20,0,0,1,0,21
417,417,2,IK Pathan,2.0,0,29,0,14.5,4,2,3,0,0,0,0,0,-3,0,-3
418,418,3,A Mishra,3.0,0,33,0,11.0,3,2,2,0,0,0,0,0,-3,0,-3
419,419,4,KV Sharma,2.4,0,25,0,9.37,5,2,1,0,0,0,0,0,-1,0,-1
420,420,5,MC Henriques,3.0,0,23,1,7.66,7,3,0,3,0,10,0,0,0,0,10
421,421,0,S Badree,4.0,0,19,1,4.75,15,0,1,1,0,10,0,0,2,0,12
422,422,1,IC Pandey,3.0,0,18,0,6.0,9,1,1,0,0,0,0,0,0,0,0
423,423,2,MM Sharma,4.0,0,31,3,7.75,14,4,1,0,0,30,0,0,0,0,30
424,424,3,R Ashwin,4.0,0,39,1,9.75,7,4,1,2,0,10,0,0,-1,0,9
425,425,4,RA Jadeja,4.0,0,18,2,4.5,11,0,1,0,0,20,0,0,2,0,22
426,426,5,V Shankar,1.0,0,19,0,19.0,1,1,2,0,0,0,0,0,-3,0,-3
427,427,0,Ankit Sharma,4.0,0,20,2,5.0,13,1,1,0,0,20,0,0,1,0,21
428,428,1,JP Faulkner,3.4,0,37,1,10.09,6,0,3,3,0,10,0,0,-2,0,8
429,429,2,PV Tambe,4.0,0,34,0,8.5,6,4,0,1,0,0,0,0,0,0,0
430,430,3,KK Cooper,4.0,0,25,1,6.25,9,1,1,0,0,10,0,0,0,0,10
