,Unnamed: 0,0s,4s,6s,Bowling,Econ,M,NB,O,R,Rajasthan Royals Team,Unnamed: 0.1,W,WD,sumpts_w,sumpts_4w,sumpts_5w,sumpts_econ,sumpts_maid,totalpoints
521,521,2.0,1.0,2.0,JA Morkel,11.66,0.0,0.0,3.0,35.0,,5,0.0,0.0,0.0,0,0,-3,0.0,-3.0
522,522,13.0,3.0,0.0,B Kumar,5.0,0.0,0.0,4.0,20.0,,0,1.0,0.0,10.0,0,0,1,0.0,11.0
523,523,9.0,6.0,1.0,I Sharma,9.75,0.0,0.0,4.0,39.0,,1,0.0,0.0,0.0,0,0,-1,0.0,-1.0
524,524,9.0,1.0,0.0,Parvez Rasool,5.0,0.0,0.0,4.0,20.0,,2,1.0,0.0,10.0,0,0,1,0.0,11.0
525,525,3.0,4.0,2.0,P Kumar,17.0,0.0,0.0,2.0,34.0,,3,0.0,1.0,0.0,0,0,-3,0.0,-3.0
526,526,5.0,2.0,0.0,MC Henriques,7.0,0.0,0.0,2.0,14.0,,4,0.0,0.0,0.0,0,0,0,0.0,0.0
527,527,11.0,0.0,1.0,KV Sharma,4.0,0.0,0.0,3.0,12.0,,5,2.0,0.0,20.0,0,0,2,0.0,22.0
528,528,1.0,3.0,0.0,RS Bopara,15.0,0.0,0.0,1.0,15.0,,6,0.0,0.0,0.0,0,0,-3,0.0,-3.0
529,529,7.0,5.0,1.0,MJ McClenaghan,10.0,0.0,0.0,4.0,40.0,,0,0.0,1.0,0.0,0,0,-2,0.0,-2.0
530,530,11.0,4.0,0.0,SL Malinga,6.75,1.0,0.0,4.0,27.0,,1,1.0,1.0,10.0,0,0,0,4.0,14.0
531,531,3.0,3.0,3.0,JJ Bumrah,13.0,0.0,1.0,4.0,52.0,,2,0.0,1.0,0.0,0,0,-3,0.0,-3.0
532,532,4.0,5.0,1.0,J Suchith,11.66,0.0,0.0,3.0,35.0,,3,0.0,0.0,0.0,0,0,-3,0.0,-3.0
533,533,0.0,1.0,2.0,Harbhajan Singh,15.0,0.0,0.0,2.0,30.0,,4,0.0,1.0,0.0,0,0,-3,0.0,-3.0
534,534,2.0,8.0,2.0,HH Pandya,17.0,0.0,0.0,3.0,51.0,,5,0.0,0.0,0.0,0,0,-3,0.0,-3.0
