,BATSMEN,R,M,B,4s,6s,SR
48,ADMathews(c),8,22,6,1,0,133.33
49,MRMarsh,7,4,3,0,1,233.33
50,BKumar,3,7,3,0,0,100
51,RSharma,0,1,1,0,0,0
52,ABDinda,0,1,2,0,0,0
53,MDKJPerera?Çá,14,12,12,3,0,116.66
54,AMRahane,28,49,24,3,0,116.66
55,RDravid(c),65,71,51,6,2,127.45
56,STRBinny,40,23,20,2,3,200
57,BJHodge,5,10,7,0,0,71.42
58,KKCooper,2,3,2,0,0,100
59,ALMenaria,1,3,2,0,0,50
60,SSreesanth,0,2,0,0,0,-
61,RShukla,1,2,2,0,0,50
63,DAWarner,77,97,56,9,1,137.5
64,UBTChand,23,22,19,2,1,121.05
65,DPMDJayawardene(c),19,28,16,1,0,118.75
66,MCJuneja,20,40,18,1,1,111.11
67,ADRussell,7,13,6,0,0,116.66
68,JBotha,2,6,3,0,0,66.66
69,IKPathan,1,3,1,0,0,100
70,NVOjha?Çá,0,1,1,0,0,0
71,RTPonting(c),6,16,10,0,0,60
72,SRTendulkar,0,3,1,0,0,0
73,KDKarthik?Çá,37,37,25,4,1,148
74,RGSharma,8,13,10,1,0,80
75,ATRayudu,7,23,10,0,0,70
76,KAPollard,57,58,38,4,5,150
77,DRSmith,3,6,5,0,0,60
78,HarbhajanSingh,21,38,21,1,1,100
80,MEKHussey,20,37,23,3,0,86.95
81,MVijay,5,9,8,0,0,62.5
82,SKRaina,10,12,7,1,0,142.85
83,DJBravo,10,28,17,0,0,58.82
84,SBadrinath,16,22,16,1,0,100
85,MSDhoni(c)?Çá,51,55,26,5,3,196.15
86,RAJadeja,16,16,11,1,1,145.45
87,RAshwin,2,8,5,0,0,40
88,BLaughlin,0,9,1,0,0,0
89,ASRajpoot,2,15,6,0,0,33.33
90,DPNannes,0,4,0,0,0,-
91,RVUthappa?Çá,19,40,23,2,0,82.6
92,MKPandey,0,3,4,0,0,0
93,TLSuman,6,15,14,1,0,42.85
94,MNSamuels,3,13,9,0,0,33.33
95,LRPLTaylor,15,29,19,1,0,78.94
96,ADMathews(c),4,6,4,1,0,100
97,AMNayar,25,44,26,3,0,96.15
98,MRMarsh,15,13,8,1,1,187.5
99,BKumar,8,10,12,1,0,66.66
100,RSharma,1,3,1,0,0,100
102,ACGilchrist(c)?Çá,15,10,10,2,1,150
103,MandeepSingh,31,42,26,4,0,119.23
104,MVohra,43,45,28,7,0,153.57
105,DJHussey,8,13,11,1,0,72.72
106,CHGayle,1,6,2,0,0,50
107,TMDilshan,5,17,9,0,0,55.55
108,VKohli(c),46,52,44,5,1,104.54
109,KKNair,9,15,9,0,0,100
110,MCHenriques,44,54,40,5,0,110
111,MAAgarwal,7,15,8,0,0,87.5
112,KBArunKarthik?Çá,0,4,1,0,0,0
113,RVinayKumar,7,9,4,1,0,175
114,MKartik,2,3,2,0,0,100
115,JDUnadkat,1,1,1,0,0,100
117,PAReddy,23,41,21,2,0,109.52
118,PAPatel?Çá,2,5,4,0,0,50
119,CLWhite,5,11,9,1,0,55.55
120,GHVihari,44,84,46,2,0,95.65
121,KCSangakkara(c),16,23,17,1,0,94.11
122,NLTCPerera,7,10,8,1,0,87.5
123,AMishra,0,4,0,0,0,-
124,AAshishReddy,14,14,12,1,0,116.66
125,DWSteyn,3,5,3,0,0,100
126,SRWatson,5,13,10,1,0,50
127,AMRahane,36,73,34,3,1,105.88
128,RDravid(c),17,22,20,2,0,85
129,STRBinny,14,12,11,3,0,127.27
130,BJHodge,46,61,31,7,0,148.38
131,KKCooper,0,3,2,0,0,0
132,DHYagnik?Çá,16,17,11,1,1,145.45
133,SSreesanth,1,3,2,0,0,50
135,MSBisla?Çá,1,13,4,0,0,25
136,GGambhir(c),22,37,22,1,1,100
137,JHKallis,0,1,1,0,0,0
138,MKTiwary,14,17,13,1,0,107.69
139,EJGMorgan,51,62,38,3,3,134.21
140,YKPathan,0,3,2,0,0,0
141,LRShukla,2,17,9,0,0,22.22
142,RBhatia,12,14,7,2,0,171.42
143,BLee,5,6,6,1,0,83.33
144,MohammedShami,5,18,10,0,0,50
145,SPNarine,2,3,2,0,0,100
146,PAReddy,12,9,11,2,0,109.09
147,PAPatel?Çá,20,37,19,2,0,105.26
148,KCSangakkara(c),23,37,24,2,0,95.83
149,CLWhite,52,55,34,3,3,152.94
150,NLTCPerera,40,38,24,1,4,166.66
151,AAshishReddy,3,7,4,0,0,75
152,GHVihari,4,4,3,0,0,133.33
153,BBSamantray,2,3,2,0,0,100
155,MAAgarwal,29,22,20,3,2,145
156,CHGayle,13,28,15,2,0,86.66
157,VKohli(c),93,60,47,11,4,197.87
158,ABdeVilliers,15,26,15,0,1,100
159,MCHenriques,7,27,9,1,0,77.77
160,RTPonting(c),0,3,6,0,0,0
161,SRTendulkar,1,8,1,0,0,100
162,KDKarthik?Çá,86,66,48,14,2,179.16
163,RGSharma,74,87,50,4,5,148
164,KAPollard,13,13,7,1,1,185.71
165,ATRayudu,24,7,8,2,2,300
166,HarbhajanSingh,1,3,1,0,0,100
168,UBTChand,0,1,1,0,0,0
169,DAWarner,61,55,37,5,4,164.86
170,DPMDJayawardene(c),3,10,6,0,0,50
171,MCJuneja,49,77,40,6,0,122.5
172,BMAJMendis,0,2,1,0,0,0
173,IKPathan,10,12,12,0,0,83.33
174,KMJadhav?Çá,1,4,2,0,0,50
175,SNadeem,2,7,3,0,0,66.66
176,MMorkel,23,16,9,3,0,255.55
177,ANehra,1,6,5,0,0,20
178,UTYadav,5,3,4,1,0,125
179,MandeepSingh,9,13,10,1,0,90
180,ACGilchrist(c)?Çá,9,10,6,2,0,150
181,MVohra,16,20,11,3,0,145.45
182,DJHussey,41,45,36,4,1,113.88
183,GurkeeratSingh,31,30,26,3,0,119.23
184,AzharMahmood,8,13,7,0,0,114.28
185,RSathish,8,12,6,1,0,133.33
186,PPChawla,4,6,5,1,0,80
187,RJHarris,0,5,2,0,0,0
188,PKumar,3,9,5,0,0,60
189,PAwana,1,6,5,0,0,20
191,MVijay,50,77,50,3,1,100
192,MEKHussey,86,77,54,11,2,159.25
193,MSBisla?Çá,1,4,5,0,0,20
194,GGambhir(c),59,75,46,7,1,128.26
195,JHKallis,16,29,19,2,0,84.21
196,YKPathan,27,22,17,3,1,158.82
197,MKTiwary,23,27,16,2,0,143.75
198,EJGMorgan,2,4,5,0,0,40
199,RBhatia,13,12,7,2,0,185.71
200,RMcLaren,2,6,3,0,0,66.66
201,PJSangwan,4,3,2,1,0,200
202,SPNarine,1,2,1,0,0,100
204,CHGayle,85,82,50,4,9,170
205,MAAgarwal,6,10,8,1,0,75
206,VKohli(c),35,31,27,4,2,129.62
207,ABdeVilliers,22,39,22,2,1,100
208,MDKJPerera?Çá,0,1,1,0,0,0
209,AMRahane,30,46,27,3,0,111.11
210,RDravid(c),54,57,48,8,0,112.5
211,STRBinny,1,5,4,0,0,25
212,BJHodge,22,33,19,3,0,115.78
213,DHYagnik,12,8,8,2,0,150
214,JPFaulkner,19,17,14,1,1,135.71
216,RVUthappa?Çá,32,19,16,3,2,200
217,AJFinch,64,71,53,6,3,120.75
218,LRPLTaylor,17,30,20,0,1,85
219,YuvrajSingh,28,27,23,2,2,121.73
220,ADMathews(c),1,6,1,0,0,100
221,DAWarner,0,2,4,0,0,0
222,VSehwag,12,21,10,2,0,120
223,DPMDJayawardene(c),12,16,14,1,1,85.71
224,MCJuneja,15,42,22,0,0,68.18
225,JBotha,9,19,14,1,0,64.28
226,IKPathan,23,42,30,1,0,76.66
227,KMJadhav?Çá,30,35,20,1,2,150
228,MMorkel,0,1,1,0,0,0
229,SNadeem,0,2,1,0,0,0
230,UTYadav,6,8,5,1,0,120
232,PAReddy,1,6,8,0,0,12.5
233,PAPatel?Çá,19,34,19,4,0,100
234,KCSangakkara(c),28,40,28,4,0,100
235,GHVihari,17,27,23,0,1,73.91
236,CLWhite,4,12,8,0,0,50
237,NLTCPerera,2,27,3,0,0,66.66
238,AAshishReddy,16,12,9,2,0,177.77
239,AMishra,16,22,14,2,0,114.28
240,DWSteyn,9,9,5,1,0,180
241,RTPonting(c),14,33,17,2,0,82.35
242,SRTendulkar,44,38,29,7,1,151.72
243,KDKarthik?Çá,41,38,29,4,1,141.37
244,RGSharma,62,56,32,3,5,193.75
245,KAPollard,19,22,14,1,1,135.71
247,AJFinch,0,1,1,0,0,0
248,RVUthappa?Çá,7,14,9,1,0,77.77
249,LRPLTaylor,4,6,5,1,0,80
250,YuvrajSingh,24,43,16,1,2,150
251,TLSuman,23,12,15,5,0,153.33
252,ADMathews(c),19,36,18,0,1,105.55
253,MRMarsh,38,34,26,2,2,146.15
254,AMNayar,6,14,7,0,0,85.71
255,BKumar,6,19,11,0,0,54.54
256,RSharma,10,12,12,1,0,83.33
257,CHGayle,4,8,10,1,0,40
258,MAAgarwal,24,36,21,2,1,114.28
259,VKohli(c),58,66,47,2,2,123.4
260,ABdeVilliers,64,57,32,8,1,200
261,DTChristian,2,2,2,0,0,100
262,RRampaul,0,4,4,0,0,0
263,KBArunKarthik?Çá,5,10,5,0,0,100
265,MEKHussey,6,19,16,0,0,37.5
266,MVijay,2,10,5,0,0,40
267,SKRaina,30,40,22,5,0,136.36
268,SBadrinath,34,40,29,4,0,117.24
269,MSDhoni(c)?Çá,33,45,23,1,2,143.47
270,RAJadeja,38,48,20,3,1,190
271,DJBravo,8,8,3,0,1,266.66
272,CHMorris,7,7,4,0,0,175
273,MSBisla?Çá,28,37,24,5,0,116.66
274,GGambhir(c),53,63,45,6,1,117.77
275,JHKallis,41,61,27,6,0,151.85
276,EJGMorgan,47,29,21,5,3,223.8
277,YKPathan,3,5,3,0,0,100
279,PAPatel?Çá,27,35,31,2,1,87.09
280,CLWhite,34,43,31,3,1,109.67
281,KCSangakkara(c),2,11,3,0,0,66.66
282,DBRaviTeja,10,22,13,0,0,76.92
283,NLTCPerera,36,33,25,2,1,144
284,AAshishReddy,4,8,5,0,0,80
285,KVSharma,5,13,9,0,0,55.55
286,GHVihari,1,3,2,0,0,50
287,AMishra,1,3,1,0,0,100
288,MandeepSingh,2,9,8,0,0,25
289,ACGilchrist(c)?Çá,0,5,2,0,0,0
290,MVohra,3,10,6,0,0,50
291,DJHussey,41,49,31,4,1,132.25
292,GurkeeratSingh,10,21,15,1,0,66.66
293,RSathish,11,15,12,2,0,91.66
294,AzharMahmood,23,26,20,3,0,115
295,PPChawla,7,13,9,0,0,77.77
296,RJHarris,2,15,3,0,0,66.66
297,PKumar,15,5,7,2,1,214.28
298,PAwana,0,1,1,0,0,0
300,SRWatson,32,21,19,7,0,168.42
301,AMRahane,34,87,42,3,0,80.95
302,RDravid(c),9,11,12,2,0,75
303,STRBinny,0,2,4,0,0,0
304,BJHodge,15,21,16,2,0,93.75
305,SVSamson?Çá,27,18,23,3,0,117.39
306,RVUthappa?Çá,26,55,33,2,0,78.78
307,AJFinch,67,48,45,10,2,148.88
308,LRPLTaylor(c),8,20,13,0,0,61.53
309,SPDSmith,39,35,16,3,3,243.75
310,MRMarsh,2,3,4,0,0,50
311,MKPandey,9,15,8,1,0,112.5
312,AMNayar,0,1,1,0,0,0
314,SAnirudha,0,1,2,0,0,0
315,MVijay,24,31,22,2,1,109.09
316,SKRaina,8,18,10,1,0,80
317,SBadrinath,34,39,26,4,0,130.76
318,RAJadeja,27,36,22,1,1,122.72
319,MSDhoni(c)?Çá,10,24,13,0,0,76.92
320,DJBravo,1,5,4,0,0,25
321,JAMorkel,13,18,11,0,1,118.18
322,CHMorris,5,11,5,0,0,100
323,RAshwin,11,3,5,2,0,220
324,ACGilchrist(c)?Çá,7,16,12,1,0,58.33
325,MandeepSingh,41,45,30,6,0,136.66
326,MVohra,17,18,16,2,0,106.25
327,DJHussey,12,27,15,0,0,80
328,DAMiller,20,26,17,1,0,117.64
329,AzharMahmood,0,1,1,0,0,0
330,GurkeeratSingh,0,1,1,0,0,0
331,MSGony,42,20,18,4,3,233.33
332,PPChawla,11,20,8,2,0,137.5
333,PKumar,1,2,2,0,0,50
334,PAwana,0,1,0,0,0,-
336,MSBisla?Çá,0,1,1,0,0,0
337,GGambhir(c),60,60,39,9,0,153.84
338,JHKallis,1,4,6,0,0,16.66
339,EJGMorgan,47,64,38,6,0,123.68
340,MKTiwary,1,19,7,0,0,14.28
341,YKPathan,13,28,16,2,0,81.25
342,DBDas,1,6,3,0,0,33.33
343,RBhatia,16,8,6,0,2,266.66
344,SMSMSenanayake,1,8,2,0,0,50
345,SPNarine,1,7,2,0,0,50
346,LBalaji,0,2,0,0,0,-
347,DAWarner,15,27,13,3,0,115.38
348,VSehwag,25,30,23,4,0,108.69
349,MCJuneja,17,26,16,2,0,106.25
350,DPMDJayawardene(c),28,56,31,2,0,90.32
351,BJRohrer,14,12,14,2,0,100
352,KMJadhav?Çá,29,27,16,2,1,181.25
353,IKPathan,19,7,8,2,1,237.5
355,CHGayle,13,18,9,0,2,144.44
356,KLRahul,12,14,12,2,0,100
357,VKohli(c),65,76,50,7,1,130
358,ABdeVilliers,39,58,32,3,2,121.87
359,ABMcDonald,0,1,2,0,0,0
360,KBArunKarthik?Çá,5,6,5,0,0,100
361,JSyedMohammad,1,1,2,0,0,50
362,RVinayKumar,1,9,1,0,0,100
363,RRampaul,12,7,7,0,1,171.42
364,PAPatel?Çá,12,13,9,2,0,133.33
365,QdeKock,2,8,8,0,0,25
366,GHVihari,1,15,8,0,0,12.5
367,CLWhite(c),0,1,1,0,0,0
368,BBSamantray,37,54,37,3,1,100
369,KVSharma,7,21,13,0,0,53.84
370,NLTCPerera,2,5,4,0,0,50
371,AMishra,30,42,24,3,0,125
372,AAshishReddy,19,24,15,0,1,126.66
373,DWSteyn,4,1,1,1,0,400
375,RVUthappa?Çá,22,19,14,4,0,157.14
376,AJFinch,16,21,13,3,0,123.07
377,TLSuman,12,17,14,1,0,85.71
378,SPDSmith,17,33,25,0,0,68
379,ADMathews(c),20,46,24,1,0,83.33
380,MRMarsh,14,19,13,1,1,107.69
381,AMNayar,0,1,2,0,0,0
382,MKPandey,7,12,6,1,0,116.66
383,BKumar,0,1,1,0,0,0
384,RSharma,0,1,1,0,0,0
385,ABDinda,0,1,1,0,0,0
386,SRWatson,31,35,25,5,1,124
387,AMRahane,68,96,54,8,1,125.92
388,DHYagnik?Çá,34,30,24,4,1,141.66
389,STRBinny,4,9,4,0,0,100
390,BJHodge,27,15,15,0,2,180
392,SRTendulkar,1,2,3,0,0,33.33
393,RTPonting(c),4,10,9,0,0,44.44
394,KDKarthik?Çá,30,51,32,3,0,93.75
395,RGSharma,2,12,7,0,0,28.57
396,KAPollard,1,7,7,0,0,14.28
397,ATRayudu,27,47,29,2,0,93.1
398,RDhawan,0,3,1,0,0,0
399,HarbhajanSingh,1,3,1,0,0,100
400,MGJohnson,11,12,9,2,0,122.22
401,SLMalinga,7,8,11,1,0,63.63
402,PPOjha,1,4,1,0,0,100
403,MEKHussey,65,97,50,6,2,130
404,MVijay,18,18,13,3,0,138.46
405,SKRaina,30,38,32,5,0,93.75
406,MSDhoni(c)?Çá,44,35,23,5,1,191.3
407,DJBravo,3,3,2,0,0,150
409,DAWarner,1,7,4,0,0,25
410,VSehwag,17,27,13,1,1,130.76
411,MCJuneja,2,3,3,0,0,66.66
412,DPMDJayawardene(c),6,13,11,1,0,54.54
413,BMAJMendis,12,26,17,0,0,70.58
414,KMJadhav?Çá,31,46,28,3,0,110.71
415,IKPathan,2,6,6,0,0,33.33
416,ABAgarkar,3,3,7,0,0,42.85
417,MMorkel,2,4,4,0,0,50
418,SNadeem,2,11,7,0,0,28.57
419,UTYadav,1,5,5,0,0,20
420,MandeepSingh,10,12,11,1,0,90.9
421,ACGilchrist(c)?Çá,26,38,25,4,0,104
422,PCValthaty,6,29,17,0,0,35.29
423,DJHussey,22,38,24,1,1,91.66
424,PPChawla,23,22,15,1,2,153.33
425,GurkeeratSingh,17,21,12,1,1,141.66
426,AzharMahmood,4,3,4,1,0,100
427,MSGony,0,1,0,0,0,-
428,MVohra,0,1,1,0,0,0
429,ADMascarenhas,5,8,5,0,0,100
430,PKumar,3,6,6,0,0,50
432,QdeKock?Çá,0,2,4,0,0,0
433,PAReddy,19,32,17,2,0,111.76
434,GHVihari,46,45,39,5,0,117.94
435,CLWhite(c),16,33,23,1,0,69.56
436,BBSamantray,10,23,12,1,0,83.33
437,NLTCPerera,23,20,11,0,3,209.09
438,AAshishReddy,7,14,7,1,0,100
439,GGambhir(c),25,27,19,5,0,131.57
440,YKPathan,25,40,22,4,0,113.63
441,JHKallis,0,2,0,0,0,-
442,EJGMorgan,2,7,7,0,0,28.57
443,MKTiwary,13,26,18,0,0,72.22
444,DBDas?Çá,19,18,15,0,2,126.66
445,RBhatia,1,9,10,0,0,10
446,LRShukla,1,17,3,0,0,33.33
447,SMSMSenanayake,7,19,13,0,0,53.84
448,SPNarine,13,5,6,0,2,216.66
449,LBalaji,9,9,7,1,0,128.57
451,MEKHussey,40,75,51,2,1,78.43
452,RAshwin,11,17,13,2,0,84.61
453,MVijay,2,9,5,0,0,40
454,SKRaina,7,6,8,1,0,87.5
455,MSDhoni(c)?Çá,9,13,7,0,0,128.57
456,SBadrinath,6,19,13,0,0,46.15
457,RAJadeja,36,17,14,3,3,257.14
458,DJBravo,7,10,4,1,0,175
459,SRWatson,6,9,9,1,0,66.66
460,AMRahane,14,22,13,2,1,107.69
461,RDravid(c),35,52,31,5,0,112.9
462,STRBinny,33,21,20,4,1,165
463,BJHodge,13,23,17,1,0,76.47
464,DHYagnik?Çá,5,13,4,1,0,125
465,JPFaulkner,3,5,7,0,0,42.85
466,AChandila,4,15,6,0,0,66.66
467,SSreesanth,0,3,2,0,0,0
468,SWTait,1,2,3,0,0,33.33
469,SKTrivedi,3,6,6,0,0,50
471,TMDilshan,25,23,22,5,0,113.63
472,CHGayle,49,80,44,4,1,111.36
473,VKohli(c),1,4,4,0,0,25
474,ABdeVilliers,7,6,8,1,0,87.5
475,SSTiwary,25,38,29,2,1,86.2
476,DRSmith,8,13,12,1,0,66.66
477,SRTendulkar,54,76,47,3,2,114.89
478,KDKarthik?Çá,2,9,6,0,0,33.33
479,RGSharma,73,64,43,5,5,169.76
480,KAPollard,19,16,10,1,1,190
481,ATRayudu,2,4,2,0,0,100
483,DPMDJayawardene(c),59,74,43,8,1,137.2
484,VSehwag,95,83,57,13,2,166.66
485,DAWarner,7,9,5,1,0,140
486,RVUthappa?Çá,37,44,33,4,0,112.12
487,AJFinch(c),64,66,42,8,2,152.38
488,YuvrajSingh,34,35,24,2,3,141.66
489,SPDSmith,6,28,9,0,0,66.66
490,LJWright,34,11,10,6,1,340
491,AMNayar,2,2,2,0,0,100
493,ACGilchrist(c)?Çá,4,1,3,1,0,133.33
494,MandeepSingh,77,97,58,7,0,132.75
495,AzharMahmood,0,3,4,0,0,0
496,MVohra,22,23,13,3,0,169.23
497,DAMiller,80,77,41,5,5,195.12
498,SRWatson,101,82,61,6,6,165.57
499,AMRahane,16,32,15,1,0,106.66
500,DHYagnik?Çá,7,9,8,1,0,87.5
501,RDravid(c),6,19,9,0,0,66.66
502,STRBinny,36,32,22,3,1,163.63
503,BJHodge,9,12,6,1,0,150
505,MVijay,3,9,5,0,0,60
506,MEKHussey,88,75,51,13,1,172.54
507,SKRaina,51,44,35,4,2,145.71
508,MSDhoni(c)?Çá,21,37,16,1,0,131.25
509,RAJadeja,0,1,2,0,0,0
510,DJBravo,15,21,9,0,1,166.66
511,CHMorris,1,6,1,0,0,100
512,CHGayle,175,102,66,13,17,265.15
513,TMDilshan,33,66,36,5,0,91.66
514,VKohli(c),11,14,9,0,1,122.22
515,ABdeVilliers,31,12,8,3,3,387.5
516,SSTiwary,2,4,2,0,0,100
517,RRampaul,0,2,1,0,0,0
519,RVUthappa?Çá,0,1,2,0,0,0
520,AJFinch(c),18,16,15,4,0,120
521,YuvrajSingh,16,22,14,2,0,114.28
522,LJWright,7,5,3,0,1,233.33
523,SPDSmith,41,33,31,6,0,132.25
524,MRMarsh,24,44,23,0,2,104.34
525,MManhas,11,29,13,1,0,84.61
526,BKumar,6,9,12,1,0,50
527,AGMurtaza,5,2,4,1,0,125
528,ICPandey,0,1,2,0,0,0
529,ABDinda,1,1,1,0,0,100
530,DPMDJayawardene(c),4,2,4,1,0,100
531,VSehwag,23,33,21,2,1,109.52
532,REvanderMerwe,8,12,9,1,0,88.88
533,DAWarner,40,61,36,4,1,111.11
534,MCJuneja,14,23,20,1,0,70
535,KMJadhav?Çá,0,2,2,0,0,0
536,JBotha,1,5,2,0,0,50
537,IKPathan,14,23,17,1,0,82.35
538,ABAgarkar,9,12,9,0,0,100
540,ACGilchrist(c)?Çá,6,2,3,1,0,200
541,MandeepSingh,24,27,15,5,0,160
542,LAPomersbach,18,20,10,3,0,180
543,DAMiller,34,58,39,3,0,87.17
544,MVohra,8,20,11,1,0,72.72
545,DJHussey,20,25,21,1,1,95.23
546,PPChawla,5,7,3,1,0,166.66
547,YKPathan,19,7,6,3,1,316.66
548,GGambhir(c),26,39,20,2,1,130
549,JHKallis,37,45,38,4,0,97.36
550,MKTiwary,33,53,24,2,1,137.5
551,EJGMorgan,31,30,25,4,1,124
552,DBDas?Çá,6,11,7,1,0,85.71
553,RBhatia,1,2,1,0,0,100
555,DRSmith,62,47,45,3,5,137.77
556,SRTendulkar,2,21,6,0,0,33.33
557,KDKarthik?Çá,7,12,6,1,0,116.66
558,RGSharma(c),34,40,28,1,2,121.42
559,KAPollard,33,38,24,2,1,137.5
560,ATRayudu,13,14,8,1,0,162.5
561,HarbhajanSingh,7,3,2,0,1,350
562,QdeKock?Çá,4,1,3,1,0,133.33
563,SDhawan,63,79,45,10,0,140
564,GHVihari,2,8,3,0,0,66.66
565,CLWhite(c),2,12,3,0,0,66.66
566,AMishra,15,22,21,2,0,71.42
567,XThalaivanSargunam,10,28,17,0,0,58.82
568,DJGSammy,19,18,12,2,1,158.33
569,AAshishReddy,36,23,16,2,3,225
571,MEKHussey,45,45,26,5,2,173.07
572,MVijay,18,37,22,2,0,81.81
573,SKRaina,16,25,13,1,0,123.07
574,MSDhoni(c)?Çá,67,57,37,7,4,181.08
575,DJBravo,7,22,16,0,0,43.75
576,RAJadeja,1,9,4,0,0,25
577,CHMorris,0,6,1,0,0,0
578,ACGilchrist(c)?Çá,27,43,27,4,0,100
579,MandeepSingh,25,24,20,5,0,125
580,MVohra,31,33,21,3,1,147.61
581,DJHussey,21,37,20,1,0,105
582,DAMiller,10,9,8,0,1,125
583,GurkeeratSingh,28,24,15,2,2,186.66
584,AzharMahmood,2,5,7,0,0,28.57
585,PPChawla,0,5,2,0,0,0
587,MSBisla?Çá,51,86,44,3,3,115.9
588,GGambhir(c),8,7,6,2,0,133.33
589,YKPathan,0,1,1,0,0,0
590,JHKallis,37,36,33,6,0,112.12
591,EJGMorgan,42,36,26,3,4,161.53
592,SMSMSenanayake,0,2,1,0,0,0
593,PAReddy,2,2,5,0,0,40
594,SDhawan,0,9,2,0,0,0
595,KCSangakkara(c)?Çá,4,2,4,1,0,100
596,GHVihari,4,19,9,0,0,44.44
597,KVSharma,6,4,8,1,0,75
598,NLTCPerera,4,4,4,1,0,100
599,DJGSammy,60,72,41,8,1,146.34
600,AMishra,21,40,28,2,0,75
601,AAshishReddy,14,17,11,1,0,127.27
602,DWSteyn,18,10,8,2,1,225
603,ISharma,0,4,0,0,0,-
605,RDravid(c),36,56,35,4,1,102.85
606,AMRahane,1,11,9,0,0,11.11
607,SRWatson,98,70,53,13,4,184.9
608,STRBinny,9,25,10,1,0,90
609,DRSmith,50,53,36,4,3,138.88
610,SRTendulkar,23,17,13,5,0,176.92
611,KDKarthik?Çá,43,70,33,3,1,130.3
612,RGSharma(c),10,10,8,1,0,125
613,KAPollard,34,28,16,2,3,212.5
614,ATRayudu,0,2,0,0,0,-
615,HarbhajanSingh,16,10,8,3,0,200
616,MGJohnson,9,12,5,0,1,180
617,SLMalinga,0,2,1,0,0,0
619,CHGayle,18,36,20,2,1,90
620,TMDilshan,13,29,18,2,0,72.22
621,VKohli(c),1,9,4,0,0,25
622,ABdeVilliers,2,6,3,0,0,66.66
623,SSTiwary,21,30,19,0,1,110.52
624,KBArunKarthik?Çá,12,14,8,0,1,150
625,JSyedMohammad,9,13,11,1,0,81.81
626,RRampaul,23,29,18,3,0,127.77
627,RVinayKumar,26,27,20,4,0,130
628,WPSaha,39,47,23,4,2,169.56
629,MEKHussey,95,73,59,11,2,161.01
630,SKRaina,44,45,25,4,1,176
631,MSDhoni(c)?Çá,18,22,12,1,1,150
632,RAJadeja,1,2,1,0,0,100
634,MSBisla?Çá,92,99,61,14,2,150.81
635,GGambhir(c),14,14,8,3,0,175
636,BBMcCullum,6,15,7,1,0,85.71
637,JHKallis,19,32,20,0,1,95
638,EJGMorgan,32,45,22,2,2,145.45
639,YKPathan,3,9,3,0,0,100
640,DPMDJayawardene(c),12,24,17,2,0,70.58
641,VSehwag,28,54,26,2,2,107.69
642,UBTChand,17,31,19,2,0,89.47
643,DAWarner,51,47,25,4,4,204
644,BJRohrer,13,13,13,1,0,100
645,KMJadhav?Çá,25,27,19,0,2,131.57
646,IKPathan,4,3,1,1,0,400
648,RVUthappa?Çá,37,44,33,4,0,112.12
649,AJFinch(c),37,47,33,5,0,112.12
650,YuvrajSingh,31,41,24,4,0,129.16
651,LJWright,19,35,18,3,0,105.55
652,SPDSmith,17,11,8,2,1,212.5
653,MManhas,2,8,4,0,0,50
654,AMukund,19,36,21,1,0,90.47
655,CHGayle,34,18,16,6,1,212.5
656,VKohli(c),32,51,35,3,0,91.42
657,ABdeVilliers?Çá,21,17,13,3,0,161.53
