,BATSMEN,R,M,B,4s,6s,SR
0,UBTChand,0,1,1,0,0,0
1,DAWarner,21,30,19,4,0,110.52
2,DPMDJayawardene(c),66,94,52,8,1,126.92
3,MCJuneja,8,13,9,1,0,88.88
4,NVOjha?Çá,9,9,9,1,0,100
5,JBotha,7,7,6,1,0,116.66
6,IKPathan,4,10,7,0,0,57.14
7,ADRussell,4,11,8,0,0,50
8,SNadeem,4,13,8,0,0,50
9,ANehra,0,4,1,0,0,0
10,UTYadav,0,1,0,0,0,-
12,MSBisla?Çá,4,6,9,1,0,44.44
13,GGambhir(c),41,58,29,5,1,141.37
14,JHKallis,23,26,20,5,0,115
15,MKTiwary,23,30,23,2,0,100
16,EJGMorgan,14,28,15,1,0,93.33
17,YKPathan,18,27,16,0,1,112.5
18,CHGayle,92,99,58,11,5,158.62
19,TMDilshan,0,10,8,0,0,0
20,VKohli(c),24,13,14,4,1,171.42
21,MAAgarwal,1,7,5,0,0,20
22,DTChristian,4,27,13,0,0,30.76
23,KKNair,0,5,3,0,0,0
24,KBArunKarthik?Çá,19,32,19,3,0,100
26,RTPonting(c),28,51,33,1,1,84.84
27,SRTendulkar,23,38,19,4,0,121.05
28,KDKarthik?Çá,60,66,37,3,4,162.16
29,RGSharma,11,21,11,1,0,100
30,ATRayudu,18,33,18,1,0,100
31,KAPollard,5,7,2,1,0,250
32,HarbhajanSingh,1,5,1,0,0,100
33,PAReddy,27,56,30,2,0,90
34,PAPatel?Çá,19,23,18,3,0,105.55
35,KCSangakkara(c),15,20,16,2,0,93.75
36,CLWhite,10,17,18,0,0,55.55
37,NLTCPerera,30,23,18,3,1,166.66
38,GHVihari,11,21,12,1,0,91.66
39,AAshishReddy,7,8,4,1,0,175
40,DBRaviTeja,4,4,4,0,0,100
42,RVUthappa?Çá,24,30,22,2,1,109.09
43,MKPandey,15,53,29,0,0,51.72
44,MNSamuels,5,6,9,1,0,55.55
45,YuvrajSingh,2,8,5,0,0,40
46,LRPLTaylor,19,35,19,0,0,100
47,AMNayar,19,22,14,2,0,135.71
