POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
36,Rahul  Sharma,11,11,41,281,9,85,31.22,6.85,27.33,0,0
37,Ashish  Nehra,10,10,36,316,11,84,28.72,8.77,19.63,0,0
38,Sachithra  Senanayake,8,8,32,209,9,73,23.22,6.53,21.33,0,0
39,Murali  Kartik,11,11,39,284,9,71,31.55,7.28,26,0,0
40,Shanthakumaran  Sreesanth,7,7,21.4,163,5,67,32.6,7.52,26,0,0
41,Ajit  Chandila,8,8,25,156,6,64,26,6.24,25,0,0
42,Manpreet  Gony,8,8,28,256,7,62,36.57,9.14,24,0,0
43,Kieron  Pollard,18,14,31,292,10,60,29.2,9.41,18.6,0,0
44,Albie  Morkel,8,7,24,159,7,59,22.71,6.62,20.57,0,0
45,Rajat  Bhatia,15,15,43.5,332,11,59,30.18,7.57,23.9,0,0
46,Stuart  Binny,17,14,24,162,6,57,27,6.75,24,0,0
47,Dhawal  Kulkarni,6,6,18.4,151,8,53,18.87,8.08,14,0,0
48,Darren  Sammy,10,9,22.2,168,8,50,21,7.52,16.75,1,0
49,Angelo  Mathews,11,10,31,240,5,50,48,7.74,37.2,0,0
50,Dirk  Nannes,5,5,19.5,158,4,50,39.5,7.96,29.75,0,0
51,Moises  Henriques,10,8,21.1,185,7,50,26.42,8.74,18.14,0,0
52,Jason  Holder,6,6,20,168,2,47,84,8.4,60,0,0
53,Siddarth  Kaul,6,6,21.5,170,4,44,42.5,7.78,32.75,0,0
54,Muttiah  Muralitharan,6,6,23,177,3,42,59,7.69,46,0,0
55,Sandeep  Sharma,4,4,16,119,8,41,14.87,7.43,12,0,0
56,Iqbal  Abdulla,5,5,18.5,142,7,41,20.28,7.53,16.14,0,0
57,Ryan  Harris,3,3,12,72,1,40,72,6,72,0,0
58,Yuvraj  Singh,13,10,22,152,6,39,25.33,6.9,22,0,0
59,Johan  Botha,6,6,16.4,109,5,37,21.8,6.54,20,0,0
60,Mitchell  Marsh,9,7,19.2,182,7,35,26,9.41,16.57,0,0
61,Brett  Lee,3,3,12,86,4,34,21.5,7.16,18,0,0
62,Rishi  Dhawan,6,5,15,109,2,34,54.5,7.26,45,0,0
63,Wayne  Parnell,4,4,14.5,137,6,33,22.83,9.23,14.83,0,0
64,Munaf  Patel,4,4,15,137,3,32,45.66,9.13,30,0,0
65,Vikramjeet  Malik,3,3,10,59,2,30,29.5,5.9,30,0,0
66,Ajantha  Mendis,3,3,12,78,2,29,39,6.5,36,0,0
67,Ankeet  Chavan,3,3,9,63,1,28,63,7,54,0,0
68,Kane  Richardson,3,3,11.5,101,2,28,50.5,8.53,35.5,0,0
69,Harmeet  Singh Bansal,3,3,11.2,87,5,27,17.4,7.67,13.6,0,0
70,Roelof  van der Merwe,3,3,11,71,3,25,23.66,6.45,22,0,0
71,Anand  Rajan,2,2,8,42,2,24,21,5.25,24,0,0
72,Shaun  Tait,3,3,10,98,1,23,98,9.8,60,0,0
73,Abu  Nechim,2,2,7,45,3,21,15,6.42,14,0,0
74,Mohammed  Shami,3,3,9,78,1,21,78,8.66,54,0,0
75,Pravin  Tambe,3,3,11,88,1,20,88,8,66,0,0
76,David  Hussey,12,4,11,91,0,19,-,8.27,-,0,0
77,Zaheer  Khan,2,2,6,47,5,18,9.4,7.83,7.2,1,0
78,Hanuma  Vihari,17,5,6,38,1,17,38,6.33,36,0,0
79,Ajit  Agarkar,4,4,10,92,0,17,-,9.2,-,0,0
80,Ali  Murtaza,3,3,10,94,3,17,31.33,9.4,20,0,0
81,Ryan  McLaren,2,2,7,94,3,17,31.33,13.42,14,0,0
82,Jasprit  Bumrah,2,2,7,70,3,16,23.33,10,14,0,0
83,Rahul  Shukla,3,3,8,79,3,15,26.33,9.87,16,0,0
84,Yusuf  Pathan,16,5,9,73,1,14,73,8.11,54,0,0
85,Dan  Christian,2,2,6,55,0,14,-,9.16,-,0,0
86,Abhishek  Nayar,11,3,8,59,2,13,29.5,7.37,24,0,0
87,Parveez  Rasool,2,2,5,28,1,12,28,5.6,30,0,0
88,Bhargav  Bhatt,2,2,5,32,1,12,32,6.4,30,0,0
89,Harmeet  Singh,1,1,4,34,1,12,34,8.5,24,0,0
90,Luke  Wright,6,5,9.5,100,2,12,50,10.16,29.5,0,0
91,Bipul  Sharma,1,1,4,21,1,11,21,5.25,24,0,0
92,Jacob  Oram,1,1,4,22,0,11,-,5.5,-,0,0
93,Jeevan  Mendis,3,2,5,36,1,11,36,7.2,30,0,0
94,Nathan  Coulter-Nile,1,1,4,29,1,11,29,7.25,24,0,0
95,Syed  Mohammad,4,4,10,91,3,10,30.33,9.1,20,0,0
96,Krishnakant  Upadhyay,2,2,5,48,0,10,-,9.6,-,0,0
97,Andre  Russell,3,3,7,68,0,10,-,9.71,-,0,0
98,Chris  Gayle,16,4,4,40,3,10,13.33,10,8,0,0
99,Ashish  Reddy,12,5,6.4,70,3,10,23.33,10.5,13.33,0,0
100,Pawan  Suyal,1,1,3,21,1,9,21,7,18,0,0
1,Axar  Patel,17,17,66,405,17,157,23.82,6.13,23.29,0,0
2,Sunil  Narine,16,16,64,407,21,157,19.38,6.35,18.28,2,0
3,Bhuvneshwar  Kumar,14,14,53.1,354,20,152,17.7,6.65,15.95,1,0
4,Morne  Morkel,12,12,48,367,12,148,30.58,7.64,24,0,0
5,Dale  Steyn,14,14,56,431,11,145,39.18,7.69,30.54,0,0
6,Harbhajan  Singh,14,14,55,356,14,138,25.42,6.47,23.57,0,0
7,Mitchell  Johnson,14,14,53.3,444,17,135,26.11,8.29,18.88,0,0
8,Ravichandran  Ashwin,16,16,59.5,437,16,130,27.31,7.3,22.43,0,0
9,Mitchell  Starc,14,14,53.4,402,14,127,28.71,7.49,23,0,0
10,Mohit  Sharma,16,16,53.5,452,23,118,19.65,8.39,14.04,1,0
11,Yuzvendra  Chahal,14,14,55,386,12,115,32.16,7.01,27.5,0,0
12,Karn  Sharma,14,14,50.4,376,15,114,25.06,7.42,20.26,1,0
13,Shakib  Al Hasan,13,13,50,334,11,113,30.36,6.68,27.27,0,0
14,Ishwar  Pandey,13,12,42,318,6,112,53,7.57,42,0,0
15,Sandeep  Sharma,11,11,40.1,354,18,109,19.66,8.81,13.38,0,0
16,Ravindra  Jadeja,16,16,54.2,443,19,102,23.31,8.15,17.15,2,0
17,Mohammed  Shami,12,12,44,369,7,102,52.71,8.38,37.71,0,0
18,Lasith  Malinga,10,10,39.1,253,16,99,15.81,6.45,14.68,1,0
19,Umesh  Yadav,12,12,45,367,11,95,33.36,8.15,24.54,0,0
20,Jasprit  Bumrah,11,11,39.4,301,5,92,60.2,7.58,47.6,0,0
21,Varun  Aaron,10,10,36.4,299,16,90,18.68,8.15,13.75,0,0
22,Pravin  Tambe,13,13,49,356,15,89,23.73,7.26,19.6,1,0
23,Rishi  Dhawan,13,13,47.2,365,13,85,28.07,7.71,21.84,0,0
24,Wayne  Parnell,8,8,30.1,223,6,82,37.16,7.39,30.16,0,0
25,Piyush  Chawla,11,11,39.3,303,14,79,21.64,7.67,16.92,0,0
26,Lakshmipathy  Balaji,9,9,34,299,12,72,24.91,8.79,17,1,0
27,James  Faulkner,13,13,43,419,11,72,38.09,9.74,23.45,0,0
28,Dhawal  Kulkarni,8,8,27,221,6,70,36.83,8.18,27,0,0
29,Ben  Hilfenhaus,8,8,28,246,8,70,30.75,8.78,21,0,0
30,Shahbaz  Nadeem,11,11,38,311,8,66,38.87,8.18,28.5,0,0
31,Amit  Mishra,10,10,37.3,340,7,66,48.57,9.06,32.14,0,0
32,Ashok  Dinda,9,9,31,270,5,64,54,8.7,37.2,0,0
33,Kane  Richardson,7,7,27,206,9,62,22.88,7.62,18,0,0
34,JP  Duminy,14,11,33,240,3,60,80,7.27,66,0,0
35,Jaydev  Unadkat,9,9,31.1,270,9,59,30,8.66,20.77,0,0
36,Shane  Watson,13,9,21,165,7,57,23.57,7.85,18,0,0
37,Zaheer  Khan,6,6,22.2,146,5,56,29.2,6.53,26.8,0,0
38,Rajat  Bhatia,12,12,38,283,12,56,23.58,7.44,19,0,0
39,Vinay  Kumar,9,9,32,281,7,56,40.14,8.78,27.42,0,0
40,Parvinder  Awana,7,7,23.3,245,7,48,35,10.42,20.14,0,0
41,Karanveer  Singh,5,5,20,164,11,42,14.9,8.2,10.9,1,0
42,Irfan  Pathan,10,10,23.4,205,4,41,51.25,8.66,35.5,0,0
43,Samuel  Badree,4,4,14,97,2,40,48.5,6.92,42,0,0
44,Albie  Morkel,7,6,16,126,4,40,31.5,7.87,24,0,0
45,Jacques  Kallis,8,8,22,186,4,39,46.5,8.45,33,0,0
46,Imran  Tahir,6,6,20.5,171,9,38,19,8.2,13.88,0,0
47,Muttiah  Muralitharan,5,5,16,124,3,36,41.33,7.75,32,0,0
48,Corey  Anderson,12,9,18,184,4,35,46,10.22,27,0,0
49,Kevon  Cooper,5,5,18,134,4,34,33.5,7.44,27,0,0
50,Suresh  Raina,16,8,18,134,1,34,134,7.44,108,0,0
51,Shivam  Sharma,4,4,16,121,3,34,40.33,7.56,32,0,0
52,Praveen  Kumar,3,3,12,78,3,33,26,6.5,24,0,0
53,Yuvraj  Singh,14,10,22.4,187,5,33,37.4,8.25,27.2,1,0
54,Kieron  Pollard,15,12,25,262,2,33,131,10.48,75,0,0
55,Shreyas  Gopal,4,4,14,113,6,30,18.83,8.07,14,0,0
56,Ashish  Nehra,4,4,15,142,8,30,17.75,9.46,11.25,0,0
57,Ishant  Sharma,3,3,11,101,3,26,33.66,9.18,22,0,0
58,Tim  Southee,3,3,10,76,0,25,-,7.6,-,0,0
59,Abu  Nechim,4,4,14.2,113,3,25,37.66,7.88,28.66,0,0
60,Beuran  Hendricks,3,3,12,126,4,25,31.5,10.5,18,0,0
61,Siddarth  Kaul,5,5,13,126,2,24,63,9.69,39,0,0
62,Ankit  Sharma,3,2,8,43,4,22,10.75,5.37,12,0,0
63,Laxmi  Ratan Shukla,6,5,9.2,83,1,22,83,8.89,56,0,0
64,Harshal  Patel,3,3,11,113,4,22,28.25,10.27,16.5,0,0
65,Rahul  Tewatia,3,3,9,59,2,21,29.5,6.55,27,0,0
66,Moises  Henriques,4,4,10,96,4,20,24,9.6,15,0,0
67,Darren  Sammy,10,8,14,157,3,20,52.33,11.21,28,0,0
68,Ravi  Rampaul,2,2,6,37,1,18,37,6.16,36,0,0
69,Stuart  Binny,13,8,9,64,3,18,21.33,7.11,18,0,0
70,Rahul  Shukla,3,3,9,98,2,18,49,10.88,27,0,0
71,Dwayne  Smith,16,5,10,95,4,15,23.75,9.5,15,0,0
72,Krishmar  Santokie,2,2,8,90,3,15,30,11.25,16,0,0
73,Parveez  Rasool,3,3,9,83,1,14,83,9.22,54,0,0
74,Jimmy  Neesham,4,4,9,91,1,14,91,10.11,54,0,0
75,Glenn  Maxwell,16,7,11,132,1,14,132,12,66,0,0
76,Ryan  ten Doeschate,10,4,5,35,1,13,35,7,30,0,0
77,Nathan  Coulter-Nile,2,1,4,27,2,12,13.5,6.75,12,0,0
78,Pat  Cummins,1,1,4,29,1,12,29,7.25,24,0,0
79,Murali  Kartik,2,2,8,91,1,10,91,11.37,48,0,0
80,Ben  Cutting,1,1,4,31,1,9,31,7.75,24,0,0
81,John  Hastings,1,1,3,29,1,9,29,9.66,18,0,0
82,Rahul  Sharma,2,2,6,65,1,9,65,10.83,36,0,0
83,Pawan  Negi,2,2,7,75,0,8,-,10.71,-,0,0
84,Pawan  Suyal,1,1,3,35,1,8,35,11.66,18,0,0
85,Marchant  de Lange,1,1,4,32,2,7,16,8,12,0,0
86,Vikramjeet  Malik,1,1,3,29,1,7,29,9.66,18,0,0
87,Andre  Russell,2,2,5,52,1,6,52,10.4,30,0,0
88,Jason  Holder,1,1,3,35,1,6,35,11.66,18,0,0
89,David  Hussey,5,1,2.5,38,2,5,19,13.41,8.5,0,0
90,Rohit  Sharma,15,2,3,26,1,4,26,8.66,18,0,0
91,Shadab  Jakati,1,1,3.4,41,0,4,-,11.18,-,0,0
92,Sachin  Rana,9,2,2,16,0,3,-,8,-,0,0
93,Venugopal  Rao,7,2,2,16,0,3,-,8,-,0,0
94,Manoj  Tiwary,8,1,2,28,0,3,-,14,-,0,0
95,Suryakumar  Yadav,16,1,1,8,0,2,-,8,-,0,0
96,Iqbal  Abdulla,1,1,2,17,0,2,-,8.5,-,0,0
97,Lendl  Simmons,8,1,3,34,1,2,34,11.33,18,0,0
98,Murali  Vijay,11,1,1,13,0,2,-,13,-,0,0
99,Yusuf  Pathan,15,1,1,10,0,1,-,10,-,0,0
100,Vijay  Shankar,1,1,1,19,0,1,-,19,-,0,0
1,Ashish  Nehra,16,16,62,449,22,170,20.4,7.24,16.9,1,0
2,Sandeep  Sharma,14,14,50,350,13,142,26.92,7,23.07,1,0
3,Lasith  Malinga,15,15,60,444,24,140,18.5,7.4,15,1,0
4,Bhuvneshwar  Kumar,14,14,51.4,407,18,126,22.61,7.87,17.22,0,0
5,Mohit  Sharma,16,16,57,481,14,121,34.35,8.43,24.42,0,0
6,Mitchell  McClenaghan,12,12,47,386,18,118,21.44,8.21,15.66,0,0
7,Nathan  Coulter-Nile,11,11,42.3,321,15,117,21.4,7.55,17,1,0
8,Harbhajan  Singh,15,15,57,446,18,117,24.77,7.82,19,0,0
9,Ravichandran  Ashwin,14,13,39,228,10,114,22.8,5.84,23.4,0,0
10,Chris  Morris,11,11,42,311,13,113,23.92,7.4,19.38,1,0
11,Mitchell  Starc,13,12,43,291,20,105,14.55,6.76,12.9,1,0
12,Anureet  Singh,14,14,51.4,465,15,105,31,9,20.66,0,0
13,Harshal  Patel,15,14,43.5,328,17,103,19.29,7.48,15.47,0,0
14,Dhawal  Kulkarni,11,11,35,277,13,95,21.3,7.91,16.15,0,0
15,Andre  Russell,13,13,40.4,324,14,94,23.14,7.96,17.42,0,0
16,Ishwar  Pandey,10,10,31,223,11,93,20.27,7.19,16.9,0,0
17,Vinay  Kumar,13,13,43.3,368,7,93,52.57,8.45,37.28,0,0
18,Umesh  Yadav,12,12,42,382,10,92,38.2,9.09,25.2,0,0
19,Yuzvendra  Chahal,15,14,46.5,415,23,90,18.04,8.86,12.21,0,0
20,Mitchell  Johnson,9,9,35.5,336,9,90,37.33,9.37,23.88,0,0
21,Dwayne  Bravo,17,16,52.2,426,26,88,16.38,8.14,12.07,0,0
22,James  Faulkner,13,13,45,426,8,88,53.25,9.46,33.75,0,0
23,Ravindra  Jadeja,17,15,42.4,330,11,84,30,7.73,23.27,1,0
24,Axar  Patel,14,14,46.4,392,13,83,30.15,8.4,21.53,0,0
25,Morne  Morkel,7,7,28,206,10,76,20.6,7.35,16.8,0,0
26,Amit  Mishra,12,12,40.1,310,9,75,34.44,7.71,26.77,0,0
27,Sunil  Narine,8,8,32,234,7,74,33.42,7.31,27.42,1,0
28,Zaheer  Khan,7,7,24.1,156,7,73,22.28,6.45,20.71,0,0
29,David  Wiese,14,13,42.2,353,16,73,22.06,8.33,15.87,1,0
30,Trent  Boult,7,7,28,236,9,71,26.22,8.42,18.66,0,0
31,Praveen  Kumar,12,12,36,329,7,71,47,9.13,30.85,0,0
32,Jagadeesha  Suchith,13,12,39,337,10,70,33.7,8.64,23.4,0,0
33,Pravin  Tambe,10,10,34,266,7,69,38,7.82,29.14,0,0
34,Tim  Southee,7,7,28,247,6,66,41.16,8.82,28,0,0
35,Piyush  Chawla,13,13,35,269,11,65,24.45,7.68,19.09,1,0
36,Karn  Sharma,14,14,39.5,332,10,65,33.2,8.33,23.9,0,0
37,Imran  Tahir,10,10,35.3,314,15,64,20.93,8.84,14.2,1,0
38,Shane  Watson,10,10,29,269,6,62,44.83,9.27,29,0,0
39,Angelo  Mathews,11,10,30,246,7,61,35.14,8.2,25.71,0,0
40,Moises  Henriques,9,9,25,158,11,57,14.36,6.32,13.63,0,0
41,Stuart  Binny,13,10,19,140,4,56,35,7.36,28.5,0,0
42,Pawan  Negi,10,10,30,252,6,53,42,8.4,30,0,0
43,Brad  Hogg,6,6,21,144,9,50,16,6.85,14,1,0
44,Sreenath  Arvind,5,5,18,132,8,47,16.5,7.33,13.5,1,0
45,Iqbal  Abdulla,5,5,19,150,4,46,37.5,7.89,28.5,0,0
46,Domnic  Joseph,6,6,14,101,4,44,25.25,7.21,21,0,0
47,Varun  Aaron,6,5,17.2,177,3,44,59,10.21,34.66,0,0
48,Dale  Steyn,6,6,19,170,3,38,56.66,8.94,38,0,0
49,Ravi  Bopara,9,7,20,160,6,37,26.66,8,20,0,0
50,Shakib  Al Hasan,4,4,14,123,4,34,30.75,8.78,21,0,0
51,JP  Duminy,14,9,17,126,8,33,15.75,7.41,12.75,1,0
52,Ishant  Sharma,4,4,14,159,1,30,159,11.35,84,0,0
53,Ankit  Sharma,4,4,14,114,3,29,38,8.14,28,0,0
54,Hardik  Pandya,9,8,17,176,1,29,176,10.35,102,0,0
55,Beuran  Hendricks,4,4,13,109,5,27,21.8,8.38,15.6,0,0
56,Abu  Nechim,3,3,12,128,1,26,128,10.66,72,0,0
57,Deepak  Hooda,14,7,15.1,129,1,25,129,8.5,91,0,0
58,Suresh  Raina,17,5,12,93,2,24,46.5,7.75,36,0,0
59,Jasprit  Bumrah,4,4,15,184,3,24,61.33,12.26,30,0,0
60,Albie  Morkel,4,4,12,109,3,22,36.33,9.08,24,0,0
61,Pat  Cummins,3,3,10,97,1,22,97,9.7,60,0,0
62,Karanveer  Singh,4,4,14,157,1,22,157,11.21,84,0,0
63,Jayant  Yadav,3,3,7,29,2,21,14.5,4.14,21,0,0
64,Shahbaz  Nadeem,4,2,7,43,0,21,-,6.14,-,0,0
65,Rishi  Dhawan,5,5,12,110,1,20,110,9.16,72,0,0
66,Gurkeerat  Mann Singh,5,3,9,66,3,19,22,7.33,18,0,0
67,Johan  Botha,4,4,10,81,1,19,81,8.1,60,0,0
68,Pawan  Suyal,3,3,10,95,0,19,-,9.5,-,0,0
69,Glenn  Maxwell,11,7,10,97,2,19,48.5,9.7,30,0,0
70,Bipul  Sharma,4,3,7,50,3,17,16.66,7.14,14,0,0
71,Marchant  de Lange,1,1,4,30,0,15,-,7.5,-,0,0
72,Kieron  Pollard,16,8,12.4,120,3,14,40,9.47,25.33,0,0
73,Parveez  Rasool,2,2,5,31,1,12,31,6.2,30,0,0
74,Yusuf  Pathan,13,5,10,97,2,12,48.5,9.7,30,0,0
75,Yuvraj  Singh,14,6,9,72,1,11,72,8,54,0,0
76,Corey  Anderson,4,2,4,33,1,10,33,8.25,24,0,0
77,Ashish  Reddy,6,4,6,50,3,9,16.66,8.33,12,0,0
78,Thisara  Perera,2,2,6,55,1,9,55,9.16,36,0,0
79,Gurinder  Sandhu,3,2,8,82,1,9,82,10.25,48,0,0
80,Rajat  Bhatia,2,2,5,46,0,7,-,9.2,-,0,0
81,Jaydev  Unadkat,1,1,3,30,0,7,-,10,-,0,0
82,Rahul  Tewatia,1,1,3,31,1,6,31,10.33,18,0,0
83,Sean  Abbott,2,2,5,57,0,6,-,11.4,-,0,0
84,Barinder  Sran,1,1,3,35,0,5,-,11.66,-,0,0
85,Shardul  Thakur,1,1,3,38,1,5,38,12.66,18,0,0
86,Azhar  Mahmood,1,1,3,41,0,5,-,13.66,-,0,0
87,Murali  Vijay,11,2,4,28,0,4,-,7,-,0,0
88,Dwayne  Smith,16,1,2,17,1,4,17,8.5,12,0,0
89,Juan  Theron,1,1,4,40,1,4,40,10,24,0,0
90,Ronit  More,2,2,5.5,59,1,4,59,10.11,35,0,0
91,Ashok  Dinda,2,2,5,62,0,4,-,12.4,-,0,0
92,Ryan  ten Doeschate,6,1,1,4,0,3,-,4,-,0,0
93,Chris  Gayle,14,1,2,15,0,3,-,7.5,-,0,0
94,KC  Cariappa,1,1,2,28,1,3,28,14,12,0,0
95,Shivam  Sharma,1,1,3,44,1,3,44,14.66,18,0,0
96,Virat  Kohli,16,2,1.5,10,0,2,-,5.45,-,0,0
97,Darren  Sammy,2,2,3,25,0,2,-,8.33,-,0,0
98,Shreyas  Gopal,1,1,2.1,23,1,2,23,10.61,13,0,0
99,Pragyan  Ojha,1,1,2,23,0,1,-,11.5,-,0,0
1,Bhuvneshwar  Kumar,17,17,66,490,23,156,21.3,7.42,17.21,1,0
2,Mustafizur  Rahman,16,16,61,421,17,137,24.76,6.9,21.52,0,0
3,Praveen  Kumar,16,16,51.3,401,9,132,44.55,7.78,34.33,0,0
4,Dhawal  Kulkarni,14,14,49,364,18,130,20.22,7.42,16.33,1,0
5,Mitchell  McClenaghan,14,14,53.2,436,17,128,25.64,8.17,18.82,1,0
6,Sandeep  Sharma,14,14,50,366,15,127,24.4,7.32,20,0,0
7,Shane  Watson,16,16,56.3,485,20,121,24.25,8.58,16.95,1,0
8,Zaheer  Khan,12,12,43.4,337,10,111,33.7,7.71,26.2,0,0
9,Sunil  Narine,11,11,42.5,304,11,110,27.63,7.09,23.36,0,0
10,Jasprit  Bumrah,14,14,52,406,15,108,27.06,7.8,20.8,0,0
11,Barinder  Sran,14,14,49.3,413,14,107,29.5,8.34,21.21,0,0
12,Chris  Morris,12,12,44,308,13,102,23.69,7,20.3,0,0
13,Yuzvendra  Chahal,13,13,49.1,401,21,100,19.09,8.15,14.04,1,0
14,Tim  Southee,11,11,43,329,9,99,36.55,7.65,28.66,0,0
15,Mohit  Sharma,14,14,48.3,407,13,97,31.3,8.39,22.38,0,0
16,Ravichandran  Ashwin,14,14,44,319,10,93,31.9,7.25,26.4,1,0
17,Amit  Mishra,14,14,46,344,13,93,26.46,7.47,21.23,1,0
18,Dwayne  Bravo,15,15,56,494,17,93,29.05,8.82,19.76,1,0
19,Axar  Patel,14,14,47.5,388,13,91,29.84,8.11,22.07,1,0
20,Andre  Russell,12,12,36.3,291,15,90,19.4,7.97,14.6,1,0
21,Moises  Henriques,17,17,52,415,12,89,34.58,7.98,26,0,0
22,Morne  Morkel,10,10,35.3,297,10,89,29.7,8.36,21.3,0,0
23,Ashok  Dinda,9,9,30.3,231,11,84,21,7.57,16.63,0,0
24,Harbhajan  Singh,14,14,49,392,9,83,43.55,8,32.66,0,0
25,Piyush  Chawla,12,11,35.2,273,11,81,24.81,7.72,19.27,0,0
26,Ashish  Nehra,8,8,26,199,9,72,22.11,7.65,17.33,0,0
27,Ravindra  Jadeja,15,14,40.1,311,8,71,38.87,7.74,30.12,0,0
28,Sreenath  Arvind,9,9,29.1,216,11,65,19.63,7.4,15.9,0,0
29,Shakib  Al Hasan,10,9,31,243,5,58,48.6,7.83,37.2,0,0
30,Thisara  Perera,12,11,33.1,326,9,56,36.22,9.82,22.11,0,0
31,Murugan  Ashwin,10,10,28.3,241,7,55,34.42,8.45,24.42,0,0
32,Rajat  Bhatia,10,10,34,244,6,54,40.66,7.17,34,0,0
33,Krunal  Pandya,12,11,31.1,236,6,53,39.33,7.57,31.16,0,0
34,Chris  Jordan,9,9,28,258,11,49,23.45,9.21,15.27,1,0
35,Shivil  Kaushik,7,7,23,192,6,48,32,8.34,23,0,0
36,Varun  Aaron,8,8,23.4,227,2,48,113.5,9.59,71,0,0
37,Umesh  Yadav,9,9,26,234,10,46,23.4,9,15.6,0,0
38,Carlos  Brathwaite,8,8,23.1,189,7,41,27,8.15,19.85,0,0
39,Dwayne  Smith,12,8,18,153,8,40,19.12,8.5,13.5,1,0
40,Marcus  Stoinis,7,7,23,194,8,39,24.25,8.43,17.25,1,0
41,Mohammed  Shami,8,8,25.1,244,5,39,48.8,9.69,30.2,0,0
42,Jayant  Yadav,5,5,17,125,2,38,62.5,7.35,51,0,0
43,Nathan  Coulter-Nile,4,4,15,114,3,37,38,7.6,30,0,0
44,Ishant  Sharma,4,4,15,148,3,37,49.33,9.86,30,0,0
45,Iqbal  Abdulla,8,8,25,213,6,35,35.5,8.52,25,0,0
46,KC  Cariappa,5,5,17,159,3,35,53,9.35,34,0,0
47,Kane  Richardson,4,4,14,136,7,34,19.42,9.71,12,0,0
48,Adam  Zampa,5,5,17,115,12,32,9.58,6.76,8.5,0,1
49,Shahbaz  Nadeem,4,4,15,127,2,31,63.5,8.46,45,0,0
50,Brad  Hogg,5,5,16,142,4,31,35.5,8.87,24,0,0
51,Shadab  Jakati,6,6,20,178,2,30,89,8.9,60,0,0
52,Hardik  Pandya,11,10,16.4,153,3,29,51,9.18,33.33,0,0
53,RP  Singh,4,4,12,111,3,29,37,9.25,24,0,0
54,Mitchell  Marsh,3,3,9,45,4,28,11.25,5,13.5,0,0
55,Stuart  Binny,14,11,17,134,1,28,134,7.88,102,0,0
56,Kuldeep  Yadav,3,3,12,100,6,28,16.66,8.33,12,0,0
57,Harshal  Patel,5,5,14,147,1,28,147,10.5,84,0,0
58,Kyle  Abbott,5,5,16,177,2,28,88.5,11.06,48,0,0
59,Jason  Holder,4,4,13,103,2,27,51.5,7.92,39,0,0
60,Pravin  Tambe,7,7,16,143,5,26,28.6,8.93,19.2,0,0
61,Tabraiz  Shamsi,4,4,16,147,3,26,49,9.18,32,0,0
62,Vinay  Kumar,3,3,9,64,3,25,21.33,7.11,18,0,0
63,Imran  Tahir,4,4,16,138,5,25,27.6,8.62,19.2,0,0
64,Pradeep  Sahu,5,5,17.3,146,3,24,48.66,8.34,35,0,0
65,Ben  Cutting,4,4,11.1,80,5,23,16,7.16,13.4,0,0
66,John  Hastings,2,2,6.4,37,2,22,18.5,5.55,20,0,0
67,Parveez  Rasool,4,4,14,129,1,22,129,9.21,84,0,0
68,Chris  Gayle,10,4,10,63,2,21,31.5,6.3,30,0,0
69,Deepak  Hooda,17,6,13,97,3,21,32.33,7.46,26,0,0
70,Bipul  Sharma,7,6,14,121,3,21,40.33,8.64,28,0,0
71,Mitchell  Johnson,3,3,11,106,2,21,53,9.63,33,0,0
72,James  Faulkner,7,7,17,167,2,21,83.5,9.82,51,0,0
73,Karn  Sharma,5,5,16.2,171,0,19,-,10.46,-,0,0
74,Irfan  Pathan,4,3,8,61,0,18,-,7.62,-,0,0
75,Ankit  Rajpoot,4,4,11,98,3,18,32.66,8.9,22,0,0
76,Ankit  Sharma,3,3,11,84,1,17,84,7.63,66,0,0
77,Glenn  Maxwell,11,7,9,80,0,16,-,8.88,-,0,0
78,Suresh  Raina,15,4,10,82,0,15,-,8.2,-,0,0
79,Yusuf  Pathan,15,4,6,33,1,14,33,5.5,36,0,0
80,Scott  Boland,2,2,7,54,2,14,27,7.71,21,0,0
81,Deepak  Chahar,2,2,5,41,0,13,-,8.2,-,0,0
82,Anureet  Singh,2,2,6,43,0,12,-,7.16,-,0,0
83,JP  Duminy,10,5,7,55,2,12,27.5,7.85,21,0,0
84,Rishi  Dhawan,2,2,7,56,2,12,28,8,21,0,0
85,Pawan  Negi,8,5,9,84,1,11,84,9.33,54,0,0
86,Trent  Boult,1,1,4,39,1,11,39,9.75,24,0,0
87,Pradeep  Sangwan,2,2,4,49,0,9,-,12.25,-,0,0
88,Albie  Morkel,2,2,5,66,2,9,33,13.2,15,0,0
89,Rajagopal  Sathish,4,3,6,59,1,8,59,9.83,36,0,0
90,Gurkeerat  Mann Singh,7,3,4,31,2,7,15.5,7.75,12,0,0
91,Yuvraj  Singh,10,5,6.1,52,0,7,-,8.43,-,0,0
92,Adam  Milne,1,1,4,43,1,7,43,10.75,24,0,0
93,David  Wiese,1,1,4,49,0,6,-,12.25,-,0,0
94,Sachin  Baby,11,2,1.4,8,2,5,4,4.8,5,0,0
95,Colin  Munro,4,2,2,15,0,5,-,7.5,-,0,0
96,Dale  Steyn,1,1,2,17,0,5,-,8.5,-,0,0
97,Ashish  Reddy,4,2,3.5,39,1,5,39,10.17,23,0,0
98,Jaydev  Unadkat,1,1,3,49,0,5,-,16.33,-,0,0
99,Shreyas  Gopal,1,1,3,18,0,4,-,6,-,0,0
