POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,Dots,Avg,Econ,SR,4w,5w
70,Aditya  Dole,3,3,11,112,5,20,22.4,10.18,13.2,0,0
71,Brett  Lee,4,4,14.3,149,0,20,-,10.27,-,0,0
72,Sanath  Jayasuriya,4,4,9,68,2,19,34,7.55,27,0,0
73,Laxmi  Ratan Shukla,4,4,12,106,3,19,35.33,8.83,24,0,0
74,Virender  Sehwag,14,3,5.4,23,3,18,7.66,4.05,11.33,0,0
75,Iqbal  Abdulla,3,3,8.3,61,1,18,61,7.17,51,0,0
76,Kevin  Pietersen,7,6,10,77,3,18,25.66,7.7,20,0,0
77,Tillakaratne  Dilshan,6,4,8.1,70,3,18,23.33,8.57,16.33,0,0
78,Kamran  Khan,3,3,6,53,3,18,17.66,8.83,12,0,0
79,Manpreet  Gony,3,3,8,92,1,17,92,11.5,48,0,0
80,Dimitri  Mascarenhas,2,2,8,65,4,16,16.25,8.12,12,0,0
81,Vikramjeet  Malik,3,3,7.1,62,1,16,62,8.65,43,0,0
82,KP  Appanna,2,2,7,51,1,15,51,7.28,42,0,0
83,JM  Kemp,5,5,7.2,54,3,15,18,7.36,14.66,0,0
84,Adam  Voges,9,7,9,76,0,15,-,8.44,-,0,0
85,Morne  Morkel,2,2,7,66,0,15,-,9.42,-,0,0
86,Nayan  Doshi,1,1,4,17,1,14,17,4.25,24,0,0
87,Bipul  Sharma,5,4,10,94,3,14,31.33,9.4,20,0,0
88,Rajagopal  Sathish,12,4,8,81,2,14,40.5,10.12,24,0,0
89,Joginder  Sharma,3,3,8,89,2,14,44.5,11.12,24,0,0
90,JP  Duminy,7,2,5.3,37,1,13,37,6.72,33,0,0
91,David  Hussey,6,5,10,80,0,13,-,8,-,0,0
92,YA  Abdulla,2,2,6.5,66,1,13,66,9.65,41,0,0
93,Ajantha  Mendis,2,2,8,66,2,12,33,8.25,24,0,0
94,Abhishek  Jhunjhunwala,13,5,6.1,69,0,12,-,11.18,-,0,0
95,Moises  Henriques,1,1,4,35,1,10,35,8.75,24,0,0
96,Dhawal  Kulkarni,1,1,4,40,1,10,40,10,24,0,0
97,Roelof  van der Merwe,1,1,4,27,2,8,13.5,6.75,12,0,0
98,Brad  Hodge,4,4,5,41,2,8,20.5,8.2,15,0,0
99,Amit  Uniyal,2,2,6,66,2,8,33,11,18,0,0
100,Love  Ablish,2,2,4,36,3,7,12,9,8,0,0
1,Lasith  Malinga,16,16,63,375,28,183,13.39,5.95,13.5,0,1
2,Ravichandran  Ashwin,16,16,63,388,20,157,19.4,6.15,18.9,0,0
3,Munaf  Patel,15,15,54.2,358,22,145,16.27,6.58,14.81,0,1
4,Zaheer  Khan,15,15,59,455,14,141,32.5,7.71,25.28,0,0
5,Praveen  Kumar,13,13,46,345,10,137,34.5,7.5,27.6,0,0
6,RP  Singh,14,14,50,345,13,135,26.53,6.9,23.07,1,0
