POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Manish  Pandey,5,4,2,168,114,84,118,142.37,1,0,17,4
2,Matthew  Hayden,12,12,1,572,89,52,395,144.81,0,5,60,22
3,AB  de Villiers,15,13,4,465,105,51.66,355,130.98,1,3,39,12
4,Tillakaratne  Dilshan,14,13,3,418,67,41.8,341,122.58,0,4,42,13
5,MS  Dhoni,14,13,5,332,58,41.5,261,127.2,0,2,22,9
6,JP  Duminy,13,12,3,372,62,41.33,325,114.46,0,5,26,11
7,Brad  Hodge,12,12,3,365,73,40.55,310,117.74,0,3,34,9
8,Mahela  Jayawardene,10,10,4,219,52,36.5,165,132.72,0,1,17,7
9,Dinesh  Karthik,15,13,5,288,52,36,217,132.71,0,1,20,9
10,Andrew  Symonds,8,8,1,249,60,35.57,166,150,0,1,15,11
11,Herschelle  Gibbs,14,14,3,371,69,33.72,331,112.08,0,4,32,12
12,Sachin  Tendulkar,13,13,2,364,68,33.09,303,120.13,0,2,39,10
13,Ajit  Agarkar,11,7,5,66,39,33,57,115.78,0,0,3,3
14,Ross  Taylor,11,11,2,280,81,31.11,208,134.61,0,1,20,15
15,Suresh  Raina,14,14,0,434,98,31,308,140.9,0,2,37,21
16,Andrew  Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2
17,Adam  Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,54,29
18,Kumar  Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,29,5
19,Mark  Boucher,12,9,4,150,48,30,116,129.31,0,0,8,6
20,Chaminda  Vaas,2,2,1,30,20,30,21,142.85,0,0,1,1
21,Chris  Gayle,7,7,1,171,44,28.5,143,119.58,0,0,15,10
22,Yuvraj  Singh,14,14,2,340,58,28.33,294,115.64,0,2,25,16
23,Rohit  Sharma,16,16,3,362,52,27.84,315,114.92,0,1,22,18
24,Jacques  Kallis,15,15,2,361,69,27.76,332,108.73,0,3,37,8
25,Ravi  Bopara,5,5,0,138,84,27.6,119,115.96,0,1,8,7
26,Dwayne  Bravo,11,10,2,218,70,27.25,203,107.38,0,2,15,8
27,Ravindra  Jadeja,13,13,2,295,42,26.81,266,110.9,0,0,21,6
28,Shreevats  Goswami,2,2,0,53,43,26.5,60,88.33,0,0,6,0
29,Mithun  Manhas,10,6,3,75,26,25,62,120.96,0,0,7,1
30,David  Hussey,4,4,0,98,43,24.5,59,166.1,0,0,7,6
31,Albie  Morkel,12,10,6,97,21,24.25,70,138.57,0,0,8,4
32,Naman  Ojha,8,8,1,168,68,24,144,116.66,0,2,11,11
33,Ajinkya  Rahane,8,7,1,144,62,24,123,117.07,0,2,12,3
34,Wriddhiman  Saha,8,7,4,72,25,24,41,175.6,0,0,3,4
35,Brendon  McCullum,13,13,1,285,84,23.75,239,119.24,0,2,27,12
36,Tirumalasetti  Suman,12,12,2,237,41,23.7,190,124.73,0,0,18,8
37,Johan  Botha,3,3,1,47,37,23.5,40,117.5,0,0,5,0
38,David  Warner,7,7,0,163,51,23.28,132,123.48,0,1,16,5
39,Ramesh  Powar,9,4,3,23,10,23,22,104.54,0,0,2,0
40,Rahul  Dravid,13,12,0,271,66,22.58,234,115.81,0,1,28,3
41,George  Bailey,3,2,0,45,30,22.5,39,115.38,0,0,7,0
42,Virat  Kohli,16,13,2,246,50,22.36,219,112.32,0,1,22,8
43,Gautam  Gambhir,15,15,2,286,71,22,278,102.87,0,1,32,2
44,Dwaraka  Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,7,0
45,Abhishek  Nayar,13,11,2,193,35,21.44,152,126.97,0,0,14,7
46,Ryan  Harris,8,5,4,21,9,21,18,116.66,0,0,0,0
47,MF  Maharoof,3,2,1,21,18,21,21,100,0,0,0,0
48,Yusuf  Pathan,13,13,1,243,62,20.25,183,132.78,0,1,24,12
49,LA  Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
50,Shadab  Jakati,9,2,1,20,13,20,15,133.33,0,0,3,0
51,Joginder  Sharma,4,2,1,20,16,20,18,111.11,0,0,0,1
52,Yogesh  Nagar,1,1,0,20,20,20,20,100,0,0,1,0
53,Virender  Sehwag,11,11,1,198,50,19.8,138,143.47,0,1,24,7
54,Subramaniam  Badrinath,14,11,2,177,59,19.66,164,107.92,0,1,20,4
55,Irfan  Pathan,14,12,2,196,39,19.6,158,124.05,0,0,17,6
56,Abhishek  Raut,9,7,3,78,36,19.5,61,127.86,0,0,5,3
57,Graeme  Smith,12,12,1,212,77,19.27,216,98.14,0,1,27,1
