POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
51,Callum  Ferguson,5,4,2,48,16,24,54,88.88,0,0,6,0
52,Saurabh  Tiwary,16,13,5,187,42,23.37,188,99.46,0,0,13,5
53,Mahela  Jayawardene,13,13,0,299,76,23,257,116.34,0,3,35,5
54,Albie  Morkel,15,13,7,138,30,23,102,135.29,0,0,8,8
55,Daniel  Vettori,13,4,3,23,18,23,28,82.14,0,0,1,1
56,Bipul  Sharma,4,3,2,23,16,23,18,127.77,0,0,1,0
57,Jesse  Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11
58,Srikkanth  Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3
59,JP  Duminy,10,10,0,205,55,20.5,174,117.81,0,1,9,8
60,Parthiv  Patel,14,13,3,202,37,20.2,183,110.38,0,0,25,2
61,Mayank  Agarwal,8,7,0,141,41,20.14,120,117.5,0,0,16,4
62,Ashok  Menaria,13,10,1,180,34,20,152,118.42,0,0,10,10
63,Ajinkya  Rahane,10,7,1,120,52,20,98,122.44,0,1,12,2
64,Aiden  Blizzard,6,6,0,120,51,20,87,137.93,0,1,21,2
65,Abhishek  Raut,7,4,1,60,25,20,58,103.44,0,0,5,1
66,Morne  Morkel,11,5,3,40,16,20,25,160,0,0,3,2
67,Y  Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,3,0
68,Irfan  Pathan,14,12,4,150,44,18.75,138,108.69,0,0,12,6
69,Michael  Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0
70,Sachin  Rana,2,1,0,18,18,18,16,112.5,0,0,2,0
71,Brad  Haddin,1,1,0,18,18,18,11,163.63,0,0,2,1
72,Dan  Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7
73,Amit  Mishra,14,9,5,68,25,17,49,138.77,0,0,9,1
74,Mohnish  Mishra,6,5,1,67,37,16.75,60,111.66,0,0,5,2
75,Piyush  Chawla,12,6,3,48,15,16,55,87.27,0,0,2,2
76,Dishant  Yagnik,7,4,3,16,10,16,22,72.72,0,0,1,0
77,Yogesh  Nagar,11,10,3,111,23,15.85,100,111,0,0,6,6
78,Davy  Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
79,Eoin  Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3
80,Travis  Birt,5,5,0,75,27,15,58,129.31,0,0,9,2
81,VVS  Laxman,3,3,0,44,36,14.66,42,104.76,0,0,3,2
82,Kieron  Pollard,16,13,3,146,28,14.6,133,109.77,0,0,12,6
83,Shakib  Al Hasan,7,3,1,29,26,14.5,22,131.81,0,0,4,0
84,Manvinder  Bisla,5,5,0,72,27,14.4,89,80.89,0,0,8,0
85,Ishank  Jaggi,2,2,0,28,25,14,37,75.67,0,0,3,0
86,Harpreet  Singh,2,2,1,14,13,14,20,70,0,0,0,0
87,Laxmi  Ratan Shukla,1,1,0,14,14,14,10,140,0,0,2,0
88,Mohammad  Kaif,8,4,1,41,15,13.66,33,124.24,0,0,5,0
89,Owais  Shah,3,2,0,26,23,13,15,173.33,0,0,1,2
90,Balachandra  Akhil,1,1,0,13,13,13,9,144.44,0,0,0,1
91,Luke  Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2
92,Rajagopal  Sathish,9,3,1,25,18,12.5,34,73.52,0,0,1,0
93,Wayne  Parnell,8,5,2,37,16,12.33,39,94.87,0,0,2,1
94,Naman  Ojha,14,14,1,160,29,12.3,161,99.37,0,0,11,11
95,Amit  Paunikar,4,4,0,49,20,12.25,57,85.96,0,0,9,0
96,Murali  Kartik,6,3,2,12,11,12,15,80,0,0,1,0
97,Mandeep  Singh,6,5,1,47,15,11.75,41,114.63,0,0,4,1
98,Thisara  Perera,4,2,0,23,22,11.5,27,85.18,0,0,4,0
99,Mithun  Manhas,10,10,0,114,35,11.4,123,92.68,0,0,8,4
100,Cheteshwar  Pujara,7,3,0,34,25,11.33,31,109.67,0,0,4,0
1,JP  Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11
2,Chris  Gayle,15,14,2,733,128,61.08,456,160.74,1,7,46,59
3,Kevin  Pietersen,8,8,3,305,103,61,207,147.34,1,1,22,20
4,Dwayne  Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20
5,Cameron  White,13,13,2,479,78,43.54,320,149.68,0,5,41,20
6,Shane  Watson,7,7,1,255,90,42.5,168,151.78,0,2,26,14
7,Debabrata  Das,15,10,7,126,35,42,93,135.48,0,0,9,6
8,Shikhar  Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18
9,Herschelle  Gibbs,3,3,1,81,66,40.5,88,92.04,0,1,8,2
10,Steve  Smith,15,14,5,362,47,40.22,267,135.58,0,0,24,14
11,Ajinkya  Rahane,16,16,2,560,103,40,433,129.33,1,3,73,10
12,AB  de Villiers,16,13,5,319,64,39.87,198,161.11,0,3,26,15
13,Gautam  Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
14,Dwayne  Smith,7,6,2,157,87,39.25,98,160.2,0,1,18,7
15,Owais  Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16
16,Ambati  Rayudu,17,15,6,333,81,37,252,132.14,0,2,21,14
17,David  Warner,8,8,1,256,109,36.57,156,164.1,1,1,28,14
18,Tillakaratne  Dilshan,10,9,1,285,76,35.62,261,109.19,0,3,33,5
19,Adam  Gilchrist,7,7,2,172,64,34.4,143,120.27,0,1,21,4
20,Faf  du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17
21,Virender  Sehwag,16,16,1,495,87,33,307,161.23,0,5,57,19
22,David  Hussey,16,15,3,396,68,33,305,129.83,0,2,28,17
23,David  Miller,6,6,3,98,34,32.66,75,130.66,0,0,6,4
24,Michael  Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8
25,Rohit  Sharma,17,16,2,433,109,30.92,342,126.6,1,3,39,18
26,Brad  Hodge,12,12,4,245,48,30.62,175,140,0,0,18,9
27,Shaun  Marsh,13,13,2,336,68,30.54,280,120,0,2,39,7
28,Manvinder  Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
29,Yogesh  Nagar,13,8,3,152,43,30.4,133,114.28,0,0,13,3
30,Mithun  Manhas,10,7,3,120,42,30,96,125,0,0,10,4
31,MS  Dhoni,19,17,5,358,51,29.83,278,128.77,0,1,26,9
32,Sachin  Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
33,Dan  Christian,7,7,2,145,39,29,118,122.88,0,0,8,6
34,Rahul  Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4
35,Gurkeerat  Mann Singh,5,4,1,86,29,28.66,52,165.38,0,0,12,2
36,Virat  Kohli,16,15,2,364,73,28,326,111.65,0,2,33,10
37,Subramaniam  Badrinath,15,9,2,196,57,28,181,108.28,0,1,23,2
38,Mahela  Jayawardene,16,15,3,335,56,27.91,298,112.41,0,3,39,3
39,Daniel  Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
40,Aaron  Finch,2,2,0,55,30,27.5,51,107.84,0,0,8,0
41,Mandeep  Singh,16,16,0,432,75,27,342,126.31,0,2,53,7
42,Robin  Uthappa,16,16,1,405,69,27,343,118.07,0,2,38,10
43,Manoj  Tiwary,16,15,5,260,59,26,246,105.69,0,1,21,3
44,Suresh  Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19
45,Murali  Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10
46,Jesse  Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8
47,Jacques  Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
48,Irfan  Pathan,17,12,5,176,42,25.14,126,139.68,0,0,14,6
49,Dishant  Yagnik,5,3,2,25,10,25,13,192.3,0,0,5,0
50,James  Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
51,Kieron  Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
52,Akshath  Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2
53,Brendon  McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
54,Bipul  Sharma,5,4,1,72,35,24,47,153.19,0,0,6,3
55,Saurabh  Tiwary,15,11,3,191,36,23.87,170,112.35,0,0,9,8
56,Andrew  McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2
57,Andre  Russell,4,2,0,47,31,23.5,26,180.76,0,0,3,3
58,Azhar  Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8
59,Naman  Ojha,18,16,5,255,64,23.18,224,113.83,0,1,21,13
60,Stuart  Binny,8,6,2,90,30,22.5,67,134.32,0,0,9,3
61,Venugopal  Rao,10,7,1,132,36,22,126,104.76,0,0,8,5
62,Siddharth  Chitnis,6,4,1,66,38,22,62,106.45,0,0,7,1
63,Anustup  Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
64,Brett  Lee,10,3,1,42,25,21,20,210,0,0,2,4
65,Mayank  Agarwal,16,12,1,225,64,20.45,158,142.4,0,1,19,15
66,Manish  Pandey,10,9,2,143,80,20.42,112,127.67,0,1,12,6
67,Ashok  Menaria,15,12,1,220,40,20,202,108.91,0,0,14,8
68,Ross  Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7
69,Yusuf  Pathan,17,16,6,194,40,19.4,169,114.79,0,0,10,7
70,Kevon  Cooper,6,4,2,38,14,19,20,190,0,0,3,3
71,Dinesh  Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2
72,Kumar  Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4
73,Angelo  Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4
74,Pawan  Negi,8,4,2,36,14,18,29,124.13,0,0,4,1
75,Unmukt  Chand,2,2,0,36,18,18,34,105.88,0,0,2,3
76,Ryan  Harris,5,2,1,18,15,18,11,163.63,0,0,1,1
77,Sourav  Ganguly,15,15,0,267,45,17.8,270,98.88,0,0,30,4
78,Marlon  Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5
79,Parthiv  Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4
80,Michael  Clarke,6,6,0,100,41,16.66,95,105.26,0,0,12,0
81,Ravindra  Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9
82,Albie  Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6
83,Shakib  Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3
84,Abhishek  Nayar,4,4,1,45,24,15,49,91.83,0,0,2,1
85,Harmeet  Singh Bansal,7,2,1,15,14,15,7,214.28,0,0,3,0
86,Johan  Botha,11,7,3,58,14,14.5,54,107.4,0,0,4,1
87,Nitin  Saini,10,10,0,140,50,14,141,99.29,0,1,16,0
88,James  Faulkner,2,2,1,14,11,14,13,107.69,0,0,0,0
89,Mohammad  Kaif,1,1,0,14,14,14,16,87.5,0,0,1,0
90,Richard  Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
91,Shreevats  Goswami,11,6,1,69,24,13.8,67,102.98,0,0,4,1
92,Vinay  Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2
93,Bhuvneshwar  Kumar,11,9,6,40,11,13.33,40,100,0,0,4,0
94,Piyush  Chawla,16,12,4,106,21,13.25,88,120.45,0,0,9,4
95,Laxmi  Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5
96,Callum  Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0
97,Bharat  Chipli,5,4,1,37,25,12.33,35,105.71,0,0,3,2
98,Harbhajan  Singh,17,11,2,108,33,12,80,135,0,0,14,3
99,Abhishek  Jhunjhunwala,5,3,1,24,19,12,26,92.3,0,0,1,1
100,Praveen  Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1
1,Vinay  Kumar,16,5,4,70,26,70,44,159.09,0,0,6,3
2,David  Miller,12,12,5,418,101,59.71,254,164.56,1,3,28,24
3,Chris  Gayle,16,16,4,708,175,59,453,156.29,1,4,57,51
4,Michael  Hussey,17,17,3,733,95,52.35,566,129.5,0,6,81,17
5,Virat  Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22
6,Suresh  Raina,18,17,4,548,100,42.15,365,150.13,1,4,50,18
7,Kieron  Pollard,18,18,8,420,66,42,281,149.46,0,3,27,29
8,MS  Dhoni,18,16,5,461,67,41.9,283,162.89,0,4,32,25
9,Brad  Hodge,17,14,7,293,54,41.85,218,134.4,0,1,27,9
10,Moises  Henriques,10,9,5,165,44,41.25,125,132,0,0,20,3
11,Steve  Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4
12,Shikhar  Dhawan,10,10,2,311,73,38.87,253,122.92,0,3,37,5
13,Shane  Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22
14,Rohit  Sharma,19,19,5,538,79,38.42,409,131.54,0,4,35,28
15,Umesh  Yadav,16,8,7,38,12,38,38,100,0,0,3,1
16,Shaun  Marsh,8,8,0,300,77,37.5,249,120.48,0,3,39,4
17,AB  de Villiers,14,14,4,360,64,36,219,164.38,0,2,34,15
18,Ajinkya  Rahane,18,18,4,488,68,34.85,458,106.55,0,4,42,11
19,Aaron  Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16
20,Stuart  Binny,17,16,7,293,41,32.55,199,147.23,0,0,25,12
21,Ben  Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5
22,Dwayne  Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19
23,David  Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14
24,Yusuf  Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14
25,Rahul  Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5
26,Darren  Sammy,10,9,3,174,60,29,132,131.81,0,1,11,10
27,Luke  Pomersbach,3,3,1,58,33,29,59,98.3,0,0,5,1
28,Dinesh  Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14
29,Ryan  ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,9,2
30,Eoin  Morgan,14,13,2,307,51,27.9,240,127.91,0,1,28,13
31,Saurabh  Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,4,4
32,Robin  Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12
33,Dale  Steyn,17,8,6,53,18,26.5,36,147.22,0,0,5,2
34,Sanju  Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5
35,Gautam  Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5
36,Ravindra  Jadeja,18,14,6,201,38,25.12,135,148.88,0,0,17,6
37,Biplap  Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2
38,Aditya  Tare,5,5,0,123,59,24.6,84,146.42,0,1,14,5
39,Virender  Sehwag,13,13,1,295,95,24.58,233,126.6,0,1,41,6
40,Angelo  Mathews,11,10,3,172,40,24.57,139,123.74,0,0,5,10
41,Adam  Gilchrist,13,13,1,294,85,24.5,229,128.38,0,1,41,6
42,David  Hussey,12,11,1,235,41,23.5,209,112.44,0,0,20,6
43,Wriddhiman  Saha,3,3,0,70,39,23.33,56,125,0,0,6,4
44,Thisara  Perera,16,14,4,233,40,23.3,163,142.94,0,0,12,14
45,Cheteshwar  Pujara,4,4,0,92,51,23,99,92.92,0,1,14,0
46,Sumit  Narwal,2,1,0,23,23,23,15,153.33,0,0,4,0
47,Manish  Pandey,7,7,1,136,66,22.66,137,99.27,0,1,11,3
48,Parthiv  Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4
49,Murali  Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8
50,Sachin  Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5
51,Mahela  Jayawardene,15,15,0,331,66,22.06,313,105.75,0,2,39,6
52,CM  Gautam,3,3,1,44,30,22,34,129.41,0,0,4,1
53,Rajagopal  Sathish,9,8,3,109,27,21.8,77,141.55,0,0,9,5
54,Kedar  Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5
55,Karn  Sharma,13,7,3,85,39,21.25,86,98.83,0,0,6,2
56,Luke  Wright,6,6,1,106,44,21.2,60,176.66,0,0,16,3
57,Brett  Lee,3,2,1,21,16,21,12,175,0,0,1,2
58,Ashish  Reddy,12,10,4,125,36,20.83,89,140.44,0,0,8,5
59,Jacques  Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3
60,Manan  Vohra,12,10,2,161,43,20.12,117,137.6,0,0,22,2
61,Mandeep  Singh,16,14,1,260,77,20,223,116.59,0,1,36,0
62,Mitchell  Marsh,9,8,1,140,38,20,106,132.07,0,0,6,10
63,Yuvraj  Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15
64,Manvinder  Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6
65,Azhar  Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,22,5
66,Harbhajan  Singh,19,14,8,116,25,19.33,79,146.83,0,0,12,5
67,Abhinav  Mukund,1,1,0,19,19,19,21,90.47,0,0,1,0
68,Ambati  Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4
69,Manoj  Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1
70,Glenn  Maxwell,3,3,1,36,23,18,27,133.33,0,0,1,4
71,Manpreet  Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1
72,Irfan  Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3
73,Subramaniam  Badrinath,18,8,1,124,34,17.71,121,102.47,0,0,11,0
74,Unmukt  Chand,9,9,0,158,41,17.55,158,100,0,0,17,4
75,Cameron  White,13,13,1,209,52,17.41,191,109.42,0,1,18,7
76,Hanuma  Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1
77,Kane  Richardson,3,2,0,34,26,17,36,94.44,0,0,2,1
78,Rajat  Bhatia,15,10,4,99,26,16.5,80,123.75,0,0,8,3
79,Bharat  Chipli,1,1,0,16,16,16,18,88.88,0,0,1,1
80,Dishant  Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,17,2
81,Albie  Morkel,8,3,0,46,23,15.33,37,124.32,0,0,2,3
82,Tillakaratne  Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,12,0
83,Dwayne  Bravo,18,12,4,121,23,15.12,106,114.15,0,0,11,3
84,Debabrata  Das,10,6,1,75,23,15,74,101.35,0,0,5,5
85,Amit  Mishra,17,8,2,89,30,14.83,96,92.7,0,0,9,0
86,Dwaraka  Ravi Teja,2,2,1,14,10,14,17,82.35,0,0,0,0
87,Arun  Karthik,12,5,2,41,19,13.66,38,107.89,0,0,3,1
88,Gurkeerat  Mann Singh,11,9,1,108,31,13.5,95,113.68,0,0,10,3
89,Mayank  Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,6,3
90,Kumar  Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,13,0
91,Akshath  Reddy,7,7,0,91,27,13,101,90.09,0,0,9,0
92,Ross  Taylor,5,5,0,63,19,12.6,76,82.89,0,0,2,1
93,Owais  Shah,2,2,0,25,24,12.5,23,108.69,0,0,2,0
94,Ajit  Agarkar,4,2,1,12,9,12,16,75,0,0,0,0
95,James  Faulkner,16,9,4,57,19,11.4,57,100,0,0,5,2
96,Morne  Morkel,10,6,1,57,23,11.4,29,196.55,0,0,6,3
97,Manpreet  Gony,8,5,1,45,42,11.25,25,180,0,0,4,3
98,Abhishek  Nayar,11,9,3,66,25,11,73,90.41,0,0,5,0
99,Roelof  van der Merwe,3,2,0,22,14,11,25,88,0,0,2,0
100,Piyush  Chawla,16,11,5,64,23,10.66,57,112.28,0,0,5,3
1,MS  Dhoni,16,15,10,371,57,74.2,250,148.4,0,1,22,20
2,David  Hussey,5,4,2,116,50,58,94,123.4,0,1,8,6
3,Lendl  Simmons,8,8,1,394,100,56.28,291,135.39,1,3,43,14
4,JP  Duminy,14,14,6,410,67,51.25,305,134.42,0,2,22,20
5,David  Warner,14,14,3,528,90,48,375,140.8,0,6,39,24
6,James  Faulkner,13,12,8,181,41,45.25,94,192.55,0,0,8,16
7,David  Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21
8,Robin  Uthappa,16,16,1,660,83,44,479,137.78,0,5,74,18
9,Rishi  Dhawan,13,6,4,82,23,41,75,109.33,0,0,8,1
10,Manan  Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16
11,Suresh  Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19
12,Naman  Ojha,11,10,4,232,79,38.66,161,144.09,0,1,14,17
13,Steve  Smith,10,7,3,147,48,36.75,110,133.63,0,0,13,4
14,AB  de Villiers,14,13,2,395,89,35.9,249,158.63,0,3,26,24
15,Dwayne  Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34
16,Shaun  Marsh,2,2,0,70,40,35,52,134.61,0,0,7,3
17,Glenn  Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36
18,Yuvraj  Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
19,Kieron  Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
20,Brad  Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6
21,Karun  Nair,11,11,1,330,73,33,232,142.24,0,3,38,9
22,Wriddhiman  Saha,17,13,2,362,115,32.9,249,145.38,1,2,33,18
23,Suryakumar  Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5
24,Shakib  Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7
25,Brendon  McCullum,14,14,1,405,71,31.15,333,121.62,0,3,32,19
26,Manish  Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
27,Manoj  Tiwary,8,8,3,152,61,30.4,118,128.81,0,1,14,4
28,Rohit  Sharma,15,15,2,390,59,30,302,129.13,0,3,31,16
29,Kedar  Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7
30,Yusuf  Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20
31,Corey  Anderson,12,11,2,265,95,29.44,181,146.4,0,1,21,15
32,Kevin  Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7
33,Ravindra  Jadeja,16,10,5,146,36,29.2,110,132.72,0,0,9,5
34,Shikhar  Dhawan,14,14,1,377,64,29,319,118.18,0,2,49,7
35,Chris  Lynn,2,2,0,58,45,29,49,118.36,0,0,5,3
36,George  Bailey,17,16,7,257,40,28.55,190,135.26,0,0,19,10
37,Ajinkya  Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3
38,Aaron  Finch,13,13,2,309,88,28.09,263,117.49,0,2,31,9
39,Virat  Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16
40,Faf  du Plessis,15,12,1,303,54,27.54,235,128.93,0,2,26,7
41,Irfan  Pathan,10,6,4,55,23,27.5,54,101.85,0,0,5,0
42,Virender  Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18
43,Sanju  Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17
44,Ambati  Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8
45,Jacques  Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4
46,Cheteshwar  Pujara,6,6,1,125,40,25,124,100.8,0,0,17,0
47,Sachin  Rana,9,7,4,73,19,24.33,65,112.3,0,0,7,1
48,Venugopal  Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0
49,Michael  Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7
50,Dinesh  Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
51,Gautam  Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4
52,Quinton  de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4
53,Chris  Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
54,Yogesh  Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
55,Lokesh  Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3
56,Parthiv  Patel,12,12,2,205,57,20.5,185,110.81,0,1,30,1
57,Shane  Watson,13,13,1,240,51,20,196,122.44,0,2,19,14
58,Ross  Taylor,4,4,1,59,43,19.66,59,100,0,0,6,0
59,Murali  Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5
60,Mitchell  Johnson,14,8,5,56,16,18.66,50,112,0,0,4,3
61,Rahul  Shukla,3,3,2,18,14,18,21,85.71,0,0,2,0
62,Mithun  Manhas,12,5,3,35,13,17.5,23,152.17,0,0,3,1
63,CM  Gautam,9,9,2,121,33,17.28,111,109,0,0,13,5
64,Ankit  Sharma,3,2,0,34,30,17,30,113.33,0,0,4,1
65,Rahul  Tewatia,3,1,0,16,16,16,13,123.07,0,0,0,1
66,Jason  Holder,1,1,0,16,16,16,12,133.33,0,0,2,1
67,Aditya  Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3
68,Darren  Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8
69,Ravichandran  Ashwin,16,6,3,45,14,15,45,100,0,0,4,0
70,Albie  Morkel,7,5,2,45,16,15,41,109.75,0,0,1,3
71,Vijay  Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
72,Mayank  Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3
73,Abhishek  Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1
74,Mitchell  Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0
75,Jimmy  Neesham,4,3,0,42,22,14,46,91.3,0,0,3,1
76,Rajat  Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3
77,Ben  Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
78,Ryan  ten Doeschate,10,7,3,52,25,13,33,157.57,0,0,3,4
79,Kevon  Cooper,5,5,2,39,32,13,26,150,0,0,2,3
80,Rilee  Rossouw,3,3,0,39,24,13,41,95.12,0,0,2,2
81,Ravi  Rampaul,2,1,0,13,13,13,13,100,0,0,0,1
82,Stuart  Binny,13,12,2,123,48,12.3,121,101.65,0,0,4,5
83,Shreyas  Gopal,4,1,0,11,11,11,10,110,0,0,1,0
84,Karn  Sharma,14,8,4,42,17,10.5,29,144.82,0,0,1,3
85,Axar  Patel,17,8,2,62,42,10.33,60,103.33,0,0,6,1
86,Piyush  Chawla,11,5,2,31,17,10.33,19,163.15,0,0,4,1
87,Laxmi  Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1
88,Mandeep  Singh,3,3,0,24,21,8,26,92.3,0,0,2,0
89,Nic  Maddinson,2,2,0,16,12,8,14,114.28,0,0,3,0
90,Zaheer  Khan,6,4,3,8,7,8,7,114.28,0,0,0,1
91,Ben  Cutting,1,1,0,8,8,8,6,133.33,0,0,0,1
92,Dale  Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0
93,Harshal  Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1
94,Harbhajan  Singh,14,7,2,28,10,5.6,25,112,0,0,2,2
95,Sunil  Narine,16,5,3,10,6,5,14,71.42,0,0,0,0
96,Shivam  Sharma,4,2,1,5,4,5,3,166.66,0,0,1,0
97,Moises  Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0
98,Imran  Tahir,6,2,0,8,4,4,10,80,0,0,2,0
99,Ashok  Dinda,9,3,2,4,2,4,12,33.33,0,0,0,0
100,Amit  Mishra,10,2,1,4,4,4,7,57.14,0,0,0,0
1,Albie  Morkel,4,3,2,86,73,86,65,132.3,0,1,9,2
2,Ajinkya  Rahane,14,13,2,540,91,49.09,413,130.75,0,4,53,13
3,Jagadeesha  Suchith,13,6,5,48,34,48,32,150,0,0,4,2
4,AB  de Villiers,16,14,3,513,133,46.63,293,175.08,1,2,60,22
5,Virat  Kohli,16,16,5,505,82,45.9,386,130.82,0,3,35,23
