,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,TS Mills,4.0,0,31,1,7.75,11,3,1,1,0
1,1,A Choudhary,4.0,0,55,1,13.75,5,5,3,3,1
2,2,YS Chahal,4.0,0,22,1,5.5,5,0,0,0,0
3,3,S Aravind,3.0,0,36,0,12.0,2,3,2,0,0
4,4,SR Watson,3.0,0,41,0,13.66,3,5,2,0,0
5,5,TM Head,1.0,0,11,0,11.0,0,0,1,0,0
6,6,STR Binny,1.0,0,10,1,10.0,1,1,0,0,0
7,0,A Nehra,4.0,0,42,2,10.5,8,6,1,1,0
8,1,B Kumar,4.0,0,27,2,6.75,12,1,2,1,0
9,2,BCJ Cutting,3.4,0,35,0,9.54,10,2,3,2,0
10,3,Rashid Khan,4.0,0,36,2,9.0,8,4,1,0,0
11,4,DJ Hooda,1.0,0,7,1,7.0,4,0,1,0,0
12,5,MC Henriques,2.0,0,20,0,10.0,1,2,0,0,1
13,6,Bipul Sharma,1.0,0,4,1,4.0,2,0,0,0,0
14,0,AB Dinda,4.0,0,57,0,14.25,9,5,4,3,0
15,1,DL Chahar,2.0,0,21,0,10.5,6,3,1,0,0
16,2,BA Stokes,4.0,0,36,1,9.0,10,0,4,1,0
17,3,Imran Tahir,4.0,0,28,3,7.0,8,2,1,0,0
18,4,A Zampa,3.0,0,26,1,8.66,5,2,1,1,0
19,5,R Bhatia,3.0,0,14,2,4.66,5,0,0,0,0
20,0,TG Southee,4.0,0,34,1,8.5,8,3,1,2,0
21,1,HH Pandya,4.0,0,36,1,9.0,5,5,0,0,0
22,2,MJ McClenaghan,4.0,0,36,1,9.0,9,5,1,0,0
23,3,JJ Bumrah,4.0,0,29,0,7.25,6,3,0,0,0
24,4,KH Pandya,2.0,0,21,0,10.5,2,1,1,0,0
25,5,KA Pollard,1.5,0,30,0,16.36,0,1,3,1,0
26,0,TA Boult,4.0,0,40,1,10.0,9,8,0,1,0
27,1,PP Chawla,4.0,0,33,1,8.25,7,1,2,1,0
28,2,SP Narine,4.0,0,33,0,8.25,7,5,0,0,0
29,3,CR Woakes,3.0,0,35,0,11.66,5,5,1,0,0
30,4,Kuldeep Yadav,4.0,0,25,2,6.25,8,1,1,0,0
31,5,YK Pathan,1.0,0,15,0,15.0,1,0,2,0,0
32,0,P Kumar,2.0,0,13,0,6.5,2,1,0,0,0
33,1,DS Kulkarni,2.5,0,42,0,14.82,3,3,3,2,0
34,2,MS Gony,2.0,0,32,0,16.0,4,5,1,3,0
35,3,S Kaushik,4.0,0,40,0,10.0,10,7,1,0,0
36,4,DR Smith,1.0,0,23,0,23.0,1,1,3,0,0
37,5,SB Jakati,3.0,0,30,0,10.0,2,1,0,2,0
38,0,Sandeep Sharma,4.0,0,33,2,8.25,8,4,1,0,0
39,1,MM Sharma,4.0,0,34,0,8.5,6,2,2,0,0
40,2,AR Patel,4.0,0,27,1,6.75,7,1,1,2,0
41,3,T Natarajan,3.0,0,26,1,8.66,4,2,1,0,0
42,4,MP Stoinis,3.0,0,28,1,9.33,5,2,1,3,0
43,5,Swapnil Singh,2.0,0,14,1,7.0,3,0,1,0,0
44,0,AB Dinda,3.0,0,26,1,8.66,7,1,2,0,0
45,1,DT Christian,2.0,0,24,0,12.0,4,3,1,2,0
46,2,BA Stokes,4.0,0,32,0,8.0,10,4,1,1,0
47,3,Imran Tahir,4.0,0,29,2,7.25,8,1,2,0,0
48,4,RD Chahar,4.0,0,32,1,8.0,9,0,2,4,0
49,5,R Bhatia,2.0,0,20,0,10.0,3,1,1,1,0
50,0,Z Khan,4.0,0,31,2,7.75,9,3,1,1,0
51,1,CH Morris,4.0,0,21,3,5.25,17,3,1,0,0
52,2,PJ Cummins,4.0,0,29,1,7.25,10,4,0,1,0
53,3,S Nadeem,4.0,0,13,1,3.25,12,0,0,1,0
54,4,A Mishra,2.0,0,32,0,16.0,3,2,3,0,0
55,5,CR Brathwaite,2.0,0,29,0,14.5,1,2,2,1,0
56,0,B Stanlake,4.0,0,29,2,7.25,12,4,0,1,0
57,1,YS Chahal,4.0,0,19,1,4.75,11,0,1,0,0
58,2,Iqbal Abdulla,3.0,0,36,2,12.0,3,2,2,3,0
59,3,TS Mills,4.0,0,33,1,8.25,7,3,1,0,0
60,4,SR Watson,4.0,0,21,1,5.25,12,1,1,0,0
61,5,P Negi,1.0,0,3,2,3.0,3,0,0,0,0
62,0,Bipul Sharma,4.0,0,24,0,6.0,7,2,0,0,0
63,1,B Kumar,4.0,0,21,2,5.25,10,2,0,0,0
64,2,A Nehra,4.0,0,27,1,6.75,9,2,1,0,0
65,3,Rashid Khan,4.0,0,19,3,4.75,11,1,0,0,0
66,4,BCJ Cutting,3.0,0,29,0,9.66,2,2,1,0,0
67,5,MC Henriques,1.0,0,12,0,12.0,0,2,0,0,0
68,0,SK Raina,2.0,0,24,0,12.0,4,0,3,0,0
69,1,P Kumar,2.0,0,16,1,8.0,5,2,0,0,0
70,2,Tejas Baroka,3.3,0,33,0,9.42,6,2,2,0,0
71,3,DS Kulkarni,2.0,0,17,0,8.5,2,2,0,0,0
72,4,S Kaushik,4.0,0,29,0,7.25,7,3,0,1,0
73,5,Basil Thampi,2.0,0,21,0,10.5,3,3,0,2,0
74,0,SL Malinga,4.0,0,36,2,9.0,5,1,2,2,0
75,1,MJ McClenaghan,4.0,0,51,1,12.75,9,5,3,3,1
76,2,JJ Bumrah,4.0,0,39,1,9.75,7,3,1,0,2
77,3,KH Pandya,4.0,0,24,3,6.0,8,2,0,0,0
78,4,Harbhajan Singh,4.0,0,27,0,6.75,7,3,0,0,0
79,0,TA Boult,3.5,0,47,0,12.26,8,6,2,1,0
80,1,CR Woakes,4.0,0,34,1,8.5,9,3,1,4,0
81,2,SP Narine,4.0,0,22,1,5.5,12,1,1,0,0
82,3,Kuldeep Yadav,4.0,0,35,1,8.75,9,2,2,1,0
83,4,AS Rajpoot,4.0,0,37,3,9.25,13,3,3,1,0
84,0,AR Patel,4.0,0,12,1,3.0,13,0,0,0,0
85,1,Sandeep Sharma,4.0,0,26,1,6.5,15,2,2,1,0
86,2,MM Sharma,4.0,0,47,0,11.75,10,2,5,0,0
87,3,VR Aaron,4.0,0,21,2,5.25,12,1,1,0,0
88,4,T Natarajan,1.0,0,13,0,13.0,2,1,1,1,0
89,5,MP Stoinis,3.0,0,28,0,9.33,2,0,2,1,0
90,0,B Stanlake,4.0,0,41,0,10.25,5,2,3,1,0
91,1,Iqbal Abdulla,2.0,0,19,0,9.5,3,1,1,1,0
92,2,SR Watson,2.0,0,28,0,14.0,1,5,0,0,0
93,3,TS Mills,2.0,0,22,1,11.0,6,2,2,0,0
94,4,YS Chahal,3.3,0,29,1,8.28,8,0,3,0,0
95,5,P Negi,1.0,0,7,0,7.0,2,1,0,0,0
96,0,AB Dinda,3.0,0,36,0,12.0,7,4,2,2,0
97,1,DL Chahar,3.0,0,35,1,11.66,4,6,0,2,0
98,2,BA Stokes,4.0,0,41,0,10.25,7,4,2,0,0
99,3,Imran Tahir,4.0,0,24,1,6.0,8,0,1,1,0
100,4,A Zampa,4.0,0,45,1,11.25,8,3,3,0,0
101,5,R Bhatia,2.0,0,21,0,10.5,1,0,2,0,0
102,0,S Nadeem,4.0,0,23,1,5.75,10,1,1,1,0
103,1,PJ Cummins,3.1,0,24,2,7.57,7,0,2,1,0
104,2,Z Khan,3.0,0,20,3,6.66,8,2,0,1,0
105,3,CH Morris,2.0,0,19,1,9.5,5,3,0,1,0
106,4,CJ Anderson,1.0,0,10,0,10.0,2,0,1,0,0
107,5,A Mishra,3.0,0,11,3,3.66,10,1,0,0,0
108,0,Harbhajan Singh,4.0,0,23,2,5.75,15,3,1,0,0
109,1,SL Malinga,4.0,0,30,1,7.5,9,4,0,1,0
110,2,JJ Bumrah,4.0,0,24,3,6.0,9,2,0,0,0
111,3,MJ McClenaghan,4.0,0,42,1,10.5,7,6,1,0,0
112,4,HH Pandya,3.0,0,22,1,7.33,10,2,1,3,0
113,5,KH Pandya,1.0,0,12,0,12.0,0,1,0,1,1
114,0,B Kumar,4.0,0,21,3,5.25,13,3,0,0,0
115,1,A Nehra,4.0,0,46,1,11.5,7,7,1,0,0
116,2,Rashid Khan,4.0,0,19,1,4.75,12,0,1,0,0
117,3,Mustafizur Rahman,2.4,0,34,0,12.75,3,3,2,1,0
118,4,DJ Hooda,2.0,0,18,1,9.0,2,1,1,0,0
119,5,BCJ Cutting,2.0,0,18,0,9.0,5,2,1,0,0
120,0,TA Boult,4.0,0,36,0,9.0,10,6,0,0,0
121,1,UT Yadav,4.0,0,33,4,8.25,11,2,2,3,0
122,2,CR Woakes,3.0,0,30,2,10.0,6,5,0,2,0
123,3,SP Narine,4.0,0,19,1,4.75,14,0,0,3,0
124,4,PP Chawla,3.0,0,36,1,12.0,6,3,3,0,0
125,5,C de Grandhomme,2.0,0,15,1,7.5,8,1,1,0,2
126,0,Sandeep Sharma,3.0,0,28,0,9.33,8,4,1,1,0
127,1,I Sharma,2.0,0,16,0,8.0,7,3,0,2,0
128,2,GJ Maxwell,1.0,0,18,0,18.0,0,4,0,0,0
129,3,VR Aaron,2.0,0,23,1,11.5,4,1,2,2,0
130,4,MM Sharma,3.0,0,30,0,10.0,3,3,1,0,0
