,Bowling,Unnamed: 1,O,M,R,W,Econ,0s,4s,6s,WD,NB,Unnamed: 12
0,AD Russell,,2.0,0,16,0,8.0,4,2,0,2,0,
1,M Prasidh Krishna,,4.0,0,41,1,10.25,8,4,2,1,0,
2,TK Curran,,3.0,0,33,1,11.0,5,2,2,1,1,
3,SP Narine,,4.0,0,27,1,6.75,11,1,2,0,0,
4,PP Chawla,,4.0,0,48,3,12.0,10,6,3,0,0,
5,Kuldeep Yadav,,3.0,0,43,0,14.33,5,1,5,0,0,
0,MJ McClenaghan,,3.0,0,24,1,8.0,11,4,1,0,0,
1,KH Pandya,,3.1,0,12,2,3.78,12,0,1,0,0,
2,JJ Bumrah,,3.0,0,17,1,5.66,10,1,1,0,0,
3,HH Pandya,,3.0,0,16,2,5.33,11,3,0,0,0,
4,M Markande,,4.0,0,26,1,6.5,10,2,1,0,0,
5,BCJ Cutting,,2.0,0,12,1,6.0,6,2,0,0,0,
