,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,MS Gony,4.0,0,32,2,8.0,7,4,0,1,0
1,1,T Thushara,4.0,0,32,1,8.0,9,5,0,0,0
2,2,A Flintoff,4.0,0,44,1,11.0,6,3,3,0,0
3,3,JDP Oram,4.0,0,30,1,7.5,9,5,0,0,0
4,4,Joginder Sharma,4.0,0,25,1,6.25,6,2,0,0,0
5,0,SL Malinga,4.0,0,15,3,3.75,15,1,0,2,0
6,1,Z Khan,4.0,0,34,0,8.5,7,3,1,0,0
7,2,DJ Bravo,4.0,0,27,1,6.75,13,1,2,1,0
8,3,RR Raje,1.0,0,15,0,15.0,0,3,0,0,0
9,4,Harbhajan Singh,3.0,0,15,1,5.0,8,0,1,0,0
10,5,ST Jayasuriya,4.0,0,34,2,8.5,6,2,2,0,0
11,0,AD Mascarenhas,4.0,0,20,3,5.0,15,3,0,0,0
12,1,Kamran Khan,3.0,0,21,0,7.0,5,2,0,0,0
13,2,MM Patel,3.0,0,25,2,8.33,8,3,1,1,0
14,3,T Henderson,4.0,0,30,1,7.5,9,4,0,0,0
15,4,SK Warne,4.0,0,18,2,4.5,15,1,1,0,0
16,5,YK Pathan,2.0,0,17,0,8.5,5,2,0,1,0
17,0,P Kumar,3.0,0,7,2,2.33,15,0,0,2,1
18,1,DW Steyn,2.0,0,6,0,3.0,9,0,0,3,0
19,2,R Vinay Kumar,3.0,0,25,0,8.33,8,1,2,1,0
20,3,JD Ryder,4.0,0,14,2,3.5,14,0,0,1,0
21,4,A Kumble,3.1,1,5,5,1.57,14,0,0,0,0
22,0,DP Nannes,3.0,0,24,0,8.0,9,2,1,3,0
23,1,AM Salvi,2.0,0,17,1,8.5,4,2,0,0,0
24,2,PJ Sangwan,2.0,0,19,0,9.5,5,0,2,0,0
25,3,VY Mahesh,2.0,0,25,1,12.5,3,0,3,1,0
26,4,DL Vettori,3.0,0,15,3,5.0,11,1,1,0,0
27,0,IK Pathan,1.0,0,9,0,9.0,4,2,0,1,0
28,1,YA Abdulla,1.0,0,19,0,19.0,2,3,1,1,0
29,2,VS Malik,1.0,0,11,0,11.0,3,1,1,0,0
30,3,VRV Singh,1.0,0,5,0,5.0,2,0,0,0,0
31,4,PP Chawla,0.5,0,12,0,14.4,0,0,1,1,0
32,0,FH Edwards,4.0,1,6,0,1.5,19,0,0,0,0
33,1,RP Singh,3.4,0,22,4,6.0,14,1,2,0,0
34,2,Harmeet Singh,4.0,0,23,1,5.75,11,1,1,1,0
35,3,PP Ojha,4.0,0,14,2,3.5,13,0,0,0,0
36,4,SB Styris,4.0,0,32,2,8.0,12,5,1,0,0
37,0,AB Dinda,3.0,0,24,1,8.0,9,4,0,0,0
38,1,I Sharma,3.0,0,13,0,4.33,13,1,1,0,0
39,2,M Kartik,4.0,0,23,0,5.75,11,1,1,0,0
40,3,SC Ganguly,1.0,0,8,0,8.0,1,1,0,0,0
41,4,AB Agarkar,1.0,0,17,0,17.0,1,2,1,1,0
42,5,CH Gayle,1.0,0,14,0,14.0,2,1,1,0,0
43,6,MC Henriques,0.1,0,4,0,24.0,0,1,0,0,0
44,0,P Kumar,4.0,0,37,2,9.25,8,3,2,0,0
45,1,DW Steyn,4.0,0,35,1,8.75,9,2,2,2,0
46,2,JH Kallis,2.0,0,28,0,14.0,1,4,1,0,0
47,3,R Vinay Kumar,1.0,0,12,0,12.0,1,2,0,0,0
48,4,V Kohli,1.0,0,9,0,9.0,3,2,0,0,0
49,5,A Kumble,4.0,0,26,0,6.5,7,1,0,1,0
50,6,KP Pietersen,3.0,0,14,1,4.66,7,1,0,0,0
51,7,LRPL Taylor,1.0,0,13,0,13.0,0,0,1,1,0
52,0,MS Gony,3.0,0,24,1,8.0,8,4,0,2,0
