,Bowling,Unnamed: 1,O,M,R,W,Econ,0s,4s,6s,WD,NB,Unnamed: 12
0,MP Stoinis,,2,0,15,1,7.5,4,2,0,0,0,
1,AR Patel,,3,0,24,0,8.0,7,2,1,0,0,
2,MM Sharma,,3,0,29,0,9.66,7,3,1,1,1,
3,AJ Tye,,4,0,34,4,8.5,7,3,1,0,0,
4,R Ashwin,,4,0,34,0,8.5,4,2,1,0,0,
5,Mujeeb Ur Rahman,,4,0,21,2,5.25,8,1,0,0,0,
0,K Gowtham,,3,0,12,2,4.0,10,1,0,1,0,
1,JC Archer,,4,0,32,1,8.0,8,3,1,0,0,
2,JD Unadkat,,4,0,36,1,9.0,6,3,1,0,1,
3,BA Stokes,,2,0,13,1,6.5,6,2,0,0,0,
4,IS Sodhi,,4,0,14,1,3.5,12,0,0,0,0,
5,MK Lomror,,2,0,19,0,9.5,1,2,0,0,0,
6,Anureet Singh,,1,0,12,0,12.0,1,2,0,0,0,
