,Bowling,Unnamed: 1,O,M,R,W,Econ,0s,4s,6s,WD,NB,Unnamed: 12
0,B Kumar,,4.0,0,51,1,12.75,11,5,4,1,0,
1,Sandeep Sharma,,4.0,0,24,0,6.0,11,2,1,0,0,
2,Shakib Al Hasan,,4.0,0,27,2,6.75,8,2,1,0,0,
3,S Kaul,,4.0,0,48,0,12.0,5,6,2,0,0,
4,Rashid Khan,,4.0,0,35,0,8.75,7,4,1,0,0,
0,TA Boult,,3.5,0,43,0,11.21,5,6,1,0,0,
1,HV Patel,,4.0,0,32,1,8.0,9,5,0,0,0,
2,S Nadeem,,2.0,0,22,0,11.0,2,0,2,0,0,
3,LE Plunkett,,4.0,0,41,0,10.25,3,4,1,0,0,
4,A Mishra,,3.0,0,29,0,9.66,3,3,1,0,0,
5,V Shankar,,1.0,0,14,0,14.0,1,1,1,1,0,
6,GJ Maxwell,,1.0,0,9,0,9.0,1,1,0,0,0,
