,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,SL Malinga,3.5,0,16,2,4.17,13,0,0,2,0
1,1,AN Ahmed,2.0,0,17,0,8.5,5,1,1,1,0
2,2,Harbhajan Singh,4.0,0,24,0,6.0,6,1,0,2,0
3,3,JEC Franklin,2.0,0,18,1,9.0,3,3,0,0,0
4,4,PP Ojha,4.0,0,17,2,4.25,10,1,0,0,0
5,5,KA Pollard,4.0,0,15,2,3.75,11,0,0,2,0
6,0,JA Morkel,4.0,0,20,0,5.0,13,1,1,1,0
7,1,DE Bollinger,3.5,0,34,1,8.86,10,5,1,1,0
8,2,R Ashwin,4.0,0,20,0,5.0,10,0,1,0,0
9,3,RA Jadeja,1.0,0,16,0,16.0,1,2,1,0,0
10,4,DJ Bravo,3.0,0,14,1,4.66,10,0,1,1,0
11,5,SB Jakati,1.0,0,8,0,8.0,1,1,0,0,0
12,0,IK Pathan,1.0,0,9,0,9.0,3,2,0,0,0
13,1,RE van der Merwe,3.0,0,28,2,9.33,8,2,2,1,0
14,2,M Morkel,3.0,0,18,3,6.0,9,1,1,0,0
15,3,UT Yadav,2.0,0,9,2,4.5,6,1,0,0,0
16,4,GJ Maxwell,1.0,0,12,0,12.0,1,0,1,1,0
17,5,S Nadeem,2.0,0,16,0,8.0,2,0,1,0,0
18,0,B Lee,2.0,0,15,0,7.5,4,2,0,0,0
19,1,M de Lange,3.0,0,36,0,12.0,3,3,2,1,0
20,2,Iqbal Abdulla,1.0,0,8,0,8.0,3,0,1,0,0
21,3,JH Kallis,3.0,0,23,1,7.66,6,1,1,0,0
22,4,R Bhatia,1.1,0,7,1,6.0,3,1,0,0,0
23,5,YK Pathan,1.0,0,7,0,7.0,2,1,0,0,0
24,0,SL Malinga,4.0,1,16,2,4.0,13,1,0,1,0
25,1,Harbhajan Singh,3.0,0,16,1,5.33,8,2,0,0,0
26,2,MM Patel,4.0,0,26,2,6.5,10,3,0,0,0
27,3,PP Ojha,4.0,0,23,1,5.75,13,2,1,0,0
28,4,KA Pollard,4.0,0,31,1,7.75,3,1,0,2,0
29,5,JEC Franklin,1.0,0,12,0,12.0,0,2,0,0,0
30,0,M Kartik,3.0,0,14,2,4.66,8,1,0,0,0
31,1,AB Dinda,4.0,0,18,4,4.5,15,2,0,2,0
32,2,MN Samuels,4.0,0,21,1,5.25,13,1,1,1,0
33,3,WD Parnell,3.0,0,18,1,6.0,9,3,0,0,0
34,4,R Sharma,4.0,0,16,1,4.0,12,1,0,1,0
35,5,B Kumar,2.0,0,13,0,6.5,5,0,0,0,0
36,0,P Kumar,4.0,0,42,0,10.5,7,7,0,2,0
37,1,JP Faulkner,4.0,0,41,2,10.25,8,4,2,1,0
38,2,PP Chawla,4.0,0,33,1,8.25,9,6,0,0,0
39,3,Bipul Sharma,4.0,0,28,0,7.0,8,1,0,2,0
40,4,Harmeet Singh,3.0,0,23,1,7.66,7,3,0,2,0
41,5,PC Valthaty,1.0,0,16,0,16.0,1,2,1,0,0
42,0,SK Trivedi,4.0,0,32,1,8.0,9,4,0,0,1
43,1,J Botha,4.0,0,36,0,9.0,6,4,1,0,0
44,2,A Singh,4.0,0,26,1,6.5,7,0,1,1,0
45,3,KK Cooper,4.0,0,26,4,6.5,13,1,2,0,0
46,4,BJ Hodge,1.0,0,8,0,8.0,2,1,0,0,0
47,5,AA Chavan,3.0,0,28,2,9.33,3,4,0,0,0
48,0,IK Pathan,4.0,0,47,0,11.75,7,6,2,0,0
49,1,DAJ Bracewell,4.0,0,32,3,8.0,10,2,2,1,0
50,2,M Morkel,4.0,0,30,2,7.5,9,2,1,1,0
51,3,UT Yadav,2.0,0,8,0,4.0,7,1,0,0,0
52,4,S Nadeem,4.0,0,26,1,6.5,8,2,0,0,0
53,5,GJ Maxwell,2.0,0,10,1,5.0,5,1,0,0,0
54,0,Z Khan,4.0,0,36,1,9.0,8,6,0,1,0
55,1,R Vinay Kumar,4.0,0,25,0,6.25,11,2,1,0,0
56,2,AB McDonald,2.0,0,11,1,5.5,5,1,0,0,0
57,3,DL Vettori,4.0,0,28,1,7.0,8,2,0,1,0
58,4,M Muralitharan,4.0,0,25,3,6.25,9,1,1,0,0
59,5,HV Patel,2.0,0,10,0,5.0,6,1,0,0,0
60,0,Ankit Sharma,3.0,0,28,1,9.33,9,1,3,0,0
61,1,DW Steyn,4.0,0,25,2,6.25,11,1,0,4,0
