,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
233,3,A Mishra,4.0,0,23,2,5.75,7,2,0,0,0
234,4,AB McDonald,4.0,0,42,2,10.5,6,3,3,0,0
235,0,R McLaren,4.0,0,23,1,5.75,12,2,0,3,0
236,1,Z Khan,4.0,0,45,0,11.25,4,7,0,1,1
237,2,Harbhajan Singh,4.0,0,25,1,6.25,7,1,0,1,0
238,3,DJ Bravo,4.0,0,42,0,10.5,5,4,2,0,0
239,4,SL Malinga,4.0,0,41,0,10.25,6,4,1,4,0
240,0,JA Morkel,4.0,0,26,0,6.5,9,2,0,2,0
241,1,L Balaji,4.0,0,47,1,11.75,7,3,3,1,0
242,2,Joginder Sharma,2.0,0,23,1,11.5,4,4,0,1,1
243,3,SB Jakati,4.0,0,30,1,7.5,10,3,1,0,0
244,4,M Muralitharan,4.0,0,32,2,8.0,9,0,2,1,0
245,5,NLTC Perera,1.0,0,19,0,19.0,0,4,0,0,0
246,0,S Narwal,4.0,0,35,2,8.75,11,3,2,0,0
247,1,AA Jhunjhunwala,1.0,0,16,0,16.0,2,0,2,2,0
248,2,SK Trivedi,3.0,0,35,0,11.66,2,4,1,0,0
249,3,SW Tait,4.0,0,22,3,5.5,13,1,1,3,0
250,4,SK Warne,4.0,0,15,1,3.75,11,0,0,0,0
251,5,YK Pathan,2.0,0,12,0,6.0,2,0,0,2,0
252,6,AC Voges,2.0,0,9,0,4.5,3,0,0,0,0
253,0,WPUJC Vaas,3.0,0,29,0,9.66,5,2,2,0,0
254,1,RP Singh,2.0,0,22,0,11.0,5,5,0,0,0
255,2,RG Sharma,2.0,0,17,0,8.5,4,1,1,0,0
256,3,R Sharma,3.4,0,30,0,8.18,8,0,3,0,0
257,4,PP Ojha,3.0,0,40,1,13.33,7,2,3,3,0
258,5,A Symonds,2.0,0,9,0,4.5,7,1,0,0,0
259,0,B Lee,4.0,0,39,0,9.75,8,6,0,0,1
260,1,IK Pathan,4.0,0,42,2,10.5,10,5,2,2,0
261,2,SJ Srivastava,3.0,0,23,2,7.66,9,3,0,4,0
262,3,VS Malik,3.0,0,18,0,6.0,9,2,0,1,1
263,4,PP Chawla,4.0,0,35,1,8.75,3,2,1,1,0
264,5,RS Bopara,2.0,0,18,0,9.0,3,2,0,0,0
265,0,SE Bond,4.0,0,24,2,6.0,13,2,1,1,0
266,1,AB Dinda,2.0,0,19,0,9.5,7,4,0,2,0
267,2,CH Gayle,3.0,0,23,1,7.66,5,2,0,2,0
268,3,AB Agarkar,4.0,0,32,2,8.0,10,3,1,0,0
269,4,Iqbal Abdulla,2.0,0,12,0,6.0,4,1,0,0,0
270,5,AD Mathews,4.0,0,26,1,6.5,6,1,1,0,0
271,6,DJ Hussey,1.0,0,7,0,7.0,1,0,0,0,0
272,0,JA Morkel,4.0,0,46,2,11.5,7,5,2,0,0
273,1,T Thushara,4.0,0,28,2,7.0,12,5,0,1,0
274,2,M Muralitharan,4.0,0,34,0,8.5,7,1,2,1,0
275,3,Joginder Sharma,2.0,0,23,0,11.5,1,3,0,0,0
276,4,SK Raina,2.0,0,15,0,7.5,2,0,1,0,0
277,5,SB Jakati,4.0,0,30,2,7.5,8,1,2,0,0
278,0,YK Pathan,4.0,0,26,1,6.5,8,2,0,2,0
279,1,S Narwal,3.0,0,49,0,16.33,2,5,3,1,0
280,2,SW Tait,4.0,0,22,2,5.5,11,2,0,0,0
281,3,SK Warne,4.0,0,34,1,8.5,6,0,3,0,0
282,4,SK Trivedi,4.0,0,18,0,4.5,11,1,0,0,0
283,5,AC Voges,1.0,0,8,0,8.0,1,1,0,0,0
284,0,KAJ Roach,4.0,0,32,0,8.0,14,5,1,2,0
285,1,Jaskaran Singh,3.0,0,30,2,10.0,8,4,0,1,4
286,2,PP Ojha,4.0,0,24,2,6.0,12,2,1,0,0
287,3,RP Singh,4.0,0,31,3,7.75,9,5,0,1,0
288,4,A Symonds,4.0,0,40,0,10.0,7,5,1,1,0
289,5,RG Sharma,1.0,0,14,0,14.0,1,3,0,0,0
290,0,Harbhajan Singh,4.0,0,31,3,7.75,7,4,0,2,0
291,1,R McLaren,3.0,0,24,0,8.0,9,3,1,1,0
292,2,Z Khan,3.0,0,21,3,7.0,10,1,2,0,0
293,3,SL Malinga,3.4,0,12,3,3.27,14,0,0,1,0
294,4,DJ Bravo,2.0,0,16,0,8.0,7,0,2,0,0
295,5,KA Pollard,2.0,0,20,1,10.0,3,1,1,0,0
