,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,UT Yadav,3,0,36,0,12,6,6,1,0,0
1,1,M Morkel,4,1,18,2,4.5,15,3,0,0,0
2,2,Shakib Al Hasan,4,0,48,1,12,7,4,3,2,0
3,3,SP Narine,4,0,28,0,7,10,3,1,0,0
4,4,AD Russell,3,0,21,0,7,7,0,2,0,0
5,5,PP Chawla,2,0,16,0,8,3,2,0,0,0
6,0,SL Malinga,4,0,27,0,6.75,12,1,2,1,0
7,1,R Vinay Kumar,3.3,0,21,0,6,11,2,1,0,0
8,2,CJ Anderson,2,0,21,1,10.5,5,1,2,0,0
9,3,JJ Bumrah,3,0,38,1,12.66,7,2,4,1,0
10,4,PP Ojha,2,0,23,0,11.5,1,0,2,0,0
11,5,Harbhajan Singh,4,0,38,1,9.5,4,5,0,0,0
12,0,JA Morkel,3,0,28,0,9.33,7,5,0,1,0
13,1,NM Coulter-Nile,4,0,30,3,7.5,14,2,2,0,1
14,2,DJ Muthuswami,3,0,18,1,6,10,3,0,0,0
15,3,Imran Tahir,4,0,27,1,6.75,8,2,0,0,0
16,4,A Mishra,4,0,21,1,5.25,10,0,1,0,0
17,5,JP Duminy,2,0,15,1,7.5,4,1,0,1,0
18,0,A Nehra,4,0,25,3,6.25,12,3,0,1,0
19,1,MM Sharma,4,0,33,1,8.25,8,3,1,1,0
20,2,IC Pandey,4,0,30,1,7.5,9,4,0,0,0
21,3,R Ashwin,4,0,25,1,6.25,8,2,0,1,0
22,4,DJ Bravo,4,0,36,2,9,6,3,1,2,0
23,0,Sandeep Sharma,4,1,19,1,4.75,13,2,0,1,0
24,1,Anureet Singh,4,0,23,3,5.75,12,1,1,0,0
25,2,AR Patel,4,0,34,1,8.5,9,2,2,2,0
26,3,Karanveer Singh,4,0,43,0,10.75,4,3,2,0,0
27,4,MG Johnson,4,0,34,2,8.5,16,2,2,5,0
28,0,TG Southee,4,0,36,2,9,13,4,1,3,0
29,1,CH Morris,4,0,21,0,5.25,14,1,1,1,0
30,2,DS Kulkarni,3,0,21,1,7,10,4,0,1,0
31,3,JP Faulkner,4,0,26,3,6.5,11,2,1,0,0
32,4,PV Tambe,3,0,15,0,5,7,1,0,0,0
33,5,STR Binny,2,0,15,0,7.5,6,2,0,2,0
34,0,B Kumar,4,0,31,0,7.75,13,2,2,3,0
35,1,TA Boult,4,0,34,1,8.5,12,5,1,1,0
36,2,I Sharma,3,0,46,0,15.33,6,4,3,0,4
37,3,KV Sharma,4,0,51,0,12.75,8,0,7,0,0
38,4,RS Bopara,4,0,29,0,7.25,7,4,0,0,0
39,5,Parvez Rasool,1,0,11,0,11,3,1,1,0,0
40,0,A Nehra,4,0,31,0,7.75,8,4,0,2,0
41,1,MM Sharma,4,0,36,2,9,8,3,2,0,0
42,2,IC Pandey,3,0,26,1,8.66,7,1,2,0,0
43,3,R Ashwin,4,0,22,1,5.5,9,0,1,0,0
44,4,DJ Bravo,4,0,25,2,6.25,6,0,0,2,0
45,5,RA Jadeja,1,0,17,0,17,0,0,2,0,0
46,0,SA Abbott,3,0,36,0,12,3,5,1,0,0
47,1,HV Patel,4,0,37,1,9.25,9,5,1,1,0
48,2,VR Aaron,4,0,38,1,9.5,10,7,0,2,0
49,3,AN Ahmed,4,0,28,1,7,8,2,1,0,0
50,4,DJG Sammy,1,0,7,0,7,2,1,0,0,0
51,5,YS Chahal,4,0,28,1,7,8,3,0,0,0
52,0,M Morkel,4,0,35,1,8.75,11,3,2,0,0
53,1,SP Narine,4,0,26,0,6.5,10,2,1,0,0
54,2,KC Cariappa,2,0,28,1,14,3,3,2,0,0
55,3,AD Russell,2,0,16,0,8,5,3,0,0,0
56,4,YK Pathan,4,0,40,2,10,7,1,4,0,0
57,5,PP Chawla,1,0,10,0,10,1,0,1,0,0
58,6,Shakib Al Hasan,2,0,17,1,8.5,6,0,2,1,0
59,0,TG Southee,4,0,36,0,9,4,3,1,1,0
60,1,CH Morris,4,0,35,2,8.75,10,1,3,2,0
61,2,DS Kulkarni,1,0,18,0,18,1,4,0,0,0
62,3,PV Tambe,3,0,18,1,6,8,1,1,0,0
63,4,DJ Hooda,4,0,20,0,5,9,0,0,3,0
64,5,JP Faulkner,4,0,55,0,13.75,7,3,5,1,0
65,0,JD Unadkat,3,0,30,0,10,7,1,3,0,0
66,1,NM Coulter-Nile,4,0,42,0,10.5,9,6,1,1,0
67,2,AD Mathews,4,0,42,1,10.5,5,5,1,1,0
68,3,A Mishra,4,0,32,2,8,8,3,0,2,0
69,4,Imran Tahir,4,0,28,4,7,10,0,2,1,0
70,5,Yuvraj Singh,1,0,11,0,11,0,0,1,0,0
71,0,R Vinay Kumar,4,0,46,0,11.5,8,6,2,0,0
72,1,P Suyal,3,0,22,0,7.33,9,4,0,1,0
73,2,SL Malinga,4,0,34,2,8.5,8,4,1,1,0
74,3,Harbhajan Singh,4,0,20,2,5,9,1,0,0,0
75,4,J Suchith,4,0,41,1,10.25,5,4,1,1,0
76,5,KA Pollard,1,0,11,0,11,1,2,0,0,0
77,0,Sandeep Sharma,4,1,12,1,3,15,1,0,0,0
78,1,Anureet Singh,4,0,41,2,10.25,13,2,4,1,1
79,2,MG Johnson,4,1,23,2,5.75,17,2,2,0,0
80,3,AR Patel,4,0,30,2,7.5,9,3,1,0,0
81,4,R Dhawan,4,0,50,0,12.5,7,6,2,2,1
82,0,TA Boult,4,0,36,3,9,15,3,2,5,0
83,1,B Kumar,3.5,0,30,2,7.82,11,4,1,1,0
84,2,P Kumar,4,0,34,1,8.5,13,4,2,0,0
85,3,RS Bopara,3,0,31,2,10.33,6,3,1,1,0
86,4,KV Sharma,4,0,20,1,5,8,1,0,0,0
87,5,A Ashish Reddy,1,0,11,1,11,2,0,1,0,0
88,0,SA Abbott,2,0,21,0,10.5,3,3,0,2,0
89,1,HV Patel,2,0,23,0,11.5,4,3,1,1,0
90,2,VR Aaron,3.2,0,36,0,10.8,7,4,2,1,0
91,3,AN Ahmed,4,0,41,0,10.25,12,1,3,1,2
92,4,DJG Sammy,2,0,18,0,9,1,2,0,0,0
93,5,YS Chahal,4,0,28,2,7,4,1,1,0,0
94,0,TG Southee,4,0,46,1,11.5,11,6,3,0,0
95,1,CH Morris,4,0,34,1,8.5,13,5,1,0,0
96,2,DS Kulkarni,3,0,15,1,5,10,2,0,0,1
97,3,STR Binny,2,0,8,1,4,8,1,0,0,0
98,4,DJ Hooda,1,0,3,0,3,3,0,0,0,0
99,5,JP Faulkner,3,1,29,0,9.66,11,2,3,0,0
100,6,PV Tambe,3,0,25,1,8.33,5,1,1,0,0
101,0,R Vinay Kumar,3,0,13,1,4.33,11,2,0,0,0
102,1,P Suyal,4,0,45,0,11.25,6,4,1,0,3
103,2,SL Malinga,4,0,41,1,10.25,7,6,0,1,0
104,3,J Suchith,4,0,31,0,7.75,4,2,0,0,0
105,4,CJ Anderson,2,0,12,0,6,5,1,0,0,0
106,5,S Gopal,2.1,0,23,1,10.61,2,0,2,0,0
107,0,NM Coulter-Nile,3,0,14,0,4.66,13,1,1,1,0
108,1,DJ Muthuswami,3,0,24,0,8,8,1,2,0,0
109,2,AD Mathews,3,0,23,1,7.66,7,2,1,1,0
110,3,A Mishra,4,0,34,1,8.5,5,1,2,1,0
111,4,Imran Tahir,4,0,43,3,10.75,6,2,3,0,0
112,5,Yuvraj Singh,1,0,9,0,9,0,0,0,1,0
113,6,JP Duminy,2,0,16,2,8,4,0,1,2,0
114,0,Sandeep Sharma,4,0,30,1,7.5,12,4,0,3,0
115,1,Anureet Singh,4,0,33,2,8.25,12,4,1,1,1
116,2,MG Johnson,4,0,42,0,10.5,5,6,1,1,0
117,3,R Dhawan,3,0,23,0,7.66,5,2,0,2,0
118,4,AR Patel,3.5,0,28,1,7.3,9,1,2,0,0
119,5,GJ Maxwell,1,0,10,0,10,1,0,1,0,0
120,0,TG Southee,4,0,30,0,7.5,11,1,2,1,0
121,1,CH Morris,3,0,23,0,7.66,10,5,0,0,0
122,2,DJ Hooda,2,0,11,0,5.5,6,1,0,1,0
123,3,DS Kulkarni,3,1,9,2,3,13,1,0,1,0
124,4,JP Faulkner,2,0,20,0,10,5,2,1,1,1
125,5,STR Binny,2,0,12,0,6,4,1,0,0,0
126,6,PV Tambe,4,0,21,2,5.25,12,0,1,0,0
127,0,B Kumar,4,0,25,0,6.25,10,3,0,0,0
128,1,TA Boult,4,0,31,1,7.75,11,5,0,2,0
129,2,P Kumar,4,0,30,0,7.5,9,3,0,2,0
130,3,KV Sharma,3,0,19,1,6.33,7,2,0,0,0
131,4,RS Bopara,4,0,18,2,4.5,12,2,0,0,0
132,5,A Ashish Reddy,1,0,5,0,5,2,0,0,0,0
133,0,A Nehra,4,0,23,3,5.75,13,2,0,1,0
134,1,IC Pandey,3,1,22,1,7.33,12,3,1,1,0
135,2,MM Sharma,4,0,43,1,10.75,6,4,2,0,0
136,3,RA Jadeja,4,0,49,0,12.25,8,2,5,2,0
137,4,R Ashwin,1,0,13,0,13,2,1,1,0,0
138,5,DJ Bravo,4,0,30,2,7.5,7,2,1,0,0
139,0,P Suyal,3,0,28,0,9.33,6,2,1,2,1
140,1,SL Malinga,4,0,40,1,10,9,5,1,3,1
141,2,J Suchith,2,0,33,0,16.5,4,3,3,1,0
142,3,Harbhajan Singh,4,0,44,2,11,9,6,2,0,0
143,4,R Vinay Kumar,2,0,18,0,9,5,2,1,0,0
144,5,KA Pollard,1.4,0,26,1,15.6,2,3,1,2,1
145,0,P Kumar,4,0,38,1,9.5,9,2,3,2,0
146,1,DW Steyn,4,0,27,1,6.75,11,2,1,0,0
147,2,B Kumar,4,0,21,1,5.25,10,1,0,1,0
148,3,RS Bopara,4,0,38,0,9.5,6,4,1,2,0
149,4,KV Sharma,2,0,25,0,12.5,2,0,3,0,0
150,5,A Ashish Reddy,2,0,15,1,7.5,4,0,1,1,0
151,0,NM Coulter-Nile,4,0,26,1,6.5,10,1,1,0,0
152,1,JP Duminy,3,0,17,4,5.66,7,0,1,1,0
153,2,DJ Muthuswami,2,0,20,0,10,6,4,0,0,0
154,3,AD Mathews,4,0,38,1,9.5,9,5,1,0,0
155,4,Imran Tahir,4,0,35,1,8.75,6,0,3,0,0
156,5,A Mishra,2,0,14,0,7,3,0,1,0,0
157,6,Yuvraj Singh,1,0,10,0,10,1,0,1,0,0
158,0,UT Yadav,4,0,33,3,8.25,11,4,1,1,0
159,1,M Morkel,4,0,27,2,6.75,13,2,2,0,0
160,2,AD Russell,4,0,39,2,9.75,8,3,2,2,0
161,3,SP Narine,4,0,17,1,4.25,12,1,0,0,0
162,4,PP Chawla,4,0,29,0,7.25,6,0,2,0,0
163,0,Sandeep Sharma,4,1,25,4,6.25,15,4,0,0,0
164,1,Anureet Singh,4,0,37,0,9.25,7,6,0,0,0
165,2,MG Johnson,3.5,0,41,1,10.69,8,5,2,0,0
166,3,NLTC Perera,4,0,33,1,8.25,9,4,1,1,0
167,4,AR Patel,2,0,22,0,11,4,2,1,0,0
168,0,Ankit Sharma,3,0,26,1,8.66,8,3,1,0,0
169,1,CH Morris,4,0,19,1,4.75,14,2,0,0,0
170,2,PV Tambe,4,0,36,1,9,6,4,1,0,0
171,3,DJ Hooda,2,0,22,0,11,2,3,0,1,0
172,4,JP Faulkner,4,0,26,1,6.5,12,1,1,1,0
173,5,STR Binny,1,0,5,0,5,4,1,0,0,0
174,6,SR Watson,2,0,20,0,10,5,4,0,1,0
175,0,IC Pandey,2,0,12,0,6,6,2,0,0,0
176,1,A Nehra,4,0,32,0,8,7,4,0,1,0
177,2,MM Sharma,4,0,33,0,8.25,7,2,1,0,0
178,3,RA Jadeja,4,0,29,1,7.25,7,0,2,0,0
179,4,R Ashwin,2,0,21,0,10.5,0,1,1,0,0
180,5,DJ Bravo,2.2,0,30,1,12.85,3,3,2,0,0
181,0,Iqbal Abdulla,4,0,35,0,8.75,10,2,2,2,0
182,1,VR Aaron,4,0,50,0,12.5,13,7,2,3,0
183,2,AN Ahmed,4,0,59,0,14.75,7,5,5,1,0
184,3,D Wiese,4,0,33,4,8.25,10,6,0,1,0
185,4,YS Chahal,4,0,28,2,7,11,3,1,1,0
186,0,MJ McClenaghan,4,0,43,1,10.75,12,7,1,3,2
187,1,SL Malinga,4,1,35,1,8.75,12,3,2,2,0
188,2,Harbhajan Singh,4,0,27,3,6.75,13,2,2,0,0
189,3,JJ Bumrah,4,0,39,1,9.75,9,4,1,5,0
190,4,HH Pandya,3,0,37,0,12.33,4,3,2,2,0
191,5,KA Pollard,1,0,9,0,9,1,1,0,0,0
192,0,UT Yadav,4,0,18,2,4.5,12,1,0,3,0
193,1,M Morkel,4,0,30,2,7.5,14,4,1,2,0
194,2,SP Narine,4,0,38,1,9.5,11,3,3,0,0
195,3,AD Russell,3,0,21,0,7,8,2,1,0,0
196,4,PP Chawla,4,0,27,2,6.75,9,2,0,1,0
197,5,YK Pathan,1,0,9,0,9,0,1,0,0,0
198,0,DJ Muthuswami,3,0,18,2,6,12,4,0,0,0
199,1,NM Coulter-Nile,4,0,30,1,7.5,10,5,0,1,0
200,2,AD Mathews,3,0,33,0,11,2,5,0,2,0
201,3,Imran Tahir,4,0,30,1,7.5,5,2,1,0,0
202,4,JP Duminy,1,0,10,0,10,2,0,1,0,0
203,5,A Mishra,3.1,0,22,0,6.94,6,2,0,0,0
204,0,Sandeep Sharma,4,0,25,1,6.25,12,1,1,3,0
205,1,Anureet Singh,4,0,41,1,10.25,7,4,2,0,0
206,2,MG Johnson,4,0,33,1,8.25,9,5,0,1,1
207,3,AR Patel,4,0,30,2,7.5,7,1,1,1,0
208,4,Shivam Sharma,3,0,44,1,14.66,3,5,2,0,0
209,5,GJ Maxwell,1,0,15,0,15,1,0,2,0,0
210,0,CH Morris,4,0,34,1,8.5,10,4,1,1,0
211,1,STR Binny,2,0,13,0,6.5,8,1,1,0,0
212,2,JP Faulkner,4,0,41,0,10.25,8,3,2,0,0
213,3,PV Tambe,3,0,20,1,6.66,5,1,0,0,0
214,4,R Tewatia,3,0,31,1,10.33,6,2,2,0,0
215,5,DJ Hooda,3,0,35,1,11.66,3,1,3,0,0
216,6,SR Watson,1,0,13,0,13,0,0,1,0,0
217,0,J Botha,4,0,26,0,6.5,9,3,0,1,0
218,1,M Morkel,4,0,31,2,7.75,8,5,0,0,0
