,0s,4s,6s,Bowling,Econ,M,NB,O,Pune Warriors Team,R,Unnamed: 0,W,WD
822,10.0,3.0,2.0,DE Bollinger,8.5,0.0,0.0,4.0,,34.0,1,0.0,1.0
823,12.0,1.0,1.0,DJ Bravo,5.25,0.0,0.0,4.0,,21.0,2,0.0,1.0
824,12.0,4.0,2.0,SK Raina,9.5,0.0,0.0,4.0,,38.0,3,0.0,4.0
825,4.0,0.0,1.0,JA Morkel,8.0,0.0,0.0,2.0,,16.0,4,1.0,2.0
826,12.0,5.0,1.0,AN Ahmed,8.0,0.0,0.0,4.0,,32.0,0,2.0,0.0
827,10.0,1.0,1.0,SL Malinga,5.75,0.0,0.0,4.0,,23.0,1,0.0,1.0
828,6.0,2.0,1.0,Harbhajan Singh,8.66,0.0,0.0,3.0,,26.0,2,0.0,1.0
829,1.0,2.0,2.0,RW Price,11.0,0.0,0.0,3.0,,33.0,3,0.0,0.0
830,1.0,4.0,0.0,KA Pollard,11.5,0.0,0.0,2.0,,23.0,4,0.0,0.0
831,7.0,2.0,2.0,JEC Franklin,8.75,0.0,0.0,4.0,,35.0,5,2.0,0.0
832,9.0,5.0,0.0,B Lee,9.25,0.0,0.0,4.0,,37.0,0,0.0,2.0
833,12.0,3.0,1.0,Iqbal Abdulla,6.5,0.0,0.0,4.0,,26.0,1,1.0,0.0
834,9.0,2.0,0.0,Shakib Al Hasan,6.5,0.0,0.0,4.0,,26.0,2,0.0,2.0
835,2.0,7.0,2.0,L Balaji,17.0,0.0,0.0,3.0,,51.0,3,1.0,2.0
836,2.0,1.0,0.0,YK Pathan,7.0,0.0,0.0,1.0,,7.0,4,0.0,0.0
837,8.0,2.0,0.0,R Bhatia,5.5,0.0,0.0,4.0,,22.0,5,3.0,0.0
838,8.0,4.0,2.0,JA Morkel,10.0,0.0,0.0,4.0,,40.0,0,0.0,0.0
839,13.0,2.0,0.0,DE Bollinger,5.0,0.0,0.0,4.0,,20.0,1,1.0,1.0
840,9.0,2.0,2.0,R Ashwin,8.25,0.0,0.0,4.0,,33.0,2,1.0,1.0
841,6.0,2.0,1.0,DJ Bravo,9.33,0.0,0.0,3.0,,28.0,3,1.0,3.0
842,7.0,2.0,2.0,SB Jakati,9.25,0.0,0.0,4.0,,37.0,4,1.0,0.0
843,2.0,1.0,0.0,SK Raina,8.0,0.0,0.0,1.0,,8.0,5,0.0,0.0
844,16.0,2.0,3.0,Z Khan,7.75,0.0,0.0,4.0,,31.0,0,2.0,2.0
845,8.0,2.0,3.0,S Aravind,10.66,0.0,0.0,3.0,,32.0,1,1.0,0.0
846,6.0,2.0,2.0,A Mithun,10.66,0.0,1.0,3.0,,32.0,2,1.0,1.0
847,3.0,3.0,0.0,V Kohli,9.5,0.0,1.0,2.0,,19.0,3,0.0,0.0
848,4.0,4.0,2.0,DL Vettori,11.45,0.0,0.0,3.4,,42.0,4,0.0,0.0
849,10.0,1.0,0.0,CH Gayle,4.75,0.0,0.0,4.0,,19.0,5,0.0,1.0
850,10.0,5.0,0.0,DS Kulkarni,8.0,0.0,0.0,4.0,,32.0,0,1.0,2.0
851,11.0,4.0,0.0,MM Patel,6.75,0.0,0.0,4.0,,27.0,1,3.0,0.0
852,9.0,3.0,0.0,Harbhajan Singh,6.5,0.0,0.0,4.0,,26.0,2,1.0,1.0
853,11.0,1.0,0.0,SL Malinga,4.75,0.0,0.0,4.0,,19.0,3,1.0,1.0
854,1.0,0.0,1.0,JEC Franklin,10.0,0.0,0.0,1.0,,10.0,4,0.0,0.0
855,5.0,2.0,2.0,KA Pollard,10.33,0.0,0.0,3.0,,31.0,5,0.0,0.0
856,8.0,4.0,1.0,B Lee,9.25,0.0,0.0,4.0,,37.0,0,1.0,0.0
857,8.0,4.0,0.0,Iqbal Abdulla,7.66,0.0,0.0,3.0,,23.0,1,0.0,0.0
858,6.0,4.0,0.0,YK Pathan,9.0,0.0,0.0,2.0,,18.0,2,0.0,0.0
859,8.0,2.0,1.0,Shakib Al Hasan,7.2,0.0,0.0,3.2,,24.0,3,2.0,0.0
860,2.0,0.0,1.0,R Bhatia,9.0,0.0,0.0,1.0,,9.0,4,0.0,0.0
861,14.0,2.0,0.0,JH Kallis,4.5,0.0,0.0,4.0,,18.0,5,2.0,1.0
