,Bowling,Unnamed: 1,O,M,R,W,Econ,0s,4s,6s,WD,NB,Unnamed: 12
0,MM Sharma,,4.0,0,40,1,10.0,8,4,2,1,0,
1,Mujeeb Ur Rahman,,2.2,0,28,0,12.0,4,2,2,0,0,
2,R Ashwin,,2.4,0,36,0,13.5,3,4,2,1,0,
3,BB Sran,,3.0,0,48,1,16.0,5,5,4,0,0,
4,AJ Tye,,4.0,0,41,4,10.25,7,4,2,2,0,
5,AR Patel,,4.0,0,52,0,13.0,4,5,3,1,0,
0,SP Narine,,4.0,0,44,1,11.0,6,2,4,0,0,
1,M Prasidh Krishna,,4.0,0,31,2,7.75,10,3,1,2,0,
2,JPR Scantlebury-Searles,,4.0,0,52,1,13.0,4,3,4,3,0,
3,AD Russell,,4.0,0,41,3,10.25,10,2,4,0,0,
4,Kuldeep Yadav,,2.0,0,29,1,14.5,2,1,3,1,0,
5,PP Chawla,,2.0,0,16,0,8.0,1,1,0,0,0,
