,Bowling,Unnamed: 1,O,M,R,W,Econ,0s,4s,6s,WD,NB,Unnamed: 12
0,K Gowtham,,3.0,0,28,0,9.33,2,4,0,0,0,
1,Ankit Sharma,,1.0,0,11,0,11.0,1,2,0,0,0,
2,JC Archer,,4.0,0,42,2,10.5,5,4,0,5,1,
3,BA Stokes,,4.0,0,31,0,7.75,7,4,0,1,0,
4,JD Unadkat,,4.0,0,34,0,8.5,8,0,2,4,0,
5,IS Sodhi,,4.0,0,29,1,7.25,8,0,2,0,0,
0,DJ Willey,,4.0,0,47,1,11.75,5,5,2,1,0,
1,Harbhajan Singh,,2.0,0,29,1,14.5,5,4,2,0,0,
2,RA Jadeja,,4.0,0,28,1,7.0,8,3,0,0,0,
3,SN Thakur,,4.0,0,22,1,5.5,14,3,0,1,0,
4,KV Sharma,,1.0,0,10,0,10.0,2,1,0,0,0,
5,DJ Bravo,,3.5,0,31,1,8.08,10,1,2,0,0,
6,SR Watson,,1.0,0,9,0,9.0,0,1,0,0,0,
