,Unnamed: 0,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
0,0,P Kumar,4.0,0,38,0,9.5,13,3,3,1,0
1,1,Z Khan,4.0,0,38,1,9.5,8,3,2,0,0
2,2,AA Noffke,4.0,0,40,1,10.0,7,2,2,1,0
3,3,JH Kallis,4.0,0,48,1,12.0,9,5,3,1,0
4,4,SB Joshi,3.0,0,26,0,8.66,4,0,2,0,0
5,5,CL White,1.0,0,24,0,24.0,0,2,2,1,0
6,0,AB Dinda,3.0,0,9,2,3.0,7,0,0,2,0
7,1,I Sharma,3.0,0,7,1,2.33,17,0,0,1,0
8,2,AB Agarkar,4.0,0,25,3,6.25,15,2,1,4,0
9,3,SC Ganguly,4.0,0,21,2,5.25,13,1,1,1,0
10,4,LR Shukla,1.1,0,12,1,10.28,3,0,1,2,0
11,0,B Lee,4.0,0,35,1,8.75,12,5,1,0,1
12,1,S Sreesanth,3.0,0,35,0,11.66,5,5,1,1,0
13,2,JR Hopes,4.0,0,53,1,13.25,8,2,6,0,0
14,3,IK Pathan,4.0,0,47,2,11.75,6,4,3,0,0
15,4,K Goel,2.0,0,25,0,12.5,2,1,2,0,0
16,5,PP Chawla,1.0,0,19,0,19.0,1,1,2,0,0
17,6,WA Mota,2.0,0,24,1,12.0,2,2,1,2,0
18,0,JDP Oram,4.0,0,37,0,9.25,6,6,0,0,0
19,1,MS Gony,4.0,0,42,1,10.5,7,2,3,2,0
20,2,M Muralitharan,4.0,0,33,1,8.25,7,1,2,1,0
21,3,P Amarnath,4.0,0,42,1,10.5,4,5,1,0,0
22,4,Joginder Sharma,4.0,0,47,1,11.75,5,4,3,1,0
23,0,GD McGrath,4.0,1,21,1,5.25,16,2,1,1,0
24,1,B Geeves,4.0,0,41,0,10.25,8,8,0,0,0
25,2,MF Maharoof,4.0,0,11,2,2.75,13,0,0,0,0
26,3,R Bhatia,4.0,0,17,2,4.25,13,1,0,1,0
27,4,DL Vettori,4.0,0,35,1,8.75,8,3,2,0,0
28,0,MM Patel,3.0,0,25,0,8.33,10,4,1,0,0
29,1,SR Watson,4.0,0,31,1,7.75,9,5,0,1,0
30,2,SK Trivedi,3.0,0,32,0,10.66,6,5,0,3,0
31,3,SK Warne,2.0,0,16,0,8.0,2,2,0,0,0
32,4,YK Pathan,2.1,0,17,0,7.84,4,2,0,1,0
33,5,D Salunkhe,1.0,0,11,0,11.0,0,0,0,1,0
34,0,AB Dinda,3.0,0,18,1,6.0,9,1,0,0,1
35,1,I Sharma,3.0,1,9,1,3.0,13,0,0,3,0
36,2,AB Agarkar,2.0,0,19,2,9.5,6,1,2,0,0
37,3,M Kartik,3.4,0,17,3,4.63,14,3,0,0,0
38,4,Mohammad Hafeez,4.0,0,8,1,2.0,17,0,0,0,1
39,5,DJ Hussey,3.0,0,35,1,11.66,7,1,4,1,0
40,0,WPUJC Vaas,3.0,0,9,2,3.0,12,1,0,0,0
41,1,RP Singh,3.0,0,15,1,5.0,10,2,0,0,0
42,2,SB Styris,4.0,0,19,0,4.75,15,1,1,1,0
43,3,SB Bangar,3.0,0,19,0,6.33,13,1,1,2,0
44,4,A Symonds,2.0,0,20,0,10.0,4,0,1,2,1
45,5,PP Ojha,4.0,0,18,2,4.5,13,0,1,2,0
46,0,P Kumar,4.0,0,29,1,7.25,11,3,1,1,0
47,1,Z Khan,4.0,0,17,2,4.25,14,2,0,0,0
48,2,JH Kallis,3.0,0,43,0,14.33,3,7,1,2,0
49,3,R Vinay Kumar,4.0,0,41,0,10.25,9,3,3,0,0
50,4,B Akhil,3.0,0,17,2,5.66,8,2,0,0,0
51,5,SB Joshi,2.0,0,10,0,5.0,5,1,0,0,0
52,0,A Nehra,4.0,0,45,1,11.25,7,5,2,2,0
53,1,SM Pollock,4.0,0,17,0,4.25,10,1,0,0,0
54,2,DS Kulkarni,2.4,0,19,1,7.12,8,3,0,2,0
55,3,ST Jayasuriya,4.0,0,39,1,9.75,3,2,2,0,0
56,4,Harbhajan Singh,4.0,0,36,2,9.0,6,2,2,1,0
57,5,AM Nayar,1.0,0,10,0,10.0,2,2,0,0,0
58,0,MM Patel,4.0,0,36,1,9.0,12,4,2,0,0
59,1,SR Watson,4.0,0,39,0,9.75,12,8,0,0,1
60,2,SK Trivedi,4.0,0,25,2,6.25,12,2,1,0,0
61,3,SK Warne,4.0,0,19,3,4.75,11,0,1,0,0
62,4,D Salunkhe,2.0,0,21,1,10.5,5,2,1,2,0
63,5,Pankaj Singh,1.0,0,12,0,12.0,0,2,0,0,0
64,6,YK Pathan,1.0,0,13,0,13.0,3,0,2,0,0
65,0,B Lee,4.0,0,35,1,8.75,13,5,1,0,2
66,1,S Sreesanth,3.1,0,38,1,12.0,9,5,1,3,2
67,2,JR Hopes,4.0,0,33,1,8.25,11,2,2,1,0
68,3,IK Pathan,4.0,0,21,1,5.25,11,2,0,2,0
69,4,PP Chawla,2.0,0,27,0,13.5,4,3,2,0,0
70,5,WA Mota,1.0,0,12,0,12.0,1,0,1,0,0
71,0,GD McGrath,4.0,1,22,0,5.5,16,4,0,0,0
72,1,Mohammad Asif,4.0,0,19,2,4.75,17,0,2,0,0
73,2,MF Maharoof,4.0,0,36,2,9.0,10,3,2,1,0
74,3,VY Mahesh,4.0,0,35,1,8.75,7,3,1,0,1
75,4,R Bhatia,4.0,0,27,2,6.75,9,2,1,0,0
76,0,WPUJC Vaas,3.0,0,22,0,7.33,7,3,0,1,0
77,1,RP Singh,3.0,0,27,1,9.0,7,5,0,1,0
78,2,SB Bangar,2.0,0,30,0,15.0,3,3,2,1,0
79,3,Shahid Afridi,2.0,0,17,0,8.5,3,0,1,0,0
80,4,A Symonds,2.0,0,35,0,17.5,4,4,3,0,0
81,5,PP Ojha,1.0,0,7,0,7.0,3,0,0,2,0
82,0,SM Pollock,3.0,0,32,0,10.66,8,5,1,1,0
83,1,A Nehra,4.0,0,35,1,8.75,12,6,0,2,1
84,2,DS Kulkarni,3.0,0,25,1,8.33,7,4,0,0,1
85,3,Harbhajan Singh,2.0,0,14,0,7.0,3,0,1,0,0
86,4,DJ Bravo,3.0,0,36,0,12.0,4,5,1,1,0
87,5,VS Yeligati,1.0,0,16,0,16.0,1,2,0,1,0
88,6,AM Nayar,1.0,0,14,0,14.0,2,0,2,0,0
89,7,MA Khote,3.0,0,29,2,9.66,4,2,1,0,0
90,0,JDP Oram,4.0,0,53,0,13.25,7,6,3,2,0
91,1,MS Gony,4.0,1,18,1,4.5,14,2,0,0,1
92,2,Joginder Sharma,4.0,0,29,2,7.25,8,3,0,0,1
93,3,P Amarnath,4.0,0,57,1,14.25,6,6,3,0,0
94,4,M Muralitharan,4.0,0,40,2,10.0,5,2,2,4,0
95,0,MM Patel,4.0,0,55,0,13.75,7,11,0,2,0
96,1,SR Watson,4.0,0,32,1,8.0,13,6,0,2,0
97,2,YK Pathan,2.0,0,20,2,10.0,6,1,2,0,0
98,3,Pankaj Singh,2.0,0,14,0,7.0,4,0,1,0,0
99,4,SK Trivedi,3.0,0,37,0,12.33,2,3,2,0,1
100,5,SK Warne,4.0,0,47,2,11.75,3,3,3,1,0
101,6,D Salunkhe,1.0,0,9,0,9.0,2,0,1,0,0
102,0,WPUJC Vaas,4.0,0,42,1,10.5,8,5,2,0,0
103,1,RP Singh,4.0,0,44,1,11.0,10,4,3,1,1
104,2,PP Ojha,2.0,0,23,0,11.5,3,3,1,0,0
105,3,D Kalyankrishna,3.0,0,30,1,10.0,4,2,2,0,0
106,4,Shahid Afridi,4.0,0,28,3,7.0,9,2,1,1,0
107,5,A Symonds,2.5,0,46,0,16.23,3,2,5,0,0
108,0,SM Pollock,4.0,0,40,1,10.0,8,5,1,1,0
109,1,A Nehra,3.0,0,22,2,7.33,7,2,0,0,0
110,2,DS Kulkarni,4.0,0,37,2,9.25,10,3,2,1,1
111,3,Harbhajan Singh,4.0,0,32,3,8.0,9,4,0,1,0
112,4,DJ Bravo,3.0,0,27,0,9.0,6,2,1,0,0
113,5,MA Khote,2.0,0,22,0,11.0,2,2,1,0,0
114,0,B Lee,4.0,0,9,1,2.25,18,1,0,0,0
115,1,IK Pathan,4.0,1,19,2,4.75,15,1,1,2,0
116,2,VRV Singh,4.0,0,40,1,10.0,10,5,2,1,0
117,3,S Sreesanth,4.0,0,31,2,7.75,12,3,1,0,2
118,4,PP Chawla,4.0,0,16,2,4.0,15,2,0,1,0
119,0,JDP Oram,4.0,0,32,3,8.0,9,3,1,0,0
120,1,MS Gony,4.0,0,40,2,10.0,9,4,2,0,1
121,2,P Amarnath,4.0,0,29,2,7.25,11,5,0,0,0
122,3,M Muralitharan,4.0,0,12,0,3.0,15,0,0,3,0
123,4,Joginder Sharma,4.0,0,32,1,8.0,7,2,1,1,1
124,0,AB Dinda,3.0,0,25,0,8.33,11,4,0,2,0
125,1,I Sharma,3.0,0,26,0,8.66,10,1,1,1,1
126,2,AB Agarkar,3.0,0,19,1,6.33,9,3,0,0,0
127,3,DJ Hussey,1.0,0,10,0,10.0,2,0,1,0,0
128,4,Mohammad Hafeez,2.0,0,16,0,8.0,2,0,1,1,0
129,5,M Kartik,3.0,0,33,0,11.0,2,2,2,0,0
130,6,LR Shukla,2.0,0,18,0,9.0,3,2,0,0,0
131,0,SR Watson,4.0,0,20,2,5.0,15,3,0,0,1
132,1,Sohail Tanvir,4.0,0,31,0,7.75,14,3,2,1,0
133,2,MM Patel,3.0,0,20,2,6.66,9,2,1,0,0
134,3,SK Trivedi,4.0,0,29,1,7.25,12,3,1,2,0
135,4,SK Warne,4.0,1,23,1,5.75,15,1,2,0,0
136,5,YK Pathan,1.0,0,10,0,10.0,1,0,1,0,0
137,0,P Kumar,3.0,0,42,1,14.0,5,8,1,0,0
138,1,Z Khan,4.0,0,24,1,6.0,15,5,0,0,0
139,2,R Vinay Kumar,2.0,0,15,0,7.5,4,2,0,1,0
140,3,A Kumble,4.0,0,22,0,5.5,10,2,0,1,0
141,4,JH Kallis,1.0,0,7,0,7.0,2,1,0,0,0
142,5,SB Joshi,3.1,0,27,1,8.52,9,4,1,0,0
143,0,B Lee,4.0,0,33,1,8.25,7,5,0,0,0
144,1,IK Pathan,4.0,0,26,2,6.5,8,2,0,3,0
145,2,S Sreesanth,2.0,0,25,0,12.5,2,3,1,0,0
146,3,VRV Singh,4.0,0,29,3,7.25,10,4,0,0,0
147,4,PP Chawla,4.0,0,29,0,7.25,12,3,1,1,0
148,5,Yuvraj Singh,2.0,0,11,1,5.5,5,1,0,1,0
149,0,GD McGrath,4.0,0,29,1,7.25,12,4,1,0,0
150,1,Mohammad Asif,4.0,0,39,2,9.75,11,7,0,0,1
151,2,MF Maharoof,3.0,0,31,0,10.33,7,4,1,1,0
152,3,VY Mahesh,4.0,0,23,1,5.75,9,2,0,0,0
153,4,Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1
154,5,R Bhatia,1.0,0,5,0,5.0,2,0,0,1,0
155,0,RP Singh,4.0,1,15,2,3.75,18,2,0,2,0
156,1,DNT Zoysa,4.0,0,30,1,7.5,11,3,1,1,1
157,2,SB Bangar,4.0,0,34,2,8.5,9,4,1,0,0
158,3,Shahid Afridi,4.0,0,32,2,8.0,11,1,2,0,1
159,4,PP Ojha,2.0,0,14,0,7.0,4,2,0,0,0
160,5,D Kalyankrishna,2.0,0,23,0,11.5,2,2,1,0,0
161,0,A Nehra,2.0,0,19,0,9.5,5,4,0,0,0
162,1,SM Pollock,2.0,0,33,0,16.5,3,3,3,0,0
163,2,DS Kulkarni,1.0,0,8,0,8.0,4,2,0,0,0
164,3,ST Jayasuriya,2.0,0,17,0,8.5,4,1,1,0,0
165,4,SD Chitnis,2.0,0,20,0,10.0,4,2,1,1,0
166,5,DJ Bravo,2.0,0,31,0,15.5,3,1,3,2,0
167,6,AM Nayar,1.0,0,22,0,22.0,0,0,3,1,0
168,0,DW Steyn,4.0,0,40,0,10.0,11,6,1,3,0
169,1,Z Khan,4.0,0,38,3,9.5,12,7,1,0,0
170,2,P Kumar,4.0,0,29,1,7.25,8,1,2,0,0
171,3,JH Kallis,4.0,0,36,0,9.0,4,2,1,0,0
172,4,B Akhil,4.0,0,34,0,8.5,9,1,3,0,0
173,0,JDP Oram,4.0,0,27,0,6.75,10,2,1,2,0
174,1,MS Gony,4.0,0,34,3,8.5,10,4,1,0,0
175,2,JA Morkel,4.0,0,38,1,9.5,6,2,2,3,0
176,3,P Amarnath,4.0,0,38,2,9.5,5,5,0,0,0
177,4,Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0
178,0,SM Pollock,4.0,0,27,2,6.75,11,3,1,0,0
179,1,A Nehra,1.0,0,9,0,9.0,3,2,0,0,0
180,2,CRD Fernando,4.0,0,41,1,10.25,8,6,1,2,0
181,3,DS Kulkarni,3.0,0,15,0,5.0,9,1,0,1,0
182,4,DJ Bravo,4.0,0,25,1,6.25,11,2,1,1,0
183,5,ST Jayasuriya,4.0,1,14,3,3.5,14,1,0,1,0
184,0,AB Agarkar,4.0,0,23,1,5.75,13,2,0,3,1
185,1,I Sharma,3.4,0,33,1,9.0,13,6,1,0,0
186,2,AB Dinda,4.0,0,12,1,3.0,16,1,0,0,0
187,3,M Kartik,3.0,0,24,0,8.0,9,3,1,1,0
188,4,Mohammad Hafeez,1.0,0,16,0,16.0,1,2,0,1,0
189,5,SC Ganguly,2.0,0,14,0,7.0,1,1,0,0,0
190,6,LR Shukla,1.0,0,11,0,11.0,1,2,0,0,0
191,0,DW Steyn,4.0,0,29,1,7.25,10,3,0,1,1
192,1,Z Khan,4.0,0,42,1,10.5,9,7,1,0,0
193,2,P Kumar,4.0,0,24,0,6.0,7,2,0,0,0
194,3,R Vinay Kumar,2.0,0,25,0,12.5,1,4,0,0,0
195,4,JH Kallis,4.0,0,39,2,9.75,6,3,2,0,0
196,5,V Kohli,1.0,0,11,0,11.0,0,1,0,0,0
197,6,SB Joshi,1.0,0,19,0,19.0,0,1,2,0,0
198,0,GD McGrath,4.0,0,29,4,7.25,10,3,1,0,0
199,1,Mohammad Asif,4.0,0,42,0,10.5,8,5,2,0,0
200,2,VY Mahesh,4.0,0,28,0,7.0,8,3,0,0,1
201,3,DL Vettori,4.0,0,19,1,4.75,8,1,0,0,0
202,4,R Bhatia,1.0,0,14,0,14.0,1,3,0,0,0
203,5,Shoaib Malik,1.0,0,8,0,8.0,3,0,1,0,0
204,6,V Sehwag,2.0,0,30,0,15.0,1,1,3,0,0
205,0,AB Dinda,4.0,0,30,0,7.5,11,5,0,2,0
206,1,I Sharma,4.0,0,26,1,6.5,13,4,0,0,1
207,2,AB Agarkar,4.0,0,46,1,11.5,6,4,3,0,0
208,3,Umar Gul,4.0,0,31,3,7.75,8,1,1,1,2
209,4,DJ Hussey,2.0,0,26,0,13.0,1,4,0,0,0
210,5,SC Ganguly,1.0,0,14,0,14.0,1,3,0,0,0
211,6,LR Shukla,1.0,0,16,1,16.0,1,1,1,0,1
212,0,SR Watson,3.1,0,22,2,6.94,11,2,1,2,0
213,1,Sohail Tanvir,4.0,0,30,2,7.5,9,2,1,2,0
214,2,SK Trivedi,4.0,0,31,2,7.75,8,1,2,2,0
215,3,MM Patel,4.0,0,29,0,7.25,7,1,1,0,0
216,4,SK Warne,2.0,0,20,1,10.0,2,1,1,1,0
217,5,YK Pathan,2.0,0,14,0,7.0,4,1,0,0,0
218,0,S Sreesanth,4.0,0,33,1,8.25,9,5,0,1,0
219,1,IK Pathan,4.0,0,30,2,7.5,9,3,1,1,0
220,2,VRV Singh,4.0,0,34,0,8.5,6,4,0,0,0
221,3,PP Chawla,4.0,0,28,3,7.0,8,2,1,0,0
222,4,Gagandeep Singh,4.0,0,37,1,9.25,10,5,1,0,0
223,0,RP Singh,3.5,0,36,0,9.39,6,5,0,2,0
224,1,DNT Zoysa,4.0,0,32,1,8.0,10,4,1,0,0
225,2,Shahid Afridi,3.0,0,28,0,9.33,3,4,0,0,0
226,3,SB Bangar,4.0,0,26,0,6.5,9,3,0,0,0
227,4,D Kalyankrishna,3.0,0,34,1,11.33,5,4,1,2,0
228,5,Y Venugopal Rao,1.0,0,9,0,9.0,1,1,0,0,0
229,0,GD McGrath,4.0,0,21,1,5.25,11,2,0,0,0
230,1,Mohammad Asif,4.0,0,34,1,8.5,7,5,0,1,0
231,2,VY Mahesh,4.0,0,31,1,7.75,13,5,0,0,2
232,3,PJ Sangwan,4.0,0,40,0,10.0,6,3,2,2,0
233,4,Shoaib Malik,1.0,0,11,0,11.0,1,1,0,1,0
234,5,V Sehwag,2.0,0,21,1,10.5,5,1,2,0,0
235,6,R Bhatia,1.0,0,11,1,11.0,1,0,1,0,0
236,0,M Ntini,4.0,0,29,0,7.25,10,3,1,0,0
237,1,MS Gony,4.0,0,39,1,9.75,8,3,2,1,0
238,2,JA Morkel,4.0,0,40,0,10.0,7,6,0,1,0
239,3,Joginder Sharma,3.0,0,35,1,11.66,4,2,2,0,1
240,4,M Muralitharan,4.0,0,27,0,6.75,9,2,0,0,1
241,0,DP Vijaykumar,3.0,0,18,0,6.0,9,3,0,0,0
242,1,RP Singh,4.0,0,41,3,10.25,8,8,0,1,0
243,2,SB Styris,4.0,0,29,1,7.25,8,0,2,1,0
244,3,Shahid Afridi,4.0,0,23,1,5.75,7,2,0,0,0
245,4,PP Ojha,4.0,0,28,2,7.0,5,1,1,0,0
246,5,SB Bangar,1.0,0,14,0,14.0,0,1,1,0,0
247,0,DW Steyn,4.0,0,20,0,5.0,14,3,0,1,0
248,1,Z Khan,4.0,0,24,2,6.0,10,3,0,0,0
249,2,P Kumar,4.0,0,23,3,5.75,12,2,1,0,0
250,3,A Kumble,4.0,0,47,0,11.75,2,3,3,1,0
251,4,JH Kallis,4.0,0,35,1,8.75,6,4,1,0,0
252,0,I Sharma,4.0,0,41,0,10.25,9,6,1,0,1
253,1,AB Agarkar,3.0,0,26,0,8.66,5,4,0,1,0
254,2,AB Dinda,3.0,0,24,1,8.0,12,4,1,1,0
255,3,Mohammad Hafeez,3.0,0,28,1,9.33,5,3,1,0,0
256,4,DJ Hussey,3.0,0,23,1,7.66,8,2,1,0,0
257,5,Umar Gul,4.0,0,27,2,6.75,9,3,0,2,0
258,0,S Sreesanth,4.0,0,25,2,6.25,13,3,0,1,0
259,1,IK Pathan,4.0,0,18,2,4.5,16,1,1,1,0
260,2,VRV Singh,4.0,0,31,1,7.75,6,3,0,0,0
261,3,Gagandeep Singh,4.0,0,43,1,10.75,6,2,3,0,0
262,4,JR Hopes,3.0,0,35,0,11.66,4,0,3,0,0
263,5,PP Chawla,1.0,0,16,0,16.0,2,0,2,0,0
264,0,GD McGrath,4.0,0,26,0,6.5,11,4,0,0,0
265,1,Mohammad Asif,4.0,0,46,1,11.5,9,4,3,3,0
266,2,VY Mahesh,4.0,0,33,3,8.25,11,5,1,0,0
267,3,PJ Sangwan,4.0,0,21,1,5.25,10,0,1,0,1
268,4,R Bhatia,2.0,0,22,1,11.0,5,0,3,0,0
269,5,V Sehwag,1.0,0,2,1,2.0,4,0,0,0,0
270,6,Shoaib Malik,1.0,0,6,1,6.0,3,1,0,0,0
271,0,SM Pollock,4.0,0,16,2,4.0,15,0,1,0,0
272,1,A Nehra,4.0,0,25,3,6.25,11,2,1,0,0
273,2,DJ Bravo,3.0,0,27,1,9.0,6,2,1,0,0
274,3,DS Kulkarni,2.5,0,18,2,6.35,8,2,0,0,1
275,4,ST Jayasuriya,1.0,0,16,0,16.0,0,0,2,0,0
276,5,DJ Thornely,2.0,0,15,1,7.5,3,2,0,0,0
277,6,RR Raje,2.0,0,13,0,6.5,3,1,0,0,0
278,0,Sohail Tanvir,4.0,0,14,6,3.5,17,2,0,0,0
279,1,SR Watson,4.0,0,19,1,4.75,18,3,0,2,0
280,2,MM Patel,4.0,0,16,2,4.0,12,1,0,0,0
281,3,SK Trivedi,2.0,0,17,0,8.5,4,2,0,0,0
282,4,SK Warne,3.0,0,29,1,9.66,6,3,1,0,0
283,5,YK Pathan,2.0,0,9,0,4.5,6,1,0,0,0
284,0,M Ntini,3.0,1,17,0,5.66,10,3,0,0,0
285,1,MS Gony,3.0,0,25,0,8.33,8,5,0,0,0
286,2,JA Morkel,1.0,0,10,0,10.0,4,0,0,3,1
287,3,M Muralitharan,4.0,0,20,1,5.0,13,0,0,2,0
288,4,SK Raina,1.2,0,10,0,7.5,2,1,0,0,0
289,5,S Vidyut,2.0,0,22,1,11.0,5,1,2,1,0
290,0,S Sreesanth,4.0,0,16,2,4.0,17,2,0,2,0
291,1,IK Pathan,3.2,0,13,1,3.9,14,2,0,1,0
292,2,Gagandeep Singh,3.0,0,28,0,9.33,4,4,0,0,0
293,3,VRV Singh,4.0,0,33,1,8.25,10,4,1,1,0
294,4,PP Chawla,4.0,0,25,3,6.25,12,2,0,1,0
295,5,JR Hopes,1.0,0,10,0,10.0,2,2,0,0,0
296,0,DW Steyn,4.0,0,16,0,4.0,15,0,1,2,0
297,1,Z Khan,4.0,0,29,2,7.25,13,4,0,3,0
298,2,P Kumar,4.0,1,22,2,5.5,13,2,1,0,0
299,3,JH Kallis,3.0,0,14,0,4.66,7,1,0,0,0
